year,scenario,upper,lower,value,location,variable
1950,Historical Emissions,29.787,9.747,20.4,Hill County,above90
1951,Historical Emissions,34.573,9.347,16.6,Hill County,above90
1952,Historical Emissions,33.72,2.52,16.6,Hill County,above90
1953,Historical Emissions,26.227,6.773,13.733,Hill County,above90
1954,Historical Emissions,24.44,3.093,8.867,Hill County,above90
1955,Historical Emissions,29.507,6.2,11.667,Hill County,above90
1956,Historical Emissions,45.267,4.48,11.267,Hill County,above90
1957,Historical Emissions,35.787,6,13,Hill County,above90
1958,Historical Emissions,29.92,1.893,12.333,Hill County,above90
1959,Historical Emissions,16.133,0.693,10.267,Hill County,above90
1960,Historical Emissions,32.093,3.133,5.867,Hill County,above90
1961,Historical Emissions,25.187,3.013,11.4,Hill County,above90
1962,Historical Emissions,28.987,5.213,14.933,Hill County,above90
1963,Historical Emissions,15.027,0.533,8.667,Hill County,above90
1964,Historical Emissions,27.36,6.907,20.933,Hill County,above90
1965,Historical Emissions,20.28,6.347,12.067,Hill County,above90
1966,Historical Emissions,37.427,4.093,9.067,Hill County,above90
1967,Historical Emissions,23.84,5.627,12.4,Hill County,above90
1968,Historical Emissions,12.613,2.467,8.733,Hill County,above90
1969,Historical Emissions,26.747,5.44,14.933,Hill County,above90
1970,Historical Emissions,15.907,2.507,11.133,Hill County,above90
1971,Historical Emissions,23.987,4.253,13.133,Hill County,above90
1972,Historical Emissions,19.96,4.693,12.133,Hill County,above90
1973,Historical Emissions,37.84,7.933,13.867,Hill County,above90
1974,Historical Emissions,19.12,3.413,8.867,Hill County,above90
1975,Historical Emissions,22.827,3.813,11.733,Hill County,above90
1976,Historical Emissions,24.64,3.333,9.6,Hill County,above90
1977,Historical Emissions,23.493,1.667,8.333,Hill County,above90
1978,Historical Emissions,21.387,4.733,11.733,Hill County,above90
1979,Historical Emissions,18.36,4.893,12,Hill County,above90
1980,Historical Emissions,15.96,7.187,11.933,Hill County,above90
1981,Historical Emissions,25.853,4.453,13.333,Hill County,above90
1982,Historical Emissions,24.573,3.6,18.667,Hill County,above90
1983,Historical Emissions,21.013,4.68,8.667,Hill County,above90
1984,Historical Emissions,16.48,2.08,7.467,Hill County,above90
1985,Historical Emissions,25.747,4.933,9.133,Hill County,above90
1986,Historical Emissions,24.507,1.6,13.733,Hill County,above90
1987,Historical Emissions,36.907,5.427,9.333,Hill County,above90
1988,Historical Emissions,28.8,1.933,13,Hill County,above90
1989,Historical Emissions,27.8,3.387,15.067,Hill County,above90
1990,Historical Emissions,34.44,6.293,20.933,Hill County,above90
1991,Historical Emissions,24.453,1.987,9.533,Hill County,above90
1992,Historical Emissions,26.84,1.067,8.533,Hill County,above90
1993,Historical Emissions,22.84,5.667,10.133,Hill County,above90
1994,Historical Emissions,29.96,5.76,14,Hill County,above90
1995,Historical Emissions,32.453,5.387,21.467,Hill County,above90
1996,Historical Emissions,50.333,13.107,25.867,Hill County,above90
1997,Historical Emissions,29.107,12.267,21.133,Hill County,above90
1998,Historical Emissions,25.307,9.747,14.933,Hill County,above90
1999,Historical Emissions,22.093,7.413,12.2,Hill County,above90
2000,Historical Emissions,32.107,6.453,23.133,Hill County,above90
2001,Historical Emissions,28.773,10.973,23.067,Hill County,above90
2002,Historical Emissions,34.147,9.6,17.333,Hill County,above90
2003,Historical Emissions,39.587,12.84,24.6,Hill County,above90
2004,Historical Emissions,36.227,13.4,23.8,Hill County,above90
2005,Historical Emissions,48.013,11.76,18.933,Hill County,above90
2006,Historical Emissions,35.653,8.813,19.667,Hill County,above90
2007,Historical Emissions,26.427,12.507,20.467,Hill County,above90
2008,Historical Emissions,49.04,9.84,16.933,Hill County,above90
2009,Historical Emissions,33.8,6.587,17.267,Hill County,above90
2010,Historical Emissions,32.76,9.627,23.4,Hill County,above90
2011,Historical Emissions,29.147,8.827,24.4,Hill County,above90
2012,Historical Emissions,43.68,20.093,32.267,Hill County,above90
2013,Historical Emissions,54.773,13.68,31.6,Hill County,above90
2014,Historical Emissions,55.453,13.827,20,Hill County,above90
2015,"Moderating Emissions
(SSP1-2.6)",44.52,17.52,22.867,Hill County,above90
2015,"Middle of the Road
(SSP2-4.5)",47.88,15.48,33.6,Hill County,above90
2015,"High Emissions
(SSP3-7.0)",40.253,19.267,31.733,Hill County,above90
2015,"Accelerating Emissions
(SSP5-8.5)",45.533,24.6,31.6,Hill County,above90
2016,"Moderating Emissions
(SSP1-2.6)",51.427,19.04,28.267,Hill County,above90
2016,"Middle of the Road
(SSP2-4.5)",32.48,9.08,28.4,Hill County,above90
2016,"High Emissions
(SSP3-7.0)",50.787,17.773,30,Hill County,above90
2016,"Accelerating Emissions
(SSP5-8.5)",33.027,13.52,21.667,Hill County,above90
2017,"Moderating Emissions
(SSP1-2.6)",49.467,16.813,24,Hill County,above90
2017,"Middle of the Road
(SSP2-4.5)",38.933,7.32,23.467,Hill County,above90
2017,"High Emissions
(SSP3-7.0)",35.16,6.867,23.6,Hill County,above90
2017,"Accelerating Emissions
(SSP5-8.5)",39.76,11.333,28.333,Hill County,above90
2018,"Moderating Emissions
(SSP1-2.6)",41.293,17.68,32.867,Hill County,above90
