scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Apr,Mid Century (2040-2069),0,0,0,Phillips County,above90
Historical Emissions,Aug,Mid Century (2040-2069),20.619,3.485,10.981,Phillips County,above90
Historical Emissions,Dec,Mid Century (2040-2069),0,0,0,Phillips County,above90
Historical Emissions,Feb,Mid Century (2040-2069),0,0,0,Phillips County,above90
Historical Emissions,Jan,Mid Century (2040-2069),0,0,0,Phillips County,above90
Historical Emissions,Jul,Mid Century (2040-2069),21.704,3.007,12.278,Phillips County,above90
Historical Emissions,Jun,Mid Century (2040-2069),9.641,0,2.333,Phillips County,above90
Historical Emissions,Mar,Mid Century (2040-2069),0,0,0,Phillips County,above90
Historical Emissions,May,Mid Century (2040-2069),2.433,0,0,Phillips County,above90
Historical Emissions,Nov,Mid Century (2040-2069),0,0,0,Phillips County,above90
Historical Emissions,Oct,Mid Century (2040-2069),0.589,0,0,Phillips County,above90
Historical Emissions,Sep,Mid Century (2040-2069),6.922,0,1.778,Phillips County,above90
Historical Emissions,Apr,End-of-Century (2070-2099),0,0,0,Phillips County,above90
Historical Emissions,Aug,End-of-Century (2070-2099),20.619,3.485,10.981,Phillips County,above90
Historical Emissions,Dec,End-of-Century (2070-2099),0,0,0,Phillips County,above90
Historical Emissions,Feb,End-of-Century (2070-2099),0,0,0,Phillips County,above90
Historical Emissions,Jan,End-of-Century (2070-2099),0,0,0,Phillips County,above90
Historical Emissions,Jul,End-of-Century (2070-2099),21.704,3.007,12.278,Phillips County,above90
Historical Emissions,Jun,End-of-Century (2070-2099),9.641,0,2.333,Phillips County,above90
Historical Emissions,Mar,End-of-Century (2070-2099),0,0,0,Phillips County,above90
Historical Emissions,May,End-of-Century (2070-2099),2.433,0,0,Phillips County,above90
Historical Emissions,Nov,End-of-Century (2070-2099),0,0,0,Phillips County,above90
Historical Emissions,Oct,End-of-Century (2070-2099),0.589,0,0,Phillips County,above90
Historical Emissions,Sep,End-of-Century (2070-2099),6.922,0,1.778,Phillips County,above90
"Moderating Emissions
(SSP1-2.6)",Apr,End-of-Century (2070-2099),0,0,0,Phillips County,above90
"Moderating Emissions
(SSP1-2.6)",Apr,Mid Century (2040-2069),0,0,0,Phillips County,above90
"Moderating Emissions
(SSP1-2.6)",Aug,End-of-Century (2070-2099),25.111,5.793,17.574,Phillips County,above90
"Moderating Emissions
(SSP1-2.6)",Aug,Mid Century (2040-2069),24.522,6.463,16.185,Phillips County,above90
"Moderating Emissions
(SSP1-2.6)",Dec,End-of-Century (2070-2099),0,0,0,Phillips County,above90
"Moderating Emissions
(SSP1-2.6)",Dec,Mid Century (2040-2069),0,0,0,Phillips County,above90
"Moderating Emissions
(SSP1-2.6)",Feb,End-of-Century (2070-2099),0,0,0,Phillips County,above90
"Moderating Emissions
(SSP1-2.6)",Feb,Mid Century (2040-2069),0,0,0,Phillips County,above90
"Moderating Emissions
(SSP1-2.6)",Jan,End-of-Century (2070-2099),0,0,0,Phillips County,above90
"Moderating Emissions
(SSP1-2.6)",Jan,Mid Century (2040-2069),0,0,0,Phillips County,above90
"Moderating Emissions
(SSP1-2.6)",Jul,End-of-Century (2070-2099),24.007,2.141,16.759,Phillips County,above90
"Moderating Emissions
(SSP1-2.6)",Jul,Mid Century (2040-2069),24.926,6.774,15.222,Phillips County,above90
"Moderating Emissions
(SSP1-2.6)",Jun,End-of-Century (2070-2099),7.693,0.052,2.833,Phillips County,above90
"Moderating Emissions
(SSP1-2.6)",Jun,Mid Century (2040-2069),11.493,0.033,3.889,Phillips County,above90
"Moderating Emissions
(SSP1-2.6)",Mar,End-of-Century (2070-2099),0,0,0,Phillips County,above90
"Moderating Emissions
(SSP1-2.6)",Mar,Mid Century (2040-2069),0,0,0,Phillips County,above90
"Moderating Emissions
(SSP1-2.6)",May,End-of-Century (2070-2099),3.393,0,0,Phillips County,above90
"Moderating Emissions
(SSP1-2.6)",May,Mid Century (2040-2069),2.822,0,0,Phillips County,above90
"Moderating Emissions
(SSP1-2.6)",Nov,End-of-Century (2070-2099),0,0,0,Phillips County,above90
"Moderating Emissions
(SSP1-2.6)",Nov,Mid Century (2040-2069),0,0,0,Phillips County,above90
"Moderating Emissions
(SSP1-2.6)",Oct,End-of-Century (2070-2099),1.056,0,0,Phillips County,above90
"Moderating Emissions
(SSP1-2.6)",Oct,Mid Century (2040-2069),2.111,0,0,Phillips County,above90
"Moderating Emissions
(SSP1-2.6)",Sep,End-of-Century (2070-2099),10.748,0,3.519,Phillips County,above90
"Moderating Emissions
(SSP1-2.6)",Sep,Mid Century (2040-2069),10.47,0.07,3.611,Phillips County,above90
"Middle of the Road
(SSP2-4.5)",Apr,End-of-Century (2070-2099),0,0,0,Phillips County,above90
"Middle of the Road
(SSP2-4.5)",Apr,Mid Century (2040-2069),0,0,0,Phillips County,above90
"Middle of the Road
(SSP2-4.5)",Aug,End-of-Century (2070-2099),28.152,10.559,21.593,Phillips County,above90
"Middle of the Road
(SSP2-4.5)",Aug,Mid Century (2040-2069),25.489,8.252,18.537,Phillips County,above90
"Middle of the Road
(SSP2-4.5)",Dec,End-of-Century (2070-2099),0,0,0,Phillips County,above90
"Middle of the Road
(SSP2-4.5)",Dec,Mid Century (2040-2069),0,0,0,Phillips County,above90
"Middle of the Road
(SSP2-4.5)",Feb,End-of-Century (2070-2099),0,0,0,Phillips County,above90
"Middle of the Road
(SSP2-4.5)",Feb,Mid Century (2040-2069),0,0,0,Phillips County,above90
"Middle of the Road
(SSP2-4.5)",Jan,End-of-Century (2070-2099),0,0,0,Phillips County,above90
"Middle of the Road
(SSP2-4.5)",Jan,Mid Century (2040-2069),0,0,0,Phillips County,above90
"Middle of the Road
(SSP2-4.5)",Jul,End-of-Century (2070-2099),28.585,11.522,22.833,Phillips County,above90
"Middle of the Road
(SSP2-4.5)",Jul,Mid Century (2040-2069),27.152,8.53,17.5,Phillips County,above90
"Middle of the Road
(SSP2-4.5)",Jun,End-of-Century (2070-2099),14.178,0.759,6.5,Phillips County,above90
"Middle of the Road
(SSP2-4.5)",Jun,Mid Century (2040-2069),12.607,0.289,4.889,Phillips County,above90
"Middle of the Road
(SSP2-4.5)",Mar,End-of-Century (2070-2099),0,0,0,Phillips County,above90
"Middle of the Road
(SSP2-4.5)",Mar,Mid Century (2040-2069),0,0,0,Phillips County,above90
"Middle of the Road
(SSP2-4.5)",May,End-of-Century (2070-2099),2.126,0,0,Phillips County,above90
"Middle of the Road
(SSP2-4.5)",May,Mid Century (2040-2069),4.041,0,0,Phillips County,above90
"Middle of the Road
(SSP2-4.5)",Nov,End-of-Century (2070-2099),0,0,0,Phillips County,above90
"Middle of the Road
(SSP2-4.5)",Nov,Mid Century (2040-2069),0,0,0,Phillips County,above90
"Middle of the Road
(SSP2-4.5)",Oct,End-of-Century (2070-2099),3.211,0,0.148,Phillips County,above90
"Middle of the Road
(SSP2-4.5)",Oct,Mid Century (2040-2069),2.963,0,0,Phillips County,above90
"Middle of the Road
(SSP2-4.5)",Sep,End-of-Century (2070-2099),13.507,0.674,5.278,Phillips County,above90
"Middle of the Road
(SSP2-4.5)",Sep,Mid Century (2040-2069),12.122,0.111,4.037,Phillips County,above90
"High Emissions
(SSP3-7.0)",Apr,End-of-Century (2070-2099),0,0,0,Phillips County,above90
"High Emissions
(SSP3-7.0)",Apr,Mid Century (2040-2069),0,0,0,Phillips County,above90
"High Emissions
(SSP3-7.0)",Aug,End-of-Century (2070-2099),30.974,19.656,28.63,Phillips County,above90
"High Emissions
(SSP3-7.0)",Aug,Mid Century (2040-2069),27.174,9.704,19.889,Phillips County,above90
