year,scenario,upper,lower,value,location,variable
1950,Historical Emissions,21.44,4.04,9.667,Sanders County,above90
1951,Historical Emissions,29.547,3.053,12.133,Sanders County,above90
1952,Historical Emissions,20.12,2.147,9.333,Sanders County,above90
1953,Historical Emissions,16.467,7.493,10.333,Sanders County,above90
1954,Historical Emissions,23.653,4.693,9,Sanders County,above90
1955,Historical Emissions,18.173,5.4,9.2,Sanders County,above90
1956,Historical Emissions,36.027,2.133,8.133,Sanders County,above90
1957,Historical Emissions,22.733,6.4,8.8,Sanders County,above90
1958,Historical Emissions,21.333,3.787,15.267,Sanders County,above90
1959,Historical Emissions,12.24,1.893,6.6,Sanders County,above90
1960,Historical Emissions,20.093,2.88,5.467,Sanders County,above90
1961,Historical Emissions,16.28,1.2,9.267,Sanders County,above90
1962,Historical Emissions,26.28,4.76,9.133,Sanders County,above90
1963,Historical Emissions,15.133,1.973,6.467,Sanders County,above90
1964,Historical Emissions,18.16,3.827,9.2,Sanders County,above90
1965,Historical Emissions,15.16,3.04,6.067,Sanders County,above90
1966,Historical Emissions,20.373,2.693,7.333,Sanders County,above90
1967,Historical Emissions,13.853,3.96,7.4,Sanders County,above90
1968,Historical Emissions,12.293,3.12,6.933,Sanders County,above90
1969,Historical Emissions,10.173,5.48,8.2,Sanders County,above90
1970,Historical Emissions,9.64,2.627,4.667,Sanders County,above90
1971,Historical Emissions,23.413,4.267,7.6,Sanders County,above90
1972,Historical Emissions,14.373,2.827,8.533,Sanders County,above90
1973,Historical Emissions,25.36,4.4,10.6,Sanders County,above90
1974,Historical Emissions,13.787,3.107,7.2,Sanders County,above90
1975,Historical Emissions,16.627,4.267,9.667,Sanders County,above90
1976,Historical Emissions,17.107,1.747,5,Sanders County,above90
1977,Historical Emissions,13.573,0.547,4.467,Sanders County,above90
1978,Historical Emissions,11.453,4.88,9.2,Sanders County,above90
1979,Historical Emissions,16.413,2.867,11.667,Sanders County,above90
1980,Historical Emissions,11.547,4.747,9.8,Sanders County,above90
