scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Apr,Mid Century (2040-2069),0,0,0,Wheatland County,above90
Historical Emissions,Aug,Mid Century (2040-2069),14.317,0.5,5.583,Wheatland County,above90
Historical Emissions,Dec,Mid Century (2040-2069),0,0,0,Wheatland County,above90
Historical Emissions,Feb,Mid Century (2040-2069),0,0,0,Wheatland County,above90
Historical Emissions,Jan,Mid Century (2040-2069),0,0,0,Wheatland County,above90
Historical Emissions,Jul,Mid Century (2040-2069),15.967,0.85,7,Wheatland County,above90
Historical Emissions,Jun,Mid Century (2040-2069),5.167,0,0.833,Wheatland County,above90
Historical Emissions,Mar,Mid Century (2040-2069),0,0,0,Wheatland County,above90
Historical Emissions,May,Mid Century (2040-2069),0.317,0,0,Wheatland County,above90
Historical Emissions,Nov,Mid Century (2040-2069),0,0,0,Wheatland County,above90
Historical Emissions,Oct,Mid Century (2040-2069),0,0,0,Wheatland County,above90
Historical Emissions,Sep,Mid Century (2040-2069),3,0,0,Wheatland County,above90
Historical Emissions,Apr,End-of-Century (2070-2099),0,0,0,Wheatland County,above90
Historical Emissions,Aug,End-of-Century (2070-2099),14.317,0.5,5.583,Wheatland County,above90
Historical Emissions,Dec,End-of-Century (2070-2099),0,0,0,Wheatland County,above90
Historical Emissions,Feb,End-of-Century (2070-2099),0,0,0,Wheatland County,above90
Historical Emissions,Jan,End-of-Century (2070-2099),0,0,0,Wheatland County,above90
Historical Emissions,Jul,End-of-Century (2070-2099),15.967,0.85,7,Wheatland County,above90
Historical Emissions,Jun,End-of-Century (2070-2099),5.167,0,0.833,Wheatland County,above90
Historical Emissions,Mar,End-of-Century (2070-2099),0,0,0,Wheatland County,above90
Historical Emissions,May,End-of-Century (2070-2099),0.317,0,0,Wheatland County,above90
Historical Emissions,Nov,End-of-Century (2070-2099),0,0,0,Wheatland County,above90
Historical Emissions,Oct,End-of-Century (2070-2099),0,0,0,Wheatland County,above90
Historical Emissions,Sep,End-of-Century (2070-2099),3,0,0,Wheatland County,above90
"Moderating Emissions
(SSP1-2.6)",Apr,End-of-Century (2070-2099),0,0,0,Wheatland County,above90
"Moderating Emissions
(SSP1-2.6)",Apr,Mid Century (2040-2069),0,0,0,Wheatland County,above90
"Moderating Emissions
(SSP1-2.6)",Aug,End-of-Century (2070-2099),20.183,4.867,13.583,Wheatland County,above90
"Moderating Emissions
(SSP1-2.6)",Aug,Mid Century (2040-2069),20.7,3.15,10.75,Wheatland County,above90
"Moderating Emissions
(SSP1-2.6)",Dec,End-of-Century (2070-2099),0,0,0,Wheatland County,above90
"Moderating Emissions
(SSP1-2.6)",Dec,Mid Century (2040-2069),0,0,0,Wheatland County,above90
"Moderating Emissions
(SSP1-2.6)",Feb,End-of-Century (2070-2099),0,0,0,Wheatland County,above90
"Moderating Emissions
(SSP1-2.6)",Feb,Mid Century (2040-2069),0,0,0,Wheatland County,above90
"Moderating Emissions
(SSP1-2.6)",Jan,End-of-Century (2070-2099),0,0,0,Wheatland County,above90
"Moderating Emissions
(SSP1-2.6)",Jan,Mid Century (2040-2069),0,0,0,Wheatland County,above90
"Moderating Emissions
(SSP1-2.6)",Jul,End-of-Century (2070-2099),22.65,3.183,13.917,Wheatland County,above90
"Moderating Emissions
(SSP1-2.6)",Jul,Mid Century (2040-2069),22.35,3.483,12.25,Wheatland County,above90
"Moderating Emissions
(SSP1-2.6)",Jun,End-of-Century (2070-2099),5.817,0,1.417,Wheatland County,above90
"Moderating Emissions
(SSP1-2.6)",Jun,Mid Century (2040-2069),8.217,0,2.333,Wheatland County,above90
"Moderating Emissions
(SSP1-2.6)",Mar,End-of-Century (2070-2099),0,0,0,Wheatland County,above90
"Moderating Emissions
(SSP1-2.6)",Mar,Mid Century (2040-2069),0,0,0,Wheatland County,above90
"Moderating Emissions
(SSP1-2.6)",May,End-of-Century (2070-2099),0.867,0,0,Wheatland County,above90
"Moderating Emissions
(SSP1-2.6)",May,Mid Century (2040-2069),1.167,0,0,Wheatland County,above90
"Moderating Emissions
(SSP1-2.6)",Nov,End-of-Century (2070-2099),0,0,0,Wheatland County,above90
"Moderating Emissions
(SSP1-2.6)",Nov,Mid Century (2040-2069),0,0,0,Wheatland County,above90
"Moderating Emissions
(SSP1-2.6)",Oct,End-of-Century (2070-2099),0.3,0,0,Wheatland County,above90
"Moderating Emissions
(SSP1-2.6)",Oct,Mid Century (2040-2069),0.333,0,0,Wheatland County,above90
"Moderating Emissions
(SSP1-2.6)",Sep,End-of-Century (2070-2099),5.45,0,1,Wheatland County,above90
"Moderating Emissions
(SSP1-2.6)",Sep,Mid Century (2040-2069),6.5,0,1.167,Wheatland County,above90
"Middle of the Road
(SSP2-4.5)",Apr,End-of-Century (2070-2099),0,0,0,Wheatland County,above90
"Middle of the Road
(SSP2-4.5)",Apr,Mid Century (2040-2069),0,0,0,Wheatland County,above90
"Middle of the Road
(SSP2-4.5)",Aug,End-of-Century (2070-2099),27.667,6.517,16.083,Wheatland County,above90
"Middle of the Road
(SSP2-4.5)",Aug,Mid Century (2040-2069),23.333,4,13.083,Wheatland County,above90
"Middle of the Road
(SSP2-4.5)",Dec,End-of-Century (2070-2099),0,0,0,Wheatland County,above90
"Middle of the Road
(SSP2-4.5)",Dec,Mid Century (2040-2069),0,0,0,Wheatland County,above90
"Middle of the Road
(SSP2-4.5)",Feb,End-of-Century (2070-2099),0,0,0,Wheatland County,above90
"Middle of the Road
(SSP2-4.5)",Feb,Mid Century (2040-2069),0,0,0,Wheatland County,above90
"Middle of the Road
(SSP2-4.5)",Jan,End-of-Century (2070-2099),0,0,0,Wheatland County,above90
"Middle of the Road
(SSP2-4.5)",Jan,Mid Century (2040-2069),0,0,0,Wheatland County,above90
"Middle of the Road
(SSP2-4.5)",Jul,End-of-Century (2070-2099),27.067,11.067,19.083,Wheatland County,above90
"Middle of the Road
(SSP2-4.5)",Jul,Mid Century (2040-2069),24.35,4.5,14.5,Wheatland County,above90
"Middle of the Road
(SSP2-4.5)",Jun,End-of-Century (2070-2099),9.7,0.733,4.167,Wheatland County,above90
"Middle of the Road
(SSP2-4.5)",Jun,Mid Century (2040-2069),9,0,2.833,Wheatland County,above90
"Middle of the Road
(SSP2-4.5)",Mar,End-of-Century (2070-2099),0,0,0,Wheatland County,above90
"Middle of the Road
(SSP2-4.5)",Mar,Mid Century (2040-2069),0,0,0,Wheatland County,above90
"Middle of the Road
(SSP2-4.5)",May,End-of-Century (2070-2099),2.033,0,0,Wheatland County,above90
"Middle of the Road
(SSP2-4.5)",May,Mid Century (2040-2069),1.667,0,0,Wheatland County,above90
"Middle of the Road
(SSP2-4.5)",Nov,End-of-Century (2070-2099),0,0,0,Wheatland County,above90
"Middle of the Road
(SSP2-4.5)",Nov,Mid Century (2040-2069),0,0,0,Wheatland County,above90
"Middle of the Road
(SSP2-4.5)",Oct,End-of-Century (2070-2099),2.333,0,0,Wheatland County,above90
"Middle of the Road
(SSP2-4.5)",Oct,Mid Century (2040-2069),1.333,0,0,Wheatland County,above90
"Middle of the Road
(SSP2-4.5)",Sep,End-of-Century (2070-2099),14.233,0.117,2.417,Wheatland County,above90
"Middle of the Road
(SSP2-4.5)",Sep,Mid Century (2040-2069),7.35,0,1.667,Wheatland County,above90
"High Emissions
(SSP3-7.0)",Apr,End-of-Century (2070-2099),0,0,0,Wheatland County,above90
"High Emissions
(SSP3-7.0)",Apr,Mid Century (2040-2069),0,0,0,Wheatland County,above90
"High Emissions
(SSP3-7.0)",Aug,End-of-Century (2070-2099),30.317,17.95,25.5,Wheatland County,above90
"High Emissions
(SSP3-7.0)",Aug,Mid Century (2040-2069),24,5.65,15.333,Wheatland County,above90
"High Emissions
(SSP3-7.0)",Dec,End-of-Century (2070-2099),0,0,0,Wheatland County,above90
"High Emissions
(SSP3-7.0)",Dec,Mid Century (2040-2069),0,0,0,Wheatland County,above90
"High Emissions
(SSP3-7.0)",Feb,End-of-Century (2070-2099),0,0,0,Wheatland County,above90
"High Emissions
(SSP3-7.0)",Feb,Mid Century (2040-2069),0,0,0,Wheatland County,above90
"High Emissions
(SSP3-7.0)",Jan,End-of-Century (2070-2099),0,0,0,Wheatland County,above90
"High Emissions
(SSP3-7.0)",Jan,Mid Century (2040-2069),0,0,0,Wheatland County,above90
"High Emissions
(SSP3-7.0)",Jul,End-of-Century (2070-2099),29.317,16.483,25.167,Wheatland County,above90
"High Emissions
(SSP3-7.0)",Jul,Mid Century (2040-2069),24.5,5.483,14.833,Wheatland County,above90
"High Emissions
(SSP3-7.0)",Jun,End-of-Century (2070-2099),15.467,2.833,6.667,Wheatland County,above90
"High Emissions
(SSP3-7.0)",Jun,Mid Century (2040-2069),9.017,0,3,Wheatland County,above90
"High Emissions
(SSP3-7.0)",Mar,End-of-Century (2070-2099),0,0,0,Wheatland County,above90
"High Emissions
(SSP3-7.0)",Mar,Mid Century (2040-2069),0,0,0,Wheatland County,above90
"High Emissions
(SSP3-7.0)",May,End-of-Century (2070-2099),5.283,0,0.25,Wheatland County,above90
"High Emissions
(SSP3-7.0)",May,Mid Century (2040-2069),1.35,0,0,Wheatland County,above90
"High Emissions
(SSP3-7.0)",Nov,End-of-Century (2070-2099),0,0,0,Wheatland County,above90
"High Emissions
(SSP3-7.0)",Nov,Mid Century (2040-2069),0,0,0,Wheatland County,above90
"High Emissions
(SSP3-7.0)",Oct,End-of-Century (2070-2099),3.3,0,0.5,Wheatland County,above90
"High Emissions
(SSP3-7.0)",Oct,Mid Century (2040-2069),1.017,0,0,Wheatland County,above90
"High Emissions
(SSP3-7.0)",Sep,End-of-Century (2070-2099),20.7,1.333,10.917,Wheatland County,above90
"High Emissions
(SSP3-7.0)",Sep,Mid Century (2040-2069),8.667,0,2.167,Wheatland County,above90
