scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Apr,Mid Century (2040-2069),0,0,0,Beaverhead,above90
Historical Emissions,Aug,Mid Century (2040-2069),10.75,1.25,5.25,Beaverhead,above90
Historical Emissions,Dec,Mid Century (2040-2069),0,0,0,Beaverhead,above90
Historical Emissions,Feb,Mid Century (2040-2069),0,0,0,Beaverhead,above90
Historical Emissions,Jan,Mid Century (2040-2069),0,0,0,Beaverhead,above90
Historical Emissions,Jul,Mid Century (2040-2069),13.488,1.75,6.5,Beaverhead,above90
Historical Emissions,Jun,Mid Century (2040-2069),4.375,0,1.062,Beaverhead,above90
Historical Emissions,Mar,Mid Century (2040-2069),0,0,0,Beaverhead,above90
Historical Emissions,May,Mid Century (2040-2069),1.363,0,0,Beaverhead,above90
Historical Emissions,Nov,Mid Century (2040-2069),0,0,0,Beaverhead,above90
Historical Emissions,Oct,Mid Century (2040-2069),0.125,0,0,Beaverhead,above90
Historical Emissions,Sep,Mid Century (2040-2069),2.625,0,0.375,Beaverhead,above90
Historical Emissions,Apr,End-of-Century (2070-2099),0,0,0,Beaverhead,above90
Historical Emissions,Aug,End-of-Century (2070-2099),10.75,1.25,5.25,Beaverhead,above90
Historical Emissions,Dec,End-of-Century (2070-2099),0,0,0,Beaverhead,above90
Historical Emissions,Feb,End-of-Century (2070-2099),0,0,0,Beaverhead,above90
Historical Emissions,Jan,End-of-Century (2070-2099),0,0,0,Beaverhead,above90
Historical Emissions,Jul,End-of-Century (2070-2099),13.488,1.75,6.5,Beaverhead,above90
Historical Emissions,Jun,End-of-Century (2070-2099),4.375,0,1.062,Beaverhead,above90
Historical Emissions,Mar,End-of-Century (2070-2099),0,0,0,Beaverhead,above90
Historical Emissions,May,End-of-Century (2070-2099),1.363,0,0,Beaverhead,above90
Historical Emissions,Nov,End-of-Century (2070-2099),0,0,0,Beaverhead,above90
Historical Emissions,Oct,End-of-Century (2070-2099),0.125,0,0,Beaverhead,above90
Historical Emissions,Sep,End-of-Century (2070-2099),2.625,0,0.375,Beaverhead,above90
"Moderating Emissions
(SSP1-2.6)",Apr,End-of-Century (2070-2099),0,0,0,Beaverhead,above90
"Moderating Emissions
(SSP1-2.6)",Apr,Mid Century (2040-2069),0,0,0,Beaverhead,above90
"Moderating Emissions
(SSP1-2.6)",Aug,End-of-Century (2070-2099),15.925,3.35,9.875,Beaverhead,above90
"Moderating Emissions
(SSP1-2.6)",Aug,Mid Century (2040-2069),16.75,4.375,9.875,Beaverhead,above90
"Moderating Emissions
(SSP1-2.6)",Dec,End-of-Century (2070-2099),0,0,0,Beaverhead,above90
"Moderating Emissions
(SSP1-2.6)",Dec,Mid Century (2040-2069),0,0,0,Beaverhead,above90
"Moderating Emissions
(SSP1-2.6)",Feb,End-of-Century (2070-2099),0,0,0,Beaverhead,above90
"Moderating Emissions
(SSP1-2.6)",Feb,Mid Century (2040-2069),0,0,0,Beaverhead,above90
"Moderating Emissions
(SSP1-2.6)",Jan,End-of-Century (2070-2099),0,0,0,Beaverhead,above90
"Moderating Emissions
(SSP1-2.6)",Jan,Mid Century (2040-2069),0,0,0,Beaverhead,above90
"Moderating Emissions
(SSP1-2.6)",Jul,End-of-Century (2070-2099),19.288,3.913,11.125,Beaverhead,above90
"Moderating Emissions
(SSP1-2.6)",Jul,Mid Century (2040-2069),19.137,4,10.875,Beaverhead,above90
"Moderating Emissions
(SSP1-2.6)",Jun,End-of-Century (2070-2099),5.613,0.088,1.25,Beaverhead,above90
"Moderating Emissions
(SSP1-2.6)",Jun,Mid Century (2040-2069),8.25,0,2.375,Beaverhead,above90
"Moderating Emissions
(SSP1-2.6)",Mar,End-of-Century (2070-2099),0,0,0,Beaverhead,above90
"Moderating Emissions
(SSP1-2.6)",Mar,Mid Century (2040-2069),0,0,0,Beaverhead,above90
"Moderating Emissions
(SSP1-2.6)",May,End-of-Century (2070-2099),2.575,0,0.125,Beaverhead,above90
"Moderating Emissions
(SSP1-2.6)",May,Mid Century (2040-2069),2.125,0,0.25,Beaverhead,above90
"Moderating Emissions
(SSP1-2.6)",Nov,End-of-Century (2070-2099),0,0,0,Beaverhead,above90
"Moderating Emissions
(SSP1-2.6)",Nov,Mid Century (2040-2069),0,0,0,Beaverhead,above90
"Moderating Emissions
(SSP1-2.6)",Oct,End-of-Century (2070-2099),0.55,0,0,Beaverhead,above90
"Moderating Emissions
(SSP1-2.6)",Oct,Mid Century (2040-2069),0.875,0,0,Beaverhead,above90
"Moderating Emissions
(SSP1-2.6)",Sep,End-of-Century (2070-2099),5.2,0.175,1.188,Beaverhead,above90
"Moderating Emissions
(SSP1-2.6)",Sep,Mid Century (2040-2069),6,0,1.5,Beaverhead,above90
"Middle of the Road
(SSP2-4.5)",Apr,End-of-Century (2070-2099),0.613,0,0,Beaverhead,above90
"Middle of the Road
(SSP2-4.5)",Apr,Mid Century (2040-2069),0,0,0,Beaverhead,above90
"Middle of the Road
(SSP2-4.5)",Aug,End-of-Century (2070-2099),22.2,6.162,11.75,Beaverhead,above90
"Middle of the Road
(SSP2-4.5)",Aug,Mid Century (2040-2069),20.012,4.238,10.75,Beaverhead,above90
"Middle of the Road
(SSP2-4.5)",Dec,End-of-Century (2070-2099),0,0,0,Beaverhead,above90
"Middle of the Road
(SSP2-4.5)",Dec,Mid Century (2040-2069),0,0,0,Beaverhead,above90
"Middle of the Road
(SSP2-4.5)",Feb,End-of-Century (2070-2099),0,0,0,Beaverhead,above90
"Middle of the Road
(SSP2-4.5)",Feb,Mid Century (2040-2069),0,0,0,Beaverhead,above90
"Middle of the Road
(SSP2-4.5)",Jan,End-of-Century (2070-2099),0,0,0,Beaverhead,above90
"Middle of the Road
(SSP2-4.5)",Jan,Mid Century (2040-2069),0,0,0,Beaverhead,above90
"Middle of the Road
(SSP2-4.5)",Jul,End-of-Century (2070-2099),24.413,8.613,16.938,Beaverhead,above90
"Middle of the Road
(SSP2-4.5)",Jul,Mid Century (2040-2069),22.25,4.363,12.438,Beaverhead,above90
"Middle of the Road
(SSP2-4.5)",Jun,End-of-Century (2070-2099),9.075,1.462,3.5,Beaverhead,above90
"Middle of the Road
(SSP2-4.5)",Jun,Mid Century (2040-2069),8.125,0.25,2.75,Beaverhead,above90
"Middle of the Road
(SSP2-4.5)",Mar,End-of-Century (2070-2099),0,0,0,Beaverhead,above90
"Middle of the Road
(SSP2-4.5)",Mar,Mid Century (2040-2069),0,0,0,Beaverhead,above90
"Middle of the Road
(SSP2-4.5)",May,End-of-Century (2070-2099),2.875,0,0.25,Beaverhead,above90
"Middle of the Road
(SSP2-4.5)",May,Mid Century (2040-2069),2.5,0,0.125,Beaverhead,above90
"Middle of the Road
(SSP2-4.5)",Nov,End-of-Century (2070-2099),0,0,0,Beaverhead,above90
"Middle of the Road
(SSP2-4.5)",Nov,Mid Century (2040-2069),0,0,0,Beaverhead,above90
"Middle of the Road
(SSP2-4.5)",Oct,End-of-Century (2070-2099),3.9,0,0,Beaverhead,above90
