year,scenario,upper,lower,value,location,variable
1950,Historical Emissions,32.466,9.666,20.333,Battle,above90
1951,Historical Emissions,35.266,11.133,19.333,Battle,above90
1952,Historical Emissions,34.266,3.8,17,Battle,above90
1953,Historical Emissions,28.333,7.2,13.333,Battle,above90
1954,Historical Emissions,25.266,0.266,8.666,Battle,above90
1955,Historical Emissions,31.666,7.333,12,Battle,above90
1956,Historical Emissions,48.467,6.334,16.334,Battle,above90
1957,Historical Emissions,40.667,8.267,14.333,Battle,above90
1958,Historical Emissions,32.266,1.399,14.334,Battle,above90
1959,Historical Emissions,17.133,0.534,14.333,Battle,above90
1960,Historical Emissions,32.2,2.933,8.333,Battle,above90
1961,Historical Emissions,28.333,4.534,11.333,Battle,above90
1962,Historical Emissions,30.267,4.667,13.333,Battle,above90
1963,Historical Emissions,16.133,0.266,8.666,Battle,above90
1964,Historical Emissions,29.133,7.466,20.666,Battle,above90
1965,Historical Emissions,21.266,7.8,12.333,Battle,above90
1966,Historical Emissions,39.067,3.934,10.667,Battle,above90
1967,Historical Emissions,25.067,6,12.666,Battle,above90
1968,Historical Emissions,12.667,2.867,10.333,Battle,above90
1969,Historical Emissions,28.533,4.8,21.667,Battle,above90
1970,Historical Emissions,18.267,2.667,11.333,Battle,above90
1971,Historical Emissions,24.733,4.866,15.666,Battle,above90
1972,Historical Emissions,21.8,4.733,14,Battle,above90
1973,Historical Emissions,40.2,5.999,15,Battle,above90
1974,Historical Emissions,19.933,4.8,12,Battle,above90
1975,Historical Emissions,23.601,5.4,12.667,Battle,above90
1976,Historical Emissions,24.066,2.733,10,Battle,above90
1977,Historical Emissions,22.934,1.266,10,Battle,above90
1978,Historical Emissions,24,4.667,10.999,Battle,above90
1979,Historical Emissions,20.867,4.866,12.332,Battle,above90
1980,Historical Emissions,18.4,7.067,14.666,Battle,above90
1981,Historical Emissions,27.066,3.734,13.334,Battle,above90
1982,Historical Emissions,26.6,2.867,18.334,Battle,above90
1983,Historical Emissions,21.6,5,10.334,Battle,above90
1984,Historical Emissions,19.6,2.867,8.667,Battle,above90
1985,Historical Emissions,30,3.867,11.333,Battle,above90
1986,Historical Emissions,26.533,1.6,16,Battle,above90
1987,Historical Emissions,37.467,6.066,12.667,Battle,above90
1988,Historical Emissions,31.333,2.533,11,Battle,above90
1989,Historical Emissions,25.933,3,14.999,Battle,above90
1990,Historical Emissions,39,6.666,22,Battle,above90
1991,Historical Emissions,26.4,2.534,8.667,Battle,above90
1992,Historical Emissions,29.267,1.133,9.667,Battle,above90
1993,Historical Emissions,22.4,6.6,8,Battle,above90
1994,Historical Emissions,31.6,6.134,15.666,Battle,above90
1995,Historical Emissions,35,9,24.334,Battle,above90
1996,Historical Emissions,53.199,13.4,29,Battle,above90
1997,Historical Emissions,30.933,10.801,21.667,Battle,above90
1998,Historical Emissions,26.667,8.266,15.667,Battle,above90
1999,Historical Emissions,24.533,8.867,13.667,Battle,above90
2000,Historical Emissions,35.867,6.6,27,Battle,above90
2001,Historical Emissions,32.134,12.2,25.001,Battle,above90
2002,Historical Emissions,36.4,9.933,17,Battle,above90
2003,Historical Emissions,42.067,17.734,27.999,Battle,above90
2004,Historical Emissions,39.734,13.267,26,Battle,above90
2005,Historical Emissions,51.4,11.267,19,Battle,above90
2006,Historical Emissions,38.2,9.6,24.334,Battle,above90
2007,Historical Emissions,27.334,14.001,22.667,Battle,above90
2008,Historical Emissions,49,9.801,16.665,Battle,above90
2009,Historical Emissions,35.134,7,19.667,Battle,above90
2010,Historical Emissions,34.133,11.132,21.667,Battle,above90
2011,Historical Emissions,27.267,10.6,23.334,Battle,above90
2012,Historical Emissions,43.534,23.399,34.667,Battle,above90
2013,Historical Emissions,62.867,11.733,33.333,Battle,above90
2014,Historical Emissions,57,14.267,21.333,Battle,above90
2015,"Moderating Emissions
(SSP1-2.6)",49.4,13.733,25,Battle,above90
2015,"Middle of the Road
(SSP2-4.5)",52.6,16.933,36.333,Battle,above90
2015,"High Emissions
(SSP3-7.0)",41.8,19.2,31.667,Battle,above90
2015,"Accelerating Emissions
(SSP5-8.5)",46.467,27,31.333,Battle,above90
2016,"Moderating Emissions
(SSP1-2.6)",53.467,17.867,31.333,Battle,above90
2016,"Middle of the Road
(SSP2-4.5)",34.4,8.399,27.666,Battle,above90
2016,"High Emissions
(SSP3-7.0)",55.2,17.267,29,Battle,above90
2016,"Accelerating Emissions
(SSP5-8.5)",34.266,17.266,22.666,Battle,above90
2017,"Moderating Emissions
(SSP1-2.6)",51.2,16.399,26,Battle,above90
2017,"Middle of the Road
(SSP2-4.5)",41.866,9.066,25,Battle,above90
2017,"High Emissions
(SSP3-7.0)",36.2,7.533,27.666,Battle,above90
2017,"Accelerating Emissions
(SSP5-8.5)",40.4,13.6,27.666,Battle,above90
2018,"Moderating Emissions
(SSP1-2.6)",49.2,20.8,34.667,Battle,above90
2018,"Middle of the Road
(SSP2-4.5)",36.666,15.733,25.667,Battle,above90
2018,"High Emissions
(SSP3-7.0)",43,12.267,21,Battle,above90
2018,"Accelerating Emissions
(SSP5-8.5)",51.4,9.733,20.334,Battle,above90
2019,"Moderating Emissions
(SSP1-2.6)",66.267,25.667,36.667,Battle,above90
2019,"Middle of the Road
(SSP2-4.5)",39.533,22.933,29.666,Battle,above90
2019,"High Emissions
(SSP3-7.0)",33.534,9.733,25,Battle,above90
2019,"Accelerating Emissions
(SSP5-8.5)",65.933,18.6,30.666,Battle,above90
2020,"Moderating Emissions
(SSP1-2.6)",65.867,12.666,40.667,Battle,above90
2020,"Middle of the Road
(SSP2-4.5)",36,12.133,23.666,Battle,above90
2020,"High Emissions
(SSP3-7.0)",45.133,8.267,23,Battle,above90
2020,"Accelerating Emissions
(SSP5-8.5)",47.066,20.8,32,Battle,above90
2021,"Moderating Emissions
(SSP1-2.6)",58.867,25.067,40,Battle,above90
2021,"Middle of the Road
(SSP2-4.5)",63.334,4.933,37.666,Battle,above90
2021,"High Emissions
(SSP3-7.0)",54.2,16.066,32.334,Battle,above90
2021,"Accelerating Emissions
(SSP5-8.5)",55.933,13.267,23.333,Battle,above90
2022,"Moderating Emissions
(SSP1-2.6)",37.133,13.866,32,Battle,above90
2022,"Middle of the Road
(SSP2-4.5)",51.934,11.867,35.667,Battle,above90
2022,"High Emissions
(SSP3-7.0)",37.132,11.067,24.999,Battle,above90
2022,"Accelerating Emissions
(SSP5-8.5)",55.934,15.266,28,Battle,above90
2023,"Moderating Emissions
(SSP1-2.6)",35.934,14.867,26.667,Battle,above90
2023,"Middle of the Road
(SSP2-4.5)",43.401,18.133,24.666,Battle,above90
2023,"High Emissions
(SSP3-7.0)",57.666,20.4,29.333,Battle,above90
2023,"Accelerating Emissions
(SSP5-8.5)",44.066,10.466,19.001,Battle,above90
2024,"Moderating Emissions
(SSP1-2.6)",54.999,14.534,30.999,Battle,above90
2024,"Middle of the Road
(SSP2-4.5)",51,18.267,31.001,Battle,above90
2024,"High Emissions
(SSP3-7.0)",50.867,23.667,35.666,Battle,above90
2024,"Accelerating Emissions
(SSP5-8.5)",37.399,12.267,24.334,Battle,above90
2025,"Moderating Emissions
(SSP1-2.6)",53.334,22.867,44.333,Battle,above90
2025,"Middle of the Road
(SSP2-4.5)",42.534,3.8,17.333,Battle,above90
2025,"High Emissions
(SSP3-7.0)",53.532,26.067,32.333,Battle,above90
2025,"Accelerating Emissions
(SSP5-8.5)",53.934,18.467,32.333,Battle,above90
2026,"Moderating Emissions
(SSP1-2.6)",49.733,16,20.666,Battle,above90
2026,"Middle of the Road
(SSP2-4.5)",57.867,7.333,24.667,Battle,above90
2026,"High Emissions
(SSP3-7.0)",42,9.466,27,Battle,above90
2026,"Accelerating Emissions
(SSP5-8.5)",63.4,18.2,29.667,Battle,above90
2027,"Moderating Emissions
(SSP1-2.6)",61.2,16.133,30.667,Battle,above90
2027,"Middle of the Road
(SSP2-4.5)",52.533,9.2,21.667,Battle,above90
2027,"High Emissions
(SSP3-7.0)",46.267,20.2,35.667,Battle,above90
2027,"Accelerating Emissions
(SSP5-8.5)",59.733,27,36,Battle,above90
2028,"Moderating Emissions
(SSP1-2.6)",41.533,13.066,32.666,Battle,above90
2028,"Middle of the Road
(SSP2-4.5)",48.2,15.4,25.999,Battle,above90
2028,"High Emissions
(SSP3-7.0)",53.534,32.4,41,Battle,above90
2028,"Accelerating Emissions
(SSP5-8.5)",51.933,4.6,33,Battle,above90
2029,"Moderating Emissions
(SSP1-2.6)",64.067,16.2,33.666,Battle,above90
2029,"Middle of the Road
(SSP2-4.5)",57.067,8.333,18.667,Battle,above90
2029,"High Emissions
(SSP3-7.0)",51.066,14.134,25.333,Battle,above90
2029,"Accelerating Emissions
(SSP5-8.5)",58,18.133,30.999,Battle,above90
2030,"Moderating Emissions
(SSP1-2.6)",47.466,16.733,29.333,Battle,above90
2030,"Middle of the Road
(SSP2-4.5)",57.066,26.4,38.334,Battle,above90
2030,"High Emissions
(SSP3-7.0)",62.667,17.867,33.666,Battle,above90
2030,"Accelerating Emissions
(SSP5-8.5)",66.332,16.467,37,Battle,above90
2031,"Moderating Emissions
(SSP1-2.6)",45.867,21.334,41.667,Battle,above90
2031,"Middle of the Road
(SSP2-4.5)",46.134,17.667,32.666,Battle,above90
2031,"High Emissions
(SSP3-7.0)",62.6,19,39.001,Battle,above90
2031,"Accelerating Emissions
(SSP5-8.5)",56.4,23.267,29.333,Battle,above90
2032,"Moderating Emissions
(SSP1-2.6)",49.333,20.801,28.334,Battle,above90
2032,"Middle of the Road
(SSP2-4.5)",43.399,21.466,30.333,Battle,above90
2032,"High Emissions
(SSP3-7.0)",68,15.534,38,Battle,above90
2032,"Accelerating Emissions
(SSP5-8.5)",59.066,13.067,35.667,Battle,above90
2033,"Moderating Emissions
(SSP1-2.6)",48.8,20.2,41.667,Battle,above90
2033,"Middle of the Road
(SSP2-4.5)",65.933,17.933,49.334,Battle,above90
2033,"High Emissions
(SSP3-7.0)",65.866,14.867,37,Battle,above90
2033,"Accelerating Emissions
(SSP5-8.5)",55.534,22.333,46.334,Battle,above90
2034,"Moderating Emissions
(SSP1-2.6)",59.334,14.534,43.333,Battle,above90
2034,"Middle of the Road
(SSP2-4.5)",58.333,6.933,32.001,Battle,above90
2034,"High Emissions
(SSP3-7.0)",70.2,23.266,48.666,Battle,above90
2034,"Accelerating Emissions
(SSP5-8.5)",58.733,15,40.333,Battle,above90
2035,"Moderating Emissions
(SSP1-2.6)",57.2,25.599,43.334,Battle,above90
2035,"Middle of the Road
(SSP2-4.5)",53.001,7.534,31.667,Battle,above90
2035,"High Emissions
(SSP3-7.0)",51.199,21.4,32,Battle,above90
2035,"Accelerating Emissions
(SSP5-8.5)",42.866,16.134,33.333,Battle,above90
2036,"Moderating Emissions
(SSP1-2.6)",55.2,22.6,46,Battle,above90
2036,"Middle of the Road
(SSP2-4.5)",67,21.533,36.333,Battle,above90
2036,"High Emissions
(SSP3-7.0)",63.533,9.067,28.333,Battle,above90
2036,"Accelerating Emissions
(SSP5-8.5)",42,2.933,31.333,Battle,above90
2037,"Moderating Emissions
(SSP1-2.6)",58.866,16.533,44,Battle,above90
2037,"Middle of the Road
(SSP2-4.5)",44.466,26.999,31.333,Battle,above90
2037,"High Emissions
(SSP3-7.0)",45.333,7.933,15,Battle,above90
2037,"Accelerating Emissions
(SSP5-8.5)",58.2,11.8,36,Battle,above90
2038,"Moderating Emissions
(SSP1-2.6)",49.401,20.733,30,Battle,above90
2038,"Middle of the Road
(SSP2-4.5)",41.867,15.134,29,Battle,above90
2038,"High Emissions
(SSP3-7.0)",53.201,25.199,45.333,Battle,above90
2038,"Accelerating Emissions
(SSP5-8.5)",56.6,13.201,19.333,Battle,above90
2039,"Moderating Emissions
(SSP1-2.6)",63.6,17.734,29.667,Battle,above90
