year,scenario,upper,lower,value,location,variable
1950,Historical Emissions,22.5,5.233,12.5,Poplar,above90
1951,Historical Emissions,28.8,2.6,12.333,Poplar,above90
1952,Historical Emissions,24.566,5.466,16.334,Poplar,above90
1953,Historical Emissions,18.201,2.4,10.333,Poplar,above90
1954,Historical Emissions,16.6,0,8.5,Poplar,above90
1955,Historical Emissions,27.567,2.667,10.5,Poplar,above90
1956,Historical Emissions,39.767,7.433,13.666,Poplar,above90
1957,Historical Emissions,40.133,3.766,13.667,Poplar,above90
1958,Historical Emissions,25.233,0,7.667,Poplar,above90
1959,Historical Emissions,14.3,0,7.667,Poplar,above90
1960,Historical Emissions,28.233,3.367,4.667,Poplar,above90
1961,Historical Emissions,15.267,2.134,4.333,Poplar,above90
1962,Historical Emissions,17,2.734,10.5,Poplar,above90
1963,Historical Emissions,13.2,3.334,7.167,Poplar,above90
1964,Historical Emissions,27.633,0.534,14.334,Poplar,above90
1965,Historical Emissions,13.433,5.167,10.333,Poplar,above90
1966,Historical Emissions,32.201,1.333,9,Poplar,above90
1967,Historical Emissions,16.533,1.967,11.834,Poplar,above90
1968,Historical Emissions,14.133,2.934,7.834,Poplar,above90
1969,Historical Emissions,26.733,2.233,18.001,Poplar,above90
1970,Historical Emissions,14.434,2.134,6,Poplar,above90
1971,Historical Emissions,14.767,4.367,11.666,Poplar,above90
1972,Historical Emissions,19.366,2.634,13.667,Poplar,above90
1973,Historical Emissions,31.034,6.299,15,Poplar,above90
1974,Historical Emissions,10.699,4.133,7,Poplar,above90
1975,Historical Emissions,16.233,1.933,6.834,Poplar,above90
1976,Historical Emissions,12.734,0.934,8.333,Poplar,above90
1977,Historical Emissions,19.7,1.233,7.667,Poplar,above90
1978,Historical Emissions,19.534,2.267,7.5,Poplar,above90
1979,Historical Emissions,22.4,4.133,7.833,Poplar,above90
1980,Historical Emissions,16.867,4.666,9.667,Poplar,above90
1981,Historical Emissions,16.633,0.4,6.5,Poplar,above90
1982,Historical Emissions,17.634,4.333,10.167,Poplar,above90
1983,Historical Emissions,19.4,0.567,8,Poplar,above90
1984,Historical Emissions,19.967,3.933,8,Poplar,above90
1985,Historical Emissions,23.599,3.133,7.667,Poplar,above90
1986,Historical Emissions,21.001,0.134,15,Poplar,above90
1987,Historical Emissions,22.766,0.6,9.5,Poplar,above90
1988,Historical Emissions,22.467,3.367,7.166,Poplar,above90
1989,Historical Emissions,18.801,1.567,12.333,Poplar,above90
1990,Historical Emissions,39.733,5.567,19,Poplar,above90
1991,Historical Emissions,25.334,4.767,8,Poplar,above90
1992,Historical Emissions,20.633,1.066,7.667,Poplar,above90
1993,Historical Emissions,13.667,3.467,8.833,Poplar,above90
1994,Historical Emissions,26.033,8.233,12.5,Poplar,above90
1995,Historical Emissions,33.033,2.333,17,Poplar,above90
1996,Historical Emissions,41.201,8,19.833,Poplar,above90
1997,Historical Emissions,24.967,9.634,17.833,Poplar,above90
1998,Historical Emissions,22.734,3.399,10.167,Poplar,above90
1999,Historical Emissions,24.234,7.499,12.5,Poplar,above90
2000,Historical Emissions,26.767,5.067,22.333,Poplar,above90
2001,Historical Emissions,24.166,10.667,21.667,Poplar,above90
2002,Historical Emissions,34.399,4.201,23.833,Poplar,above90
2003,Historical Emissions,39.733,16.4,22.833,Poplar,above90
