scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Apr,Mid Century (2040-2069),0,0,0,Lower Yellowstone,above90
Historical Emissions,Aug,Mid Century (2040-2069),22.385,4.654,13.788,Lower Yellowstone,above90
Historical Emissions,Dec,Mid Century (2040-2069),0,0,0,Lower Yellowstone,above90
Historical Emissions,Feb,Mid Century (2040-2069),0,0,0,Lower Yellowstone,above90
Historical Emissions,Jan,Mid Century (2040-2069),0,0,0,Lower Yellowstone,above90
Historical Emissions,Jul,Mid Century (2040-2069),23.454,3.812,13.75,Lower Yellowstone,above90
Historical Emissions,Jun,Mid Century (2040-2069),10.181,0,3.327,Lower Yellowstone,above90
Historical Emissions,Mar,Mid Century (2040-2069),0,0,0,Lower Yellowstone,above90
Historical Emissions,May,Mid Century (2040-2069),2.573,0,0,Lower Yellowstone,above90
Historical Emissions,Nov,Mid Century (2040-2069),0,0,0,Lower Yellowstone,above90
Historical Emissions,Oct,Mid Century (2040-2069),0.958,0,0,Lower Yellowstone,above90
Historical Emissions,Sep,Mid Century (2040-2069),7.87,0,2.25,Lower Yellowstone,above90
Historical Emissions,Apr,End-of-Century (2070-2099),0,0,0,Lower Yellowstone,above90
Historical Emissions,Aug,End-of-Century (2070-2099),22.385,4.654,13.788,Lower Yellowstone,above90
Historical Emissions,Dec,End-of-Century (2070-2099),0,0,0,Lower Yellowstone,above90
Historical Emissions,Feb,End-of-Century (2070-2099),0,0,0,Lower Yellowstone,above90
Historical Emissions,Jan,End-of-Century (2070-2099),0,0,0,Lower Yellowstone,above90
Historical Emissions,Jul,End-of-Century (2070-2099),23.454,3.812,13.75,Lower Yellowstone,above90
Historical Emissions,Jun,End-of-Century (2070-2099),10.181,0,3.327,Lower Yellowstone,above90
Historical Emissions,Mar,End-of-Century (2070-2099),0,0,0,Lower Yellowstone,above90
Historical Emissions,May,End-of-Century (2070-2099),2.573,0,0,Lower Yellowstone,above90
Historical Emissions,Nov,End-of-Century (2070-2099),0,0,0,Lower Yellowstone,above90
Historical Emissions,Oct,End-of-Century (2070-2099),0.958,0,0,Lower Yellowstone,above90
Historical Emissions,Sep,End-of-Century (2070-2099),7.87,0,2.25,Lower Yellowstone,above90
"Moderating Emissions
(SSP1-2.6)",Apr,End-of-Century (2070-2099),0,0,0,Lower Yellowstone,above90
"Moderating Emissions
(SSP1-2.6)",Apr,Mid Century (2040-2069),0,0,0,Lower Yellowstone,above90
"Moderating Emissions
(SSP1-2.6)",Aug,End-of-Century (2070-2099),25.973,7.585,17.308,Lower Yellowstone,above90
"Moderating Emissions
(SSP1-2.6)",Aug,Mid Century (2040-2069),26.588,7.831,17.942,Lower Yellowstone,above90
"Moderating Emissions
(SSP1-2.6)",Dec,End-of-Century (2070-2099),0,0,0,Lower Yellowstone,above90
"Moderating Emissions
(SSP1-2.6)",Dec,Mid Century (2040-2069),0,0,0,Lower Yellowstone,above90
"Moderating Emissions
(SSP1-2.6)",Feb,End-of-Century (2070-2099),0,0,0,Lower Yellowstone,above90
"Moderating Emissions
(SSP1-2.6)",Feb,Mid Century (2040-2069),0,0,0,Lower Yellowstone,above90
"Moderating Emissions
(SSP1-2.6)",Jan,End-of-Century (2070-2099),0,0,0,Lower Yellowstone,above90
"Moderating Emissions
(SSP1-2.6)",Jan,Mid Century (2040-2069),0,0,0,Lower Yellowstone,above90
"Moderating Emissions
(SSP1-2.6)",Jul,End-of-Century (2070-2099),25.562,2.55,17.692,Lower Yellowstone,above90
"Moderating Emissions
(SSP1-2.6)",Jul,Mid Century (2040-2069),26.504,7.573,17.134,Lower Yellowstone,above90
"Moderating Emissions
(SSP1-2.6)",Jun,End-of-Century (2070-2099),10.854,0.054,3.577,Lower Yellowstone,above90
"Moderating Emissions
(SSP1-2.6)",Jun,Mid Century (2040-2069),12.2,0.919,4.942,Lower Yellowstone,above90
"Moderating Emissions
(SSP1-2.6)",Mar,End-of-Century (2070-2099),0,0,0,Lower Yellowstone,above90
"Moderating Emissions
(SSP1-2.6)",Mar,Mid Century (2040-2069),0,0,0,Lower Yellowstone,above90
"Moderating Emissions
(SSP1-2.6)",May,End-of-Century (2070-2099),5.562,0,0,Lower Yellowstone,above90
"Moderating Emissions
(SSP1-2.6)",May,Mid Century (2040-2069),3.308,0,0.077,Lower Yellowstone,above90
"Moderating Emissions
(SSP1-2.6)",Nov,End-of-Century (2070-2099),0,0,0,Lower Yellowstone,above90
"Moderating Emissions
(SSP1-2.6)",Nov,Mid Century (2040-2069),0,0,0,Lower Yellowstone,above90
"Moderating Emissions
(SSP1-2.6)",Oct,End-of-Century (2070-2099),2.158,0,0,Lower Yellowstone,above90
"Moderating Emissions
(SSP1-2.6)",Oct,Mid Century (2040-2069),2.115,0,0,Lower Yellowstone,above90
"Moderating Emissions
(SSP1-2.6)",Sep,End-of-Century (2070-2099),11.877,0,2.481,Lower Yellowstone,above90
"Moderating Emissions
(SSP1-2.6)",Sep,Mid Century (2040-2069),11.846,0.077,4.577,Lower Yellowstone,above90
"Middle of the Road
(SSP2-4.5)",Apr,End-of-Century (2070-2099),0,0,0,Lower Yellowstone,above90
"Middle of the Road
(SSP2-4.5)",Apr,Mid Century (2040-2069),0,0,0,Lower Yellowstone,above90
"Middle of the Road
(SSP2-4.5)",Aug,End-of-Century (2070-2099),28.404,12.692,21.712,Lower Yellowstone,above90
"Middle of the Road
(SSP2-4.5)",Aug,Mid Century (2040-2069),27.269,9.992,20.096,Lower Yellowstone,above90
"Middle of the Road
(SSP2-4.5)",Dec,End-of-Century (2070-2099),0,0,0,Lower Yellowstone,above90
"Middle of the Road
(SSP2-4.5)",Dec,Mid Century (2040-2069),0,0,0,Lower Yellowstone,above90
"Middle of the Road
(SSP2-4.5)",Feb,End-of-Century (2070-2099),0,0,0,Lower Yellowstone,above90
"Middle of the Road
(SSP2-4.5)",Feb,Mid Century (2040-2069),0,0,0,Lower Yellowstone,above90
"Middle of the Road
(SSP2-4.5)",Jan,End-of-Century (2070-2099),0,0,0,Lower Yellowstone,above90
"Middle of the Road
(SSP2-4.5)",Jan,Mid Century (2040-2069),0,0,0,Lower Yellowstone,above90
"Middle of the Road
(SSP2-4.5)",Jul,End-of-Century (2070-2099),27.965,12.792,23.077,Lower Yellowstone,above90
"Middle of the Road
(SSP2-4.5)",Jul,Mid Century (2040-2069),28.004,8.923,19.5,Lower Yellowstone,above90
"Middle of the Road
(SSP2-4.5)",Jun,End-of-Century (2070-2099),15.842,1.761,7.134,Lower Yellowstone,above90
"Middle of the Road
(SSP2-4.5)",Jun,Mid Century (2040-2069),13.489,0.881,5.808,Lower Yellowstone,above90
"Middle of the Road
(SSP2-4.5)",Mar,End-of-Century (2070-2099),0,0,0,Lower Yellowstone,above90
"Middle of the Road
(SSP2-4.5)",Mar,Mid Century (2040-2069),0,0,0,Lower Yellowstone,above90
"Middle of the Road
(SSP2-4.5)",May,End-of-Century (2070-2099),3.784,0,0.173,Lower Yellowstone,above90
"Middle of the Road
(SSP2-4.5)",May,Mid Century (2040-2069),4.427,0,0.038,Lower Yellowstone,above90
"Middle of the Road
(SSP2-4.5)",Nov,End-of-Century (2070-2099),0,0,0,Lower Yellowstone,above90
"Middle of the Road
(SSP2-4.5)",Nov,Mid Century (2040-2069),0,0,0,Lower Yellowstone,above90
"Middle of the Road
(SSP2-4.5)",Oct,End-of-Century (2070-2099),3.873,0,0.212,Lower Yellowstone,above90
"Middle of the Road
(SSP2-4.5)",Oct,Mid Century (2040-2069),3.316,0,0,Lower Yellowstone,above90
"Middle of the Road
(SSP2-4.5)",Sep,End-of-Century (2070-2099),15.685,1.277,6.616,Lower Yellowstone,above90
"Middle of the Road
(SSP2-4.5)",Sep,Mid Century (2040-2069),13.904,0.688,5.25,Lower Yellowstone,above90
"High Emissions
(SSP3-7.0)",Apr,End-of-Century (2070-2099),0,0,0,Lower Yellowstone,above90
"High Emissions
(SSP3-7.0)",Apr,Mid Century (2040-2069),0,0,0,Lower Yellowstone,above90
"High Emissions
(SSP3-7.0)",Aug,End-of-Century (2070-2099),31,22.427,29.827,Lower Yellowstone,above90
"High Emissions
(SSP3-7.0)",Aug,Mid Century (2040-2069),28.231,11.412,20.75,Lower Yellowstone,above90
"High Emissions
(SSP3-7.0)",Dec,End-of-Century (2070-2099),0,0,0,Lower Yellowstone,above90
"High Emissions
(SSP3-7.0)",Dec,Mid Century (2040-2069),0,0,0,Lower Yellowstone,above90
"High Emissions
(SSP3-7.0)",Feb,End-of-Century (2070-2099),0,0,0,Lower Yellowstone,above90
"High Emissions
(SSP3-7.0)",Feb,Mid Century (2040-2069),0,0,0,Lower Yellowstone,above90
"High Emissions
(SSP3-7.0)",Jan,End-of-Century (2070-2099),0,0,0,Lower Yellowstone,above90
"High Emissions
(SSP3-7.0)",Jan,Mid Century (2040-2069),0,0,0,Lower Yellowstone,above90
"High Emissions
(SSP3-7.0)",Jul,End-of-Century (2070-2099),30.812,21.15,26.846,Lower Yellowstone,above90
"High Emissions
(SSP3-7.0)",Jul,Mid Century (2040-2069),27.354,10.15,19.693,Lower Yellowstone,above90
