scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Jan,Mid Century (2040-2069),29.59,14.1,19.075,Madison County,con-dry
Historical Emissions,Jan,End-of-Century (2070-2099),29.59,14.1,19.075,Madison County,con-dry
"Moderating Emissions
(SSP1-2.6)",Jan,End-of-Century (2070-2099),28.27,14.38,19.375,Madison County,con-dry
"Moderating Emissions
(SSP1-2.6)",Jan,Mid Century (2040-2069),29.5,14.195,19.85,Madison County,con-dry
"Middle of the Road
(SSP2-4.5)",Jan,End-of-Century (2070-2099),28.88,15.115,20.275,Madison County,con-dry
"Middle of the Road
(SSP2-4.5)",Jan,Mid Century (2040-2069),30.51,13.685,19.85,Madison County,con-dry
"High Emissions
(SSP3-7.0)",Jan,End-of-Century (2070-2099),27.225,13.745,18.375,Madison County,con-dry
"High Emissions
(SSP3-7.0)",Jan,Mid Century (2040-2069),30.715,13.595,19,Madison County,con-dry
"Accelerating Emissions
(SSP5-8.5)",Jan,End-of-Century (2070-2099),32.555,15.46,19.55,Madison County,con-dry
"Accelerating Emissions
(SSP5-8.5)",Jan,Mid Century (2040-2069),30.39,13.7,20.2,Madison County,con-dry
