year,scenario,upper,lower,value,location,variable
1950,Historical Emissions,32,16.967,25.833,Petroleum County,con-dry
1951,Historical Emissions,28.4,18,24,Petroleum County,con-dry
1952,Historical Emissions,27.367,17.667,21,Petroleum County,con-dry
1953,Historical Emissions,30.833,17.533,21.5,Petroleum County,con-dry
1954,Historical Emissions,38.2,16,19.167,Petroleum County,con-dry
1955,Historical Emissions,35.4,14.267,21.333,Petroleum County,con-dry
1956,Historical Emissions,31.567,18.6,24,Petroleum County,con-dry
1957,Historical Emissions,29.467,18.133,26.167,Petroleum County,con-dry
1958,Historical Emissions,28.167,17.7,20,Petroleum County,con-dry
1959,Historical Emissions,30.567,13.467,19,Petroleum County,con-dry
1960,Historical Emissions,34.533,12.6,22,Petroleum County,con-dry
1961,Historical Emissions,38.867,17.8,24.167,Petroleum County,con-dry
1962,Historical Emissions,37.433,16,25.167,Petroleum County,con-dry
1963,Historical Emissions,28.1,16.6,23,Petroleum County,con-dry
1964,Historical Emissions,38.333,20.267,24,Petroleum County,con-dry
1965,Historical Emissions,34.467,17.1,24.833,Petroleum County,con-dry
1966,Historical Emissions,32.333,17.467,21,Petroleum County,con-dry
1967,Historical Emissions,40.9,17.067,32.333,Petroleum County,con-dry
1968,Historical Emissions,25.633,16.2,21.333,Petroleum County,con-dry
1969,Historical Emissions,39.833,21.3,26.833,Petroleum County,con-dry
1970,Historical Emissions,28.4,18.867,20.833,Petroleum County,con-dry
1971,Historical Emissions,35.167,17.467,27.333,Petroleum County,con-dry
1972,Historical Emissions,31.2,18.933,27.333,Petroleum County,con-dry
1973,Historical Emissions,33,14.667,19.5,Petroleum County,con-dry
1974,Historical Emissions,36.9,16.3,26,Petroleum County,con-dry
1975,Historical Emissions,31.733,17.233,24,Petroleum County,con-dry
1976,Historical Emissions,26.233,16.833,19.333,Petroleum County,con-dry
1977,Historical Emissions,34.533,16.8,22,Petroleum County,con-dry
1978,Historical Emissions,34.533,18.7,21.333,Petroleum County,con-dry
1979,Historical Emissions,36.067,19.933,23,Petroleum County,con-dry
1980,Historical Emissions,31.333,15.733,22,Petroleum County,con-dry
1981,Historical Emissions,34.133,18,24.333,Petroleum County,con-dry
1982,Historical Emissions,31.633,14.333,22,Petroleum County,con-dry
1983,Historical Emissions,40.733,17.667,23.833,Petroleum County,con-dry
1984,Historical Emissions,30,18.667,24.5,Petroleum County,con-dry
1985,Historical Emissions,27.333,15.6,23,Petroleum County,con-dry
1986,Historical Emissions,27.833,16.633,19,Petroleum County,con-dry
1987,Historical Emissions,24.933,13.467,17.5,Petroleum County,con-dry
1988,Historical Emissions,28.6,17.967,23,Petroleum County,con-dry
1989,Historical Emissions,27.667,15.267,23,Petroleum County,con-dry
1990,Historical Emissions,35.2,16.567,21,Petroleum County,con-dry
1991,Historical Emissions,29.133,15.9,25.667,Petroleum County,con-dry
1992,Historical Emissions,36.733,21.8,22.333,Petroleum County,con-dry
1993,Historical Emissions,30.9,16.667,20.5,Petroleum County,con-dry
1994,Historical Emissions,26.867,17.4,22.667,Petroleum County,con-dry
1995,Historical Emissions,28.3,21,23.5,Petroleum County,con-dry
1996,Historical Emissions,36.067,20.667,26,Petroleum County,con-dry
1997,Historical Emissions,30.267,15.933,20,Petroleum County,con-dry
1998,Historical Emissions,31.767,14.8,19,Petroleum County,con-dry
1999,Historical Emissions,27.267,17.933,19,Petroleum County,con-dry
2000,Historical Emissions,30.267,18.5,24.333,Petroleum County,con-dry
2001,Historical Emissions,27.267,17.167,21.333,Petroleum County,con-dry
2002,Historical Emissions,28.3,18.367,22,Petroleum County,con-dry
2003,Historical Emissions,33.633,15.2,17.333,Petroleum County,con-dry
2004,Historical Emissions,32.933,13.4,19,Petroleum County,con-dry
2005,Historical Emissions,32.133,16,25.167,Petroleum County,con-dry
2006,Historical Emissions,27.467,15.333,21.667,Petroleum County,con-dry
2007,Historical Emissions,28.567,18.8,20.5,Petroleum County,con-dry
2008,Historical Emissions,26,13.9,22,Petroleum County,con-dry
2009,Historical Emissions,22.633,17.333,19.333,Petroleum County,con-dry
2010,Historical Emissions,23.6,14.567,19.333,Petroleum County,con-dry
2011,Historical Emissions,24.567,16.933,21.333,Petroleum County,con-dry
2012,Historical Emissions,31.167,18.667,24.333,Petroleum County,con-dry
2013,Historical Emissions,30.933,15.2,19.5,Petroleum County,con-dry
2014,Historical Emissions,39.667,18.933,20.833,Petroleum County,con-dry
2015,"Moderating Emissions
(SSP1-2.6)",39.567,17.467,25.167,Petroleum County,con-dry
2015,"Middle of the Road
(SSP2-4.5)",35.267,20.2,27,Petroleum County,con-dry
2015,"High Emissions
(SSP3-7.0)",24.333,17.533,19.667,Petroleum County,con-dry
