scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Jan,Mid Century (2040-2069),30.035,14.815,20,Rosebud County,con-dry
Historical Emissions,Jan,End-of-Century (2070-2099),30.035,14.815,20,Rosebud County,con-dry
"Moderating Emissions
(SSP1-2.6)",Jan,End-of-Century (2070-2099),30.85,13.915,20.125,Rosebud County,con-dry
"Moderating Emissions
(SSP1-2.6)",Jan,Mid Century (2040-2069),33.01,15.085,21.65,Rosebud County,con-dry
"Middle of the Road
(SSP2-4.5)",Jan,End-of-Century (2070-2099),32.815,15.86,21.55,Rosebud County,con-dry
"Middle of the Road
(SSP2-4.5)",Jan,Mid Century (2040-2069),31.38,14.885,21.125,Rosebud County,con-dry
"High Emissions
(SSP3-7.0)",Jan,End-of-Century (2070-2099),37.82,17.885,22.075,Rosebud County,con-dry
"High Emissions
(SSP3-7.0)",Jan,Mid Century (2040-2069),32.975,14.8,20.95,Rosebud County,con-dry
"Accelerating Emissions
(SSP5-8.5)",Jan,End-of-Century (2070-2099),44.865,14.65,22.625,Rosebud County,con-dry
"Accelerating Emissions
(SSP5-8.5)",Jan,Mid Century (2040-2069),32.94,15.05,21.775,Rosebud County,con-dry
