year,scenario,upper,lower,value,location,variable
1950,Historical Emissions,25.889,14.489,18,Stillwater County,con-dry
1951,Historical Emissions,32.267,16.022,19,Stillwater County,con-dry
1952,Historical Emissions,23.711,16.978,18,Stillwater County,con-dry
1953,Historical Emissions,24.756,15.222,17.444,Stillwater County,con-dry
1954,Historical Emissions,27.933,10.111,18.111,Stillwater County,con-dry
1955,Historical Emissions,31.356,12.889,20,Stillwater County,con-dry
1956,Historical Emissions,28.4,14.289,26.444,Stillwater County,con-dry
1957,Historical Emissions,27.756,13.133,18.333,Stillwater County,con-dry
1958,Historical Emissions,24.689,14.911,19.222,Stillwater County,con-dry
1959,Historical Emissions,20.311,11.156,16.333,Stillwater County,con-dry
1960,Historical Emissions,28.289,13.689,15.111,Stillwater County,con-dry
1961,Historical Emissions,25.578,13.422,20,Stillwater County,con-dry
1962,Historical Emissions,35.556,15,16.556,Stillwater County,con-dry
1963,Historical Emissions,20.178,13.622,16.556,Stillwater County,con-dry
1964,Historical Emissions,24.889,17.889,19.556,Stillwater County,con-dry
1965,Historical Emissions,28.978,14.267,21.778,Stillwater County,con-dry
1966,Historical Emissions,31.822,13.311,20.111,Stillwater County,con-dry
1967,Historical Emissions,31.8,14.022,17.111,Stillwater County,con-dry
1968,Historical Emissions,21.667,15.867,16.889,Stillwater County,con-dry
1969,Historical Emissions,24.6,15.422,17.222,Stillwater County,con-dry
1970,Historical Emissions,26.133,14.333,18,Stillwater County,con-dry
1971,Historical Emissions,30.333,15.222,21.444,Stillwater County,con-dry
1972,Historical Emissions,25.467,18.556,23.444,Stillwater County,con-dry
1973,Historical Emissions,31.022,12.289,14.889,Stillwater County,con-dry
1974,Historical Emissions,31.644,13.267,20,Stillwater County,con-dry
1975,Historical Emissions,24.933,16.711,19.444,Stillwater County,con-dry
1976,Historical Emissions,22.689,14.4,15.556,Stillwater County,con-dry
1977,Historical Emissions,28.844,14.711,18.333,Stillwater County,con-dry
1978,Historical Emissions,25.111,13.156,17.778,Stillwater County,con-dry
1979,Historical Emissions,37.378,15.733,23.556,Stillwater County,con-dry
1980,Historical Emissions,23.733,11.867,17.667,Stillwater County,con-dry
1981,Historical Emissions,24.489,14.089,17,Stillwater County,con-dry
1982,Historical Emissions,22.156,13.133,17.333,Stillwater County,con-dry
1983,Historical Emissions,33.733,16.978,22.444,Stillwater County,con-dry
1984,Historical Emissions,26.378,16.422,19,Stillwater County,con-dry
1985,Historical Emissions,27.733,13.489,20.111,Stillwater County,con-dry
1986,Historical Emissions,19.667,11.956,17,Stillwater County,con-dry
1987,Historical Emissions,32.467,11.6,16.889,Stillwater County,con-dry
1988,Historical Emissions,25.733,13.511,17.778,Stillwater County,con-dry
1989,Historical Emissions,22.867,14.933,18.889,Stillwater County,con-dry
1990,Historical Emissions,28.933,13.622,19.556,Stillwater County,con-dry
1991,Historical Emissions,28.022,16.778,20.556,Stillwater County,con-dry
1992,Historical Emissions,28.089,16.956,20,Stillwater County,con-dry
1993,Historical Emissions,28,13.778,18.111,Stillwater County,con-dry
1994,Historical Emissions,23.267,13.667,17.556,Stillwater County,con-dry
1995,Historical Emissions,24.244,17.933,20.667,Stillwater County,con-dry
1996,Historical Emissions,45.711,16.467,26,Stillwater County,con-dry
1997,Historical Emissions,28.4,13.156,19.778,Stillwater County,con-dry
1998,Historical Emissions,28.556,14.289,15.556,Stillwater County,con-dry
1999,Historical Emissions,28.222,15.6,18.778,Stillwater County,con-dry
2000,Historical Emissions,30,16.578,21.222,Stillwater County,con-dry
2001,Historical Emissions,20.6,13.8,16.333,Stillwater County,con-dry
2002,Historical Emissions,25.4,16.533,18.222,Stillwater County,con-dry
2003,Historical Emissions,28.244,15.156,17.778,Stillwater County,con-dry
2004,Historical Emissions,32.978,12.4,18.667,Stillwater County,con-dry
2005,Historical Emissions,32.911,15.311,23,Stillwater County,con-dry
2006,Historical Emissions,23.911,14.244,16.778,Stillwater County,con-dry
2007,Historical Emissions,20.289,14.933,17,Stillwater County,con-dry
2008,Historical Emissions,23.689,13.689,17.222,Stillwater County,con-dry
2009,Historical Emissions,21.356,12.822,16,Stillwater County,con-dry
2010,Historical Emissions,25.333,12.822,18.222,Stillwater County,con-dry
2011,Historical Emissions,24.133,16,18.778,Stillwater County,con-dry
2012,Historical Emissions,25.178,13.089,20.111,Stillwater County,con-dry
2013,Historical Emissions,20.911,13.622,19.333,Stillwater County,con-dry
2014,Historical Emissions,44.089,13.6,19.111,Stillwater County,con-dry
2015,"Moderating Emissions
(SSP1-2.6)",40,13.244,22,Stillwater County,con-dry
2015,"Middle of the Road
(SSP2-4.5)",32.311,20.067,23.111,Stillwater County,con-dry
2015,"High Emissions
(SSP3-7.0)",25.978,13.222,17,Stillwater County,con-dry
2015,"Accelerating Emissions
(SSP5-8.5)",26.822,13.867,17.556,Stillwater County,con-dry
2016,"Moderating Emissions
(SSP1-2.6)",40.244,14.4,17,Stillwater County,con-dry
2016,"Middle of the Road
(SSP2-4.5)",22.556,13.556,16.889,Stillwater County,con-dry
2016,"High Emissions
(SSP3-7.0)",33.067,14.667,16.778,Stillwater County,con-dry
2016,"Accelerating Emissions
(SSP5-8.5)",25.689,13.311,17,Stillwater County,con-dry
2017,"Moderating Emissions
(SSP1-2.6)",25.778,14.911,20,Stillwater County,con-dry
2017,"Middle of the Road
(SSP2-4.5)",34.489,12.6,19.444,Stillwater County,con-dry
2017,"High Emissions
(SSP3-7.0)",28.244,11.933,22.889,Stillwater County,con-dry
2017,"Accelerating Emissions
(SSP5-8.5)",20.289,12.756,15,Stillwater County,con-dry
2018,"Moderating Emissions
(SSP1-2.6)",26.933,14.867,22,Stillwater County,con-dry
2018,"Middle of the Road
(SSP2-4.5)",21.733,14.111,16.333,Stillwater County,con-dry
2018,"High Emissions
(SSP3-7.0)",20.644,15.644,17.333,Stillwater County,con-dry
2018,"Accelerating Emissions
(SSP5-8.5)",21.844,13.311,17.111,Stillwater County,con-dry
2019,"Moderating Emissions
(SSP1-2.6)",32.933,17.911,27.667,Stillwater County,con-dry
2019,"Middle of the Road
(SSP2-4.5)",27.444,15.956,19.444,Stillwater County,con-dry
2019,"High Emissions
(SSP3-7.0)",28.356,15.444,19.333,Stillwater County,con-dry
2019,"Accelerating Emissions
(SSP5-8.5)",30.6,14.378,19,Stillwater County,con-dry
2020,"Moderating Emissions
(SSP1-2.6)",30.089,13.867,18.111,Stillwater County,con-dry
2020,"Middle of the Road
(SSP2-4.5)",18.844,11.978,16.667,Stillwater County,con-dry
