scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Jan,Mid Century (2040-2069),31.316,14.667,20.667,Cut Bank,con-dry
Historical Emissions,Jan,End-of-Century (2070-2099),31.316,14.667,20.667,Cut Bank,con-dry
"Moderating Emissions
(SSP1-2.6)",Jan,End-of-Century (2070-2099),33.517,15,21.916,Cut Bank,con-dry
"Moderating Emissions
(SSP1-2.6)",Jan,Mid Century (2040-2069),31.184,14.8,21,Cut Bank,con-dry
"Middle of the Road
(SSP2-4.5)",Jan,End-of-Century (2070-2099),32.85,13.283,19,Cut Bank,con-dry
"Middle of the Road
(SSP2-4.5)",Jan,Mid Century (2040-2069),32.533,14.65,20.667,Cut Bank,con-dry
"High Emissions
(SSP3-7.0)",Jan,End-of-Century (2070-2099),33.633,18.117,23.417,Cut Bank,con-dry
"High Emissions
(SSP3-7.0)",Jan,Mid Century (2040-2069),32.517,14.483,22,Cut Bank,con-dry
"Accelerating Emissions
(SSP5-8.5)",Jan,End-of-Century (2070-2099),44.817,15.717,24.5,Cut Bank,con-dry
"Accelerating Emissions
(SSP5-8.5)",Jan,Mid Century (2040-2069),29.2,15.15,21.333,Cut Bank,con-dry
