scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Jan,Mid Century (2040-2069),31.543,15,20.429,Arrow,con-dry
Historical Emissions,Jan,End-of-Century (2070-2099),31.543,15,20.429,Arrow,con-dry
"Moderating Emissions
(SSP1-2.6)",Jan,End-of-Century (2070-2099),26.8,17.129,19.928,Arrow,con-dry
"Moderating Emissions
(SSP1-2.6)",Jan,Mid Century (2040-2069),33.172,15,21.072,Arrow,con-dry
"Middle of the Road
(SSP2-4.5)",Jan,End-of-Century (2070-2099),29.8,14.4,19.572,Arrow,con-dry
"Middle of the Road
(SSP2-4.5)",Jan,Mid Century (2040-2069),32.614,15.429,20.785,Arrow,con-dry
"High Emissions
(SSP3-7.0)",Jan,End-of-Century (2070-2099),36.3,18.3,21.429,Arrow,con-dry
"High Emissions
(SSP3-7.0)",Jan,Mid Century (2040-2069),32.443,15,21.143,Arrow,con-dry
"Accelerating Emissions
(SSP5-8.5)",Jan,End-of-Century (2070-2099),34.643,15.257,25.572,Arrow,con-dry
"Accelerating Emissions
(SSP5-8.5)",Jan,Mid Century (2040-2069),32.029,15,20.571,Arrow,con-dry
