year,scenario,upper,lower,value,location,variable
1950,Historical Emissions,32.885,19.657,27,Charlie-Little Muddy,con-dry
1951,Historical Emissions,40.686,18.286,25,Charlie-Little Muddy,con-dry
1952,Historical Emissions,36.171,18.486,24.571,Charlie-Little Muddy,con-dry
1953,Historical Emissions,40.685,16.143,20.429,Charlie-Little Muddy,con-dry
1954,Historical Emissions,40.971,12.829,19,Charlie-Little Muddy,con-dry
1955,Historical Emissions,37.628,17.8,23.714,Charlie-Little Muddy,con-dry
1956,Historical Emissions,31.314,19.6,23,Charlie-Little Muddy,con-dry
1957,Historical Emissions,38.229,21.943,28.429,Charlie-Little Muddy,con-dry
1958,Historical Emissions,29.543,17,21.857,Charlie-Little Muddy,con-dry
1959,Historical Emissions,26.886,18.8,21,Charlie-Little Muddy,con-dry
1960,Historical Emissions,37.515,17.315,20,Charlie-Little Muddy,con-dry
1961,Historical Emissions,31.686,20.029,27,Charlie-Little Muddy,con-dry
1962,Historical Emissions,36.8,15.714,21,Charlie-Little Muddy,con-dry
1963,Historical Emissions,34.4,22.343,25.571,Charlie-Little Muddy,con-dry
1964,Historical Emissions,38.457,19.257,28,Charlie-Little Muddy,con-dry
1965,Historical Emissions,30.943,16.2,22,Charlie-Little Muddy,con-dry
1966,Historical Emissions,28.029,17.371,20.857,Charlie-Little Muddy,con-dry
1967,Historical Emissions,34.457,17.115,26,Charlie-Little Muddy,con-dry
1968,Historical Emissions,28.514,19.8,22,Charlie-Little Muddy,con-dry
1969,Historical Emissions,31.943,15.943,24,Charlie-Little Muddy,con-dry
1970,Historical Emissions,32.429,16.057,22,Charlie-Little Muddy,con-dry
1971,Historical Emissions,29.2,18.543,22.429,Charlie-Little Muddy,con-dry
1972,Historical Emissions,36.086,19,27.571,Charlie-Little Muddy,con-dry
1973,Historical Emissions,29.771,15.6,22.571,Charlie-Little Muddy,con-dry
1974,Historical Emissions,47.086,15.428,26.286,Charlie-Little Muddy,con-dry
1975,Historical Emissions,35.857,19.686,24.714,Charlie-Little Muddy,con-dry
1976,Historical Emissions,32.914,19.514,23.286,Charlie-Little Muddy,con-dry
1977,Historical Emissions,25.828,16.657,22.857,Charlie-Little Muddy,con-dry
1978,Historical Emissions,29.571,16.686,22,Charlie-Little Muddy,con-dry
1979,Historical Emissions,44.514,18,25,Charlie-Little Muddy,con-dry
1980,Historical Emissions,33.2,19.457,20,Charlie-Little Muddy,con-dry
1981,Historical Emissions,32.2,16.2,23.714,Charlie-Little Muddy,con-dry
1982,Historical Emissions,26.829,18.257,20.286,Charlie-Little Muddy,con-dry
1983,Historical Emissions,29.485,19.372,22.571,Charlie-Little Muddy,con-dry
1984,Historical Emissions,34.457,20.715,24.857,Charlie-Little Muddy,con-dry
1985,Historical Emissions,37.857,19.2,24,Charlie-Little Muddy,con-dry
1986,Historical Emissions,24.686,16.657,20.429,Charlie-Little Muddy,con-dry
1987,Historical Emissions,24.771,16.229,17.857,Charlie-Little Muddy,con-dry
1988,Historical Emissions,34.657,18.486,24,Charlie-Little Muddy,con-dry
1989,Historical Emissions,32.2,20.8,25.143,Charlie-Little Muddy,con-dry
1990,Historical Emissions,37.6,18.228,25.429,Charlie-Little Muddy,con-dry
