year,scenario,upper,lower,value,location,variable
1950,Historical Emissions,23.956,16.156,19.444,Crow,con-dry
1951,Historical Emissions,34.956,15.867,22.722,Crow,con-dry
1952,Historical Emissions,26.266,16.189,17,Crow,con-dry
1953,Historical Emissions,24.244,15.178,19,Crow,con-dry
1954,Historical Emissions,27.844,10.311,21.444,Crow,con-dry
1955,Historical Emissions,32.733,14.367,23,Crow,con-dry
1956,Historical Emissions,30.478,13.145,27,Crow,con-dry
1957,Historical Emissions,28.155,12.145,21.778,Crow,con-dry
1958,Historical Emissions,24.489,16.644,19.556,Crow,con-dry
1959,Historical Emissions,20.578,12.022,16,Crow,con-dry
1960,Historical Emissions,28.678,12.489,15.444,Crow,con-dry
1961,Historical Emissions,25.645,13.889,18.444,Crow,con-dry
1962,Historical Emissions,33.656,14.778,19.167,Crow,con-dry
1963,Historical Emissions,24.022,14.978,19.222,Crow,con-dry
1964,Historical Emissions,30.556,15.556,19.278,Crow,con-dry
1965,Historical Emissions,28.689,16.2,23.333,Crow,con-dry
1966,Historical Emissions,28.244,14.656,24.333,Crow,con-dry
1967,Historical Emissions,33.389,14.3,18.611,Crow,con-dry
1968,Historical Emissions,22.734,16.767,18.722,Crow,con-dry
1969,Historical Emissions,22.967,15.089,18.167,Crow,con-dry
1970,Historical Emissions,29.289,13.511,20.556,Crow,con-dry
1971,Historical Emissions,34.722,18.8,27.278,Crow,con-dry
1972,Historical Emissions,27.466,18.211,21,Crow,con-dry
1973,Historical Emissions,35.478,11.956,18.333,Crow,con-dry
1974,Historical Emissions,29.378,15.167,18.778,Crow,con-dry
1975,Historical Emissions,29.011,16.978,20.333,Crow,con-dry
1976,Historical Emissions,23.078,14,16,Crow,con-dry
1977,Historical Emissions,24.022,14.956,17,Crow,con-dry
1978,Historical Emissions,28.066,13.978,19.278,Crow,con-dry
1979,Historical Emissions,31.022,16.578,21.444,Crow,con-dry
1980,Historical Emissions,23.7,14.345,18.444,Crow,con-dry
1981,Historical Emissions,27,14.811,19.389,Crow,con-dry
1982,Historical Emissions,27.411,12.689,18.5,Crow,con-dry
1983,Historical Emissions,35.5,14.234,21.278,Crow,con-dry
1984,Historical Emissions,28.155,16.756,21.222,Crow,con-dry
1985,Historical Emissions,26.322,15.133,21.111,Crow,con-dry
1986,Historical Emissions,21.311,13.2,17.222,Crow,con-dry
1987,Historical Emissions,30.822,12.045,18.611,Crow,con-dry
1988,Historical Emissions,23.156,14.745,17.056,Crow,con-dry
1989,Historical Emissions,28.233,14.766,17.722,Crow,con-dry
1990,Historical Emissions,30.422,15.245,22.278,Crow,con-dry
1991,Historical Emissions,26.467,16,24.667,Crow,con-dry
1992,Historical Emissions,33.389,18.344,22,Crow,con-dry
1993,Historical Emissions,27.389,14.378,18.667,Crow,con-dry
1994,Historical Emissions,22.778,13.733,17.778,Crow,con-dry
1995,Historical Emissions,26.356,17.711,21.833,Crow,con-dry
1996,Historical Emissions,40.655,16.655,21.667,Crow,con-dry
1997,Historical Emissions,29.1,14.066,22.278,Crow,con-dry
1998,Historical Emissions,28.934,14.678,19.722,Crow,con-dry
1999,Historical Emissions,33.022,17.078,22.667,Crow,con-dry
2000,Historical Emissions,30.367,15.967,23.389,Crow,con-dry
2001,Historical Emissions,24.644,13.989,20.389,Crow,con-dry
2002,Historical Emissions,21.6,14.867,20,Crow,con-dry
2003,Historical Emissions,33.367,14.656,16,Crow,con-dry
2004,Historical Emissions,32.344,13.356,16.056,Crow,con-dry
2005,Historical Emissions,36.911,15.833,23.667,Crow,con-dry
2006,Historical Emissions,23.922,15.845,18.278,Crow,con-dry
2007,Historical Emissions,25.356,16.633,19,Crow,con-dry
2008,Historical Emissions,24.745,14.334,19.722,Crow,con-dry
2009,Historical Emissions,25.355,12.633,15.667,Crow,con-dry
2010,Historical Emissions,28.933,15.933,17.5,Crow,con-dry
2011,Historical Emissions,29.633,15.678,18.5,Crow,con-dry
2012,Historical Emissions,28.444,13.045,19.333,Crow,con-dry
2013,Historical Emissions,21.622,12.4,18.222,Crow,con-dry
2014,Historical Emissions,39.767,14.589,19,Crow,con-dry
2015,"Moderating Emissions
(SSP1-2.6)",37.278,16.078,22.222,Crow,con-dry
2015,"Middle of the Road
(SSP2-4.5)",31.778,16.222,23,Crow,con-dry
2015,"High Emissions
(SSP3-7.0)",28.978,13.411,17.722,Crow,con-dry
2015,"Accelerating Emissions
(SSP5-8.5)",30.467,15.378,17.444,Crow,con-dry
2016,"Moderating Emissions
(SSP1-2.6)",31.867,15.355,17.722,Crow,con-dry
2016,"Middle of the Road
(SSP2-4.5)",22.767,12.711,15.611,Crow,con-dry
2016,"High Emissions
(SSP3-7.0)",30.622,15.711,20.167,Crow,con-dry
2016,"Accelerating Emissions
(SSP5-8.5)",30.322,15.889,17.833,Crow,con-dry
2017,"Moderating Emissions
(SSP1-2.6)",36.622,17.3,20.278,Crow,con-dry
2017,"Middle of the Road
(SSP2-4.5)",29.211,15.222,21,Crow,con-dry
2017,"High Emissions
(SSP3-7.0)",32.089,11.9,22.222,Crow,con-dry
2017,"Accelerating Emissions
(SSP5-8.5)",24.289,15.422,18.944,Crow,con-dry
2018,"Moderating Emissions
(SSP1-2.6)",32.822,14.4,21.056,Crow,con-dry
2018,"Middle of the Road
(SSP2-4.5)",23.045,15.934,17.722,Crow,con-dry
2018,"High Emissions
(SSP3-7.0)",21.755,13.856,17.944,Crow,con-dry
