year,scenario,upper,lower,value,location,variable
1950,Historical Emissions,22.673,15.436,19.364,Flathead,con-dry
1951,Historical Emissions,25.291,14.636,17.727,Flathead,con-dry
1952,Historical Emissions,29.037,16.164,20,Flathead,con-dry
1953,Historical Emissions,28.473,15.637,23.273,Flathead,con-dry
1954,Historical Emissions,26.709,12.582,16.182,Flathead,con-dry
1955,Historical Emissions,32.745,16.437,18.182,Flathead,con-dry
1956,Historical Emissions,37.436,17.837,20.545,Flathead,con-dry
1957,Historical Emissions,27.509,12.8,19.364,Flathead,con-dry
1958,Historical Emissions,20.618,11.854,17.818,Flathead,con-dry
1959,Historical Emissions,17.818,11.873,13.455,Flathead,con-dry
1960,Historical Emissions,20.764,12.182,17.364,Flathead,con-dry
1961,Historical Emissions,24.691,12.655,19,Flathead,con-dry
1962,Historical Emissions,33.564,13.291,16.636,Flathead,con-dry
1963,Historical Emissions,20,14.818,17.364,Flathead,con-dry
1964,Historical Emissions,27.455,15.709,18.455,Flathead,con-dry
1965,Historical Emissions,34.909,14.582,21.455,Flathead,con-dry
1966,Historical Emissions,25.854,11.964,19.545,Flathead,con-dry
1967,Historical Emissions,27.218,13.091,20,Flathead,con-dry
1968,Historical Emissions,21.182,15.618,16.545,Flathead,con-dry
1969,Historical Emissions,21.854,15.382,17.909,Flathead,con-dry
1970,Historical Emissions,22.564,14.382,17.727,Flathead,con-dry
1971,Historical Emissions,27.364,12.091,17,Flathead,con-dry
1972,Historical Emissions,23.909,14.473,20.182,Flathead,con-dry
1973,Historical Emissions,25.036,12.636,20,Flathead,con-dry
1974,Historical Emissions,24.836,12.364,19.091,Flathead,con-dry
1975,Historical Emissions,24.273,11.818,16.455,Flathead,con-dry
1976,Historical Emissions,32.527,16.109,21.091,Flathead,con-dry
1977,Historical Emissions,21.127,13.727,15.273,Flathead,con-dry
1978,Historical Emissions,23.509,13.782,17.909,Flathead,con-dry
1979,Historical Emissions,34.091,18.763,20.818,Flathead,con-dry
1980,Historical Emissions,25.818,13.473,19.727,Flathead,con-dry
1981,Historical Emissions,22.346,13.8,18.636,Flathead,con-dry
1982,Historical Emissions,23.091,12.891,15.909,Flathead,con-dry
1983,Historical Emissions,35.364,16.018,20.455,Flathead,con-dry
1984,Historical Emissions,20.546,14.345,16.273,Flathead,con-dry
1985,Historical Emissions,24,16.037,17.273,Flathead,con-dry
1986,Historical Emissions,23.727,14.055,17.091,Flathead,con-dry
1987,Historical Emissions,26.891,13.091,20.091,Flathead,con-dry
1988,Historical Emissions,23.073,15.054,17.364,Flathead,con-dry
1989,Historical Emissions,26.8,12,18.727,Flathead,con-dry
1990,Historical Emissions,27.473,11.854,19.455,Flathead,con-dry
1991,Historical Emissions,31.763,16.2,23.818,Flathead,con-dry
1992,Historical Emissions,37.364,15.073,21.727,Flathead,con-dry
1993,Historical Emissions,20.346,14.054,18.273,Flathead,con-dry
1994,Historical Emissions,26.909,12.345,21.273,Flathead,con-dry
1995,Historical Emissions,21.527,12.328,16.818,Flathead,con-dry
1996,Historical Emissions,42.436,15.345,26.727,Flathead,con-dry
1997,Historical Emissions,22.473,14.418,18.545,Flathead,con-dry
1998,Historical Emissions,26.673,12.8,18,Flathead,con-dry
1999,Historical Emissions,23.291,13.091,19.818,Flathead,con-dry
2000,Historical Emissions,25.8,13.218,20,Flathead,con-dry
2001,Historical Emissions,22.454,12.454,15.636,Flathead,con-dry
2002,Historical Emissions,29.182,14.237,17.727,Flathead,con-dry
2003,Historical Emissions,25.218,14.127,18.364,Flathead,con-dry
2004,Historical Emissions,25.527,17.964,20.091,Flathead,con-dry
2005,Historical Emissions,33.709,16.346,19.545,Flathead,con-dry
2006,Historical Emissions,24.527,17.691,20.818,Flathead,con-dry
2007,Historical Emissions,23.273,15.2,18,Flathead,con-dry
2008,Historical Emissions,23.091,13.836,19.545,Flathead,con-dry
2009,Historical Emissions,23.346,12.673,19,Flathead,con-dry
2010,Historical Emissions,24.291,14.927,19.727,Flathead,con-dry
2011,Historical Emissions,24.746,13.8,21,Flathead,con-dry
2012,Historical Emissions,20.545,15.8,18.636,Flathead,con-dry
2013,Historical Emissions,27.927,14.927,24.091,Flathead,con-dry
2014,Historical Emissions,44.709,15.036,18.455,Flathead,con-dry
2015,"Moderating Emissions
(SSP1-2.6)",31.037,15.746,22,Flathead,con-dry
2015,"Middle of the Road
(SSP2-4.5)",43.927,16.418,22.545,Flathead,con-dry
2015,"High Emissions
(SSP3-7.0)",29.873,14.236,19,Flathead,con-dry
2015,"Accelerating Emissions
(SSP5-8.5)",30.491,12.363,18.909,Flathead,con-dry
2016,"Moderating Emissions
(SSP1-2.6)",32.8,14.145,22.727,Flathead,con-dry
2016,"Middle of the Road
(SSP2-4.5)",27.091,17.2,20.545,Flathead,con-dry
2016,"High Emissions
(SSP3-7.0)",31.582,14.273,20.545,Flathead,con-dry
2016,"Accelerating Emissions
(SSP5-8.5)",34.328,15.618,22.364,Flathead,con-dry
2017,"Moderating Emissions
(SSP1-2.6)",30.473,13.255,16.182,Flathead,con-dry
2017,"Middle of the Road
(SSP2-4.5)",25.473,15.273,18.455,Flathead,con-dry
2017,"High Emissions
(SSP3-7.0)",27.327,16.746,21.364,Flathead,con-dry
2017,"Accelerating Emissions
(SSP5-8.5)",23.473,14.309,19.818,Flathead,con-dry
2018,"Moderating Emissions
(SSP1-2.6)",30.018,17.4,20.727,Flathead,con-dry
2018,"Middle of the Road
(SSP2-4.5)",25.873,13.891,17.545,Flathead,con-dry
2018,"High Emissions
(SSP3-7.0)",25.473,11.255,18.636,Flathead,con-dry
2018,"Accelerating Emissions
(SSP5-8.5)",33.109,12.291,25,Flathead,con-dry
2019,"Moderating Emissions
(SSP1-2.6)",39.673,13.454,25.818,Flathead,con-dry
2019,"Middle of the Road
(SSP2-4.5)",25.673,13.964,20,Flathead,con-dry
2019,"High Emissions
(SSP3-7.0)",27.309,12.764,20,Flathead,con-dry
2019,"Accelerating Emissions
(SSP5-8.5)",29.854,11.8,19.909,Flathead,con-dry
2020,"Moderating Emissions
(SSP1-2.6)",30.545,13.891,21.909,Flathead,con-dry
2020,"Middle of the Road
(SSP2-4.5)",21.945,12.8,15.364,Flathead,con-dry
2020,"High Emissions
(SSP3-7.0)",26.8,14.945,19,Flathead,con-dry
2020,"Accelerating Emissions
(SSP5-8.5)",24.672,14.6,19.364,Flathead,con-dry
2021,"Moderating Emissions
(SSP1-2.6)",30.436,14.164,20,Flathead,con-dry
2021,"Middle of the Road
(SSP2-4.5)",32.163,16.327,24,Flathead,con-dry
2021,"High Emissions
(SSP3-7.0)",40.836,11.891,22.091,Flathead,con-dry
2021,"Accelerating Emissions
(SSP5-8.5)",25.145,15.309,18.182,Flathead,con-dry
2022,"Moderating Emissions
(SSP1-2.6)",24.855,12.982,18.636,Flathead,con-dry
2022,"Middle of the Road
(SSP2-4.5)",23.709,13.128,19.091,Flathead,con-dry
2022,"High Emissions
(SSP3-7.0)",23.655,9.8,17.364,Flathead,con-dry
2022,"Accelerating Emissions
(SSP5-8.5)",20.637,12.727,15.091,Flathead,con-dry
2023,"Moderating Emissions
(SSP1-2.6)",22.182,13.636,19.545,Flathead,con-dry
2023,"Middle of the Road
(SSP2-4.5)",28.327,15.727,21.818,Flathead,con-dry
