scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Jan,Mid Century (2040-2069),33.509,17.232,23.909,Fort Peck,con-dry
Historical Emissions,Jan,End-of-Century (2070-2099),33.509,17.232,23.909,Fort Peck,con-dry
"Moderating Emissions
(SSP1-2.6)",Jan,End-of-Century (2070-2099),28.295,18.7,23.159,Fort Peck,con-dry
"Moderating Emissions
(SSP1-2.6)",Jan,Mid Century (2040-2069),38.109,17.404,23.432,Fort Peck,con-dry
"Middle of the Road
(SSP2-4.5)",Jan,End-of-Century (2070-2099),38.168,16.204,20.818,Fort Peck,con-dry
"Middle of the Road
(SSP2-4.5)",Jan,Mid Century (2040-2069),35,17.041,23.659,Fort Peck,con-dry
"High Emissions
(SSP3-7.0)",Jan,End-of-Century (2070-2099),33.118,17.786,23.636,Fort Peck,con-dry
"High Emissions
(SSP3-7.0)",Jan,Mid Century (2040-2069),34.927,17.264,24.591,Fort Peck,con-dry
"Accelerating Emissions
(SSP5-8.5)",Jan,End-of-Century (2070-2099),43.518,17.123,27.614,Fort Peck,con-dry
"Accelerating Emissions
(SSP5-8.5)",Jan,Mid Century (2040-2069),35.15,16.496,22.977,Fort Peck,con-dry
