year,scenario,upper,lower,value,location,variable
1950,Historical Emissions,0.79,0.04,0.2,Madison County,con-wet
1951,Historical Emissions,0.48,0,0.15,Madison County,con-wet
1952,Historical Emissions,1.17,0,0.5,Madison County,con-wet
1953,Historical Emissions,1.16,0.05,0.85,Madison County,con-wet
1954,Historical Emissions,1.13,0.13,0.55,Madison County,con-wet
1955,Historical Emissions,1.02,0.12,0.4,Madison County,con-wet
1956,Historical Emissions,0.92,0,0.55,Madison County,con-wet
1957,Historical Emissions,0.75,0.24,0.55,Madison County,con-wet
1958,Historical Emissions,1,0,0.7,Madison County,con-wet
1959,Historical Emissions,0.96,0,0.25,Madison County,con-wet
1960,Historical Emissions,0.94,0.28,0.45,Madison County,con-wet
1961,Historical Emissions,1,0.31,0.6,Madison County,con-wet
1962,Historical Emissions,1.16,0.05,0.75,Madison County,con-wet
1963,Historical Emissions,1,0.04,0.25,Madison County,con-wet
1964,Historical Emissions,1,0,0.25,Madison County,con-wet
1965,Historical Emissions,0.77,0.12,0.4,Madison County,con-wet
1966,Historical Emissions,1.08,0.04,0.35,Madison County,con-wet
1967,Historical Emissions,0.92,0,0.15,Madison County,con-wet
1968,Historical Emissions,0.8,0.08,0.2,Madison County,con-wet
1969,Historical Emissions,0.75,0.08,0.35,Madison County,con-wet
1970,Historical Emissions,0.49,0,0.25,Madison County,con-wet
1971,Historical Emissions,1.01,0.08,0.25,Madison County,con-wet
1972,Historical Emissions,1,0.16,0.85,Madison County,con-wet
1973,Historical Emissions,1.01,0.04,0.35,Madison County,con-wet
1974,Historical Emissions,0.83,0.05,0.3,Madison County,con-wet
1975,Historical Emissions,0.72,0.23,0.5,Madison County,con-wet
1976,Historical Emissions,0.92,0.17,0.55,Madison County,con-wet
1977,Historical Emissions,1.04,0.17,0.5,Madison County,con-wet
1978,Historical Emissions,0.81,0.08,0.6,Madison County,con-wet
1979,Historical Emissions,1.09,0,0.25,Madison County,con-wet
1980,Historical Emissions,0.96,0.18,0.6,Madison County,con-wet
1981,Historical Emissions,0.65,0,0.25,Madison County,con-wet
1982,Historical Emissions,1,0.14,0.6,Madison County,con-wet
1983,Historical Emissions,0.88,0,0.2,Madison County,con-wet
1984,Historical Emissions,0.92,0.1,0.65,Madison County,con-wet
1985,Historical Emissions,0.92,0,0.4,Madison County,con-wet
1986,Historical Emissions,1,0.09,0.7,Madison County,con-wet
1987,Historical Emissions,0.51,0.14,0.3,Madison County,con-wet
1988,Historical Emissions,1.05,0,0.4,Madison County,con-wet
1989,Historical Emissions,1.12,0.08,0.2,Madison County,con-wet
1990,Historical Emissions,0.96,0,0.2,Madison County,con-wet
1991,Historical Emissions,0.88,0.22,0.65,Madison County,con-wet
1992,Historical Emissions,0.52,0.13,0.35,Madison County,con-wet
1993,Historical Emissions,0.84,0.04,0.4,Madison County,con-wet
1994,Historical Emissions,0.92,0.08,0.45,Madison County,con-wet
1995,Historical Emissions,0.87,0.04,0.25,Madison County,con-wet
1996,Historical Emissions,0.81,0.04,0.2,Madison County,con-wet
1997,Historical Emissions,1.12,0.12,0.9,Madison County,con-wet
1998,Historical Emissions,0.96,0,0.3,Madison County,con-wet
1999,Historical Emissions,0.96,0.13,0.55,Madison County,con-wet
2000,Historical Emissions,0.92,0.04,0.35,Madison County,con-wet
2001,Historical Emissions,1.31,0.32,0.7,Madison County,con-wet
2002,Historical Emissions,0.86,0.04,0.5,Madison County,con-wet
2003,Historical Emissions,0.93,0,0.1,Madison County,con-wet
2004,Historical Emissions,1.23,0.4,0.9,Madison County,con-wet
2005,Historical Emissions,0.76,0.17,0.4,Madison County,con-wet
2006,Historical Emissions,0.63,0.08,0.3,Madison County,con-wet
2007,Historical Emissions,0.84,0.08,0.3,Madison County,con-wet
2008,Historical Emissions,0.78,0.16,0.4,Madison County,con-wet
2009,Historical Emissions,1.03,0.14,0.85,Madison County,con-wet
2010,Historical Emissions,0.96,0.05,0.3,Madison County,con-wet
2011,Historical Emissions,0.76,0.05,0.6,Madison County,con-wet
2012,Historical Emissions,0.65,0,0.3,Madison County,con-wet
2013,Historical Emissions,0.92,0,0.15,Madison County,con-wet
2014,Historical Emissions,0.92,0.04,0.15,Madison County,con-wet
2015,"Moderating Emissions
(SSP1-2.6)",1.04,0,0.45,Madison County,con-wet
2015,"Middle of the Road
(SSP2-4.5)",1,0,0.25,Madison County,con-wet
2015,"High Emissions
(SSP3-7.0)",0.67,0,0.25,Madison County,con-wet
2015,"Accelerating Emissions
(SSP5-8.5)",0.98,0,0.35,Madison County,con-wet
2016,"Moderating Emissions
(SSP1-2.6)",0.66,0.08,0.4,Madison County,con-wet
2016,"Middle of the Road
(SSP2-4.5)",1.18,0.14,0.4,Madison County,con-wet
2016,"High Emissions
(SSP3-7.0)",1.03,0.28,0.5,Madison County,con-wet
2016,"Accelerating Emissions
(SSP5-8.5)",0.88,0,0.15,Madison County,con-wet
2017,"Moderating Emissions
(SSP1-2.6)",0.91,0.09,0.6,Madison County,con-wet
