year,scenario,upper,lower,value,location,variable
1950,Historical Emissions,1.05,0,0.3,Upper Musselshell,con-wet
1951,Historical Emissions,1,0,0.4,Upper Musselshell,con-wet
1952,Historical Emissions,1,0,0.6,Upper Musselshell,con-wet
1953,Historical Emissions,1.13,0,0.25,Upper Musselshell,con-wet
1954,Historical Emissions,1.03,0,0.7,Upper Musselshell,con-wet
1955,Historical Emissions,1.04,0.28,1,Upper Musselshell,con-wet
1956,Historical Emissions,1.03,0,0.05,Upper Musselshell,con-wet
1957,Historical Emissions,1.42,0.36,0.9,Upper Musselshell,con-wet
1958,Historical Emissions,1,0,0.3,Upper Musselshell,con-wet
1959,Historical Emissions,1,0,0.3,Upper Musselshell,con-wet
1960,Historical Emissions,1,0,0.3,Upper Musselshell,con-wet
1961,Historical Emissions,1.02,0.04,0.15,Upper Musselshell,con-wet
1962,Historical Emissions,1.04,0,0.4,Upper Musselshell,con-wet
1963,Historical Emissions,1,0,0.95,Upper Musselshell,con-wet
1964,Historical Emissions,1.04,0,0.5,Upper Musselshell,con-wet
1965,Historical Emissions,0.96,0,0.15,Upper Musselshell,con-wet
1966,Historical Emissions,1,0.08,0.25,Upper Musselshell,con-wet
1967,Historical Emissions,0.92,0,0.6,Upper Musselshell,con-wet
1968,Historical Emissions,0.88,0,0,Upper Musselshell,con-wet
1969,Historical Emissions,1.01,0,0,Upper Musselshell,con-wet
1970,Historical Emissions,0.84,0,0.2,Upper Musselshell,con-wet
1971,Historical Emissions,1.2,0,0.15,Upper Musselshell,con-wet
1972,Historical Emissions,0.96,0,0.6,Upper Musselshell,con-wet
1973,Historical Emissions,1.16,0,0.45,Upper Musselshell,con-wet
1974,Historical Emissions,1.12,0.04,0.7,Upper Musselshell,con-wet
1975,Historical Emissions,1.02,0,0.75,Upper Musselshell,con-wet
1976,Historical Emissions,1.03,0.04,0.35,Upper Musselshell,con-wet
1977,Historical Emissions,1.07,0,0.1,Upper Musselshell,con-wet
1978,Historical Emissions,1,0.08,0.3,Upper Musselshell,con-wet
1979,Historical Emissions,1,0.04,0.6,Upper Musselshell,con-wet
1980,Historical Emissions,1.62,0,0.8,Upper Musselshell,con-wet
