scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Jan,Mid Century (2040-2069),1,0,0.5,Middle Fork Flathead,con-wet
Historical Emissions,Jan,End-of-Century (2070-2099),1,0,0.5,Middle Fork Flathead,con-wet
"Moderating Emissions
(SSP1-2.6)",Jan,End-of-Century (2070-2099),2,0.167,1,Middle Fork Flathead,con-wet
"Moderating Emissions
(SSP1-2.6)",Jan,Mid Century (2040-2069),1.167,0,0.5,Middle Fork Flathead,con-wet
"Middle of the Road
(SSP2-4.5)",Jan,End-of-Century (2070-2099),1.05,0.117,0.75,Middle Fork Flathead,con-wet
"Middle of the Road
(SSP2-4.5)",Jan,Mid Century (2040-2069),1,0,0.5,Middle Fork Flathead,con-wet
"High Emissions
(SSP3-7.0)",Jan,End-of-Century (2070-2099),1.533,0,0.834,Middle Fork Flathead,con-wet
"High Emissions
(SSP3-7.0)",Jan,Mid Century (2040-2069),1.167,0,0.667,Middle Fork Flathead,con-wet
"Accelerating Emissions
(SSP5-8.5)",Jan,End-of-Century (2070-2099),1.05,0,0.333,Middle Fork Flathead,con-wet
"Accelerating Emissions
(SSP5-8.5)",Jan,Mid Century (2040-2069),1.5,0,0.5,Middle Fork Flathead,con-wet
