scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Apr,Mid Century (2040-2069),22.284,14.425,18.453,Lewistown,dry-days
Historical Emissions,Aug,Mid Century (2040-2069),27.226,18.49,23.269,Lewistown,dry-days
Historical Emissions,Dec,Mid Century (2040-2069),25.516,17.643,21.422,Lewistown,dry-days
Historical Emissions,Feb,Mid Century (2040-2069),23.642,16.423,20.447,Lewistown,dry-days
Historical Emissions,Jan,Mid Century (2040-2069),25.743,17.127,21.695,Lewistown,dry-days
Historical Emissions,Jul,Mid Century (2040-2069),26.283,16.825,21.906,Lewistown,dry-days
Historical Emissions,Jun,Mid Century (2040-2069),20.245,10.311,15.09,Lewistown,dry-days
Historical Emissions,Mar,Mid Century (2040-2069),24.925,17.075,21.49,Lewistown,dry-days
Historical Emissions,May,Mid Century (2040-2069),21.293,10.948,16.084,Lewistown,dry-days
Historical Emissions,Nov,Mid Century (2040-2069),25.672,18.823,22.584,Lewistown,dry-days
Historical Emissions,Oct,Mid Century (2040-2069),27.642,19.96,24.264,Lewistown,dry-days
Historical Emissions,Sep,Mid Century (2040-2069),26.218,17.983,22.395,Lewistown,dry-days
Historical Emissions,Apr,End-of-Century (2070-2099),22.284,14.425,18.453,Lewistown,dry-days
Historical Emissions,Aug,End-of-Century (2070-2099),27.226,18.49,23.269,Lewistown,dry-days
Historical Emissions,Dec,End-of-Century (2070-2099),25.516,17.643,21.422,Lewistown,dry-days
Historical Emissions,Feb,End-of-Century (2070-2099),23.642,16.423,20.447,Lewistown,dry-days
Historical Emissions,Jan,End-of-Century (2070-2099),25.743,17.127,21.695,Lewistown,dry-days
Historical Emissions,Jul,End-of-Century (2070-2099),26.283,16.825,21.906,Lewistown,dry-days
Historical Emissions,Jun,End-of-Century (2070-2099),20.245,10.311,15.09,Lewistown,dry-days
Historical Emissions,Mar,End-of-Century (2070-2099),24.925,17.075,21.49,Lewistown,dry-days
Historical Emissions,May,End-of-Century (2070-2099),21.293,10.948,16.084,Lewistown,dry-days
Historical Emissions,Nov,End-of-Century (2070-2099),25.672,18.823,22.584,Lewistown,dry-days
Historical Emissions,Oct,End-of-Century (2070-2099),27.642,19.96,24.264,Lewistown,dry-days
Historical Emissions,Sep,End-of-Century (2070-2099),26.218,17.983,22.395,Lewistown,dry-days
"Moderating Emissions
(SSP1-2.6)",Apr,End-of-Century (2070-2099),20.106,13.57,17.595,Lewistown,dry-days
"Moderating Emissions
(SSP1-2.6)",Apr,Mid Century (2040-2069),22.138,14.4,18.037,Lewistown,dry-days
"Moderating Emissions
(SSP1-2.6)",Aug,End-of-Century (2070-2099),27.534,20.393,23.768,Lewistown,dry-days
"Moderating Emissions
(SSP1-2.6)",Aug,Mid Century (2040-2069),27.822,18.409,23.169,Lewistown,dry-days
"Moderating Emissions
(SSP1-2.6)",Dec,End-of-Century (2070-2099),25.711,15.779,21.669,Lewistown,dry-days
"Moderating Emissions
(SSP1-2.6)",Dec,Mid Century (2040-2069),25.623,16.743,21.784,Lewistown,dry-days
"Moderating Emissions
(SSP1-2.6)",Feb,End-of-Century (2070-2099),23.164,15.524,18.864,Lewistown,dry-days
"Moderating Emissions
(SSP1-2.6)",Feb,Mid Century (2040-2069),24.149,16.129,20.447,Lewistown,dry-days
"Moderating Emissions
(SSP1-2.6)",Jan,End-of-Century (2070-2099),26.83,17.683,23.121,Lewistown,dry-days
"Moderating Emissions
(SSP1-2.6)",Jan,Mid Century (2040-2069),25.908,16.86,21.253,Lewistown,dry-days
"Moderating Emissions
(SSP1-2.6)",Jul,End-of-Century (2070-2099),26.521,17.336,20.258,Lewistown,dry-days
"Moderating Emissions
(SSP1-2.6)",Jul,Mid Century (2040-2069),26.068,16.332,21.763,Lewistown,dry-days
"Moderating Emissions
(SSP1-2.6)",Jun,End-of-Century (2070-2099),15.807,10.053,12.105,Lewistown,dry-days
"Moderating Emissions
(SSP1-2.6)",Jun,Mid Century (2040-2069),19.903,9.56,14.947,Lewistown,dry-days
