scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Apr,Mid Century (2040-2069),20.588,10.353,15.529,Lincoln County,dry-days
Historical Emissions,Aug,Mid Century (2040-2069),26.882,16.712,22.412,Lincoln County,dry-days
Historical Emissions,Dec,Mid Century (2040-2069),20.882,8.424,14.088,Lincoln County,dry-days
Historical Emissions,Feb,Mid Century (2040-2069),19.806,8.241,13.559,Lincoln County,dry-days
Historical Emissions,Jan,Mid Century (2040-2069),21.094,8.588,14.882,Lincoln County,dry-days
Historical Emissions,Jul,Mid Century (2040-2069),25.941,15.176,21.441,Lincoln County,dry-days
Historical Emissions,Jun,Mid Century (2040-2069),19.641,8.529,14.029,Lincoln County,dry-days
Historical Emissions,Mar,Mid Century (2040-2069),21.053,10.6,15.471,Lincoln County,dry-days
Historical Emissions,May,Mid Century (2040-2069),20.053,10.006,15.206,Lincoln County,dry-days
Historical Emissions,Nov,Mid Century (2040-2069),20.347,8.771,14.412,Lincoln County,dry-days
Historical Emissions,Oct,Mid Century (2040-2069),24.929,13.888,19.853,Lincoln County,dry-days
Historical Emissions,Sep,Mid Century (2040-2069),25.876,15.235,21,Lincoln County,dry-days
Historical Emissions,Apr,End-of-Century (2070-2099),20.588,10.353,15.529,Lincoln County,dry-days
Historical Emissions,Aug,End-of-Century (2070-2099),26.882,16.712,22.412,Lincoln County,dry-days
Historical Emissions,Dec,End-of-Century (2070-2099),20.882,8.424,14.088,Lincoln County,dry-days
Historical Emissions,Feb,End-of-Century (2070-2099),19.806,8.241,13.559,Lincoln County,dry-days
Historical Emissions,Jan,End-of-Century (2070-2099),21.094,8.588,14.882,Lincoln County,dry-days
Historical Emissions,Jul,End-of-Century (2070-2099),25.941,15.176,21.441,Lincoln County,dry-days
Historical Emissions,Jun,End-of-Century (2070-2099),19.641,8.529,14.029,Lincoln County,dry-days
Historical Emissions,Mar,End-of-Century (2070-2099),21.053,10.6,15.471,Lincoln County,dry-days
Historical Emissions,May,End-of-Century (2070-2099),20.053,10.006,15.206,Lincoln County,dry-days
Historical Emissions,Nov,End-of-Century (2070-2099),20.347,8.771,14.412,Lincoln County,dry-days
Historical Emissions,Oct,End-of-Century (2070-2099),24.929,13.888,19.853,Lincoln County,dry-days
Historical Emissions,Sep,End-of-Century (2070-2099),25.876,15.235,21,Lincoln County,dry-days
"Moderating Emissions
(SSP1-2.6)",Apr,End-of-Century (2070-2099),18.512,11.065,14.5,Lincoln County,dry-days
"Moderating Emissions
(SSP1-2.6)",Apr,Mid Century (2040-2069),20.476,10.812,15.147,Lincoln County,dry-days
"Moderating Emissions
(SSP1-2.6)",Aug,End-of-Century (2070-2099),29.082,20.6,21.882,Lincoln County,dry-days
"Moderating Emissions
(SSP1-2.6)",Aug,Mid Century (2040-2069),27.294,17.529,22.706,Lincoln County,dry-days
"Moderating Emissions
(SSP1-2.6)",Dec,End-of-Century (2070-2099),20.482,7.606,14.618,Lincoln County,dry-days
"Moderating Emissions
(SSP1-2.6)",Dec,Mid Century (2040-2069),19.606,7.4,13.647,Lincoln County,dry-days
"Moderating Emissions
(SSP1-2.6)",Feb,End-of-Century (2070-2099),21.835,6.6,12.912,Lincoln County,dry-days
"Moderating Emissions
(SSP1-2.6)",Feb,Mid Century (2040-2069),19.541,8.165,13.471,Lincoln County,dry-days
"Moderating Emissions
(SSP1-2.6)",Jan,End-of-Century (2070-2099),20.382,10.959,15.235,Lincoln County,dry-days
"Moderating Emissions
(SSP1-2.6)",Jan,Mid Century (2040-2069),21.071,9.924,14.941,Lincoln County,dry-days
"Moderating Emissions
(SSP1-2.6)",Jul,End-of-Century (2070-2099),24.606,14.429,19.118,Lincoln County,dry-days
"Moderating Emissions
(SSP1-2.6)",Jul,Mid Century (2040-2069),26.894,15.347,21.618,Lincoln County,dry-days
"Moderating Emissions
(SSP1-2.6)",Jun,End-of-Century (2070-2099),17.612,8.494,10.971,Lincoln County,dry-days
"Moderating Emissions
(SSP1-2.6)",Jun,Mid Century (2040-2069),19.535,8.053,13.735,Lincoln County,dry-days
"Moderating Emissions
(SSP1-2.6)",Mar,End-of-Century (2070-2099),20.171,9.853,15.088,Lincoln County,dry-days
"Moderating Emissions
(SSP1-2.6)",Mar,Mid Century (2040-2069),21.241,9.318,15.647,Lincoln County,dry-days
"Moderating Emissions
(SSP1-2.6)",May,End-of-Century (2070-2099),17.488,8.476,13.5,Lincoln County,dry-days
"Moderating Emissions
(SSP1-2.6)",May,Mid Century (2040-2069),19.647,9.524,13.882,Lincoln County,dry-days
"Moderating Emissions
(SSP1-2.6)",Nov,End-of-Century (2070-2099),20.529,8.506,15.118,Lincoln County,dry-days
"Moderating Emissions
(SSP1-2.6)",Nov,Mid Century (2040-2069),19.782,8.935,14.029,Lincoln County,dry-days
"Moderating Emissions
(SSP1-2.6)",Oct,End-of-Century (2070-2099),21.818,13.653,17.265,Lincoln County,dry-days
"Moderating Emissions
(SSP1-2.6)",Oct,Mid Century (2040-2069),24.888,13.759,19.706,Lincoln County,dry-days
"Moderating Emissions
(SSP1-2.6)",Sep,End-of-Century (2070-2099),26.882,18.253,23.441,Lincoln County,dry-days
"Moderating Emissions
(SSP1-2.6)",Sep,Mid Century (2040-2069),26.118,15.412,21.5,Lincoln County,dry-days
"Middle of the Road
(SSP2-4.5)",Apr,End-of-Century (2070-2099),19.512,9.306,13.588,Lincoln County,dry-days
"Middle of the Road
(SSP2-4.5)",Apr,Mid Century (2040-2069),19.894,10.059,15.029,Lincoln County,dry-days
"Middle of the Road
(SSP2-4.5)",Aug,End-of-Century (2070-2099),27.941,15.8,23.471,Lincoln County,dry-days
"Middle of the Road
(SSP2-4.5)",Aug,Mid Century (2040-2069),27.471,16.582,22.5,Lincoln County,dry-days
"Middle of the Road
(SSP2-4.5)",Dec,End-of-Century (2070-2099),18.3,7.124,13.882,Lincoln County,dry-days
"Middle of the Road
(SSP2-4.5)",Dec,Mid Century (2040-2069),19.888,7.588,13.382,Lincoln County,dry-days
"Middle of the Road
(SSP2-4.5)",Feb,End-of-Century (2070-2099),18.3,8.976,14.265,Lincoln County,dry-days
"Middle of the Road
(SSP2-4.5)",Feb,Mid Century (2040-2069),18.553,8.459,13.882,Lincoln County,dry-days
"Middle of the Road
(SSP2-4.5)",Jan,End-of-Century (2070-2099),16.665,7.776,12.353,Lincoln County,dry-days
"Middle of the Road
(SSP2-4.5)",Jan,Mid Century (2040-2069),20.947,9.112,14.412,Lincoln County,dry-days
"Middle of the Road
(SSP2-4.5)",Jul,End-of-Century (2070-2099),26.7,16.694,21.441,Lincoln County,dry-days
"Middle of the Road
(SSP2-4.5)",Jul,Mid Century (2040-2069),27.594,15.547,22.353,Lincoln County,dry-days
"Middle of the Road
(SSP2-4.5)",Jun,End-of-Century (2070-2099),19.394,8.941,15.529,Lincoln County,dry-days
"Middle of the Road
(SSP2-4.5)",Jun,Mid Century (2040-2069),20.476,8.882,13.824,Lincoln County,dry-days
"Middle of the Road
(SSP2-4.5)",Mar,End-of-Century (2070-2099),21.876,11.471,16.941,Lincoln County,dry-days
"Middle of the Road
(SSP2-4.5)",Mar,Mid Century (2040-2069),21.359,9.7,15.588,Lincoln County,dry-days
"Middle of the Road
(SSP2-4.5)",May,End-of-Century (2070-2099),19.935,9.312,14.088,Lincoln County,dry-days
"Middle of the Road
(SSP2-4.5)",May,Mid Century (2040-2069),20.206,9.112,14.412,Lincoln County,dry-days
"Middle of the Road
(SSP2-4.5)",Nov,End-of-Century (2070-2099),16.471,7.653,13.647,Lincoln County,dry-days
"Middle of the Road
(SSP2-4.5)",Nov,Mid Century (2040-2069),20.176,8.7,14.647,Lincoln County,dry-days
"Middle of the Road
(SSP2-4.5)",Oct,End-of-Century (2070-2099),26.188,14.112,18.294,Lincoln County,dry-days
"Middle of the Road
(SSP2-4.5)",Oct,Mid Century (2040-2069),25.541,13.118,19.647,Lincoln County,dry-days
"Middle of the Road
(SSP2-4.5)",Sep,End-of-Century (2070-2099),25.541,11.394,22.559,Lincoln County,dry-days
"Middle of the Road
(SSP2-4.5)",Sep,Mid Century (2040-2069),26.065,15.676,21.324,Lincoln County,dry-days
"High Emissions
(SSP3-7.0)",Apr,End-of-Century (2070-2099),18.912,9.106,13.706,Lincoln County,dry-days
"High Emissions
(SSP3-7.0)",Apr,Mid Century (2040-2069),19.006,9.047,13.941,Lincoln County,dry-days
"High Emissions
(SSP3-7.0)",Aug,End-of-Century (2070-2099),28.265,17.859,23.176,Lincoln County,dry-days
"High Emissions
(SSP3-7.0)",Aug,Mid Century (2040-2069),27.471,17.282,23,Lincoln County,dry-days
"High Emissions
(SSP3-7.0)",Dec,End-of-Century (2070-2099),19.535,7.859,14.324,Lincoln County,dry-days
"High Emissions
(SSP3-7.0)",Dec,Mid Century (2040-2069),19.882,7.518,14.059,Lincoln County,dry-days
"High Emissions
(SSP3-7.0)",Feb,End-of-Century (2070-2099),14.694,7.994,10.412,Lincoln County,dry-days
"High Emissions
(SSP3-7.0)",Feb,Mid Century (2040-2069),19.3,8.941,13.912,Lincoln County,dry-days
"High Emissions
(SSP3-7.0)",Jan,End-of-Century (2070-2099),22.841,11.659,17.265,Lincoln County,dry-days
"High Emissions
(SSP3-7.0)",Jan,Mid Century (2040-2069),21.188,8.994,15.029,Lincoln County,dry-days
"High Emissions
(SSP3-7.0)",Jul,End-of-Century (2070-2099),28.429,16.159,22.853,Lincoln County,dry-days
"High Emissions
(SSP3-7.0)",Jul,Mid Century (2040-2069),26.9,16.029,22,Lincoln County,dry-days
"High Emissions
(SSP3-7.0)",Jun,End-of-Century (2070-2099),20.959,7.294,18.265,Lincoln County,dry-days
"High Emissions
(SSP3-7.0)",Jun,Mid Century (2040-2069),20.494,8.876,13.941,Lincoln County,dry-days
"High Emissions
(SSP3-7.0)",Mar,End-of-Century (2070-2099),16.188,9.906,12.676,Lincoln County,dry-days
"High Emissions
(SSP3-7.0)",Mar,Mid Century (2040-2069),20.247,9.235,15.588,Lincoln County,dry-days
"High Emissions
(SSP3-7.0)",May,End-of-Century (2070-2099),19.418,9.971,15.147,Lincoln County,dry-days
"High Emissions
(SSP3-7.0)",May,Mid Century (2040-2069),19.647,10.059,14.882,Lincoln County,dry-days
"High Emissions
(SSP3-7.0)",Nov,End-of-Century (2070-2099),17.959,8.729,13.735,Lincoln County,dry-days
"High Emissions
(SSP3-7.0)",Nov,Mid Century (2040-2069),20.471,8.576,14.235,Lincoln County,dry-days
"High Emissions
(SSP3-7.0)",Oct,End-of-Century (2070-2099),21.971,14.565,18.853,Lincoln County,dry-days
"High Emissions
(SSP3-7.0)",Oct,Mid Century (2040-2069),24.359,13.994,19.706,Lincoln County,dry-days
"High Emissions
(SSP3-7.0)",Sep,End-of-Century (2070-2099),25.376,15.871,21.941,Lincoln County,dry-days
"High Emissions
(SSP3-7.0)",Sep,Mid Century (2040-2069),26.118,16.406,22,Lincoln County,dry-days
"Accelerating Emissions
(SSP5-8.5)",Apr,End-of-Century (2070-2099),18.612,8.624,13.735,Lincoln County,dry-days
"Accelerating Emissions
(SSP5-8.5)",Apr,Mid Century (2040-2069),18.882,9.876,14.382,Lincoln County,dry-days
"Accelerating Emissions
(SSP5-8.5)",Aug,End-of-Century (2070-2099),29.488,19.412,26.118,Lincoln County,dry-days
"Accelerating Emissions
(SSP5-8.5)",Aug,Mid Century (2040-2069),28.188,17.212,23.235,Lincoln County,dry-days
"Accelerating Emissions
(SSP5-8.5)",Dec,End-of-Century (2070-2099),19.882,9.759,13.118,Lincoln County,dry-days
"Accelerating Emissions
(SSP5-8.5)",Dec,Mid Century (2040-2069),19.541,7.741,13,Lincoln County,dry-days
"Accelerating Emissions
(SSP5-8.5)",Feb,End-of-Century (2070-2099),20.835,10.588,14.882,Lincoln County,dry-days
"Accelerating Emissions
(SSP5-8.5)",Feb,Mid Century (2040-2069),19.006,8.106,13.588,Lincoln County,dry-days
"Accelerating Emissions
(SSP5-8.5)",Jan,End-of-Century (2070-2099),19.612,7.694,15.441,Lincoln County,dry-days
"Accelerating Emissions
(SSP5-8.5)",Jan,Mid Century (2040-2069),20.547,9.294,14.941,Lincoln County,dry-days
"Accelerating Emissions
(SSP5-8.5)",Jul,End-of-Century (2070-2099),27.476,18.282,24.676,Lincoln County,dry-days
"Accelerating Emissions
(SSP5-8.5)",Jul,Mid Century (2040-2069),26.841,15.918,21.441,Lincoln County,dry-days
"Accelerating Emissions
(SSP5-8.5)",Jun,End-of-Century (2070-2099),21.224,11.653,14.853,Lincoln County,dry-days
"Accelerating Emissions
(SSP5-8.5)",Jun,Mid Century (2040-2069),20.065,9.347,14.971,Lincoln County,dry-days
"Accelerating Emissions
(SSP5-8.5)",Mar,End-of-Century (2070-2099),20.065,9.829,13.235,Lincoln County,dry-days
"Accelerating Emissions
(SSP5-8.5)",Mar,Mid Century (2040-2069),20.359,9.512,14.706,Lincoln County,dry-days
"Accelerating Emissions
(SSP5-8.5)",May,End-of-Century (2070-2099),20.482,12.024,15.971,Lincoln County,dry-days
"Accelerating Emissions
(SSP5-8.5)",May,Mid Century (2040-2069),20.718,9.824,14.441,Lincoln County,dry-days
"Accelerating Emissions
(SSP5-8.5)",Nov,End-of-Century (2070-2099),19.8,7.541,12.882,Lincoln County,dry-days
"Accelerating Emissions
(SSP5-8.5)",Nov,Mid Century (2040-2069),19.835,9.118,14.206,Lincoln County,dry-days
"Accelerating Emissions
(SSP5-8.5)",Oct,End-of-Century (2070-2099),25.712,15.429,19.706,Lincoln County,dry-days
"Accelerating Emissions
(SSP5-8.5)",Oct,Mid Century (2040-2069),25.606,14.053,19.706,Lincoln County,dry-days
"Accelerating Emissions
(SSP5-8.5)",Sep,End-of-Century (2070-2099),26.953,15.765,19.5,Lincoln County,dry-days
"Accelerating Emissions
(SSP5-8.5)",Sep,Mid Century (2040-2069),26.647,15.618,21.882,Lincoln County,dry-days
