year,scenario,upper,lower,value,location,variable
1950,Historical Emissions,276.4,250.633,271.833,Petroleum County,dry-days
1951,Historical Emissions,267.5,250.133,257.333,Petroleum County,dry-days
1952,Historical Emissions,273.433,248.933,260.5,Petroleum County,dry-days
1953,Historical Emissions,269.433,244.1,254.833,Petroleum County,dry-days
1954,Historical Emissions,271.433,237.2,246.333,Petroleum County,dry-days
1955,Historical Emissions,285.4,233.567,248.5,Petroleum County,dry-days
1956,Historical Emissions,281.733,250.033,270.833,Petroleum County,dry-days
1957,Historical Emissions,283.767,234.733,261.667,Petroleum County,dry-days
1958,Historical Emissions,259.6,233.4,248.833,Petroleum County,dry-days
1959,Historical Emissions,262.933,238.467,258.333,Petroleum County,dry-days
1960,Historical Emissions,274.4,242,261.833,Petroleum County,dry-days
1961,Historical Emissions,269.3,242.733,256.833,Petroleum County,dry-days
1962,Historical Emissions,281.967,233.467,247.167,Petroleum County,dry-days
1963,Historical Emissions,267.7,241.967,252.833,Petroleum County,dry-days
1964,Historical Emissions,274.667,248.133,266.5,Petroleum County,dry-days
1965,Historical Emissions,274.567,245.3,261.333,Petroleum County,dry-days
1966,Historical Emissions,286.167,233.033,251.5,Petroleum County,dry-days
1967,Historical Emissions,277.733,244.6,259.5,Petroleum County,dry-days
1968,Historical Emissions,269.7,236.867,249.667,Petroleum County,dry-days
1969,Historical Emissions,273.2,251.4,259.167,Petroleum County,dry-days
1970,Historical Emissions,273.5,239.1,249.333,Petroleum County,dry-days
1971,Historical Emissions,287.167,246.133,257.333,Petroleum County,dry-days
1972,Historical Emissions,270.9,245.733,264,Petroleum County,dry-days
1973,Historical Emissions,278.467,242.233,254.5,Petroleum County,dry-days
1974,Historical Emissions,276.433,239.167,263.5,Petroleum County,dry-days
1975,Historical Emissions,272.1,246.5,257.167,Petroleum County,dry-days
1976,Historical Emissions,267.6,245.8,253.667,Petroleum County,dry-days
1977,Historical Emissions,265.2,239.067,259.833,Petroleum County,dry-days
1978,Historical Emissions,259.967,238.833,251.833,Petroleum County,dry-days
1979,Historical Emissions,263.967,241.733,260.167,Petroleum County,dry-days
1980,Historical Emissions,280.4,237,253.167,Petroleum County,dry-days
1981,Historical Emissions,265.3,238.2,259.333,Petroleum County,dry-days
1982,Historical Emissions,268.367,241.8,264,Petroleum County,dry-days
1983,Historical Emissions,276.3,253.8,257.333,Petroleum County,dry-days
1984,Historical Emissions,278.233,246.067,260,Petroleum County,dry-days
1985,Historical Emissions,270.833,247.633,260.667,Petroleum County,dry-days
1986,Historical Emissions,251.867,229.367,241,Petroleum County,dry-days
1987,Historical Emissions,259.767,233.1,249.5,Petroleum County,dry-days
1988,Historical Emissions,269.167,237.567,255.833,Petroleum County,dry-days
1989,Historical Emissions,270.067,246.267,261.5,Petroleum County,dry-days
1990,Historical Emissions,281.833,243.8,251.833,Petroleum County,dry-days
1991,Historical Emissions,283.9,226.1,253.667,Petroleum County,dry-days
1992,Historical Emissions,288.567,251.267,261.333,Petroleum County,dry-days
1993,Historical Emissions,269.2,246.533,257,Petroleum County,dry-days
1994,Historical Emissions,277.733,252.433,262.667,Petroleum County,dry-days
1995,Historical Emissions,281.5,245.933,258.667,Petroleum County,dry-days
1996,Historical Emissions,293.933,244.167,258.833,Petroleum County,dry-days
1997,Historical Emissions,276.533,249.7,263.667,Petroleum County,dry-days
1998,Historical Emissions,269.667,241.7,249.833,Petroleum County,dry-days
1999,Historical Emissions,277.7,243.067,254.833,Petroleum County,dry-days
2000,Historical Emissions,275.8,247.767,262,Petroleum County,dry-days
2001,Historical Emissions,270.733,248.1,255.167,Petroleum County,dry-days
2002,Historical Emissions,271.367,244.133,262.333,Petroleum County,dry-days
2003,Historical Emissions,277.8,243.433,259,Petroleum County,dry-days
2004,Historical Emissions,280.9,242.7,267.667,Petroleum County,dry-days
2005,Historical Emissions,279.533,246.2,267.5,Petroleum County,dry-days
2006,Historical Emissions,273.433,235.167,242.5,Petroleum County,dry-days
2007,Historical Emissions,274.967,256.3,260.167,Petroleum County,dry-days
2008,Historical Emissions,269,245.733,260.333,Petroleum County,dry-days
2009,Historical Emissions,265.4,240.7,248,Petroleum County,dry-days
2010,Historical Emissions,271.367,253.733,260,Petroleum County,dry-days
2011,Historical Emissions,271.367,247.467,254.833,Petroleum County,dry-days
2012,Historical Emissions,275.167,248.167,265,Petroleum County,dry-days
2013,Historical Emissions,278.233,246.467,260.833,Petroleum County,dry-days
2014,Historical Emissions,273.6,250.8,259.333,Petroleum County,dry-days
2015,"Moderating Emissions
(SSP1-2.6)",273.6,250.1,259.833,Petroleum County,dry-days
2015,"Middle of the Road
(SSP2-4.5)",280.5,245.333,269.333,Petroleum County,dry-days
2015,"High Emissions
(SSP3-7.0)",276.867,242.167,262.833,Petroleum County,dry-days
2015,"Accelerating Emissions
(SSP5-8.5)",274.867,245.2,258.833,Petroleum County,dry-days
2016,"Moderating Emissions
(SSP1-2.6)",273.7,242.167,261.5,Petroleum County,dry-days
2016,"Middle of the Road
(SSP2-4.5)",263.233,239.1,246,Petroleum County,dry-days
2016,"High Emissions
(SSP3-7.0)",290.3,251.7,259.167,Petroleum County,dry-days
2016,"Accelerating Emissions
(SSP5-8.5)",262.467,242.5,255.667,Petroleum County,dry-days
2017,"Moderating Emissions
(SSP1-2.6)",265.1,245.8,253.333,Petroleum County,dry-days
2017,"Middle of the Road
(SSP2-4.5)",274.6,230.8,253.5,Petroleum County,dry-days
2017,"High Emissions
(SSP3-7.0)",266.6,238.833,249.667,Petroleum County,dry-days
2017,"Accelerating Emissions
(SSP5-8.5)",265.033,248.833,260.5,Petroleum County,dry-days
