scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Apr,Mid Century (2040-2069),21.927,13.933,17.733,Powder River County,dry-days
Historical Emissions,Aug,Mid Century (2040-2069),27.993,18.94,23.633,Powder River County,dry-days
Historical Emissions,Dec,Mid Century (2040-2069),25.933,17.933,22.2,Powder River County,dry-days
Historical Emissions,Feb,Mid Century (2040-2069),23.793,16.533,20.133,Powder River County,dry-days
Historical Emissions,Jan,Mid Century (2040-2069),26.32,17.267,22.367,Powder River County,dry-days
Historical Emissions,Jul,Mid Century (2040-2069),26.393,15.473,21.167,Powder River County,dry-days
Historical Emissions,Jun,Mid Century (2040-2069),20.467,10.873,15.6,Powder River County,dry-days
Historical Emissions,Mar,Mid Century (2040-2069),24.867,17.467,21.4,Powder River County,dry-days
Historical Emissions,May,Mid Century (2040-2069),21.467,11.4,16.1,Powder River County,dry-days
Historical Emissions,Nov,Mid Century (2040-2069),26.133,19.34,23,Powder River County,dry-days
Historical Emissions,Oct,Mid Century (2040-2069),27.667,20.487,24.533,Powder River County,dry-days
Historical Emissions,Sep,Mid Century (2040-2069),26.733,18.667,23,Powder River County,dry-days
Historical Emissions,Apr,End-of-Century (2070-2099),21.927,13.933,17.733,Powder River County,dry-days
Historical Emissions,Aug,End-of-Century (2070-2099),27.993,18.94,23.633,Powder River County,dry-days
Historical Emissions,Dec,End-of-Century (2070-2099),25.933,17.933,22.2,Powder River County,dry-days
Historical Emissions,Feb,End-of-Century (2070-2099),23.793,16.533,20.133,Powder River County,dry-days
Historical Emissions,Jan,End-of-Century (2070-2099),26.32,17.267,22.367,Powder River County,dry-days
Historical Emissions,Jul,End-of-Century (2070-2099),26.393,15.473,21.167,Powder River County,dry-days
Historical Emissions,Jun,End-of-Century (2070-2099),20.467,10.873,15.6,Powder River County,dry-days
Historical Emissions,Mar,End-of-Century (2070-2099),24.867,17.467,21.4,Powder River County,dry-days
Historical Emissions,May,End-of-Century (2070-2099),21.467,11.4,16.1,Powder River County,dry-days
Historical Emissions,Nov,End-of-Century (2070-2099),26.133,19.34,23,Powder River County,dry-days
Historical Emissions,Oct,End-of-Century (2070-2099),27.667,20.487,24.533,Powder River County,dry-days
Historical Emissions,Sep,End-of-Century (2070-2099),26.733,18.667,23,Powder River County,dry-days
