scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Apr,Mid Century (2040-2069),21.375,12.887,17.25,Beaverhead,dry-days
Historical Emissions,Aug,Mid Century (2040-2069),27.75,18.75,23.75,Beaverhead,dry-days
Historical Emissions,Dec,Mid Century (2040-2069),24.75,14.762,20.125,Beaverhead,dry-days
Historical Emissions,Feb,Mid Century (2040-2069),22.988,14.138,18.938,Beaverhead,dry-days
Historical Emissions,Jan,Mid Century (2040-2069),25.25,14.875,20.375,Beaverhead,dry-days
Historical Emissions,Jul,Mid Century (2040-2069),28.125,18.138,23.75,Beaverhead,dry-days
Historical Emissions,Jun,Mid Century (2040-2069),22.25,11.125,16.375,Beaverhead,dry-days
Historical Emissions,Mar,Mid Century (2040-2069),23.375,14.875,19.375,Beaverhead,dry-days
Historical Emissions,May,Mid Century (2040-2069),21.613,10.8,16.25,Beaverhead,dry-days
Historical Emissions,Nov,Mid Century (2040-2069),24.488,15.5,20.25,Beaverhead,dry-days
Historical Emissions,Oct,Mid Century (2040-2069),27.5,19.012,23.25,Beaverhead,dry-days
Historical Emissions,Sep,Mid Century (2040-2069),26.5,18.375,22.625,Beaverhead,dry-days
Historical Emissions,Apr,End-of-Century (2070-2099),21.375,12.887,17.25,Beaverhead,dry-days
Historical Emissions,Aug,End-of-Century (2070-2099),27.75,18.75,23.75,Beaverhead,dry-days
Historical Emissions,Dec,End-of-Century (2070-2099),24.75,14.762,20.125,Beaverhead,dry-days
Historical Emissions,Feb,End-of-Century (2070-2099),22.988,14.138,18.938,Beaverhead,dry-days
Historical Emissions,Jan,End-of-Century (2070-2099),25.25,14.875,20.375,Beaverhead,dry-days
Historical Emissions,Jul,End-of-Century (2070-2099),28.125,18.138,23.75,Beaverhead,dry-days
Historical Emissions,Jun,End-of-Century (2070-2099),22.25,11.125,16.375,Beaverhead,dry-days
Historical Emissions,Mar,End-of-Century (2070-2099),23.375,14.875,19.375,Beaverhead,dry-days
Historical Emissions,May,End-of-Century (2070-2099),21.613,10.8,16.25,Beaverhead,dry-days
Historical Emissions,Nov,End-of-Century (2070-2099),24.488,15.5,20.25,Beaverhead,dry-days
Historical Emissions,Oct,End-of-Century (2070-2099),27.5,19.012,23.25,Beaverhead,dry-days
Historical Emissions,Sep,End-of-Century (2070-2099),26.5,18.375,22.625,Beaverhead,dry-days
"Moderating Emissions
(SSP1-2.6)",Apr,End-of-Century (2070-2099),21.938,11.875,16.5,Beaverhead,dry-days
"Moderating Emissions
(SSP1-2.6)",Apr,Mid Century (2040-2069),21.125,11.863,16.75,Beaverhead,dry-days
"Moderating Emissions
(SSP1-2.6)",Aug,End-of-Century (2070-2099),28.575,19.038,23.312,Beaverhead,dry-days
"Moderating Emissions
(SSP1-2.6)",Aug,Mid Century (2040-2069),27.875,18.725,23.875,Beaverhead,dry-days
"Moderating Emissions
(SSP1-2.6)",Dec,End-of-Century (2070-2099),23.288,15.688,19.688,Beaverhead,dry-days
"Moderating Emissions
(SSP1-2.6)",Dec,Mid Century (2040-2069),24.125,14.312,19.75,Beaverhead,dry-days
"Moderating Emissions
(SSP1-2.6)",Feb,End-of-Century (2070-2099),21.575,13.338,19.5,Beaverhead,dry-days
"Moderating Emissions
(SSP1-2.6)",Feb,Mid Century (2040-2069),22.875,14,18.75,Beaverhead,dry-days
"Moderating Emissions
(SSP1-2.6)",Jan,End-of-Century (2070-2099),27.413,16.663,21.25,Beaverhead,dry-days
"Moderating Emissions
(SSP1-2.6)",Jan,Mid Century (2040-2069),25.125,15.5,20.562,Beaverhead,dry-days
"Moderating Emissions
(SSP1-2.6)",Jul,End-of-Century (2070-2099),27.337,18.413,24,Beaverhead,dry-days
"Moderating Emissions
(SSP1-2.6)",Jul,Mid Century (2040-2069),28,18.35,23.688,Beaverhead,dry-days
"Moderating Emissions
(SSP1-2.6)",Jun,End-of-Century (2070-2099),19.862,12.075,14.375,Beaverhead,dry-days
"Moderating Emissions
(SSP1-2.6)",Jun,Mid Century (2040-2069),22.762,11.113,16.75,Beaverhead,dry-days
"Moderating Emissions
(SSP1-2.6)",Mar,End-of-Century (2070-2099),21.975,13.6,19,Beaverhead,dry-days
"Moderating Emissions
(SSP1-2.6)",Mar,Mid Century (2040-2069),23.625,14.5,19,Beaverhead,dry-days
"Moderating Emissions
(SSP1-2.6)",May,End-of-Century (2070-2099),19.3,8.562,13.875,Beaverhead,dry-days
"Moderating Emissions
(SSP1-2.6)",May,Mid Century (2040-2069),21.125,9.875,15.5,Beaverhead,dry-days
"Moderating Emissions
(SSP1-2.6)",Nov,End-of-Century (2070-2099),24.138,16.025,19.562,Beaverhead,dry-days
"Moderating Emissions
(SSP1-2.6)",Nov,Mid Century (2040-2069),24.5,15.875,20.625,Beaverhead,dry-days
"Moderating Emissions
(SSP1-2.6)",Oct,End-of-Century (2070-2099),27.475,19.137,23.688,Beaverhead,dry-days
"Moderating Emissions
(SSP1-2.6)",Oct,Mid Century (2040-2069),27.387,18.725,23.125,Beaverhead,dry-days
"Moderating Emissions
(SSP1-2.6)",Sep,End-of-Century (2070-2099),26.488,19.188,23.562,Beaverhead,dry-days
"Moderating Emissions
(SSP1-2.6)",Sep,Mid Century (2040-2069),27.625,17.625,23.188,Beaverhead,dry-days
"Middle of the Road
(SSP2-4.5)",Apr,End-of-Century (2070-2099),20.138,14.05,16.688,Beaverhead,dry-days
"Middle of the Road
(SSP2-4.5)",Apr,Mid Century (2040-2069),21.125,12.363,16.625,Beaverhead,dry-days
"Middle of the Road
(SSP2-4.5)",Aug,End-of-Century (2070-2099),29.537,16.462,23.688,Beaverhead,dry-days
"Middle of the Road
(SSP2-4.5)",Aug,Mid Century (2040-2069),28.375,18.5,23.875,Beaverhead,dry-days
"Middle of the Road
(SSP2-4.5)",Dec,End-of-Century (2070-2099),25.288,14.925,18.5,Beaverhead,dry-days
"Middle of the Road
(SSP2-4.5)",Dec,Mid Century (2040-2069),23.762,13.875,18.812,Beaverhead,dry-days
"Middle of the Road
(SSP2-4.5)",Feb,End-of-Century (2070-2099),21.85,14.275,17.438,Beaverhead,dry-days
"Middle of the Road
(SSP2-4.5)",Feb,Mid Century (2040-2069),22.875,13.875,18.188,Beaverhead,dry-days
"Middle of the Road
(SSP2-4.5)",Jan,End-of-Century (2070-2099),23.825,14.312,19.25,Beaverhead,dry-days
"Middle of the Road
(SSP2-4.5)",Jan,Mid Century (2040-2069),25.375,14.613,20.125,Beaverhead,dry-days
"Middle of the Road
(SSP2-4.5)",Jul,End-of-Century (2070-2099),29,18.963,24.938,Beaverhead,dry-days
"Middle of the Road
(SSP2-4.5)",Jul,Mid Century (2040-2069),28.625,18.488,24.25,Beaverhead,dry-days
"Middle of the Road
(SSP2-4.5)",Jun,End-of-Century (2070-2099),21.45,14.213,16.625,Beaverhead,dry-days
"Middle of the Road
(SSP2-4.5)",Jun,Mid Century (2040-2069),21.775,11.988,16.75,Beaverhead,dry-days
