scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Apr,Mid Century (2040-2069),21.29,12.8,17.5,Sun,dry-days
Historical Emissions,Aug,Mid Century (2040-2069),27.2,17.3,22.75,Sun,dry-days
Historical Emissions,Dec,Mid Century (2040-2069),25.29,15.6,20.1,Sun,dry-days
Historical Emissions,Feb,Mid Century (2040-2069),23.18,14,19.1,Sun,dry-days
Historical Emissions,Jan,Mid Century (2040-2069),25.1,14.71,20.6,Sun,dry-days
Historical Emissions,Jul,Mid Century (2040-2069),26.6,16.42,21.9,Sun,dry-days
Historical Emissions,Jun,Mid Century (2040-2069),20.7,9.31,14.8,Sun,dry-days
Historical Emissions,Mar,Mid Century (2040-2069),24.3,14.91,20.05,Sun,dry-days
Historical Emissions,May,Mid Century (2040-2069),20.99,10.4,15.4,Sun,dry-days
Historical Emissions,Nov,Mid Century (2040-2069),24.89,16.2,20.9,Sun,dry-days
Historical Emissions,Oct,Mid Century (2040-2069),27,18.11,23.1,Sun,dry-days
Historical Emissions,Sep,Mid Century (2040-2069),26.39,17.11,21.8,Sun,dry-days
Historical Emissions,Apr,End-of-Century (2070-2099),21.29,12.8,17.5,Sun,dry-days
Historical Emissions,Aug,End-of-Century (2070-2099),27.2,17.3,22.75,Sun,dry-days
Historical Emissions,Dec,End-of-Century (2070-2099),25.29,15.6,20.1,Sun,dry-days
Historical Emissions,Feb,End-of-Century (2070-2099),23.18,14,19.1,Sun,dry-days
Historical Emissions,Jan,End-of-Century (2070-2099),25.1,14.71,20.6,Sun,dry-days
Historical Emissions,Jul,End-of-Century (2070-2099),26.6,16.42,21.9,Sun,dry-days
Historical Emissions,Jun,End-of-Century (2070-2099),20.7,9.31,14.8,Sun,dry-days
Historical Emissions,Mar,End-of-Century (2070-2099),24.3,14.91,20.05,Sun,dry-days
Historical Emissions,May,End-of-Century (2070-2099),20.99,10.4,15.4,Sun,dry-days
Historical Emissions,Nov,End-of-Century (2070-2099),24.89,16.2,20.9,Sun,dry-days
Historical Emissions,Oct,End-of-Century (2070-2099),27,18.11,23.1,Sun,dry-days
Historical Emissions,Sep,End-of-Century (2070-2099),26.39,17.11,21.8,Sun,dry-days
"Moderating Emissions
(SSP1-2.6)",Apr,End-of-Century (2070-2099),19.67,11.16,16.45,Sun,dry-days
"Moderating Emissions
(SSP1-2.6)",Apr,Mid Century (2040-2069),21.4,12.9,16.9,Sun,dry-days
"Moderating Emissions
(SSP1-2.6)",Aug,End-of-Century (2070-2099),27.51,21.19,24.2,Sun,dry-days
"Moderating Emissions
(SSP1-2.6)",Aug,Mid Century (2040-2069),27.91,17.3,22.85,Sun,dry-days
"Moderating Emissions
(SSP1-2.6)",Dec,End-of-Century (2070-2099),25.45,14.82,19,Sun,dry-days
"Moderating Emissions
(SSP1-2.6)",Dec,Mid Century (2040-2069),25.11,14.2,20.2,Sun,dry-days
"Moderating Emissions
(SSP1-2.6)",Feb,End-of-Century (2070-2099),22.61,13.74,17.2,Sun,dry-days
"Moderating Emissions
(SSP1-2.6)",Feb,Mid Century (2040-2069),23.3,14.2,19.2,Sun,dry-days
"Moderating Emissions
(SSP1-2.6)",Jan,End-of-Century (2070-2099),26.11,15.95,21.2,Sun,dry-days
"Moderating Emissions
(SSP1-2.6)",Jan,Mid Century (2040-2069),25.51,15.1,20.5,Sun,dry-days
"Moderating Emissions
(SSP1-2.6)",Jul,End-of-Century (2070-2099),25.74,16.6,20.1,Sun,dry-days
"Moderating Emissions
(SSP1-2.6)",Jul,Mid Century (2040-2069),26.8,16.19,22,Sun,dry-days
