year,scenario,upper,lower,value,location,variable
1950,Historical Emissions,280.465,237.534,273.5,Sage,dry-days
1951,Historical Emissions,272.099,247.466,260,Sage,dry-days
1952,Historical Emissions,277.934,240.167,254.832,Sage,dry-days
1953,Historical Emissions,274.133,227.932,256.334,Sage,dry-days
1954,Historical Emissions,263.366,228.8,255.833,Sage,dry-days
1955,Historical Emissions,281.334,234.233,266.001,Sage,dry-days
1956,Historical Emissions,283.533,234.799,263,Sage,dry-days
1957,Historical Emissions,281.1,243.299,253.334,Sage,dry-days
1958,Historical Emissions,262.6,227.366,249.668,Sage,dry-days
1959,Historical Emissions,266.866,235.367,252.501,Sage,dry-days
1960,Historical Emissions,281.567,228.933,256.5,Sage,dry-days
1961,Historical Emissions,275.201,244.765,258.667,Sage,dry-days
1962,Historical Emissions,273.299,234.667,246.835,Sage,dry-days
1963,Historical Emissions,262.266,241.131,254,Sage,dry-days
1964,Historical Emissions,276.901,248.499,272,Sage,dry-days
1965,Historical Emissions,273.667,251.068,264.999,Sage,dry-days
1966,Historical Emissions,278.267,224.1,251.666,Sage,dry-days
1967,Historical Emissions,276.001,234.266,259.334,Sage,dry-days
1968,Historical Emissions,274.399,233.999,247.167,Sage,dry-days
1969,Historical Emissions,278.167,245.332,258.499,Sage,dry-days
1970,Historical Emissions,270.766,243.5,253.499,Sage,dry-days
1971,Historical Emissions,289.201,229.065,266.167,Sage,dry-days
1972,Historical Emissions,273.334,247.468,264.333,Sage,dry-days
1973,Historical Emissions,274.1,227.566,254.002,Sage,dry-days
1974,Historical Emissions,280.166,231.166,264.333,Sage,dry-days
1975,Historical Emissions,271.233,245.1,260.502,Sage,dry-days
1976,Historical Emissions,265.367,247.233,258.665,Sage,dry-days
1977,Historical Emissions,269,235.333,263.499,Sage,dry-days
1978,Historical Emissions,267.934,240.533,250.333,Sage,dry-days
1979,Historical Emissions,274.533,239.667,263.166,Sage,dry-days
1980,Historical Emissions,280.834,231.166,262.168,Sage,dry-days
1981,Historical Emissions,271.568,226.832,255.333,Sage,dry-days
1982,Historical Emissions,270.101,244.4,249.833,Sage,dry-days
1983,Historical Emissions,268.534,249.534,258.666,Sage,dry-days
1984,Historical Emissions,278.933,235.634,252.666,Sage,dry-days
1985,Historical Emissions,270.067,233.799,258.666,Sage,dry-days
1986,Historical Emissions,259.666,237.367,247.501,Sage,dry-days
1987,Historical Emissions,260.832,244.466,250.333,Sage,dry-days
1988,Historical Emissions,272.099,234.834,258.668,Sage,dry-days
1989,Historical Emissions,269.966,242.833,261.499,Sage,dry-days
1990,Historical Emissions,285.034,244.067,254.501,Sage,dry-days
1991,Historical Emissions,287.565,222.201,268.334,Sage,dry-days
1992,Historical Emissions,283.135,250.566,258.665,Sage,dry-days
1993,Historical Emissions,270.8,243.9,265.666,Sage,dry-days
1994,Historical Emissions,275.066,246.967,260.168,Sage,dry-days
1995,Historical Emissions,275.8,248.066,259,Sage,dry-days
1996,Historical Emissions,301.9,241.366,265.332,Sage,dry-days
1997,Historical Emissions,281.134,250.599,260.166,Sage,dry-days
1998,Historical Emissions,266.3,236.233,249.333,Sage,dry-days
1999,Historical Emissions,266.467,239.367,251.669,Sage,dry-days
2000,Historical Emissions,276.565,240.632,256.502,Sage,dry-days
2001,Historical Emissions,268.4,240.799,262.831,Sage,dry-days
2002,Historical Emissions,271.332,245.566,256.167,Sage,dry-days
2003,Historical Emissions,283.201,245.134,262.834,Sage,dry-days
2004,Historical Emissions,282.232,240.999,261.668,Sage,dry-days
2005,Historical Emissions,287.266,238.3,259.834,Sage,dry-days
2006,Historical Emissions,279.534,228.833,243.502,Sage,dry-days
2007,Historical Emissions,271.568,251.3,260.333,Sage,dry-days
2008,Historical Emissions,270.932,243.033,264.167,Sage,dry-days
2009,Historical Emissions,268.067,228.033,242.001,Sage,dry-days
2010,Historical Emissions,268.834,239.702,258,Sage,dry-days
2011,Historical Emissions,265.533,249.267,250.834,Sage,dry-days
2012,Historical Emissions,279.633,254.4,268.333,Sage,dry-days
2013,Historical Emissions,275.5,255.868,265.333,Sage,dry-days
2014,Historical Emissions,278.166,243.435,255.5,Sage,dry-days
2015,"Moderating Emissions
(SSP1-2.6)",274.066,238.134,267.832,Sage,dry-days
2015,"Middle of the Road
(SSP2-4.5)",280.5,246.766,261.002,Sage,dry-days
2015,"High Emissions
(SSP3-7.0)",281.799,237.834,261.335,Sage,dry-days
2015,"Accelerating Emissions
(SSP5-8.5)",276.466,241.233,257.666,Sage,dry-days
2016,"Moderating Emissions
(SSP1-2.6)",279.066,235.5,255,Sage,dry-days
2016,"Middle of the Road
(SSP2-4.5)",268.3,231.633,256.333,Sage,dry-days
2016,"High Emissions
(SSP3-7.0)",293.334,243.568,260.665,Sage,dry-days
2016,"Accelerating Emissions
(SSP5-8.5)",269.733,240.267,259.501,Sage,dry-days
2017,"Moderating Emissions
(SSP1-2.6)",265.734,241.233,254.001,Sage,dry-days
2017,"Middle of the Road
(SSP2-4.5)",278.867,219.1,262.833,Sage,dry-days
2017,"High Emissions
(SSP3-7.0)",265.733,239.567,254.166,Sage,dry-days
2017,"Accelerating Emissions
(SSP5-8.5)",264.933,242.699,260.499,Sage,dry-days
2018,"Moderating Emissions
(SSP1-2.6)",264.867,239.633,254.333,Sage,dry-days
2018,"Middle of the Road
(SSP2-4.5)",270.266,239.401,259.334,Sage,dry-days
2018,"High Emissions
(SSP3-7.0)",267.701,233.333,242.499,Sage,dry-days
2018,"Accelerating Emissions
(SSP5-8.5)",278.534,239.467,255.667,Sage,dry-days
2019,"Moderating Emissions
(SSP1-2.6)",279.633,244.1,271.667,Sage,dry-days
2019,"Middle of the Road
(SSP2-4.5)",276.801,242.334,251.5,Sage,dry-days
