year,scenario,upper,lower,value,location,variable
1950,Historical Emissions,280.867,254.049,264.5,Prairie Elk-Wolf,dry-days
1951,Historical Emissions,272.615,255.949,263.916,Prairie Elk-Wolf,dry-days
1952,Historical Emissions,286.768,249.533,265.419,Prairie Elk-Wolf,dry-days
1953,Historical Emissions,286.1,235.701,266.418,Prairie Elk-Wolf,dry-days
1954,Historical Emissions,273.301,236.932,251.332,Prairie Elk-Wolf,dry-days
1955,Historical Emissions,296.317,235.334,256.167,Prairie Elk-Wolf,dry-days
1956,Historical Emissions,281.282,246.816,271.25,Prairie Elk-Wolf,dry-days
1957,Historical Emissions,290.1,232.017,268.583,Prairie Elk-Wolf,dry-days
1958,Historical Emissions,268.784,240.099,256.083,Prairie Elk-Wolf,dry-days
1959,Historical Emissions,281.451,237.283,257.749,Prairie Elk-Wolf,dry-days
1960,Historical Emissions,276.732,245.733,258.419,Prairie Elk-Wolf,dry-days
1961,Historical Emissions,267.667,246.634,260.666,Prairie Elk-Wolf,dry-days
1962,Historical Emissions,281.599,236.75,254.082,Prairie Elk-Wolf,dry-days
1963,Historical Emissions,278.583,241.483,266.415,Prairie Elk-Wolf,dry-days
1964,Historical Emissions,273.883,260.15,265.5,Prairie Elk-Wolf,dry-days
1965,Historical Emissions,280.75,253.083,263.916,Prairie Elk-Wolf,dry-days
1966,Historical Emissions,285.251,234.801,250.75,Prairie Elk-Wolf,dry-days
1967,Historical Emissions,276.134,237.2,260.251,Prairie Elk-Wolf,dry-days
1968,Historical Emissions,273.116,240.916,254.663,Prairie Elk-Wolf,dry-days
1969,Historical Emissions,275.182,246.85,270,Prairie Elk-Wolf,dry-days
1970,Historical Emissions,271.334,248.25,257.5,Prairie Elk-Wolf,dry-days
1971,Historical Emissions,279.25,237,265.833,Prairie Elk-Wolf,dry-days
1972,Historical Emissions,282.717,247.216,260.083,Prairie Elk-Wolf,dry-days
1973,Historical Emissions,282.049,227.234,259.832,Prairie Elk-Wolf,dry-days
1974,Historical Emissions,285.517,228.817,263.501,Prairie Elk-Wolf,dry-days
1975,Historical Emissions,276.55,247.182,261.083,Prairie Elk-Wolf,dry-days
1976,Historical Emissions,276.316,249.617,263.5,Prairie Elk-Wolf,dry-days
1977,Historical Emissions,272.084,236.7,263.25,Prairie Elk-Wolf,dry-days
1978,Historical Emissions,271.183,240.501,247.916,Prairie Elk-Wolf,dry-days
1979,Historical Emissions,275.583,234.001,261.25,Prairie Elk-Wolf,dry-days
1980,Historical Emissions,286.699,235.099,255.915,Prairie Elk-Wolf,dry-days
1981,Historical Emissions,276.316,240.649,258.832,Prairie Elk-Wolf,dry-days
1982,Historical Emissions,276.2,254.45,262.999,Prairie Elk-Wolf,dry-days
1983,Historical Emissions,276.301,249.202,263.168,Prairie Elk-Wolf,dry-days
1984,Historical Emissions,292.534,251.133,262.166,Prairie Elk-Wolf,dry-days
1985,Historical Emissions,273.166,243.849,264.167,Prairie Elk-Wolf,dry-days
1986,Historical Emissions,263.817,236.384,253.25,Prairie Elk-Wolf,dry-days
1987,Historical Emissions,262.966,237.081,249.25,Prairie Elk-Wolf,dry-days
1988,Historical Emissions,278.199,230.551,259.834,Prairie Elk-Wolf,dry-days
1989,Historical Emissions,273.85,247.035,269.166,Prairie Elk-Wolf,dry-days
1990,Historical Emissions,294.683,242.466,255.666,Prairie Elk-Wolf,dry-days
1991,Historical Emissions,285.05,232.366,268.833,Prairie Elk-Wolf,dry-days
1992,Historical Emissions,294.849,253.533,271.334,Prairie Elk-Wolf,dry-days
1993,Historical Emissions,275.85,248.95,266.667,Prairie Elk-Wolf,dry-days
1994,Historical Emissions,280.333,255.734,267.749,Prairie Elk-Wolf,dry-days
1995,Historical Emissions,281.534,255.849,262.832,Prairie Elk-Wolf,dry-days
1996,Historical Emissions,292.915,243.101,273.999,Prairie Elk-Wolf,dry-days
1997,Historical Emissions,280.934,246.15,259.665,Prairie Elk-Wolf,dry-days
1998,Historical Emissions,280.249,245.499,254.751,Prairie Elk-Wolf,dry-days
1999,Historical Emissions,285.466,248.834,260.417,Prairie Elk-Wolf,dry-days
2000,Historical Emissions,287.15,254.966,267.582,Prairie Elk-Wolf,dry-days
2001,Historical Emissions,273.916,250.568,264.667,Prairie Elk-Wolf,dry-days
2002,Historical Emissions,273.25,256.266,265.915,Prairie Elk-Wolf,dry-days
2003,Historical Emissions,285,246.749,261.75,Prairie Elk-Wolf,dry-days
2004,Historical Emissions,287.167,249.049,269.582,Prairie Elk-Wolf,dry-days
2005,Historical Emissions,282.583,246.349,260.332,Prairie Elk-Wolf,dry-days
2006,Historical Emissions,281.318,245.95,254.999,Prairie Elk-Wolf,dry-days
2007,Historical Emissions,271.166,254.984,261.501,Prairie Elk-Wolf,dry-days
2008,Historical Emissions,275.283,244.549,263.499,Prairie Elk-Wolf,dry-days
2009,Historical Emissions,265.7,240.9,255.251,Prairie Elk-Wolf,dry-days
2010,Historical Emissions,274.483,255.982,270.5,Prairie Elk-Wolf,dry-days
2011,Historical Emissions,275.15,252.367,257.334,Prairie Elk-Wolf,dry-days
2012,Historical Emissions,282.616,251.784,274,Prairie Elk-Wolf,dry-days
2013,Historical Emissions,274.033,248.95,270.5,Prairie Elk-Wolf,dry-days
2014,Historical Emissions,277.766,252.015,267.083,Prairie Elk-Wolf,dry-days
2015,"Moderating Emissions
(SSP1-2.6)",278.316,252.967,264.168,Prairie Elk-Wolf,dry-days
2015,"Middle of the Road
(SSP2-4.5)",286.9,249.1,261.165,Prairie Elk-Wolf,dry-days
2015,"High Emissions
(SSP3-7.0)",281.983,249.082,263.582,Prairie Elk-Wolf,dry-days
2015,"Accelerating Emissions
(SSP5-8.5)",274.832,250.918,269.916,Prairie Elk-Wolf,dry-days
2016,"Moderating Emissions
(SSP1-2.6)",286.418,236.667,264.502,Prairie Elk-Wolf,dry-days
2016,"Middle of the Road
(SSP2-4.5)",272.666,246.467,257.169,Prairie Elk-Wolf,dry-days
2016,"High Emissions
(SSP3-7.0)",294.566,249.784,262.833,Prairie Elk-Wolf,dry-days
2016,"Accelerating Emissions
(SSP5-8.5)",266.7,240.8,254.168,Prairie Elk-Wolf,dry-days
2017,"Moderating Emissions
(SSP1-2.6)",277.618,247.55,263.75,Prairie Elk-Wolf,dry-days
2017,"Middle of the Road
(SSP2-4.5)",279.584,237.133,258.083,Prairie Elk-Wolf,dry-days
2017,"High Emissions
(SSP3-7.0)",266.75,238.116,258.416,Prairie Elk-Wolf,dry-days
2017,"Accelerating Emissions
(SSP5-8.5)",271.351,255.584,266.25,Prairie Elk-Wolf,dry-days
2018,"Moderating Emissions
(SSP1-2.6)",272.317,231.718,259.999,Prairie Elk-Wolf,dry-days
2018,"Middle of the Road
(SSP2-4.5)",275.885,258.166,264.333,Prairie Elk-Wolf,dry-days
2018,"High Emissions
(SSP3-7.0)",270.066,242.749,255.918,Prairie Elk-Wolf,dry-days
2018,"Accelerating Emissions
(SSP5-8.5)",279.083,235.349,253.5,Prairie Elk-Wolf,dry-days
