scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Apr,Mid Century (2040-2069),16.173,6.373,11.227,Powell County,freeze-free
Historical Emissions,Aug,Mid Century (2040-2069),31,29.909,31,Powell County,freeze-free
Historical Emissions,Dec,Mid Century (2040-2069),6.173,0.364,2.591,Powell County,freeze-free
Historical Emissions,Feb,Mid Century (2040-2069),8.264,0.909,3.636,Powell County,freeze-free
Historical Emissions,Jan,Mid Century (2040-2069),7.091,0.191,2.818,Powell County,freeze-free
Historical Emissions,Jul,Mid Century (2040-2069),31,30.727,31,Powell County,freeze-free
Historical Emissions,Jun,Mid Century (2040-2069),30,26.727,28.909,Powell County,freeze-free
Historical Emissions,Mar,Mid Century (2040-2069),11,2.464,6.409,Powell County,freeze-free
Historical Emissions,May,Mid Century (2040-2069),27.545,18.909,23,Powell County,freeze-free
Historical Emissions,Nov,Mid Century (2040-2069),12.445,2.727,6.909,Powell County,freeze-free
Historical Emissions,Oct,Mid Century (2040-2069),21.727,10.555,16.182,Powell County,freeze-free
Historical Emissions,Sep,Mid Century (2040-2069),29.182,22.636,26.455,Powell County,freeze-free
Historical Emissions,Apr,End-of-Century (2070-2099),16.173,6.373,11.227,Powell County,freeze-free
Historical Emissions,Aug,End-of-Century (2070-2099),31,29.909,31,Powell County,freeze-free
Historical Emissions,Dec,End-of-Century (2070-2099),6.173,0.364,2.591,Powell County,freeze-free
Historical Emissions,Feb,End-of-Century (2070-2099),8.264,0.909,3.636,Powell County,freeze-free
Historical Emissions,Jan,End-of-Century (2070-2099),7.091,0.191,2.818,Powell County,freeze-free
Historical Emissions,Jul,End-of-Century (2070-2099),31,30.727,31,Powell County,freeze-free
Historical Emissions,Jun,End-of-Century (2070-2099),30,26.727,28.909,Powell County,freeze-free
Historical Emissions,Mar,End-of-Century (2070-2099),11,2.464,6.409,Powell County,freeze-free
Historical Emissions,May,End-of-Century (2070-2099),27.545,18.909,23,Powell County,freeze-free
Historical Emissions,Nov,End-of-Century (2070-2099),12.445,2.727,6.909,Powell County,freeze-free
Historical Emissions,Oct,End-of-Century (2070-2099),21.727,10.555,16.182,Powell County,freeze-free
Historical Emissions,Sep,End-of-Century (2070-2099),29.182,22.636,26.455,Powell County,freeze-free
"Moderating Emissions
(SSP1-2.6)",Apr,End-of-Century (2070-2099),21.764,10.582,14.136,Powell County,freeze-free
"Moderating Emissions
(SSP1-2.6)",Apr,Mid Century (2040-2069),18.727,8.091,14.045,Powell County,freeze-free
"Moderating Emissions
(SSP1-2.6)",Aug,End-of-Century (2070-2099),31,30.818,31,Powell County,freeze-free
"Moderating Emissions
(SSP1-2.6)",Aug,Mid Century (2040-2069),31,30.727,31,Powell County,freeze-free
"Moderating Emissions
(SSP1-2.6)",Dec,End-of-Century (2070-2099),9.764,0,4,Powell County,freeze-free
"Moderating Emissions
(SSP1-2.6)",Dec,Mid Century (2040-2069),9.191,1.445,4.455,Powell County,freeze-free
"Moderating Emissions
(SSP1-2.6)",Feb,End-of-Century (2070-2099),11.1,3.091,4.955,Powell County,freeze-free
"Moderating Emissions
(SSP1-2.6)",Feb,Mid Century (2040-2069),10.836,1.536,5.545,Powell County,freeze-free
"Moderating Emissions
(SSP1-2.6)",Jan,End-of-Century (2070-2099),7.873,1.291,3.682,Powell County,freeze-free
"Moderating Emissions
(SSP1-2.6)",Jan,Mid Century (2040-2069),8.455,1.182,4.182,Powell County,freeze-free
"Moderating Emissions
(SSP1-2.6)",Jul,End-of-Century (2070-2099),31,31,31,Powell County,freeze-free
"Moderating Emissions
(SSP1-2.6)",Jul,Mid Century (2040-2069),31,30.909,31,Powell County,freeze-free
"Moderating Emissions
(SSP1-2.6)",Jun,End-of-Century (2070-2099),30,27.8,29.727,Powell County,freeze-free
"Moderating Emissions
(SSP1-2.6)",Jun,Mid Century (2040-2069),30,27.636,29.545,Powell County,freeze-free
"Moderating Emissions
(SSP1-2.6)",Mar,End-of-Century (2070-2099),12.764,4.973,8.318,Powell County,freeze-free
"Moderating Emissions
(SSP1-2.6)",Mar,Mid Century (2040-2069),13.2,4.173,8.364,Powell County,freeze-free
"Moderating Emissions
(SSP1-2.6)",May,End-of-Century (2070-2099),30.118,22.755,27.409,Powell County,freeze-free
"Moderating Emissions
(SSP1-2.6)",May,Mid Century (2040-2069),28.736,21.536,26,Powell County,freeze-free
"Moderating Emissions
(SSP1-2.6)",Nov,End-of-Century (2070-2099),12.155,5.655,7.818,Powell County,freeze-free
"Moderating Emissions
(SSP1-2.6)",Nov,Mid Century (2040-2069),14.491,4.809,9,Powell County,freeze-free
"Moderating Emissions
(SSP1-2.6)",Oct,End-of-Century (2070-2099),21.5,14.264,18.409,Powell County,freeze-free
"Moderating Emissions
(SSP1-2.6)",Oct,Mid Century (2040-2069),23.818,14.445,19.273,Powell County,freeze-free
"Moderating Emissions
(SSP1-2.6)",Sep,End-of-Century (2070-2099),29.873,25.473,27.318,Powell County,freeze-free
"Moderating Emissions
(SSP1-2.6)",Sep,Mid Century (2040-2069),29.818,25.082,28,Powell County,freeze-free
