scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Apr,Mid Century (2040-2069),19.317,8.333,13.417,Wheatland County,freeze-free
Historical Emissions,Aug,Mid Century (2040-2069),31,31,31,Wheatland County,freeze-free
Historical Emissions,Dec,Mid Century (2040-2069),7.333,0.5,2.833,Wheatland County,freeze-free
Historical Emissions,Feb,Mid Century (2040-2069),6.667,0.333,2.5,Wheatland County,freeze-free
Historical Emissions,Jan,Mid Century (2040-2069),6.833,0.167,2.833,Wheatland County,freeze-free
Historical Emissions,Jul,Mid Century (2040-2069),31,31,31,Wheatland County,freeze-free
Historical Emissions,Jun,Mid Century (2040-2069),30,29.333,30,Wheatland County,freeze-free
Historical Emissions,Mar,Mid Century (2040-2069),8.333,0.833,3.667,Wheatland County,freeze-free
Historical Emissions,May,Mid Century (2040-2069),30.317,24.833,27.833,Wheatland County,freeze-free
Historical Emissions,Nov,Mid Century (2040-2069),13.5,3.667,7.667,Wheatland County,freeze-free
Historical Emissions,Oct,Mid Century (2040-2069),25,13.833,19.667,Wheatland County,freeze-free
Historical Emissions,Sep,Mid Century (2040-2069),30,26.167,29,Wheatland County,freeze-free
Historical Emissions,Apr,End-of-Century (2070-2099),19.317,8.333,13.417,Wheatland County,freeze-free
Historical Emissions,Aug,End-of-Century (2070-2099),31,31,31,Wheatland County,freeze-free
Historical Emissions,Dec,End-of-Century (2070-2099),7.333,0.5,2.833,Wheatland County,freeze-free
Historical Emissions,Feb,End-of-Century (2070-2099),6.667,0.333,2.5,Wheatland County,freeze-free
Historical Emissions,Jan,End-of-Century (2070-2099),6.833,0.167,2.833,Wheatland County,freeze-free
Historical Emissions,Jul,End-of-Century (2070-2099),31,31,31,Wheatland County,freeze-free
Historical Emissions,Jun,End-of-Century (2070-2099),30,29.333,30,Wheatland County,freeze-free
Historical Emissions,Mar,End-of-Century (2070-2099),8.333,0.833,3.667,Wheatland County,freeze-free
Historical Emissions,May,End-of-Century (2070-2099),30.317,24.833,27.833,Wheatland County,freeze-free
Historical Emissions,Nov,End-of-Century (2070-2099),13.5,3.667,7.667,Wheatland County,freeze-free
Historical Emissions,Oct,End-of-Century (2070-2099),25,13.833,19.667,Wheatland County,freeze-free
Historical Emissions,Sep,End-of-Century (2070-2099),30,26.167,29,Wheatland County,freeze-free
