year,scenario,upper,lower,value,location,variable
1950,Historical Emissions,119.6,94.8,102,Belly,freeze-free
1951,Historical Emissions,113.4,87.8,110,Belly,freeze-free
1952,Historical Emissions,106.8,87.8,98,Belly,freeze-free
1953,Historical Emissions,106.2,85.8,100,Belly,freeze-free
1954,Historical Emissions,124.4,78,97,Belly,freeze-free
1955,Historical Emissions,120.6,99.8,109,Belly,freeze-free
1956,Historical Emissions,125.2,95,103,Belly,freeze-free
1957,Historical Emissions,118.6,93,103,Belly,freeze-free
1958,Historical Emissions,116.2,95,103,Belly,freeze-free
1959,Historical Emissions,117.8,90.6,100,Belly,freeze-free
1960,Historical Emissions,116.6,92.2,101,Belly,freeze-free
1961,Historical Emissions,109,85,99,Belly,freeze-free
1962,Historical Emissions,111,81.8,103,Belly,freeze-free
1963,Historical Emissions,109.8,90.2,96,Belly,freeze-free
1964,Historical Emissions,115.2,93,105,Belly,freeze-free
1965,Historical Emissions,114.8,84.8,102,Belly,freeze-free
1966,Historical Emissions,119.6,96.8,102,Belly,freeze-free
1967,Historical Emissions,112.6,94,102,Belly,freeze-free
1968,Historical Emissions,115.4,87.8,105,Belly,freeze-free
1969,Historical Emissions,113.2,89.4,97,Belly,freeze-free
1970,Historical Emissions,112.6,88.8,98,Belly,freeze-free
1971,Historical Emissions,123.8,83.8,104,Belly,freeze-free
1972,Historical Emissions,107,87,105,Belly,freeze-free
1973,Historical Emissions,114.2,86.8,100,Belly,freeze-free
1974,Historical Emissions,114,92.6,108,Belly,freeze-free
1975,Historical Emissions,110.4,92.8,104,Belly,freeze-free
1976,Historical Emissions,116,95.2,104,Belly,freeze-free
1977,Historical Emissions,119.8,94.4,110,Belly,freeze-free
1978,Historical Emissions,109,97,103,Belly,freeze-free
1979,Historical Emissions,110.4,88.8,101,Belly,freeze-free
1980,Historical Emissions,117.2,99.6,109,Belly,freeze-free
1981,Historical Emissions,122.6,95.6,100,Belly,freeze-free
1982,Historical Emissions,130.6,97.4,104,Belly,freeze-free
1983,Historical Emissions,112.8,87.6,101,Belly,freeze-free
1984,Historical Emissions,114.4,91.4,105,Belly,freeze-free
1985,Historical Emissions,123.4,100,110,Belly,freeze-free
1986,Historical Emissions,117.2,91.8,106,Belly,freeze-free
1987,Historical Emissions,121.8,93.4,114,Belly,freeze-free
1988,Historical Emissions,116.8,98.8,107,Belly,freeze-free
1989,Historical Emissions,118.2,99.6,106,Belly,freeze-free
1990,Historical Emissions,131.6,97.4,110,Belly,freeze-free
1991,Historical Emissions,125,93.4,108,Belly,freeze-free
1992,Historical Emissions,105,94.8,98,Belly,freeze-free
1993,Historical Emissions,117.2,86.6,105,Belly,freeze-free
1994,Historical Emissions,118.6,105.8,111,Belly,freeze-free
1995,Historical Emissions,117.6,94.4,98,Belly,freeze-free
1996,Historical Emissions,129.8,102.4,115,Belly,freeze-free
1997,Historical Emissions,128.8,99.6,111,Belly,freeze-free
1998,Historical Emissions,125.2,112.6,119,Belly,freeze-free
1999,Historical Emissions,124.8,103,117,Belly,freeze-free
2000,Historical Emissions,128.4,107.8,117,Belly,freeze-free
2001,Historical Emissions,126.6,108.2,122,Belly,freeze-free
2002,Historical Emissions,129.4,110.8,116,Belly,freeze-free
2003,Historical Emissions,124.6,111.6,120,Belly,freeze-free
2004,Historical Emissions,127.4,110,119,Belly,freeze-free
2005,Historical Emissions,141.8,110.6,118,Belly,freeze-free
2006,Historical Emissions,125.6,110.8,117,Belly,freeze-free
2007,Historical Emissions,138.8,107.4,124,Belly,freeze-free
2008,Historical Emissions,130.2,105.8,117,Belly,freeze-free
2009,Historical Emissions,122,110.4,119,Belly,freeze-free
2010,Historical Emissions,126.8,113.6,122,Belly,freeze-free
2011,Historical Emissions,131.4,116.6,124,Belly,freeze-free
2012,Historical Emissions,133.6,111,126,Belly,freeze-free
2013,Historical Emissions,149.4,117.8,127,Belly,freeze-free
2014,Historical Emissions,136.2,108.8,128,Belly,freeze-free
2015,"Moderating Emissions
(SSP1-2.6)",141.6,109.8,127,Belly,freeze-free
2015,"Middle of the Road
(SSP2-4.5)",128.2,112,116,Belly,freeze-free
2015,"High Emissions
(SSP3-7.0)",140.8,105,124,Belly,freeze-free
2015,"Accelerating Emissions
(SSP5-8.5)",133.4,110.2,126,Belly,freeze-free
2016,"Moderating Emissions
(SSP1-2.6)",132.6,113.2,121,Belly,freeze-free
2016,"Middle of the Road
(SSP2-4.5)",129.2,110.2,116,Belly,freeze-free
2016,"High Emissions
(SSP3-7.0)",151.2,109.4,126,Belly,freeze-free
2016,"Accelerating Emissions
(SSP5-8.5)",134.4,113.8,123,Belly,freeze-free
2017,"Moderating Emissions
(SSP1-2.6)",134.6,115.6,120,Belly,freeze-free
2017,"Middle of the Road
(SSP2-4.5)",150,121.6,125,Belly,freeze-free
2017,"High Emissions
(SSP3-7.0)",139.4,116.4,126,Belly,freeze-free
2017,"Accelerating Emissions
(SSP5-8.5)",137.6,120.4,129,Belly,freeze-free
2018,"Moderating Emissions
(SSP1-2.6)",134.8,112.2,126,Belly,freeze-free
2018,"Middle of the Road
(SSP2-4.5)",140.6,117.4,130,Belly,freeze-free
2018,"High Emissions
(SSP3-7.0)",141.8,110.2,127,Belly,freeze-free
2018,"Accelerating Emissions
(SSP5-8.5)",144.4,120.2,130,Belly,freeze-free
2019,"Moderating Emissions
(SSP1-2.6)",154.8,122,130,Belly,freeze-free
2019,"Middle of the Road
(SSP2-4.5)",135.4,109,133,Belly,freeze-free
2019,"High Emissions
(SSP3-7.0)",141,111.4,133,Belly,freeze-free
2019,"Accelerating Emissions
(SSP5-8.5)",139.2,120.8,132,Belly,freeze-free
2020,"Moderating Emissions
(SSP1-2.6)",144,117,128,Belly,freeze-free
2020,"Middle of the Road
(SSP2-4.5)",133.6,110,126,Belly,freeze-free
2020,"High Emissions
(SSP3-7.0)",128.8,117.4,124,Belly,freeze-free
2020,"Accelerating Emissions
(SSP5-8.5)",134.4,118.6,132,Belly,freeze-free
2021,"Moderating Emissions
(SSP1-2.6)",149.2,117.8,131,Belly,freeze-free
2021,"Middle of the Road
(SSP2-4.5)",137,110.4,128,Belly,freeze-free
2021,"High Emissions
(SSP3-7.0)",134.2,121.6,126,Belly,freeze-free
2021,"Accelerating Emissions
(SSP5-8.5)",139.6,108,128,Belly,freeze-free
2022,"Moderating Emissions
(SSP1-2.6)",143.4,111.2,131,Belly,freeze-free
2022,"Middle of the Road
(SSP2-4.5)",139.6,118.6,135,Belly,freeze-free
2022,"High Emissions
(SSP3-7.0)",144,120.8,126,Belly,freeze-free
2022,"Accelerating Emissions
(SSP5-8.5)",144.4,125.6,139,Belly,freeze-free
2023,"Moderating Emissions
(SSP1-2.6)",137,120,126,Belly,freeze-free
2023,"Middle of the Road
(SSP2-4.5)",153.6,118.6,138,Belly,freeze-free
