year,scenario,upper,lower,value,location,variable
1950,Historical Emissions,197.533,166.399,177.667,Big Sandy,freeze-free
1951,Historical Emissions,187.133,174.334,182.001,Big Sandy,freeze-free
1952,Historical Emissions,185,172.335,179.666,Big Sandy,freeze-free
1953,Historical Emissions,184.867,171.201,180,Big Sandy,freeze-free
1954,Historical Emissions,199.933,162.999,177.334,Big Sandy,freeze-free
1955,Historical Emissions,183.534,170.199,180.666,Big Sandy,freeze-free
1956,Historical Emissions,201.733,177.599,185.667,Big Sandy,freeze-free
1957,Historical Emissions,197.599,173.534,184.667,Big Sandy,freeze-free
1958,Historical Emissions,192,172.333,181.999,Big Sandy,freeze-free
1959,Historical Emissions,189.333,169.068,182,Big Sandy,freeze-free
1960,Historical Emissions,193.6,164.667,180.334,Big Sandy,freeze-free
1961,Historical Emissions,197.666,169.6,186.666,Big Sandy,freeze-free
1962,Historical Emissions,190.2,165.133,176.334,Big Sandy,freeze-free
1963,Historical Emissions,189.933,174.467,181,Big Sandy,freeze-free
1964,Historical Emissions,188.734,169.468,176.667,Big Sandy,freeze-free
1965,Historical Emissions,186.734,163.733,174,Big Sandy,freeze-free
1966,Historical Emissions,191.467,172.066,177.333,Big Sandy,freeze-free
1967,Historical Emissions,192.267,163.667,178.001,Big Sandy,freeze-free
1968,Historical Emissions,185.4,165.134,178.001,Big Sandy,freeze-free
1969,Historical Emissions,179.601,161.2,175.333,Big Sandy,freeze-free
1970,Historical Emissions,190.266,167.667,179.665,Big Sandy,freeze-free
1971,Historical Emissions,199.733,172.6,184.665,Big Sandy,freeze-free
1972,Historical Emissions,182.4,167.734,176.001,Big Sandy,freeze-free
1973,Historical Emissions,194.068,170.067,184,Big Sandy,freeze-free
1974,Historical Emissions,188.466,166.333,180,Big Sandy,freeze-free
1975,Historical Emissions,199.265,172.267,176,Big Sandy,freeze-free
1976,Historical Emissions,189.133,170.266,180,Big Sandy,freeze-free
1977,Historical Emissions,195.066,171.6,181,Big Sandy,freeze-free
1978,Historical Emissions,192.533,172.667,179,Big Sandy,freeze-free
1979,Historical Emissions,195.133,173.6,185.002,Big Sandy,freeze-free
1980,Historical Emissions,191.466,169.866,179.667,Big Sandy,freeze-free
1981,Historical Emissions,195.333,172.667,180.333,Big Sandy,freeze-free
1982,Historical Emissions,197.066,170.2,184.668,Big Sandy,freeze-free
1983,Historical Emissions,188.133,162.667,177.999,Big Sandy,freeze-free
1984,Historical Emissions,186.666,173,182,Big Sandy,freeze-free
1985,Historical Emissions,198.067,179.333,186.999,Big Sandy,freeze-free
1986,Historical Emissions,186.933,160.466,171.333,Big Sandy,freeze-free
1987,Historical Emissions,188.068,163.2,183.332,Big Sandy,freeze-free
1988,Historical Emissions,194.933,173.001,179.333,Big Sandy,freeze-free
1989,Historical Emissions,191.067,173.067,179.668,Big Sandy,freeze-free
1990,Historical Emissions,198.266,166.467,185.666,Big Sandy,freeze-free
1991,Historical Emissions,194.4,176.468,180.666,Big Sandy,freeze-free
1992,Historical Emissions,183.868,168.601,173.001,Big Sandy,freeze-free
1993,Historical Emissions,196.933,158.067,186.334,Big Sandy,freeze-free
1994,Historical Emissions,187.466,173.533,181.667,Big Sandy,freeze-free
1995,Historical Emissions,201.601,171.999,184.334,Big Sandy,freeze-free
1996,Historical Emissions,196.334,184.533,190.666,Big Sandy,freeze-free
1997,Historical Emissions,207.133,173.467,182.667,Big Sandy,freeze-free
1998,Historical Emissions,202.667,174.4,189.999,Big Sandy,freeze-free
1999,Historical Emissions,191.866,177.201,182.668,Big Sandy,freeze-free
2000,Historical Emissions,196.534,172.401,185,Big Sandy,freeze-free
2001,Historical Emissions,190.067,173.2,183.333,Big Sandy,freeze-free
2002,Historical Emissions,200.6,172.266,193.999,Big Sandy,freeze-free
2003,Historical Emissions,196.332,179.601,191.667,Big Sandy,freeze-free
2004,Historical Emissions,200.8,182.535,191,Big Sandy,freeze-free
2005,Historical Emissions,208.799,180.4,193,Big Sandy,freeze-free
2006,Historical Emissions,200.4,174.534,188,Big Sandy,freeze-free
2007,Historical Emissions,203.801,177.067,181.999,Big Sandy,freeze-free
2008,Historical Emissions,196.001,180.867,189,Big Sandy,freeze-free
2009,Historical Emissions,197.333,178.133,192.667,Big Sandy,freeze-free
2010,Historical Emissions,197.866,182.733,188.333,Big Sandy,freeze-free
2011,Historical Emissions,199.666,186.199,189.001,Big Sandy,freeze-free
2012,Historical Emissions,200.267,182.4,188.001,Big Sandy,freeze-free
2013,Historical Emissions,206.066,175.601,193.001,Big Sandy,freeze-free
2014,Historical Emissions,202.199,189.4,192,Big Sandy,freeze-free
2015,"Moderating Emissions
(SSP1-2.6)",208.334,179.733,187.334,Big Sandy,freeze-free
2015,"Middle of the Road
(SSP2-4.5)",196.799,181.866,187.333,Big Sandy,freeze-free
2015,"High Emissions
(SSP3-7.0)",199.066,180.865,190.667,Big Sandy,freeze-free
2015,"Accelerating Emissions
(SSP5-8.5)",198.4,178.333,183.667,Big Sandy,freeze-free
2016,"Moderating Emissions
(SSP1-2.6)",214.935,183.066,200.001,Big Sandy,freeze-free
2016,"Middle of the Road
(SSP2-4.5)",202.933,185.2,189,Big Sandy,freeze-free
2016,"High Emissions
(SSP3-7.0)",212.199,182.866,196.667,Big Sandy,freeze-free
2016,"Accelerating Emissions
(SSP5-8.5)",205.134,175.133,184.334,Big Sandy,freeze-free
2017,"Moderating Emissions
(SSP1-2.6)",199.666,181.533,189.333,Big Sandy,freeze-free
2017,"Middle of the Road
(SSP2-4.5)",214.733,184.934,193.334,Big Sandy,freeze-free
2017,"High Emissions
(SSP3-7.0)",210.067,182.934,194.999,Big Sandy,freeze-free
2017,"Accelerating Emissions
(SSP5-8.5)",208.535,189.199,192.667,Big Sandy,freeze-free
2018,"Moderating Emissions
(SSP1-2.6)",200.134,184.2,188,Big Sandy,freeze-free
2018,"Middle of the Road
(SSP2-4.5)",206.399,186.599,195.667,Big Sandy,freeze-free
2018,"High Emissions
(SSP3-7.0)",209.867,172.935,190.332,Big Sandy,freeze-free
2018,"Accelerating Emissions
(SSP5-8.5)",203.533,182.401,189.668,Big Sandy,freeze-free
