scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Apr,Mid Century (2040-2069),20.75,8.75,14,Beaver,freeze-free
Historical Emissions,Aug,Mid Century (2040-2069),31,31,31,Beaver,freeze-free
Historical Emissions,Dec,Mid Century (2040-2069),3.5,0,1,Beaver,freeze-free
Historical Emissions,Feb,Mid Century (2040-2069),3.75,0,0.5,Beaver,freeze-free
Historical Emissions,Jan,Mid Century (2040-2069),2.75,0,0.5,Beaver,freeze-free
Historical Emissions,Jul,Mid Century (2040-2069),31,31,31,Beaver,freeze-free
Historical Emissions,Jun,Mid Century (2040-2069),30,29.25,30,Beaver,freeze-free
Historical Emissions,Mar,Mid Century (2040-2069),7.5,0,2,Beaver,freeze-free
Historical Emissions,May,Mid Century (2040-2069),30.75,25,28.5,Beaver,freeze-free
Historical Emissions,Nov,Mid Century (2040-2069),8.475,1,4,Beaver,freeze-free
Historical Emissions,Oct,Mid Century (2040-2069),23,12,17.375,Beaver,freeze-free
Historical Emissions,Sep,Mid Century (2040-2069),30,25.25,28.75,Beaver,freeze-free
Historical Emissions,Apr,End-of-Century (2070-2099),20.75,8.75,14,Beaver,freeze-free
Historical Emissions,Aug,End-of-Century (2070-2099),31,31,31,Beaver,freeze-free
Historical Emissions,Dec,End-of-Century (2070-2099),3.5,0,1,Beaver,freeze-free
Historical Emissions,Feb,End-of-Century (2070-2099),3.75,0,0.5,Beaver,freeze-free
Historical Emissions,Jan,End-of-Century (2070-2099),2.75,0,0.5,Beaver,freeze-free
Historical Emissions,Jul,End-of-Century (2070-2099),31,31,31,Beaver,freeze-free
Historical Emissions,Jun,End-of-Century (2070-2099),30,29.25,30,Beaver,freeze-free
Historical Emissions,Mar,End-of-Century (2070-2099),7.5,0,2,Beaver,freeze-free
Historical Emissions,May,End-of-Century (2070-2099),30.75,25,28.5,Beaver,freeze-free
Historical Emissions,Nov,End-of-Century (2070-2099),8.475,1,4,Beaver,freeze-free
Historical Emissions,Oct,End-of-Century (2070-2099),23,12,17.375,Beaver,freeze-free
Historical Emissions,Sep,End-of-Century (2070-2099),30,25.25,28.75,Beaver,freeze-free
"Moderating Emissions
(SSP1-2.6)",Apr,End-of-Century (2070-2099),23.375,14.55,18.25,Beaver,freeze-free
