scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Apr,Mid Century (2040-2069),13,3.667,8.333,Swan,freeze-free
Historical Emissions,Aug,Mid Century (2040-2069),31,29,30.667,Swan,freeze-free
Historical Emissions,Dec,Mid Century (2040-2069),4.667,0,1.667,Swan,freeze-free
Historical Emissions,Feb,Mid Century (2040-2069),6.333,0.333,2.333,Swan,freeze-free
Historical Emissions,Jan,Mid Century (2040-2069),5.667,0,2,Swan,freeze-free
Historical Emissions,Jul,Mid Century (2040-2069),31,30,31,Swan,freeze-free
Historical Emissions,Jun,Mid Century (2040-2069),29.667,25,28,Swan,freeze-free
Historical Emissions,Mar,Mid Century (2040-2069),8.333,1.333,4,Swan,freeze-free
Historical Emissions,May,Mid Century (2040-2069),26,15.333,20.333,Swan,freeze-free
Historical Emissions,Nov,Mid Century (2040-2069),9,1.667,4.667,Swan,freeze-free
Historical Emissions,Oct,Mid Century (2040-2069),19.333,7.667,13,Swan,freeze-free
Historical Emissions,Sep,Mid Century (2040-2069),28,19.667,24.667,Swan,freeze-free
Historical Emissions,Apr,End-of-Century (2070-2099),13,3.667,8.333,Swan,freeze-free
Historical Emissions,Aug,End-of-Century (2070-2099),31,29,30.667,Swan,freeze-free
Historical Emissions,Dec,End-of-Century (2070-2099),4.667,0,1.667,Swan,freeze-free
Historical Emissions,Feb,End-of-Century (2070-2099),6.333,0.333,2.333,Swan,freeze-free
Historical Emissions,Jan,End-of-Century (2070-2099),5.667,0,2,Swan,freeze-free
Historical Emissions,Jul,End-of-Century (2070-2099),31,30,31,Swan,freeze-free
Historical Emissions,Jun,End-of-Century (2070-2099),29.667,25,28,Swan,freeze-free
Historical Emissions,Mar,End-of-Century (2070-2099),8.333,1.333,4,Swan,freeze-free
Historical Emissions,May,End-of-Century (2070-2099),26,15.333,20.333,Swan,freeze-free
Historical Emissions,Nov,End-of-Century (2070-2099),9,1.667,4.667,Swan,freeze-free
Historical Emissions,Oct,End-of-Century (2070-2099),19.333,7.667,13,Swan,freeze-free
Historical Emissions,Sep,End-of-Century (2070-2099),28,19.667,24.667,Swan,freeze-free
"Moderating Emissions
(SSP1-2.6)",Apr,End-of-Century (2070-2099),17.067,7.167,12.167,Swan,freeze-free
"Moderating Emissions
(SSP1-2.6)",Apr,Mid Century (2040-2069),16.7,5.333,11.166,Swan,freeze-free
"Moderating Emissions
(SSP1-2.6)",Aug,End-of-Century (2070-2099),31,30.333,31,Swan,freeze-free
"Moderating Emissions
(SSP1-2.6)",Aug,Mid Century (2040-2069),31,30.3,31,Swan,freeze-free
"Moderating Emissions
(SSP1-2.6)",Dec,End-of-Century (2070-2099),10.433,0,2.5,Swan,freeze-free
"Moderating Emissions
(SSP1-2.6)",Dec,Mid Century (2040-2069),7.333,0.667,2.667,Swan,freeze-free
"Moderating Emissions
(SSP1-2.6)",Feb,End-of-Century (2070-2099),8.133,0.8,3.5,Swan,freeze-free
"Moderating Emissions
(SSP1-2.6)",Feb,Mid Century (2040-2069),7.7,0.667,4,Swan,freeze-free
"Moderating Emissions
(SSP1-2.6)",Jan,End-of-Century (2070-2099),6.467,0.667,3.5,Swan,freeze-free
"Moderating Emissions
(SSP1-2.6)",Jan,Mid Century (2040-2069),7,0.634,3,Swan,freeze-free
"Moderating Emissions
(SSP1-2.6)",Jul,End-of-Century (2070-2099),31,30.9,31,Swan,freeze-free
"Moderating Emissions
(SSP1-2.6)",Jul,Mid Century (2040-2069),31,30.667,31,Swan,freeze-free
"Moderating Emissions
(SSP1-2.6)",Jun,End-of-Century (2070-2099),30,26.467,28.834,Swan,freeze-free
"Moderating Emissions
(SSP1-2.6)",Jun,Mid Century (2040-2069),30,26.333,29,Swan,freeze-free
"Moderating Emissions
(SSP1-2.6)",Mar,End-of-Century (2070-2099),10,2.6,7,Swan,freeze-free
"Moderating Emissions
(SSP1-2.6)",Mar,Mid Century (2040-2069),11.033,2.333,6,Swan,freeze-free
"Moderating Emissions
(SSP1-2.6)",May,End-of-Century (2070-2099),28.333,21.667,25.666,Swan,freeze-free
"Moderating Emissions
(SSP1-2.6)",May,Mid Century (2040-2069),27.7,18.333,24,Swan,freeze-free
"Moderating Emissions
(SSP1-2.6)",Nov,End-of-Century (2070-2099),8.4,3.667,6,Swan,freeze-free
"Moderating Emissions
(SSP1-2.6)",Nov,Mid Century (2040-2069),12.333,2.667,6.667,Swan,freeze-free
"Moderating Emissions
(SSP1-2.6)",Oct,End-of-Century (2070-2099),19.867,13.167,16.834,Swan,freeze-free
"Moderating Emissions
(SSP1-2.6)",Oct,Mid Century (2040-2069),21.667,11,16.667,Swan,freeze-free
"Moderating Emissions
(SSP1-2.6)",Sep,End-of-Century (2070-2099),29.667,23.267,25.5,Swan,freeze-free
"Moderating Emissions
(SSP1-2.6)",Sep,Mid Century (2040-2069),29.333,23.333,26.667,Swan,freeze-free
"Middle of the Road
(SSP2-4.5)",Apr,End-of-Century (2070-2099),17.433,7,13.5,Swan,freeze-free
"Middle of the Road
(SSP2-4.5)",Apr,Mid Century (2040-2069),16.667,6.333,11.333,Swan,freeze-free
"Middle of the Road
(SSP2-4.5)",Aug,End-of-Century (2070-2099),31,30.8,31,Swan,freeze-free
"Middle of the Road
(SSP2-4.5)",Aug,Mid Century (2040-2069),31,30.333,31,Swan,freeze-free
"Middle of the Road
(SSP2-4.5)",Dec,End-of-Century (2070-2099),14.133,2.133,5.333,Swan,freeze-free
"Middle of the Road
(SSP2-4.5)",Dec,Mid Century (2040-2069),7.667,0.667,3.333,Swan,freeze-free
"Middle of the Road
(SSP2-4.5)",Feb,End-of-Century (2070-2099),13.333,1.567,5.334,Swan,freeze-free
"Middle of the Road
(SSP2-4.5)",Feb,Mid Century (2040-2069),8.333,0.667,4,Swan,freeze-free
"Middle of the Road
(SSP2-4.5)",Jan,End-of-Century (2070-2099),9.433,2.233,4,Swan,freeze-free
"Middle of the Road
(SSP2-4.5)",Jan,Mid Century (2040-2069),8,0.667,3.333,Swan,freeze-free
"Middle of the Road
(SSP2-4.5)",Jul,End-of-Century (2070-2099),31,30.9,31,Swan,freeze-free
"Middle of the Road
(SSP2-4.5)",Jul,Mid Century (2040-2069),31,30.667,31,Swan,freeze-free
"Middle of the Road
(SSP2-4.5)",Jun,End-of-Century (2070-2099),30,27.5,28.667,Swan,freeze-free
"Middle of the Road
(SSP2-4.5)",Jun,Mid Century (2040-2069),30,26.667,29,Swan,freeze-free
"Middle of the Road
(SSP2-4.5)",Mar,End-of-Century (2070-2099),11.4,2.567,8,Swan,freeze-free
"Middle of the Road
(SSP2-4.5)",Mar,Mid Century (2040-2069),11.033,2,6,Swan,freeze-free
"Middle of the Road
(SSP2-4.5)",May,End-of-Century (2070-2099),30.433,21,24.667,Swan,freeze-free
"Middle of the Road
(SSP2-4.5)",May,Mid Century (2040-2069),28,18.333,24,Swan,freeze-free
"Middle of the Road
(SSP2-4.5)",Nov,End-of-Century (2070-2099),17.733,4.367,9.334,Swan,freeze-free
"Middle of the Road
(SSP2-4.5)",Nov,Mid Century (2040-2069),13.667,2.967,7,Swan,freeze-free
"Middle of the Road
(SSP2-4.5)",Oct,End-of-Century (2070-2099),25.433,12.467,18.834,Swan,freeze-free
"Middle of the Road
(SSP2-4.5)",Oct,Mid Century (2040-2069),23.333,10.667,17.667,Swan,freeze-free
"Middle of the Road
(SSP2-4.5)",Sep,End-of-Century (2070-2099),30,25.9,28.166,Swan,freeze-free
"Middle of the Road
(SSP2-4.5)",Sep,Mid Century (2040-2069),30,23.667,27.333,Swan,freeze-free
"High Emissions
(SSP3-7.0)",Apr,End-of-Century (2070-2099),22.633,9.567,16.5,Swan,freeze-free
"High Emissions
(SSP3-7.0)",Apr,Mid Century (2040-2069),18,6.333,12,Swan,freeze-free
"High Emissions
(SSP3-7.0)",Aug,End-of-Century (2070-2099),31,31,31,Swan,freeze-free
"High Emissions
(SSP3-7.0)",Aug,Mid Century (2040-2069),31,30.667,31,Swan,freeze-free
"High Emissions
(SSP3-7.0)",Dec,End-of-Century (2070-2099),13.767,2.8,6.834,Swan,freeze-free
"High Emissions
(SSP3-7.0)",Dec,Mid Century (2040-2069),8,1,3,Swan,freeze-free
"High Emissions
(SSP3-7.0)",Feb,End-of-Century (2070-2099),13.3,3.967,9.333,Swan,freeze-free
"High Emissions
(SSP3-7.0)",Feb,Mid Century (2040-2069),8.667,0.967,4,Swan,freeze-free
"High Emissions
(SSP3-7.0)",Jan,End-of-Century (2070-2099),9.1,0.233,4.666,Swan,freeze-free
"High Emissions
(SSP3-7.0)",Jan,Mid Century (2040-2069),8.033,0.667,3.333,Swan,freeze-free
"High Emissions
(SSP3-7.0)",Jul,End-of-Century (2070-2099),31,31,31,Swan,freeze-free
"High Emissions
(SSP3-7.0)",Jul,Mid Century (2040-2069),31,30.667,31,Swan,freeze-free
"High Emissions
(SSP3-7.0)",Jun,End-of-Century (2070-2099),30,29,30,Swan,freeze-free
"High Emissions
(SSP3-7.0)",Jun,Mid Century (2040-2069),30,27,29,Swan,freeze-free
"High Emissions
(SSP3-7.0)",Mar,End-of-Century (2070-2099),17.1,5,12.666,Swan,freeze-free
"High Emissions
(SSP3-7.0)",Mar,Mid Century (2040-2069),12.366,2.667,6.667,Swan,freeze-free
"High Emissions
(SSP3-7.0)",May,End-of-Century (2070-2099),30.433,24.5,27.833,Swan,freeze-free
"High Emissions
(SSP3-7.0)",May,Mid Century (2040-2069),28.033,19.333,24.333,Swan,freeze-free
"High Emissions
(SSP3-7.0)",Nov,End-of-Century (2070-2099),15.867,8.267,12.166,Swan,freeze-free
"High Emissions
(SSP3-7.0)",Nov,Mid Century (2040-2069),13.667,2.967,7.667,Swan,freeze-free
"High Emissions
(SSP3-7.0)",Oct,End-of-Century (2070-2099),28.1,19.133,23.166,Swan,freeze-free
"High Emissions
(SSP3-7.0)",Oct,Mid Century (2040-2069),23.333,12.333,17.5,Swan,freeze-free
"High Emissions
(SSP3-7.0)",Sep,End-of-Century (2070-2099),30,27.667,29.667,Swan,freeze-free
"High Emissions
(SSP3-7.0)",Sep,Mid Century (2040-2069),30,24,28,Swan,freeze-free
"Accelerating Emissions
(SSP5-8.5)",Apr,End-of-Century (2070-2099),24.267,14.233,20.334,Swan,freeze-free
"Accelerating Emissions
(SSP5-8.5)",Apr,Mid Century (2040-2069),18.366,7.333,12.834,Swan,freeze-free
"Accelerating Emissions
(SSP5-8.5)",Aug,End-of-Century (2070-2099),31,31,31,Swan,freeze-free
"Accelerating Emissions
(SSP5-8.5)",Aug,Mid Century (2040-2069),31,31,31,Swan,freeze-free
"Accelerating Emissions
(SSP5-8.5)",Dec,End-of-Century (2070-2099),16.333,4.333,7.667,Swan,freeze-free
"Accelerating Emissions
(SSP5-8.5)",Dec,Mid Century (2040-2069),9,1,4,Swan,freeze-free
"Accelerating Emissions
(SSP5-8.5)",Feb,End-of-Century (2070-2099),14.433,2.7,11.167,Swan,freeze-free
"Accelerating Emissions
(SSP5-8.5)",Feb,Mid Century (2040-2069),10,1,4.667,Swan,freeze-free
"Accelerating Emissions
(SSP5-8.5)",Jan,End-of-Century (2070-2099),12.967,3.167,8.333,Swan,freeze-free
"Accelerating Emissions
(SSP5-8.5)",Jan,Mid Century (2040-2069),8.667,0.967,4,Swan,freeze-free
"Accelerating Emissions
(SSP5-8.5)",Jul,End-of-Century (2070-2099),31,31,31,Swan,freeze-free
"Accelerating Emissions
(SSP5-8.5)",Jul,Mid Century (2040-2069),31,30.667,31,Swan,freeze-free
"Accelerating Emissions
(SSP5-8.5)",Jun,End-of-Century (2070-2099),30,29.667,30,Swan,freeze-free
"Accelerating Emissions
(SSP5-8.5)",Jun,Mid Century (2040-2069),30,27,29.333,Swan,freeze-free
"Accelerating Emissions
(SSP5-8.5)",Mar,End-of-Century (2070-2099),19.3,9.033,14.334,Swan,freeze-free
"Accelerating Emissions
(SSP5-8.5)",Mar,Mid Century (2040-2069),12.7,2.634,6.667,Swan,freeze-free
"Accelerating Emissions
(SSP5-8.5)",May,End-of-Century (2070-2099),30.767,24.7,28,Swan,freeze-free
"Accelerating Emissions
(SSP5-8.5)",May,Mid Century (2040-2069),28.667,20.333,25,Swan,freeze-free
"Accelerating Emissions
(SSP5-8.5)",Nov,End-of-Century (2070-2099),24.433,8.3,14.833,Swan,freeze-free
"Accelerating Emissions
(SSP5-8.5)",Nov,Mid Century (2040-2069),15.033,3.3,8,Swan,freeze-free
"Accelerating Emissions
(SSP5-8.5)",Oct,End-of-Century (2070-2099),28.1,20.9,24.834,Swan,freeze-free
"Accelerating Emissions
(SSP5-8.5)",Oct,Mid Century (2040-2069),23.7,12.333,18.333,Swan,freeze-free
"Accelerating Emissions
(SSP5-8.5)",Sep,End-of-Century (2070-2099),30,29.233,30,Swan,freeze-free
"Accelerating Emissions
(SSP5-8.5)",Sep,Mid Century (2040-2069),30,24.967,28.166,Swan,freeze-free
