scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Apr,Mid Century (2040-2069),19.989,9.667,14.444,Crow,freeze-free
Historical Emissions,Aug,Mid Century (2040-2069),31,30.944,31,Crow,freeze-free
Historical Emissions,Dec,Mid Century (2040-2069),5.494,0.222,2.194,Crow,freeze-free
Historical Emissions,Feb,Mid Century (2040-2069),6.383,0.111,1.778,Crow,freeze-free
Historical Emissions,Jan,Mid Century (2040-2069),5.606,0,2.222,Crow,freeze-free
Historical Emissions,Jul,Mid Century (2040-2069),31,31,31,Crow,freeze-free
Historical Emissions,Jun,Mid Century (2040-2069),30,29.278,29.944,Crow,freeze-free
Historical Emissions,Mar,Mid Century (2040-2069),8.722,0.778,3.611,Crow,freeze-free
Historical Emissions,May,Mid Century (2040-2069),30.111,24.833,27.75,Crow,freeze-free
Historical Emissions,Nov,Mid Century (2040-2069),11.378,2.562,5.944,Crow,freeze-free
Historical Emissions,Oct,Mid Century (2040-2069),23.722,12.672,18.167,Crow,freeze-free
Historical Emissions,Sep,Mid Century (2040-2069),29.944,25.444,28.5,Crow,freeze-free
Historical Emissions,Apr,End-of-Century (2070-2099),19.989,9.667,14.444,Crow,freeze-free
Historical Emissions,Aug,End-of-Century (2070-2099),31,30.944,31,Crow,freeze-free
Historical Emissions,Dec,End-of-Century (2070-2099),5.494,0.222,2.194,Crow,freeze-free
Historical Emissions,Feb,End-of-Century (2070-2099),6.383,0.111,1.778,Crow,freeze-free
Historical Emissions,Jan,End-of-Century (2070-2099),5.606,0,2.222,Crow,freeze-free
Historical Emissions,Jul,End-of-Century (2070-2099),31,31,31,Crow,freeze-free
Historical Emissions,Jun,End-of-Century (2070-2099),30,29.278,29.944,Crow,freeze-free
Historical Emissions,Mar,End-of-Century (2070-2099),8.722,0.778,3.611,Crow,freeze-free
Historical Emissions,May,End-of-Century (2070-2099),30.111,24.833,27.75,Crow,freeze-free
Historical Emissions,Nov,End-of-Century (2070-2099),11.378,2.562,5.944,Crow,freeze-free
