scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Apr,Mid Century (2040-2069),180.887,63.389,112.63,Billings,gdd
Historical Emissions,Aug,Mid Century (2040-2069),651.317,521.647,590.613,Billings,gdd
Historical Emissions,Dec,Mid Century (2040-2069),8.462,0,0.843,Billings,gdd
Historical Emissions,Feb,Mid Century (2040-2069),18.39,0.013,2.517,Billings,gdd
Historical Emissions,Jan,Mid Century (2040-2069),5.609,0,0.194,Billings,gdd
Historical Emissions,Jul,Mid Century (2040-2069),680.945,543.186,619.998,Billings,gdd
Historical Emissions,Jun,Mid Century (2040-2069),512.512,348.864,433.056,Billings,gdd
Historical Emissions,Mar,Mid Century (2040-2069),72.769,7.003,30.792,Billings,gdd
Historical Emissions,May,Mid Century (2040-2069),352.965,185.114,267.335,Billings,gdd
Historical Emissions,Nov,Mid Century (2040-2069),62.65,4.865,27.91,Billings,gdd
Historical Emissions,Oct,Mid Century (2040-2069),287.373,103.824,190.216,Billings,gdd
Historical Emissions,Sep,Mid Century (2040-2069),473.137,298.619,390.972,Billings,gdd
Historical Emissions,Apr,End-of-Century (2070-2099),180.887,63.389,112.63,Billings,gdd
Historical Emissions,Aug,End-of-Century (2070-2099),651.317,521.647,590.613,Billings,gdd
Historical Emissions,Dec,End-of-Century (2070-2099),8.462,0,0.843,Billings,gdd
Historical Emissions,Feb,End-of-Century (2070-2099),18.39,0.013,2.517,Billings,gdd
Historical Emissions,Jan,End-of-Century (2070-2099),5.609,0,0.194,Billings,gdd
Historical Emissions,Jul,End-of-Century (2070-2099),680.945,543.186,619.998,Billings,gdd
Historical Emissions,Jun,End-of-Century (2070-2099),512.512,348.864,433.056,Billings,gdd
Historical Emissions,Mar,End-of-Century (2070-2099),72.769,7.003,30.792,Billings,gdd
Historical Emissions,May,End-of-Century (2070-2099),352.965,185.114,267.335,Billings,gdd
Historical Emissions,Nov,End-of-Century (2070-2099),62.65,4.865,27.91,Billings,gdd
Historical Emissions,Oct,End-of-Century (2070-2099),287.373,103.824,190.216,Billings,gdd
Historical Emissions,Sep,End-of-Century (2070-2099),473.137,298.619,390.972,Billings,gdd
"Moderating Emissions
(SSP1-2.6)",Apr,End-of-Century (2070-2099),191.354,84.878,152.839,Billings,gdd
"Moderating Emissions
(SSP1-2.6)",Apr,Mid Century (2040-2069),218.537,84.321,147.375,Billings,gdd
"Moderating Emissions
(SSP1-2.6)",Aug,End-of-Century (2070-2099),705.797,565.91,656.475,Billings,gdd
"Moderating Emissions
(SSP1-2.6)",Aug,Mid Century (2040-2069),704.66,597.218,648.002,Billings,gdd
"Moderating Emissions
(SSP1-2.6)",Dec,End-of-Century (2070-2099),18.926,0,1.809,Billings,gdd
"Moderating Emissions
(SSP1-2.6)",Dec,Mid Century (2040-2069),19.099,0,2.494,Billings,gdd
"Moderating Emissions
(SSP1-2.6)",Feb,End-of-Century (2070-2099),44.941,1.34,4.036,Billings,gdd
"Moderating Emissions
(SSP1-2.6)",Feb,Mid Century (2040-2069),29.867,0.096,7.65,Billings,gdd
"Moderating Emissions
(SSP1-2.6)",Jan,End-of-Century (2070-2099),23.192,0,0.34,Billings,gdd
"Moderating Emissions
(SSP1-2.6)",Jan,Mid Century (2040-2069),8.312,0,0.617,Billings,gdd
"Moderating Emissions
(SSP1-2.6)",Jul,End-of-Century (2070-2099),717.264,580.758,677.976,Billings,gdd
"Moderating Emissions
(SSP1-2.6)",Jul,Mid Century (2040-2069),729.129,599.977,666.406,Billings,gdd
"Moderating Emissions
(SSP1-2.6)",Jun,End-of-Century (2070-2099),552.809,391.045,477.607,Billings,gdd
"Moderating Emissions
(SSP1-2.6)",Jun,Mid Century (2040-2069),572.51,391.684,471.319,Billings,gdd
"Moderating Emissions
(SSP1-2.6)",Mar,End-of-Century (2070-2099),80.034,19.325,48.46,Billings,gdd
"Moderating Emissions
(SSP1-2.6)",Mar,Mid Century (2040-2069),106.978,17.609,49.403,Billings,gdd
"Moderating Emissions
(SSP1-2.6)",May,End-of-Century (2070-2099),401.505,220.904,306.413,Billings,gdd
"Moderating Emissions
(SSP1-2.6)",May,Mid Century (2040-2069),390.447,224.24,304.012,Billings,gdd
"Moderating Emissions
(SSP1-2.6)",Nov,End-of-Century (2070-2099),62.975,20.13,39.127,Billings,gdd
"Moderating Emissions
(SSP1-2.6)",Nov,Mid Century (2040-2069),87.923,12.413,44.657,Billings,gdd
"Moderating Emissions
(SSP1-2.6)",Oct,End-of-Century (2070-2099),276.397,141.419,194.28,Billings,gdd
"Moderating Emissions
(SSP1-2.6)",Oct,Mid Century (2040-2069),322.68,142.851,228.155,Billings,gdd
