year,scenario,upper,lower,value,location,variable
1950,Historical Emissions,3012.495,2549.164,2681.935,Miles City,gdd
1951,Historical Emissions,2951.218,2493.005,2838.892,Miles City,gdd
1952,Historical Emissions,2967.5,2493.535,2670.042,Miles City,gdd
1953,Historical Emissions,2893.674,2326.123,2737.936,Miles City,gdd
1954,Historical Emissions,2868.022,2213.032,2520.766,Miles City,gdd
1955,Historical Emissions,3030.625,2461.482,2642.468,Miles City,gdd
1956,Historical Emissions,3048.8,2482.132,2786.831,Miles City,gdd
1957,Historical Emissions,3216.75,2311.02,2682.809,Miles City,gdd
1958,Historical Emissions,2910.111,2344.315,2621.95,Miles City,gdd
1959,Historical Emissions,2730.133,2318.41,2440.801,Miles City,gdd
1960,Historical Emissions,2797.243,2563.311,2625.456,Miles City,gdd
1961,Historical Emissions,2771.538,2467.609,2689.397,Miles City,gdd
1962,Historical Emissions,2751.114,2267.39,2615.701,Miles City,gdd
1963,Historical Emissions,2640.92,2348.913,2555.094,Miles City,gdd
1964,Historical Emissions,2805.146,2406.277,2602.364,Miles City,gdd
1965,Historical Emissions,2814.584,2345.788,2716.767,Miles City,gdd
1966,Historical Emissions,2994.001,2279.377,2492.104,Miles City,gdd
1967,Historical Emissions,2848.566,2394.643,2539.318,Miles City,gdd
1968,Historical Emissions,2628.578,2246.679,2436.13,Miles City,gdd
1969,Historical Emissions,2816.069,2161.554,2617.444,Miles City,gdd
1970,Historical Emissions,2764.455,2343.694,2583.341,Miles City,gdd
1971,Historical Emissions,2901.184,2442.54,2687.738,Miles City,gdd
1972,Historical Emissions,2867.773,2369.605,2601.837,Miles City,gdd
1973,Historical Emissions,2935.034,2251.186,2487.39,Miles City,gdd
1974,Historical Emissions,2832.875,2225.246,2690.127,Miles City,gdd
1975,Historical Emissions,2884.732,2450.109,2683.547,Miles City,gdd
1976,Historical Emissions,2732.976,2473.354,2573.757,Miles City,gdd
1977,Historical Emissions,3028.94,2434.231,2568.151,Miles City,gdd
1978,Historical Emissions,2892.457,2355.013,2676.375,Miles City,gdd
1979,Historical Emissions,2868.757,2467.482,2640.055,Miles City,gdd
1980,Historical Emissions,2948.1,2438.401,2662.206,Miles City,gdd
1981,Historical Emissions,2938.888,2368.778,2583.472,Miles City,gdd
1982,Historical Emissions,2877.672,2469.428,2642.429,Miles City,gdd
1983,Historical Emissions,2721.78,2391.986,2550.142,Miles City,gdd
1984,Historical Emissions,2874.157,2430.294,2623.327,Miles City,gdd
1985,Historical Emissions,3025.32,2551.795,2716.585,Miles City,gdd
1986,Historical Emissions,2630.001,2356.647,2490.499,Miles City,gdd
1987,Historical Emissions,2753.995,2320.765,2520.183,Miles City,gdd
1988,Historical Emissions,2780.45,2327.182,2627.326,Miles City,gdd
1989,Historical Emissions,2957.425,2473.457,2789.633,Miles City,gdd
1990,Historical Emissions,3242.893,2477.524,2805.211,Miles City,gdd
1991,Historical Emissions,2917.774,2436.831,2671.699,Miles City,gdd
1992,Historical Emissions,2663.727,2388.502,2494.416,Miles City,gdd
1993,Historical Emissions,2807.007,2381.999,2584.386,Miles City,gdd
1994,Historical Emissions,3013.12,2391.156,2712.428,Miles City,gdd
1995,Historical Emissions,3108.171,2572.996,2801.799,Miles City,gdd
1996,Historical Emissions,3201.37,2675.06,2939.253,Miles City,gdd
1997,Historical Emissions,3006.036,2538.773,2716.048,Miles City,gdd
1998,Historical Emissions,2974.704,2544.857,2692.273,Miles City,gdd
1999,Historical Emissions,2937.749,2558.361,2810.533,Miles City,gdd
2000,Historical Emissions,3031.076,2613.526,2907.575,Miles City,gdd
2001,Historical Emissions,3077.575,2560.819,2759.762,Miles City,gdd
2002,Historical Emissions,3167.638,2754.082,2952.092,Miles City,gdd
2003,Historical Emissions,3139.402,2629.725,2927.799,Miles City,gdd
2004,Historical Emissions,3209.58,2778.373,2907.001,Miles City,gdd
