scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Apr,Mid Century (2040-2069),137.748,27.504,70.24,Meagher County,gdd
Historical Emissions,Aug,Mid Century (2040-2069),588.629,438.259,517.591,Meagher County,gdd
Historical Emissions,Dec,Mid Century (2040-2069),1.543,0,0,Meagher County,gdd
Historical Emissions,Feb,Mid Century (2040-2069),5.675,0,0.044,Meagher County,gdd
Historical Emissions,Jan,Mid Century (2040-2069),0.437,0,0,Meagher County,gdd
Historical Emissions,Jul,Mid Century (2040-2069),616.591,464.773,540.745,Meagher County,gdd
Historical Emissions,Jun,Mid Century (2040-2069),445.152,280.454,363.03,Meagher County,gdd
Historical Emissions,Mar,Mid Century (2040-2069),35.188,0.035,8.193,Meagher County,gdd
Historical Emissions,May,Mid Century (2040-2069),299.92,138.17,217.714,Meagher County,gdd
Historical Emissions,Nov,Mid Century (2040-2069),35.634,0.151,10.823,Meagher County,gdd
Historical Emissions,Oct,Mid Century (2040-2069),233.386,68.572,147.042,Meagher County,gdd
Historical Emissions,Sep,Mid Century (2040-2069),420.002,240.842,325.857,Meagher County,gdd
Historical Emissions,Apr,End-of-Century (2070-2099),137.748,27.504,70.24,Meagher County,gdd
Historical Emissions,Aug,End-of-Century (2070-2099),588.629,438.259,517.591,Meagher County,gdd
Historical Emissions,Dec,End-of-Century (2070-2099),1.543,0,0,Meagher County,gdd
Historical Emissions,Feb,End-of-Century (2070-2099),5.675,0,0.044,Meagher County,gdd
Historical Emissions,Jan,End-of-Century (2070-2099),0.437,0,0,Meagher County,gdd
Historical Emissions,Jul,End-of-Century (2070-2099),616.591,464.773,540.745,Meagher County,gdd
Historical Emissions,Jun,End-of-Century (2070-2099),445.152,280.454,363.03,Meagher County,gdd
Historical Emissions,Mar,End-of-Century (2070-2099),35.188,0.035,8.193,Meagher County,gdd
Historical Emissions,May,End-of-Century (2070-2099),299.92,138.17,217.714,Meagher County,gdd
