year,scenario,upper,lower,value,location,variable
1950,Historical Emissions,2288.266,1733.255,2067.123,Silver Bow County,gdd
1951,Historical Emissions,2204.807,1894.63,2031.69,Silver Bow County,gdd
1952,Historical Emissions,2148.924,1717.478,1966.928,Silver Bow County,gdd
1953,Historical Emissions,2202.96,1777.449,1961.404,Silver Bow County,gdd
1954,Historical Emissions,2137.401,1517.684,1867.128,Silver Bow County,gdd
1955,Historical Emissions,2269.796,1817.136,1904.57,Silver Bow County,gdd
1956,Historical Emissions,2213.254,1714.023,1981.161,Silver Bow County,gdd
1957,Historical Emissions,2343.309,1585.399,1854.207,Silver Bow County,gdd
1958,Historical Emissions,2054.932,1687.349,1852.283,Silver Bow County,gdd
1959,Historical Emissions,2001.348,1667.438,1897.728,Silver Bow County,gdd
1960,Historical Emissions,2050.494,1766.701,1857.466,Silver Bow County,gdd
1961,Historical Emissions,2130.357,1684.495,1860.876,Silver Bow County,gdd
1962,Historical Emissions,1996.648,1576.495,1851.124,Silver Bow County,gdd
1963,Historical Emissions,1970.953,1670.255,1848.152,Silver Bow County,gdd
1964,Historical Emissions,1951.19,1715.196,1878.775,Silver Bow County,gdd
1965,Historical Emissions,2006.993,1756.406,1969.442,Silver Bow County,gdd
1966,Historical Emissions,2000.2,1564.786,1861.457,Silver Bow County,gdd
1967,Historical Emissions,2014.107,1694.405,1879.269,Silver Bow County,gdd
1968,Historical Emissions,1893.989,1699.097,1804.047,Silver Bow County,gdd
1969,Historical Emissions,2036.966,1595.831,1912.538,Silver Bow County,gdd
1970,Historical Emissions,2014.273,1683.326,1796.424,Silver Bow County,gdd
1971,Historical Emissions,2358.592,1721.505,1948.563,Silver Bow County,gdd
1972,Historical Emissions,2066.676,1642.851,1869.897,Silver Bow County,gdd
1973,Historical Emissions,2223.143,1600.968,1798.072,Silver Bow County,gdd
1974,Historical Emissions,2072.167,1529.885,1968.766,Silver Bow County,gdd
1975,Historical Emissions,2119.252,1833.821,2000.256,Silver Bow County,gdd
1976,Historical Emissions,2005.115,1745.716,1885.579,Silver Bow County,gdd
1977,Historical Emissions,2327.127,1729.973,1914.119,Silver Bow County,gdd
1978,Historical Emissions,2060.064,1778.63,1856.034,Silver Bow County,gdd
1979,Historical Emissions,2194.012,1696.024,1885.262,Silver Bow County,gdd
1980,Historical Emissions,2291.605,1695.25,1880.044,Silver Bow County,gdd
1981,Historical Emissions,2194.066,1780.713,2002.539,Silver Bow County,gdd
1982,Historical Emissions,2159.828,1788.054,2038.567,Silver Bow County,gdd
1983,Historical Emissions,1972.438,1749.298,1814.252,Silver Bow County,gdd
1984,Historical Emissions,2088.078,1635.262,1896.538,Silver Bow County,gdd
1985,Historical Emissions,2146.547,1840.158,1998.506,Silver Bow County,gdd
1986,Historical Emissions,1992.582,1741.986,1818.322,Silver Bow County,gdd
1987,Historical Emissions,2121.898,1699.323,1859.784,Silver Bow County,gdd
1988,Historical Emissions,2039.705,1731.379,1900.521,Silver Bow County,gdd
1989,Historical Emissions,2229.797,1810.687,1932.75,Silver Bow County,gdd
1990,Historical Emissions,2355.531,1804.307,2021.876,Silver Bow County,gdd
1991,Historical Emissions,2242.917,1598.613,1944.449,Silver Bow County,gdd
1992,Historical Emissions,2006.758,1743.769,1819.537,Silver Bow County,gdd
1993,Historical Emissions,2018.783,1733.43,1960.386,Silver Bow County,gdd
1994,Historical Emissions,2339.417,1686.472,1885.594,Silver Bow County,gdd
1995,Historical Emissions,2253.928,1826.223,1959.41,Silver Bow County,gdd
1996,Historical Emissions,2443.511,2046.657,2308.329,Silver Bow County,gdd
1997,Historical Emissions,2173.527,1765.253,2025.95,Silver Bow County,gdd
1998,Historical Emissions,2315.494,1800.159,2028.809,Silver Bow County,gdd
1999,Historical Emissions,2171.605,1738.914,2016.823,Silver Bow County,gdd
2000,Historical Emissions,2317.978,1818.112,2068.646,Silver Bow County,gdd
2001,Historical Emissions,2321.029,1836.113,2028.305,Silver Bow County,gdd
2002,Historical Emissions,2504.197,1923.537,2222.12,Silver Bow County,gdd
2003,Historical Emissions,2332.929,2048.193,2185.809,Silver Bow County,gdd
2004,Historical Emissions,2457.893,2057.336,2240.51,Silver Bow County,gdd
2005,Historical Emissions,2582.833,2052.116,2222.802,Silver Bow County,gdd
2006,Historical Emissions,2315.042,1971.578,2187.375,Silver Bow County,gdd
2007,Historical Emissions,2224.006,2044.569,2136.388,Silver Bow County,gdd
2008,Historical Emissions,2363.019,2035.18,2171.165,Silver Bow County,gdd
2009,Historical Emissions,2204.933,1928.352,2066.256,Silver Bow County,gdd
2010,Historical Emissions,2359.076,1969.235,2210.864,Silver Bow County,gdd
2011,Historical Emissions,2349.641,1999.341,2172.485,Silver Bow County,gdd
2012,Historical Emissions,2314.17,2100.33,2269.175,Silver Bow County,gdd
2013,Historical Emissions,2603.116,2195.368,2356.084,Silver Bow County,gdd
2014,Historical Emissions,2508.111,2072.199,2232.867,Silver Bow County,gdd
2015,"Moderating Emissions
(SSP1-2.6)",2578.264,2203.2,2331.138,Silver Bow County,gdd
2015,"Middle of the Road
(SSP2-4.5)",2386.164,2077.929,2245.054,Silver Bow County,gdd
