scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Apr,Mid Century (2040-2069),231.502,101.15,159.814,Treasure County,gdd
Historical Emissions,Aug,Mid Century (2040-2069),698.966,570.337,639.959,Treasure County,gdd
Historical Emissions,Dec,Mid Century (2040-2069),12.331,0,0.719,Treasure County,gdd
Historical Emissions,Feb,Mid Century (2040-2069),27.605,0,4.091,Treasure County,gdd
Historical Emissions,Jan,Mid Century (2040-2069),7.976,0,0,Treasure County,gdd
Historical Emissions,Jul,Mid Century (2040-2069),730.407,596.417,671.343,Treasure County,gdd
Historical Emissions,Jun,Mid Century (2040-2069),576.893,403.647,495.09,Treasure County,gdd
Historical Emissions,Mar,Mid Century (2040-2069),103.484,12.813,52.412,Treasure County,gdd
Historical Emissions,May,Mid Century (2040-2069),414.818,233.862,319.283,Treasure County,gdd
Historical Emissions,Nov,Mid Century (2040-2069),79.728,7.173,38.02,Treasure County,gdd
Historical Emissions,Oct,Mid Century (2040-2069),333.847,129.646,233.377,Treasure County,gdd
Historical Emissions,Sep,Mid Century (2040-2069),525.957,341.013,443.99,Treasure County,gdd
Historical Emissions,Apr,End-of-Century (2070-2099),231.502,101.15,159.814,Treasure County,gdd
Historical Emissions,Aug,End-of-Century (2070-2099),698.966,570.337,639.959,Treasure County,gdd
Historical Emissions,Dec,End-of-Century (2070-2099),12.331,0,0.719,Treasure County,gdd
Historical Emissions,Feb,End-of-Century (2070-2099),27.605,0,4.091,Treasure County,gdd
Historical Emissions,Jan,End-of-Century (2070-2099),7.976,0,0,Treasure County,gdd
Historical Emissions,Jul,End-of-Century (2070-2099),730.407,596.417,671.343,Treasure County,gdd
Historical Emissions,Jun,End-of-Century (2070-2099),576.893,403.647,495.09,Treasure County,gdd
Historical Emissions,Mar,End-of-Century (2070-2099),103.484,12.813,52.412,Treasure County,gdd
Historical Emissions,May,End-of-Century (2070-2099),414.818,233.862,319.283,Treasure County,gdd
Historical Emissions,Nov,End-of-Century (2070-2099),79.728,7.173,38.02,Treasure County,gdd
Historical Emissions,Oct,End-of-Century (2070-2099),333.847,129.646,233.377,Treasure County,gdd
Historical Emissions,Sep,End-of-Century (2070-2099),525.957,341.013,443.99,Treasure County,gdd
"Moderating Emissions
(SSP1-2.6)",Apr,End-of-Century (2070-2099),255.796,120.668,194.683,Treasure County,gdd
"Moderating Emissions
(SSP1-2.6)",Apr,Mid Century (2040-2069),269.224,117.431,193.694,Treasure County,gdd
"Moderating Emissions
(SSP1-2.6)",Aug,End-of-Century (2070-2099),744.572,620.457,701.961,Treasure County,gdd
"Moderating Emissions
(SSP1-2.6)",Aug,Mid Century (2040-2069),747.265,642.561,695.092,Treasure County,gdd
"Moderating Emissions
(SSP1-2.6)",Dec,End-of-Century (2070-2099),22.804,0,2.423,Treasure County,gdd
"Moderating Emissions
(SSP1-2.6)",Dec,Mid Century (2040-2069),26.502,0,3.587,Treasure County,gdd
"Moderating Emissions
(SSP1-2.6)",Feb,End-of-Century (2070-2099),57.304,2.29,8.78,Treasure County,gdd
"Moderating Emissions
(SSP1-2.6)",Feb,Mid Century (2040-2069),44.422,0,10.023,Treasure County,gdd
"Moderating Emissions
(SSP1-2.6)",Jan,End-of-Century (2070-2099),29.877,0,0,Treasure County,gdd
"Moderating Emissions
(SSP1-2.6)",Jan,Mid Century (2040-2069),11.87,0,0.123,Treasure County,gdd
"Moderating Emissions
(SSP1-2.6)",Jul,End-of-Century (2070-2099),762.981,616.67,724.008,Treasure County,gdd
"Moderating Emissions
(SSP1-2.6)",Jul,Mid Century (2040-2069),778.393,653.427,718.577,Treasure County,gdd
"Moderating Emissions
(SSP1-2.6)",Jun,End-of-Century (2070-2099),626.593,448.793,544.146,Treasure County,gdd
"Moderating Emissions
(SSP1-2.6)",Jun,Mid Century (2040-2069),628.71,452.546,537.326,Treasure County,gdd
"Moderating Emissions
(SSP1-2.6)",Mar,End-of-Century (2070-2099),115.766,36.205,65.144,Treasure County,gdd
"Moderating Emissions
(SSP1-2.6)",Mar,Mid Century (2040-2069),145.602,28.592,76.258,Treasure County,gdd
"Moderating Emissions
(SSP1-2.6)",May,End-of-Century (2070-2099),460.396,269.832,361.545,Treasure County,gdd
"Moderating Emissions
(SSP1-2.6)",May,Mid Century (2040-2069),455.689,278.547,361.618,Treasure County,gdd
"Moderating Emissions
(SSP1-2.6)",Nov,End-of-Century (2070-2099),86.231,20.305,54.006,Treasure County,gdd
"Moderating Emissions
(SSP1-2.6)",Nov,Mid Century (2040-2069),102.898,17.733,59.289,Treasure County,gdd
"Moderating Emissions
(SSP1-2.6)",Oct,End-of-Century (2070-2099),315.136,178.309,223.65,Treasure County,gdd
"Moderating Emissions
(SSP1-2.6)",Oct,Mid Century (2040-2069),369.59,179.301,267.636,Treasure County,gdd
"Moderating Emissions
(SSP1-2.6)",Sep,End-of-Century (2070-2099),593.352,393.649,476.149,Treasure County,gdd
"Moderating Emissions
(SSP1-2.6)",Sep,Mid Century (2040-2069),576.966,406.482,489.302,Treasure County,gdd
"Middle of the Road
(SSP2-4.5)",Apr,End-of-Century (2070-2099),254.419,156.495,188.34,Treasure County,gdd
"Middle of the Road
(SSP2-4.5)",Apr,Mid Century (2040-2069),266.534,117.759,184.351,Treasure County,gdd
"Middle of the Road
(SSP2-4.5)",Aug,End-of-Century (2070-2099),811.807,704.592,751.306,Treasure County,gdd
"Middle of the Road
(SSP2-4.5)",Aug,Mid Century (2040-2069),765.53,644.519,708.296,Treasure County,gdd
"Middle of the Road
(SSP2-4.5)",Dec,End-of-Century (2070-2099),64.923,0.235,11.262,Treasure County,gdd
"Middle of the Road
(SSP2-4.5)",Dec,Mid Century (2040-2069),26.956,0,3.154,Treasure County,gdd
"Middle of the Road
(SSP2-4.5)",Feb,End-of-Century (2070-2099),80.123,1.63,29.23,Treasure County,gdd
"Middle of the Road
(SSP2-4.5)",Feb,Mid Century (2040-2069),49.238,0,11.431,Treasure County,gdd
"Middle of the Road
(SSP2-4.5)",Jan,End-of-Century (2070-2099),23.929,0.252,4.282,Treasure County,gdd
"Middle of the Road
(SSP2-4.5)",Jan,Mid Century (2040-2069),14.671,0,1.045,Treasure County,gdd
