year,scenario,upper,lower,value,location,variable
1950,Historical Emissions,2974.529,2493.427,2720.12,Yellowstone County,gdd
1951,Historical Emissions,2980.062,2526.946,2753.06,Yellowstone County,gdd
1952,Historical Emissions,2930.516,2398.083,2542.037,Yellowstone County,gdd
1953,Historical Emissions,2831.627,2353.935,2621.485,Yellowstone County,gdd
1954,Historical Emissions,2839.155,2168.415,2529.921,Yellowstone County,gdd
1955,Historical Emissions,3050.253,2436.153,2549.349,Yellowstone County,gdd
1956,Historical Emissions,2948.602,2447.319,2760.587,Yellowstone County,gdd
1957,Historical Emissions,3150.584,2270.371,2571.795,Yellowstone County,gdd
1958,Historical Emissions,2806.309,2340.556,2541.3,Yellowstone County,gdd
1959,Historical Emissions,2744.773,2300.016,2459.23,Yellowstone County,gdd
1960,Historical Emissions,2777.864,2477.678,2549.978,Yellowstone County,gdd
1961,Historical Emissions,2740.301,2407.291,2629.931,Yellowstone County,gdd
1962,Historical Emissions,2702.13,2268.506,2528.693,Yellowstone County,gdd
1963,Historical Emissions,2574.97,2219.258,2479.923,Yellowstone County,gdd
1964,Historical Emissions,2750.592,2344.689,2530.191,Yellowstone County,gdd
1965,Historical Emissions,2793.923,2217.718,2621.301,Yellowstone County,gdd
1966,Historical Emissions,2735.421,2229.996,2492.632,Yellowstone County,gdd
1967,Historical Emissions,2806.83,2356.655,2484.85,Yellowstone County,gdd
1968,Historical Emissions,2604.195,2204.762,2420.053,Yellowstone County,gdd
1969,Historical Emissions,2674.758,2224.551,2559.069,Yellowstone County,gdd
1970,Historical Emissions,2682.099,2395.32,2576.531,Yellowstone County,gdd
1971,Historical Emissions,2946.928,2419.407,2667.405,Yellowstone County,gdd
1972,Historical Emissions,2828.416,2272.903,2555.481,Yellowstone County,gdd
1973,Historical Emissions,2869.487,2241.563,2424.854,Yellowstone County,gdd
1974,Historical Emissions,2774.751,2159.431,2628.339,Yellowstone County,gdd
1975,Historical Emissions,2819.44,2405.667,2561.274,Yellowstone County,gdd
1976,Historical Emissions,2713.178,2459.787,2541.101,Yellowstone County,gdd
1977,Historical Emissions,2970.996,2432.194,2545.868,Yellowstone County,gdd
1978,Historical Emissions,2822.792,2386.485,2580.384,Yellowstone County,gdd
1979,Historical Emissions,2839.798,2317.242,2649.883,Yellowstone County,gdd
1980,Historical Emissions,2893.977,2292.437,2574.684,Yellowstone County,gdd
1981,Historical Emissions,2853.703,2397.949,2604.035,Yellowstone County,gdd
1982,Historical Emissions,2798.97,2403.27,2727.739,Yellowstone County,gdd
1983,Historical Emissions,2694.955,2398.922,2538.027,Yellowstone County,gdd
1984,Historical Emissions,2829.738,2340.967,2612.326,Yellowstone County,gdd
1985,Historical Emissions,2856.088,2494.54,2696.565,Yellowstone County,gdd
1986,Historical Emissions,2664.312,2251.339,2495.013,Yellowstone County,gdd
1987,Historical Emissions,2753.69,2277.713,2513.552,Yellowstone County,gdd
1988,Historical Emissions,2726.466,2317.463,2550.875,Yellowstone County,gdd
1989,Historical Emissions,2890.709,2442.461,2595.318,Yellowstone County,gdd
1990,Historical Emissions,3065.688,2493.818,2722.167,Yellowstone County,gdd
1991,Historical Emissions,2805.648,2365.214,2545.487,Yellowstone County,gdd
