scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Apr,Mid Century (2040-2069),137.426,39.672,78.961,Big Horn Lake,gdd
Historical Emissions,Aug,Mid Century (2040-2069),573.632,445.061,514.541,Big Horn Lake,gdd
Historical Emissions,Dec,Mid Century (2040-2069),6.405,0,0.489,Big Horn Lake,gdd
Historical Emissions,Feb,Mid Century (2040-2069),9.537,0,1.192,Big Horn Lake,gdd
Historical Emissions,Jan,Mid Century (2040-2069),3.91,0,0.16,Big Horn Lake,gdd
Historical Emissions,Jul,Mid Century (2040-2069),601.123,455.033,537.555,Big Horn Lake,gdd
Historical Emissions,Jun,Mid Century (2040-2069),442.114,283.246,360.139,Big Horn Lake,gdd
Historical Emissions,Mar,Mid Century (2040-2069),46.324,3.345,18.029,Big Horn Lake,gdd
Historical Emissions,May,Mid Century (2040-2069),284.604,136.321,208.646,Big Horn Lake,gdd
Historical Emissions,Nov,Mid Century (2040-2069),46.229,3.295,18.102,Big Horn Lake,gdd
Historical Emissions,Oct,Mid Century (2040-2069),238.935,78.782,158.022,Big Horn Lake,gdd
Historical Emissions,Sep,Mid Century (2040-2069),418.114,248.815,334.431,Big Horn Lake,gdd
Historical Emissions,Apr,End-of-Century (2070-2099),137.426,39.672,78.961,Big Horn Lake,gdd
Historical Emissions,Aug,End-of-Century (2070-2099),573.632,445.061,514.541,Big Horn Lake,gdd
Historical Emissions,Dec,End-of-Century (2070-2099),6.405,0,0.489,Big Horn Lake,gdd
Historical Emissions,Feb,End-of-Century (2070-2099),9.537,0,1.192,Big Horn Lake,gdd
Historical Emissions,Jan,End-of-Century (2070-2099),3.91,0,0.16,Big Horn Lake,gdd
Historical Emissions,Jul,End-of-Century (2070-2099),601.123,455.033,537.555,Big Horn Lake,gdd
Historical Emissions,Jun,End-of-Century (2070-2099),442.114,283.246,360.139,Big Horn Lake,gdd
Historical Emissions,Mar,End-of-Century (2070-2099),46.324,3.345,18.029,Big Horn Lake,gdd
Historical Emissions,May,End-of-Century (2070-2099),284.604,136.321,208.646,Big Horn Lake,gdd
Historical Emissions,Nov,End-of-Century (2070-2099),46.229,3.295,18.102,Big Horn Lake,gdd
Historical Emissions,Oct,End-of-Century (2070-2099),238.935,78.782,158.022,Big Horn Lake,gdd
Historical Emissions,Sep,End-of-Century (2070-2099),418.114,248.815,334.431,Big Horn Lake,gdd
"Moderating Emissions
(SSP1-2.6)",Apr,End-of-Century (2070-2099),139.913,45.6,110.455,Big Horn Lake,gdd
"Moderating Emissions
(SSP1-2.6)",Apr,Mid Century (2040-2069),166.746,54.343,106.059,Big Horn Lake,gdd
"Moderating Emissions
(SSP1-2.6)",Aug,End-of-Century (2070-2099),627.921,506.46,576.493,Big Horn Lake,gdd
"Moderating Emissions
(SSP1-2.6)",Aug,Mid Century (2040-2069),627.951,505.618,569.986,Big Horn Lake,gdd
"Moderating Emissions
(SSP1-2.6)",Dec,End-of-Century (2070-2099),14.508,0,1.702,Big Horn Lake,gdd
