year,scenario,upper,lower,value,location,variable
1950,Historical Emissions,3196.677,2710.541,2849.584,Lower Powder,gdd
1951,Historical Emissions,3146.913,2670.411,2919.782,Lower Powder,gdd
1952,Historical Emissions,3154.348,2665.679,2805.721,Lower Powder,gdd
1953,Historical Emissions,3184.608,2527.32,2841.551,Lower Powder,gdd
1954,Historical Emissions,3060.521,2431.448,2711.793,Lower Powder,gdd
1955,Historical Emissions,3208.323,2667.997,2797.29,Lower Powder,gdd
1956,Historical Emissions,3249.101,2692.617,2923.671,Lower Powder,gdd
1957,Historical Emissions,3472.845,2556.103,2855.567,Lower Powder,gdd
1958,Historical Emissions,3163.47,2551.556,2794.648,Lower Powder,gdd
1959,Historical Emissions,2914.601,2572.573,2625.393,Lower Powder,gdd
1960,Historical Emissions,3038.355,2728.74,2798.244,Lower Powder,gdd
1961,Historical Emissions,2982.996,2659.351,2884.692,Lower Powder,gdd
1962,Historical Emissions,2955.216,2452.878,2797.92,Lower Powder,gdd
1963,Historical Emissions,2845.443,2468.616,2696.461,Lower Powder,gdd
1964,Historical Emissions,2962.737,2589.571,2789.856,Lower Powder,gdd
1965,Historical Emissions,3033.65,2468.393,2859.13,Lower Powder,gdd
1966,Historical Emissions,3209.459,2447.783,2689.753,Lower Powder,gdd
1967,Historical Emissions,3033.862,2575.115,2755.11,Lower Powder,gdd
1968,Historical Emissions,2837.46,2355.392,2629.04,Lower Powder,gdd
1969,Historical Emissions,2920.282,2437.33,2782.909,Lower Powder,gdd
1970,Historical Emissions,2975.707,2540.074,2812.429,Lower Powder,gdd
1971,Historical Emissions,3098.427,2645.79,2892.17,Lower Powder,gdd
1972,Historical Emissions,3100.672,2545.379,2713.409,Lower Powder,gdd
1973,Historical Emissions,3090.951,2415.243,2682.968,Lower Powder,gdd
1974,Historical Emissions,2968.787,2404.366,2844.002,Lower Powder,gdd
1975,Historical Emissions,3094.036,2693.807,2859.633,Lower Powder,gdd
1976,Historical Emissions,2947.807,2680.077,2780.672,Lower Powder,gdd
1977,Historical Emissions,3166.877,2661.915,2744.518,Lower Powder,gdd
1978,Historical Emissions,3050.242,2489.273,2906.001,Lower Powder,gdd
1979,Historical Emissions,3088.299,2615.496,2939.081,Lower Powder,gdd
1980,Historical Emissions,3176.376,2609.498,2746.621,Lower Powder,gdd
1981,Historical Emissions,3140.937,2556.41,2808.231,Lower Powder,gdd
1982,Historical Emissions,3075.445,2613.76,2900.111,Lower Powder,gdd
1983,Historical Emissions,2866.737,2517.953,2733.453,Lower Powder,gdd
1984,Historical Emissions,3071.351,2627.95,2814.987,Lower Powder,gdd
1985,Historical Emissions,3184.751,2716.882,2964.21,Lower Powder,gdd
1986,Historical Emissions,2807.27,2467.377,2695.009,Lower Powder,gdd
1987,Historical Emissions,2893.578,2494.855,2712.073,Lower Powder,gdd
1988,Historical Emissions,3000.274,2495.62,2792.19,Lower Powder,gdd
1989,Historical Emissions,3143.827,2655.893,2923.027,Lower Powder,gdd
1990,Historical Emissions,3415.447,2674.395,3002.525,Lower Powder,gdd
1991,Historical Emissions,3015.465,2622.744,2815.529,Lower Powder,gdd
1992,Historical Emissions,2804.801,2563.123,2665.457,Lower Powder,gdd
1993,Historical Emissions,3022.588,2554.563,2803.769,Lower Powder,gdd
1994,Historical Emissions,3131.334,2532.581,2900.78,Lower Powder,gdd
1995,Historical Emissions,3348.035,2733.54,2931.821,Lower Powder,gdd
1996,Historical Emissions,3341.39,2787.36,3210.578,Lower Powder,gdd
1997,Historical Emissions,3204.335,2769.54,2851.187,Lower Powder,gdd
1998,Historical Emissions,3198.625,2712.717,3018.925,Lower Powder,gdd
1999,Historical Emissions,3126.863,2745.727,2961.489,Lower Powder,gdd
2000,Historical Emissions,3167.402,2798.781,2994.602,Lower Powder,gdd
