year,scenario,upper,lower,value,location,variable
1950,Historical Emissions,2195.488,1612.284,1903.153,Flint-Rock,gdd
1951,Historical Emissions,2146.793,1745.098,1904.537,Flint-Rock,gdd
1952,Historical Emissions,1984.973,1599.788,1825.944,Flint-Rock,gdd
1953,Historical Emissions,2044.383,1682.76,1861.036,Flint-Rock,gdd
1954,Historical Emissions,2064.395,1404.395,1745.658,Flint-Rock,gdd
1955,Historical Emissions,2142.328,1682.215,1806.755,Flint-Rock,gdd
1956,Historical Emissions,2103.59,1581.914,1887.504,Flint-Rock,gdd
1957,Historical Emissions,2176.187,1469.77,1750.912,Flint-Rock,gdd
1958,Historical Emissions,1950.404,1570.986,1761.521,Flint-Rock,gdd
1959,Historical Emissions,1852.282,1600.943,1756.276,Flint-Rock,gdd
1960,Historical Emissions,1908.939,1649.627,1752.637,Flint-Rock,gdd
1961,Historical Emissions,2009.504,1613.676,1765.315,Flint-Rock,gdd
1962,Historical Emissions,1850.066,1482.088,1762.579,Flint-Rock,gdd
1963,Historical Emissions,1888.864,1554.025,1717.781,Flint-Rock,gdd
1964,Historical Emissions,1876.891,1639.333,1791.797,Flint-Rock,gdd
1965,Historical Emissions,1915.697,1657.332,1855.096,Flint-Rock,gdd
1966,Historical Emissions,1909.434,1445.076,1761.751,Flint-Rock,gdd
1967,Historical Emissions,1855.743,1600.308,1781.604,Flint-Rock,gdd
1968,Historical Emissions,1764.881,1567.487,1711.399,Flint-Rock,gdd
1969,Historical Emissions,1919.42,1499.46,1789.682,Flint-Rock,gdd
1970,Historical Emissions,1891.278,1608.005,1681.711,Flint-Rock,gdd
1971,Historical Emissions,2233.147,1602.582,1815.184,Flint-Rock,gdd
1972,Historical Emissions,1973.14,1519.932,1740.472,Flint-Rock,gdd
1973,Historical Emissions,2076.846,1513.664,1686.323,Flint-Rock,gdd
1974,Historical Emissions,1973.27,1412.778,1871.586,Flint-Rock,gdd
1975,Historical Emissions,1998.581,1682.932,1911.691,Flint-Rock,gdd
1976,Historical Emissions,1883.891,1613.55,1824.326,Flint-Rock,gdd
1977,Historical Emissions,2175.356,1628.055,1807.562,Flint-Rock,gdd
1978,Historical Emissions,1906.786,1655.535,1707.871,Flint-Rock,gdd
1979,Historical Emissions,2033.073,1601.968,1770.925,Flint-Rock,gdd
1980,Historical Emissions,2096.306,1584.891,1770.251,Flint-Rock,gdd
1981,Historical Emissions,2072.887,1612.883,1868.059,Flint-Rock,gdd
1982,Historical Emissions,2055.169,1659.584,1909.292,Flint-Rock,gdd
1983,Historical Emissions,1859.684,1634.402,1697.635,Flint-Rock,gdd
1984,Historical Emissions,1929.349,1527.927,1752.267,Flint-Rock,gdd
1985,Historical Emissions,2047.3,1733.209,1872.734,Flint-Rock,gdd
1986,Historical Emissions,1873.941,1621.75,1712.45,Flint-Rock,gdd
1987,Historical Emissions,2075.925,1578.796,1666.3,Flint-Rock,gdd
1988,Historical Emissions,1935.413,1641.585,1800.472,Flint-Rock,gdd
1989,Historical Emissions,2100.281,1686.154,1827.231,Flint-Rock,gdd
1990,Historical Emissions,2294.984,1692.735,1896.388,Flint-Rock,gdd
1991,Historical Emissions,2116.003,1448.307,1867.89,Flint-Rock,gdd
1992,Historical Emissions,1887.77,1622.059,1695.882,Flint-Rock,gdd
1993,Historical Emissions,1901.77,1633.256,1845.072,Flint-Rock,gdd
1994,Historical Emissions,2232.176,1592.194,1757.398,Flint-Rock,gdd
1995,Historical Emissions,2115.784,1685.268,1832.136,Flint-Rock,gdd
1996,Historical Emissions,2356.406,1946.656,2172.081,Flint-Rock,gdd
1997,Historical Emissions,2032.236,1645.312,1924.983,Flint-Rock,gdd
1998,Historical Emissions,2203.465,1739.345,1953.581,Flint-Rock,gdd
1999,Historical Emissions,2054.885,1643.962,1921.048,Flint-Rock,gdd
2000,Historical Emissions,2215.535,1674.504,1974.175,Flint-Rock,gdd
2001,Historical Emissions,2196.11,1758.469,1906.704,Flint-Rock,gdd
2002,Historical Emissions,2340.232,1777.198,2046.384,Flint-Rock,gdd
2003,Historical Emissions,2219.89,1898.016,2097.609,Flint-Rock,gdd
2004,Historical Emissions,2314.843,1956.012,2106.884,Flint-Rock,gdd
2005,Historical Emissions,2433.866,1901.405,2110.368,Flint-Rock,gdd
2006,Historical Emissions,2162.821,1870.582,2028.189,Flint-Rock,gdd
