scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Apr,Mid Century (2040-2069),126.954,13.299,56.105,Middle Salmon-Chamberlain,gdd
Historical Emissions,Aug,Mid Century (2040-2069),556.782,420.322,492.276,Middle Salmon-Chamberlain,gdd
Historical Emissions,Dec,Mid Century (2040-2069),0.006,0,0,Middle Salmon-Chamberlain,gdd
Historical Emissions,Feb,Mid Century (2040-2069),1.505,0,0,Middle Salmon-Chamberlain,gdd
Historical Emissions,Jan,Mid Century (2040-2069),0,0,0,Middle Salmon-Chamberlain,gdd
Historical Emissions,Jul,Mid Century (2040-2069),561.502,420.305,500.652,Middle Salmon-Chamberlain,gdd
Historical Emissions,Jun,Mid Century (2040-2069),396.711,227.529,313.642,Middle Salmon-Chamberlain,gdd
Historical Emissions,Mar,Mid Century (2040-2069),38.572,0.099,6.405,Middle Salmon-Chamberlain,gdd
Historical Emissions,May,Mid Century (2040-2069),286.854,101.241,184.502,Middle Salmon-Chamberlain,gdd
Historical Emissions,Nov,Mid Century (2040-2069),24.774,0,4.371,Middle Salmon-Chamberlain,gdd
Historical Emissions,Oct,Mid Century (2040-2069),232.858,63.718,136.661,Middle Salmon-Chamberlain,gdd
Historical Emissions,Sep,Mid Century (2040-2069),412.067,248.068,323.137,Middle Salmon-Chamberlain,gdd
Historical Emissions,Apr,End-of-Century (2070-2099),126.954,13.299,56.105,Middle Salmon-Chamberlain,gdd
Historical Emissions,Aug,End-of-Century (2070-2099),556.782,420.322,492.276,Middle Salmon-Chamberlain,gdd
Historical Emissions,Dec,End-of-Century (2070-2099),0.006,0,0,Middle Salmon-Chamberlain,gdd
Historical Emissions,Feb,End-of-Century (2070-2099),1.505,0,0,Middle Salmon-Chamberlain,gdd
Historical Emissions,Jan,End-of-Century (2070-2099),0,0,0,Middle Salmon-Chamberlain,gdd
Historical Emissions,Jul,End-of-Century (2070-2099),561.502,420.305,500.652,Middle Salmon-Chamberlain,gdd
Historical Emissions,Jun,End-of-Century (2070-2099),396.711,227.529,313.642,Middle Salmon-Chamberlain,gdd
Historical Emissions,Mar,End-of-Century (2070-2099),38.572,0.099,6.405,Middle Salmon-Chamberlain,gdd
Historical Emissions,May,End-of-Century (2070-2099),286.854,101.241,184.502,Middle Salmon-Chamberlain,gdd
Historical Emissions,Nov,End-of-Century (2070-2099),24.774,0,4.371,Middle Salmon-Chamberlain,gdd
Historical Emissions,Oct,End-of-Century (2070-2099),232.858,63.718,136.661,Middle Salmon-Chamberlain,gdd
Historical Emissions,Sep,End-of-Century (2070-2099),412.067,248.068,323.137,Middle Salmon-Chamberlain,gdd
"Moderating Emissions
(SSP1-2.6)",Apr,End-of-Century (2070-2099),159.573,34.364,86.14,Middle Salmon-Chamberlain,gdd
"Moderating Emissions
(SSP1-2.6)",Apr,Mid Century (2040-2069),163.916,29.864,85.673,Middle Salmon-Chamberlain,gdd
"Moderating Emissions
(SSP1-2.6)",Aug,End-of-Century (2070-2099),629.638,464.25,539.884,Middle Salmon-Chamberlain,gdd
"Moderating Emissions
(SSP1-2.6)",Aug,Mid Century (2040-2069),609.516,472.826,546.888,Middle Salmon-Chamberlain,gdd
"Moderating Emissions
(SSP1-2.6)",Dec,End-of-Century (2070-2099),0.911,0,0,Middle Salmon-Chamberlain,gdd
"Moderating Emissions
(SSP1-2.6)",Dec,Mid Century (2040-2069),0.327,0,0,Middle Salmon-Chamberlain,gdd
"Moderating Emissions
(SSP1-2.6)",Feb,End-of-Century (2070-2099),9.983,0,0.024,Middle Salmon-Chamberlain,gdd
"Moderating Emissions
(SSP1-2.6)",Feb,Mid Century (2040-2069),6.243,0,0.134,Middle Salmon-Chamberlain,gdd
"Moderating Emissions
(SSP1-2.6)",Jan,End-of-Century (2070-2099),0.119,0,0,Middle Salmon-Chamberlain,gdd
"Moderating Emissions
(SSP1-2.6)",Jan,Mid Century (2040-2069),0.105,0,0,Middle Salmon-Chamberlain,gdd
"Moderating Emissions
(SSP1-2.6)",Jul,End-of-Century (2070-2099),604.51,458.192,514.618,Middle Salmon-Chamberlain,gdd
"Moderating Emissions
(SSP1-2.6)",Jul,Mid Century (2040-2069),605.021,476.178,542.148,Middle Salmon-Chamberlain,gdd
"Moderating Emissions
(SSP1-2.6)",Jun,End-of-Century (2070-2099),411.381,258.647,336.03,Middle Salmon-Chamberlain,gdd
"Moderating Emissions
(SSP1-2.6)",Jun,Mid Century (2040-2069),443.253,263.284,348.979,Middle Salmon-Chamberlain,gdd
"Moderating Emissions
(SSP1-2.6)",Mar,End-of-Century (2070-2099),35.505,0.749,11.86,Middle Salmon-Chamberlain,gdd
"Moderating Emissions
(SSP1-2.6)",Mar,Mid Century (2040-2069),69.902,1.242,19.063,Middle Salmon-Chamberlain,gdd
"Moderating Emissions
(SSP1-2.6)",May,End-of-Century (2070-2099),311.501,122.991,231.416,Middle Salmon-Chamberlain,gdd
"Moderating Emissions
(SSP1-2.6)",May,Mid Century (2040-2069),304.569,141.038,214.739,Middle Salmon-Chamberlain,gdd
"Moderating Emissions
(SSP1-2.6)",Nov,End-of-Century (2070-2099),29.854,4.149,11.823,Middle Salmon-Chamberlain,gdd
"Moderating Emissions
(SSP1-2.6)",Nov,Mid Century (2040-2069),39.382,0.312,11.424,Middle Salmon-Chamberlain,gdd
"Moderating Emissions
(SSP1-2.6)",Oct,End-of-Century (2070-2099),208.125,96.067,125.225,Middle Salmon-Chamberlain,gdd
"Moderating Emissions
(SSP1-2.6)",Oct,Mid Century (2040-2069),257.934,96.043,173.12,Middle Salmon-Chamberlain,gdd
"Moderating Emissions
(SSP1-2.6)",Sep,End-of-Century (2070-2099),466.635,301.536,390.482,Middle Salmon-Chamberlain,gdd
"Moderating Emissions
(SSP1-2.6)",Sep,Mid Century (2040-2069),464.859,293.32,374.743,Middle Salmon-Chamberlain,gdd
"Middle of the Road
(SSP2-4.5)",Apr,End-of-Century (2070-2099),184.56,42.5,90.259,Middle Salmon-Chamberlain,gdd
"Middle of the Road
(SSP2-4.5)",Apr,Mid Century (2040-2069),160.124,29.3,83.566,Middle Salmon-Chamberlain,gdd
"Middle of the Road
(SSP2-4.5)",Aug,End-of-Century (2070-2099),672.906,537.514,586.082,Middle Salmon-Chamberlain,gdd
"Middle of the Road
(SSP2-4.5)",Aug,Mid Century (2040-2069),635.052,482.641,557.454,Middle Salmon-Chamberlain,gdd
"Middle of the Road
(SSP2-4.5)",Dec,End-of-Century (2070-2099),2.283,0,0.184,Middle Salmon-Chamberlain,gdd
"Middle of the Road
(SSP2-4.5)",Dec,Mid Century (2040-2069),0.441,0,0,Middle Salmon-Chamberlain,gdd
