scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Apr,Mid Century (2040-2069),3.167,2.532,2.807,Butte,penman
Historical Emissions,Aug,Mid Century (2040-2069),6.977,5.834,6.413,Butte,penman
Historical Emissions,Dec,Mid Century (2040-2069),0.594,0.33,0.454,Butte,penman
Historical Emissions,Feb,Mid Century (2040-2069),1.006,0.71,0.845,Butte,penman
Historical Emissions,Jan,Mid Century (2040-2069),0.676,0.412,0.54,Butte,penman
Historical Emissions,Jul,Mid Century (2040-2069),7.792,6.475,7.127,Butte,penman
Historical Emissions,Jun,Mid Century (2040-2069),6.411,5.097,5.708,Butte,penman
Historical Emissions,Mar,Mid Century (2040-2069),2.006,1.521,1.757,Butte,penman
Historical Emissions,May,Mid Century (2040-2069),5.047,3.869,4.414,Butte,penman
Historical Emissions,Nov,Mid Century (2040-2069),1.051,0.594,0.797,Butte,penman
Historical Emissions,Oct,Mid Century (2040-2069),2.959,1.89,2.366,Butte,penman
Historical Emissions,Sep,Mid Century (2040-2069),5.025,3.888,4.417,Butte,penman
Historical Emissions,Apr,End-of-Century (2070-2099),3.167,2.532,2.807,Butte,penman
Historical Emissions,Aug,End-of-Century (2070-2099),6.977,5.834,6.413,Butte,penman
Historical Emissions,Dec,End-of-Century (2070-2099),0.594,0.33,0.454,Butte,penman
Historical Emissions,Feb,End-of-Century (2070-2099),1.006,0.71,0.845,Butte,penman
Historical Emissions,Jan,End-of-Century (2070-2099),0.676,0.412,0.54,Butte,penman
Historical Emissions,Jul,End-of-Century (2070-2099),7.792,6.475,7.127,Butte,penman
Historical Emissions,Jun,End-of-Century (2070-2099),6.411,5.097,5.708,Butte,penman
Historical Emissions,Mar,End-of-Century (2070-2099),2.006,1.521,1.757,Butte,penman
Historical Emissions,May,End-of-Century (2070-2099),5.047,3.869,4.414,Butte,penman
Historical Emissions,Nov,End-of-Century (2070-2099),1.051,0.594,0.797,Butte,penman
Historical Emissions,Oct,End-of-Century (2070-2099),2.959,1.89,2.366,Butte,penman
Historical Emissions,Sep,End-of-Century (2070-2099),5.025,3.888,4.417,Butte,penman
"Moderating Emissions
(SSP1-2.6)",Apr,End-of-Century (2070-2099),3.23,2.639,2.944,Butte,penman
"Moderating Emissions
(SSP1-2.6)",Apr,Mid Century (2040-2069),3.378,2.643,2.985,Butte,penman
"Moderating Emissions
(SSP1-2.6)",Aug,End-of-Century (2070-2099),7.318,5.89,6.75,Butte,penman
"Moderating Emissions
(SSP1-2.6)",Aug,Mid Century (2040-2069),7.3,6.105,6.627,Butte,penman
"Moderating Emissions
(SSP1-2.6)",Dec,End-of-Century (2070-2099),0.743,0.332,0.451,Butte,penman
"Moderating Emissions
(SSP1-2.6)",Dec,Mid Century (2040-2069),0.664,0.372,0.494,Butte,penman
"Moderating Emissions
(SSP1-2.6)",Feb,End-of-Century (2070-2099),1.057,0.784,0.905,Butte,penman
"Moderating Emissions
(SSP1-2.6)",Feb,Mid Century (2040-2069),1.09,0.74,0.919,Butte,penman
"Moderating Emissions
(SSP1-2.6)",Jan,End-of-Century (2070-2099),0.825,0.462,0.566,Butte,penman
"Moderating Emissions
(SSP1-2.6)",Jan,Mid Century (2040-2069),0.738,0.441,0.568,Butte,penman
"Moderating Emissions
(SSP1-2.6)",Jul,End-of-Century (2070-2099),8.152,6.641,7.391,Butte,penman
"Moderating Emissions
(SSP1-2.6)",Jul,Mid Century (2040-2069),8.163,6.687,7.32,Butte,penman
"Moderating Emissions
(SSP1-2.6)",Jun,End-of-Century (2070-2099),6.418,5.292,5.866,Butte,penman
"Moderating Emissions
(SSP1-2.6)",Jun,Mid Century (2040-2069),6.719,5.247,5.955,Butte,penman
"Moderating Emissions
(SSP1-2.6)",Mar,End-of-Century (2070-2099),1.985,1.674,1.814,Butte,penman
"Moderating Emissions
(SSP1-2.6)",Mar,Mid Century (2040-2069),2.17,1.635,1.882,Butte,penman
"Moderating Emissions
(SSP1-2.6)",May,End-of-Century (2070-2099),5.335,4.06,4.546,Butte,penman
"Moderating Emissions
(SSP1-2.6)",May,Mid Century (2040-2069),5.181,4.019,4.589,Butte,penman
"Moderating Emissions
(SSP1-2.6)",Nov,End-of-Century (2070-2099),1.099,0.693,0.856,Butte,penman
"Moderating Emissions
(SSP1-2.6)",Nov,Mid Century (2040-2069),1.118,0.663,0.896,Butte,penman
"Moderating Emissions
(SSP1-2.6)",Oct,End-of-Century (2070-2099),2.918,2.052,2.306,Butte,penman
"Moderating Emissions
(SSP1-2.6)",Oct,Mid Century (2040-2069),3.143,2.015,2.515,Butte,penman
"Moderating Emissions
(SSP1-2.6)",Sep,End-of-Century (2070-2099),5.314,4.186,4.733,Butte,penman
"Moderating Emissions
(SSP1-2.6)",Sep,Mid Century (2040-2069),5.257,4.077,4.657,Butte,penman
"Middle of the Road
(SSP2-4.5)",Apr,End-of-Century (2070-2099),3.384,2.769,3.031,Butte,penman
"Middle of the Road
(SSP2-4.5)",Apr,Mid Century (2040-2069),3.329,2.654,2.97,Butte,penman
"Middle of the Road
(SSP2-4.5)",Aug,End-of-Century (2070-2099),7.848,6.218,6.769,Butte,penman
"Middle of the Road
(SSP2-4.5)",Aug,Mid Century (2040-2069),7.39,6.127,6.724,Butte,penman
"Middle of the Road
(SSP2-4.5)",Dec,End-of-Century (2070-2099),0.755,0.421,0.499,Butte,penman
"Middle of the Road
(SSP2-4.5)",Dec,Mid Century (2040-2069),0.695,0.362,0.495,Butte,penman
"Middle of the Road
(SSP2-4.5)",Feb,End-of-Century (2070-2099),1.131,0.753,1.046,Butte,penman
"Middle of the Road
(SSP2-4.5)",Feb,Mid Century (2040-2069),1.074,0.771,0.911,Butte,penman
"Middle of the Road
(SSP2-4.5)",Jan,End-of-Century (2070-2099),0.674,0.53,0.615,Butte,penman
"Middle of the Road
(SSP2-4.5)",Jan,Mid Century (2040-2069),0.737,0.46,0.578,Butte,penman
"Middle of the Road
(SSP2-4.5)",Jul,End-of-Century (2070-2099),8.448,7.147,7.554,Butte,penman
"Middle of the Road
(SSP2-4.5)",Jul,Mid Century (2040-2069),8.323,6.76,7.458,Butte,penman
"Middle of the Road
(SSP2-4.5)",Jun,End-of-Century (2070-2099),6.81,5.528,6.134,Butte,penman
"Middle of the Road
(SSP2-4.5)",Jun,Mid Century (2040-2069),6.805,5.338,6.026,Butte,penman
"Middle of the Road
(SSP2-4.5)",Mar,End-of-Century (2070-2099),2.207,1.7,1.941,Butte,penman
"Middle of the Road
(SSP2-4.5)",Mar,Mid Century (2040-2069),2.129,1.638,1.846,Butte,penman
"Middle of the Road
(SSP2-4.5)",May,End-of-Century (2070-2099),5.225,4.316,4.845,Butte,penman
"Middle of the Road
(SSP2-4.5)",May,Mid Century (2040-2069),5.314,4.02,4.603,Butte,penman
"Middle of the Road
(SSP2-4.5)",Nov,End-of-Century (2070-2099),1.171,0.611,0.902,Butte,penman
"Middle of the Road
(SSP2-4.5)",Nov,Mid Century (2040-2069),1.165,0.653,0.886,Butte,penman
"Middle of the Road
(SSP2-4.5)",Oct,End-of-Century (2070-2099),3.165,2.086,2.64,Butte,penman
"Middle of the Road
(SSP2-4.5)",Oct,Mid Century (2040-2069),3.198,2.097,2.577,Butte,penman
"Middle of the Road
(SSP2-4.5)",Sep,End-of-Century (2070-2099),5.446,4.232,4.814,Butte,penman
"Middle of the Road
(SSP2-4.5)",Sep,Mid Century (2040-2069),5.361,4.068,4.653,Butte,penman
"High Emissions
(SSP3-7.0)",Apr,End-of-Century (2070-2099),3.351,2.84,3.085,Butte,penman
"High Emissions
(SSP3-7.0)",Apr,Mid Century (2040-2069),3.332,2.625,2.956,Butte,penman
"High Emissions
(SSP3-7.0)",Aug,End-of-Century (2070-2099),7.894,6.609,7.145,Butte,penman
"High Emissions
(SSP3-7.0)",Aug,Mid Century (2040-2069),7.304,6.142,6.787,Butte,penman
"High Emissions
(SSP3-7.0)",Dec,End-of-Century (2070-2099),0.72,0.377,0.542,Butte,penman
"High Emissions
(SSP3-7.0)",Dec,Mid Century (2040-2069),0.699,0.385,0.511,Butte,penman
"High Emissions
(SSP3-7.0)",Feb,End-of-Century (2070-2099),1.171,0.871,0.998,Butte,penman
"High Emissions
(SSP3-7.0)",Feb,Mid Century (2040-2069),1.12,0.738,0.922,Butte,penman
"High Emissions
(SSP3-7.0)",Jan,End-of-Century (2070-2099),0.805,0.4,0.633,Butte,penman
"High Emissions
(SSP3-7.0)",Jan,Mid Century (2040-2069),0.758,0.443,0.574,Butte,penman
"High Emissions
(SSP3-7.0)",Jul,End-of-Century (2070-2099),9.179,7.313,7.896,Butte,penman
"High Emissions
(SSP3-7.0)",Jul,Mid Century (2040-2069),8.11,6.894,7.447,Butte,penman
"High Emissions
(SSP3-7.0)",Jun,End-of-Century (2070-2099),7.611,5.934,6.437,Butte,penman
"High Emissions
(SSP3-7.0)",Jun,Mid Century (2040-2069),6.826,5.393,6.028,Butte,penman
"High Emissions
(SSP3-7.0)",Mar,End-of-Century (2070-2099),2.288,1.828,1.979,Butte,penman
"High Emissions
(SSP3-7.0)",Mar,Mid Century (2040-2069),2.171,1.651,1.867,Butte,penman
"High Emissions
(SSP3-7.0)",May,End-of-Century (2070-2099),5.802,4.439,4.876,Butte,penman
"High Emissions
(SSP3-7.0)",May,Mid Century (2040-2069),5.139,4.138,4.619,Butte,penman
"High Emissions
(SSP3-7.0)",Nov,End-of-Century (2070-2099),1.293,0.661,1.03,Butte,penman
"High Emissions
(SSP3-7.0)",Nov,Mid Century (2040-2069),1.208,0.651,0.882,Butte,penman
"High Emissions
(SSP3-7.0)",Oct,End-of-Century (2070-2099),3.519,2.219,2.874,Butte,penman
"High Emissions
(SSP3-7.0)",Oct,Mid Century (2040-2069),3.264,2.115,2.638,Butte,penman
"High Emissions
(SSP3-7.0)",Sep,End-of-Century (2070-2099),5.867,4.237,5.151,Butte,penman
"High Emissions
(SSP3-7.0)",Sep,Mid Century (2040-2069),5.491,4.129,4.739,Butte,penman
"Accelerating Emissions
(SSP5-8.5)",Apr,End-of-Century (2070-2099),3.781,2.966,3.277,Butte,penman
"Accelerating Emissions
(SSP5-8.5)",Apr,Mid Century (2040-2069),3.454,2.679,3.011,Butte,penman
"Accelerating Emissions
(SSP5-8.5)",Aug,End-of-Century (2070-2099),8.42,6.894,7.564,Butte,penman
"Accelerating Emissions
(SSP5-8.5)",Aug,Mid Century (2040-2069),7.597,6.266,6.852,Butte,penman
"Accelerating Emissions
(SSP5-8.5)",Dec,End-of-Century (2070-2099),0.778,0.471,0.597,Butte,penman
"Accelerating Emissions
(SSP5-8.5)",Dec,Mid Century (2040-2069),0.696,0.387,0.521,Butte,penman
"Accelerating Emissions
(SSP5-8.5)",Feb,End-of-Century (2070-2099),1.208,0.903,0.984,Butte,penman
"Accelerating Emissions
(SSP5-8.5)",Feb,Mid Century (2040-2069),1.096,0.751,0.917,Butte,penman
"Accelerating Emissions
(SSP5-8.5)",Jan,End-of-Century (2070-2099),0.837,0.503,0.672,Butte,penman
"Accelerating Emissions
(SSP5-8.5)",Jan,Mid Century (2040-2069),0.744,0.462,0.58,Butte,penman
"Accelerating Emissions
(SSP5-8.5)",Jul,End-of-Century (2070-2099),9.349,7.615,8.373,Butte,penman
"Accelerating Emissions
(SSP5-8.5)",Jul,Mid Century (2040-2069),8.53,6.938,7.608,Butte,penman
"Accelerating Emissions
(SSP5-8.5)",Jun,End-of-Century (2070-2099),7.943,6.439,6.991,Butte,penman
"Accelerating Emissions
(SSP5-8.5)",Jun,Mid Century (2040-2069),7.008,5.486,6.212,Butte,penman
"Accelerating Emissions
(SSP5-8.5)",Mar,End-of-Century (2070-2099),2.453,1.863,2.043,Butte,penman
"Accelerating Emissions
(SSP5-8.5)",Mar,Mid Century (2040-2069),2.18,1.666,1.895,Butte,penman
"Accelerating Emissions
(SSP5-8.5)",May,End-of-Century (2070-2099),5.877,4.687,5.235,Butte,penman
"Accelerating Emissions
(SSP5-8.5)",May,Mid Century (2040-2069),5.44,4.114,4.728,Butte,penman
"Accelerating Emissions
(SSP5-8.5)",Nov,End-of-Century (2070-2099),1.396,0.758,1.17,Butte,penman
"Accelerating Emissions
(SSP5-8.5)",Nov,Mid Century (2040-2069),1.258,0.685,0.926,Butte,penman
"Accelerating Emissions
(SSP5-8.5)",Oct,End-of-Century (2070-2099),3.937,2.298,3.12,Butte,penman
"Accelerating Emissions
(SSP5-8.5)",Oct,Mid Century (2040-2069),3.375,2.154,2.664,Butte,penman
"Accelerating Emissions
(SSP5-8.5)",Sep,End-of-Century (2070-2099),6.303,4.488,5.538,Butte,penman
"Accelerating Emissions
(SSP5-8.5)",Sep,Mid Century (2040-2069),5.459,4.106,4.791,Butte,penman
