scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Apr,Mid Century (2040-2069),3.414,2.5,2.931,Miles City,penman
Historical Emissions,Aug,Mid Century (2040-2069),8.176,6.266,7.254,Miles City,penman
Historical Emissions,Dec,Mid Century (2040-2069),0.736,0.299,0.47,Miles City,penman
Historical Emissions,Feb,Mid Century (2040-2069),0.995,0.524,0.742,Miles City,penman
Historical Emissions,Jan,Mid Century (2040-2069),0.711,0.319,0.508,Miles City,penman
Historical Emissions,Jul,Mid Century (2040-2069),8.702,6.654,7.67,Miles City,penman
Historical Emissions,Jun,Mid Century (2040-2069),7.027,5.154,5.994,Miles City,penman
Historical Emissions,Mar,Mid Century (2040-2069),1.966,1.311,1.639,Miles City,penman
Historical Emissions,May,Mid Century (2040-2069),5.636,3.941,4.657,Miles City,penman
Historical Emissions,Nov,Mid Century (2040-2069),1.383,0.639,0.968,Miles City,penman
Historical Emissions,Oct,Mid Century (2040-2069),3.57,1.938,2.689,Miles City,penman
Historical Emissions,Sep,Mid Century (2040-2069),5.947,4.119,4.998,Miles City,penman
Historical Emissions,Apr,End-of-Century (2070-2099),3.414,2.5,2.931,Miles City,penman
Historical Emissions,Aug,End-of-Century (2070-2099),8.176,6.266,7.254,Miles City,penman
Historical Emissions,Dec,End-of-Century (2070-2099),0.736,0.299,0.47,Miles City,penman
Historical Emissions,Feb,End-of-Century (2070-2099),0.995,0.524,0.742,Miles City,penman
Historical Emissions,Jan,End-of-Century (2070-2099),0.711,0.319,0.508,Miles City,penman
Historical Emissions,Jul,End-of-Century (2070-2099),8.702,6.654,7.67,Miles City,penman
Historical Emissions,Jun,End-of-Century (2070-2099),7.027,5.154,5.994,Miles City,penman
Historical Emissions,Mar,End-of-Century (2070-2099),1.966,1.311,1.639,Miles City,penman
Historical Emissions,May,End-of-Century (2070-2099),5.636,3.941,4.657,Miles City,penman
Historical Emissions,Nov,End-of-Century (2070-2099),1.383,0.639,0.968,Miles City,penman
Historical Emissions,Oct,End-of-Century (2070-2099),3.57,1.938,2.689,Miles City,penman
Historical Emissions,Sep,End-of-Century (2070-2099),5.947,4.119,4.998,Miles City,penman
"Moderating Emissions
(SSP1-2.6)",Apr,End-of-Century (2070-2099),3.883,2.524,3.004,Miles City,penman
"Moderating Emissions
(SSP1-2.6)",Apr,Mid Century (2040-2069),3.615,2.619,3.12,Miles City,penman
"Moderating Emissions
(SSP1-2.6)",Aug,End-of-Century (2070-2099),8.371,6.379,7.738,Miles City,penman
"Moderating Emissions
(SSP1-2.6)",Aug,Mid Century (2040-2069),8.712,6.683,7.466,Miles City,penman
"Moderating Emissions
(SSP1-2.6)",Dec,End-of-Century (2070-2099),0.819,0.284,0.469,Miles City,penman
"Moderating Emissions
(SSP1-2.6)",Dec,Mid Century (2040-2069),0.783,0.321,0.535,Miles City,penman
"Moderating Emissions
(SSP1-2.6)",Feb,End-of-Century (2070-2099),1.161,0.59,0.841,Miles City,penman
"Moderating Emissions
(SSP1-2.6)",Feb,Mid Century (2040-2069),1.053,0.573,0.798,Miles City,penman
"Moderating Emissions
(SSP1-2.6)",Jan,End-of-Century (2070-2099),0.825,0.389,0.542,Miles City,penman
"Moderating Emissions
(SSP1-2.6)",Jan,Mid Century (2040-2069),0.772,0.342,0.531,Miles City,penman
"Moderating Emissions
(SSP1-2.6)",Jul,End-of-Century (2070-2099),9.099,6.367,8.161,Miles City,penman
"Moderating Emissions
(SSP1-2.6)",Jul,Mid Century (2040-2069),9.193,6.942,7.891,Miles City,penman
"Moderating Emissions
(SSP1-2.6)",Jun,End-of-Century (2070-2099),6.99,5.026,6.091,Miles City,penman
"Moderating Emissions
(SSP1-2.6)",Jun,Mid Century (2040-2069),7.307,5.415,6.271,Miles City,penman
"Moderating Emissions
(SSP1-2.6)",Mar,End-of-Century (2070-2099),1.982,1.46,1.623,Miles City,penman
"Moderating Emissions
(SSP1-2.6)",Mar,Mid Century (2040-2069),2.131,1.38,1.752,Miles City,penman
"Moderating Emissions
(SSP1-2.6)",May,End-of-Century (2070-2099),5.852,3.991,4.868,Miles City,penman
"Moderating Emissions
(SSP1-2.6)",May,Mid Century (2040-2069),5.802,4.117,4.857,Miles City,penman
"Moderating Emissions
(SSP1-2.6)",Nov,End-of-Century (2070-2099),1.216,0.698,0.878,Miles City,penman
"Moderating Emissions
(SSP1-2.6)",Nov,Mid Century (2040-2069),1.454,0.684,1.022,Miles City,penman
"Moderating Emissions
(SSP1-2.6)",Oct,End-of-Century (2070-2099),3.254,1.98,2.437,Miles City,penman
"Moderating Emissions
(SSP1-2.6)",Oct,Mid Century (2040-2069),3.793,2.049,2.833,Miles City,penman
"Moderating Emissions
(SSP1-2.6)",Sep,End-of-Century (2070-2099),5.991,4.151,5.252,Miles City,penman
"Moderating Emissions
(SSP1-2.6)",Sep,Mid Century (2040-2069),6.177,4.339,5.254,Miles City,penman
"Middle of the Road
(SSP2-4.5)",Apr,End-of-Century (2070-2099),3.418,2.671,3.079,Miles City,penman
"Middle of the Road
(SSP2-4.5)",Apr,Mid Century (2040-2069),3.651,2.617,3.061,Miles City,penman
"Middle of the Road
(SSP2-4.5)",Aug,End-of-Century (2070-2099),9.456,6.782,7.881,Miles City,penman
"Middle of the Road
(SSP2-4.5)",Aug,Mid Century (2040-2069),8.923,6.695,7.776,Miles City,penman
"Middle of the Road
(SSP2-4.5)",Dec,End-of-Century (2070-2099),0.947,0.334,0.517,Miles City,penman
