scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Apr,Mid Century (2040-2069),3.104,2.277,2.642,Hill County,penman
Historical Emissions,Aug,Mid Century (2040-2069),7.495,5.644,6.594,Hill County,penman
Historical Emissions,Dec,Mid Century (2040-2069),0.78,0.284,0.499,Hill County,penman
Historical Emissions,Feb,Mid Century (2040-2069),0.972,0.481,0.684,Hill County,penman
Historical Emissions,Jan,Mid Century (2040-2069),0.754,0.311,0.529,Hill County,penman
Historical Emissions,Jul,Mid Century (2040-2069),8.252,6.117,7.127,Hill County,penman
Historical Emissions,Jun,Mid Century (2040-2069),6.519,4.641,5.453,Hill County,penman
Historical Emissions,Mar,Mid Century (2040-2069),1.788,1.165,1.483,Hill County,penman
Historical Emissions,May,Mid Century (2040-2069),5.126,3.613,4.3,Hill County,penman
Historical Emissions,Nov,Mid Century (2040-2069),1.192,0.535,0.823,Hill County,penman
Historical Emissions,Oct,Mid Century (2040-2069),3.151,1.647,2.288,Hill County,penman
Historical Emissions,Sep,Mid Century (2040-2069),5.175,3.439,4.301,Hill County,penman
Historical Emissions,Apr,End-of-Century (2070-2099),3.104,2.277,2.642,Hill County,penman
Historical Emissions,Aug,End-of-Century (2070-2099),7.495,5.644,6.594,Hill County,penman
Historical Emissions,Dec,End-of-Century (2070-2099),0.78,0.284,0.499,Hill County,penman
Historical Emissions,Feb,End-of-Century (2070-2099),0.972,0.481,0.684,Hill County,penman
Historical Emissions,Jan,End-of-Century (2070-2099),0.754,0.311,0.529,Hill County,penman
Historical Emissions,Jul,End-of-Century (2070-2099),8.252,6.117,7.127,Hill County,penman
Historical Emissions,Jun,End-of-Century (2070-2099),6.519,4.641,5.453,Hill County,penman
Historical Emissions,Mar,End-of-Century (2070-2099),1.788,1.165,1.483,Hill County,penman
Historical Emissions,May,End-of-Century (2070-2099),5.126,3.613,4.3,Hill County,penman
Historical Emissions,Nov,End-of-Century (2070-2099),1.192,0.535,0.823,Hill County,penman
Historical Emissions,Oct,End-of-Century (2070-2099),3.151,1.647,2.288,Hill County,penman
Historical Emissions,Sep,End-of-Century (2070-2099),5.175,3.439,4.301,Hill County,penman
"Moderating Emissions
(SSP1-2.6)",Apr,End-of-Century (2070-2099),3.226,2.36,2.746,Hill County,penman
"Moderating Emissions
(SSP1-2.6)",Apr,Mid Century (2040-2069),3.283,2.397,2.765,Hill County,penman
"Moderating Emissions
(SSP1-2.6)",Aug,End-of-Century (2070-2099),7.74,5.847,7.114,Hill County,penman
"Moderating Emissions
(SSP1-2.6)",Aug,Mid Century (2040-2069),7.807,5.811,6.834,Hill County,penman
"Moderating Emissions
(SSP1-2.6)",Dec,End-of-Century (2070-2099),0.908,0.278,0.564,Hill County,penman
"Moderating Emissions
(SSP1-2.6)",Dec,Mid Century (2040-2069),0.827,0.329,0.573,Hill County,penman
"Moderating Emissions
(SSP1-2.6)",Feb,End-of-Century (2070-2099),1.152,0.562,0.788,Hill County,penman
"Moderating Emissions
(SSP1-2.6)",Feb,Mid Century (2040-2069),1.026,0.51,0.751,Hill County,penman
"Moderating Emissions
(SSP1-2.6)",Jan,End-of-Century (2070-2099),0.933,0.403,0.519,Hill County,penman
"Moderating Emissions
(SSP1-2.6)",Jan,Mid Century (2040-2069),0.823,0.327,0.55,Hill County,penman
"Moderating Emissions
(SSP1-2.6)",Jul,End-of-Century (2070-2099),8.241,5.884,7.358,Hill County,penman
"Moderating Emissions
(SSP1-2.6)",Jul,Mid Century (2040-2069),8.508,6.332,7.358,Hill County,penman
"Moderating Emissions
(SSP1-2.6)",Jun,End-of-Century (2070-2099),6.093,4.656,5.346,Hill County,penman
"Moderating Emissions
(SSP1-2.6)",Jun,Mid Century (2040-2069),6.795,4.791,5.617,Hill County,penman
"Moderating Emissions
(SSP1-2.6)",Mar,End-of-Century (2070-2099),1.835,1.324,1.502,Hill County,penman
"Moderating Emissions
(SSP1-2.6)",Mar,Mid Century (2040-2069),1.952,1.231,1.591,Hill County,penman
"Moderating Emissions
(SSP1-2.6)",May,End-of-Century (2070-2099),5.35,3.921,4.639,Hill County,penman
"Moderating Emissions
(SSP1-2.6)",May,Mid Century (2040-2069),5.317,3.766,4.416,Hill County,penman
"Moderating Emissions
(SSP1-2.6)",Nov,End-of-Century (2070-2099),1.191,0.496,0.828,Hill County,penman
"Moderating Emissions
(SSP1-2.6)",Nov,Mid Century (2040-2069),1.285,0.57,0.89,Hill County,penman
"Moderating Emissions
(SSP1-2.6)",Oct,End-of-Century (2070-2099),3.002,1.745,2.22,Hill County,penman
"Moderating Emissions
(SSP1-2.6)",Oct,Mid Century (2040-2069),3.282,1.757,2.507,Hill County,penman
