year,scenario,upper,lower,value,location,variable
1950,Historical Emissions,38.747,35.23,37.276,Judith Basin County,penman
1951,Historical Emissions,38.65,34.966,37.138,Judith Basin County,penman
1952,Historical Emissions,38.979,34.221,36.236,Judith Basin County,penman
1953,Historical Emissions,38.213,33.343,36.321,Judith Basin County,penman
1954,Historical Emissions,38.072,32.721,35.223,Judith Basin County,penman
1955,Historical Emissions,40.089,32.528,34.746,Judith Basin County,penman
1956,Historical Emissions,40.563,33.358,37.171,Judith Basin County,penman
1957,Historical Emissions,40.19,32.626,34.527,Judith Basin County,penman
1958,Historical Emissions,36.488,32.721,34.868,Judith Basin County,penman
1959,Historical Emissions,36.6,32.558,34.211,Judith Basin County,penman
1960,Historical Emissions,36.949,33.564,34.988,Judith Basin County,penman
1961,Historical Emissions,37.681,34.51,35.737,Judith Basin County,penman
1962,Historical Emissions,38.047,31.693,35.657,Judith Basin County,penman
1963,Historical Emissions,35.728,32.755,34.482,Judith Basin County,penman
1964,Historical Emissions,37.673,32.67,35.769,Judith Basin County,penman
1965,Historical Emissions,38.316,33.333,36.227,Judith Basin County,penman
1966,Historical Emissions,39.274,33.098,34.671,Judith Basin County,penman
1967,Historical Emissions,38.268,33.091,35.063,Judith Basin County,penman
1968,Historical Emissions,35.454,32.676,34.578,Judith Basin County,penman
1969,Historical Emissions,37.084,33.163,35.725,Judith Basin County,penman
1970,Historical Emissions,37.086,33.39,35.721,Judith Basin County,penman
1971,Historical Emissions,40.007,34.147,36.598,Judith Basin County,penman
1972,Historical Emissions,37.091,34.036,35.599,Judith Basin County,penman
1973,Historical Emissions,39.02,32.208,34.394,Judith Basin County,penman
1974,Historical Emissions,37.888,33.302,35.082,Judith Basin County,penman
1975,Historical Emissions,37.518,33.168,36.117,Judith Basin County,penman
1976,Historical Emissions,36.787,33.875,35.007,Judith Basin County,penman
1977,Historical Emissions,39.147,33.673,34.643,Judith Basin County,penman
1978,Historical Emissions,36.747,33.105,35.124,Judith Basin County,penman
1979,Historical Emissions,38.363,33.238,36.493,Judith Basin County,penman
1980,Historical Emissions,39.033,31.999,36.596,Judith Basin County,penman
1981,Historical Emissions,37.95,34.224,35.749,Judith Basin County,penman
1982,Historical Emissions,37.954,34.256,36.002,Judith Basin County,penman
1983,Historical Emissions,36.468,32.922,35.788,Judith Basin County,penman
1984,Historical Emissions,38.361,33.227,36.002,Judith Basin County,penman
1985,Historical Emissions,39.359,34.565,36.302,Judith Basin County,penman
