year,scenario,upper,lower,value,location,variable
1950,Historical Emissions,43.346,39.669,41.023,Rosebud County,penman
1951,Historical Emissions,43.56,37.792,42.579,Rosebud County,penman
1952,Historical Emissions,45.184,38.807,41.693,Rosebud County,penman
1953,Historical Emissions,44.778,36.87,41.333,Rosebud County,penman
1954,Historical Emissions,42.748,36.983,40.676,Rosebud County,penman
1955,Historical Emissions,45.347,37.809,38.224,Rosebud County,penman
1956,Historical Emissions,48.53,38.544,42.611,Rosebud County,penman
1957,Historical Emissions,47.1,36.213,40.255,Rosebud County,penman
1958,Historical Emissions,42.004,37.351,39.547,Rosebud County,penman
1959,Historical Emissions,42.082,36.244,38.847,Rosebud County,penman
1960,Historical Emissions,43.633,37.866,40.266,Rosebud County,penman
1961,Historical Emissions,41.99,38.169,39.806,Rosebud County,penman
1962,Historical Emissions,43.474,35.711,40.221,Rosebud County,penman
1963,Historical Emissions,41.699,36.985,38.461,Rosebud County,penman
1964,Historical Emissions,42.713,36.43,39.767,Rosebud County,penman
1965,Historical Emissions,43.332,36.043,41.611,Rosebud County,penman
1966,Historical Emissions,46.061,36.71,38.43,Rosebud County,penman
1967,Historical Emissions,44.338,36.89,40.307,Rosebud County,penman
1968,Historical Emissions,40.296,34.03,39.029,Rosebud County,penman
1969,Historical Emissions,42.621,37.721,40.175,Rosebud County,penman
1970,Historical Emissions,43.356,37.563,40.293,Rosebud County,penman
1971,Historical Emissions,43.993,38.705,40.464,Rosebud County,penman
1972,Historical Emissions,42.337,38.138,40.488,Rosebud County,penman
1973,Historical Emissions,43.757,36.197,38.792,Rosebud County,penman
1974,Historical Emissions,43.207,37.633,38.981,Rosebud County,penman
1975,Historical Emissions,42.236,37.033,40.494,Rosebud County,penman
1976,Historical Emissions,42.473,38.371,39.214,Rosebud County,penman
1977,Historical Emissions,45.102,37.395,39.054,Rosebud County,penman
1978,Historical Emissions,42.192,35.268,39.934,Rosebud County,penman
1979,Historical Emissions,42.375,37.796,40.797,Rosebud County,penman
1980,Historical Emissions,43.469,35.694,40.812,Rosebud County,penman
1981,Historical Emissions,42.687,38.046,41.8,Rosebud County,penman
1982,Historical Emissions,43.216,37.291,40.969,Rosebud County,penman
1983,Historical Emissions,40.825,37.229,39.376,Rosebud County,penman
1984,Historical Emissions,43.115,38.484,40.59,Rosebud County,penman
1985,Historical Emissions,45.055,38.162,41.021,Rosebud County,penman
1986,Historical Emissions,40.005,34.638,39.197,Rosebud County,penman
1987,Historical Emissions,40.917,35.888,38.75,Rosebud County,penman
1988,Historical Emissions,41.486,36.127,38.813,Rosebud County,penman
1989,Historical Emissions,43.433,37.048,41.194,Rosebud County,penman
1990,Historical Emissions,45.566,37.492,43.045,Rosebud County,penman
1991,Historical Emissions,42.701,37.677,40.321,Rosebud County,penman
1992,Historical Emissions,42.678,38.093,39.699,Rosebud County,penman
