scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Apr,Mid Century (2040-2069),3.011,2.268,2.616,Toole County,penman
Historical Emissions,Aug,Mid Century (2040-2069),7.13,5.4,6.325,Toole County,penman
Historical Emissions,Dec,Mid Century (2040-2069),0.837,0.335,0.558,Toole County,penman
Historical Emissions,Feb,Mid Century (2040-2069),1.044,0.562,0.778,Toole County,penman
Historical Emissions,Jan,Mid Century (2040-2069),0.815,0.36,0.587,Toole County,penman
Historical Emissions,Jul,Mid Century (2040-2069),7.798,5.908,6.846,Toole County,penman
Historical Emissions,Jun,Mid Century (2040-2069),6.194,4.458,5.225,Toole County,penman
Historical Emissions,Mar,Mid Century (2040-2069),1.841,1.261,1.565,Toole County,penman
Historical Emissions,May,Mid Century (2040-2069),4.907,3.538,4.125,Toole County,penman
Historical Emissions,Nov,Mid Century (2040-2069),1.168,0.564,0.858,Toole County,penman
Historical Emissions,Oct,Mid Century (2040-2069),2.993,1.703,2.269,Toole County,penman
Historical Emissions,Sep,Mid Century (2040-2069),4.968,3.398,4.145,Toole County,penman
Historical Emissions,Apr,End-of-Century (2070-2099),3.011,2.268,2.616,Toole County,penman
Historical Emissions,Aug,End-of-Century (2070-2099),7.13,5.4,6.325,Toole County,penman
Historical Emissions,Dec,End-of-Century (2070-2099),0.837,0.335,0.558,Toole County,penman
Historical Emissions,Feb,End-of-Century (2070-2099),1.044,0.562,0.778,Toole County,penman
Historical Emissions,Jan,End-of-Century (2070-2099),0.815,0.36,0.587,Toole County,penman
Historical Emissions,Jul,End-of-Century (2070-2099),7.798,5.908,6.846,Toole County,penman
Historical Emissions,Jun,End-of-Century (2070-2099),6.194,4.458,5.225,Toole County,penman
Historical Emissions,Mar,End-of-Century (2070-2099),1.841,1.261,1.565,Toole County,penman
Historical Emissions,May,End-of-Century (2070-2099),4.907,3.538,4.125,Toole County,penman
Historical Emissions,Nov,End-of-Century (2070-2099),1.168,0.564,0.858,Toole County,penman
Historical Emissions,Oct,End-of-Century (2070-2099),2.993,1.703,2.269,Toole County,penman
Historical Emissions,Sep,End-of-Century (2070-2099),4.968,3.398,4.145,Toole County,penman
"Moderating Emissions
(SSP1-2.6)",Apr,End-of-Century (2070-2099),3.034,2.469,2.704,Toole County,penman
"Moderating Emissions
(SSP1-2.6)",Apr,Mid Century (2040-2069),3.179,2.383,2.752,Toole County,penman
"Moderating Emissions
(SSP1-2.6)",Aug,End-of-Century (2070-2099),7.671,5.596,6.697,Toole County,penman
"Moderating Emissions
(SSP1-2.6)",Aug,Mid Century (2040-2069),7.508,5.657,6.575,Toole County,penman
