scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Apr,Mid Century (2040-2069),0.115,0.086,0.099,Little Bighorn,penman
Historical Emissions,Aug,Mid Century (2040-2069),0.259,0.207,0.234,Little Bighorn,penman
Historical Emissions,Dec,Mid Century (2040-2069),0.027,0.011,0.018,Little Bighorn,penman
Historical Emissions,Feb,Mid Century (2040-2069),0.039,0.023,0.031,Little Bighorn,penman
Historical Emissions,Jan,Mid Century (2040-2069),0.026,0.013,0.019,Little Bighorn,penman
Historical Emissions,Jul,Mid Century (2040-2069),0.282,0.218,0.249,Little Bighorn,penman
Historical Emissions,Jun,Mid Century (2040-2069),0.23,0.176,0.201,Little Bighorn,penman
Historical Emissions,Mar,Mid Century (2040-2069),0.067,0.048,0.057,Little Bighorn,penman
Historical Emissions,May,Mid Century (2040-2069),0.176,0.127,0.148,Little Bighorn,penman
Historical Emissions,Nov,Mid Century (2040-2069),0.05,0.025,0.036,Little Bighorn,penman
Historical Emissions,Oct,Mid Century (2040-2069),0.117,0.068,0.089,Little Bighorn,penman
Historical Emissions,Sep,Mid Century (2040-2069),0.2,0.142,0.169,Little Bighorn,penman
Historical Emissions,Apr,End-of-Century (2070-2099),0.115,0.086,0.099,Little Bighorn,penman
Historical Emissions,Aug,End-of-Century (2070-2099),0.259,0.207,0.234,Little Bighorn,penman
Historical Emissions,Dec,End-of-Century (2070-2099),0.027,0.011,0.018,Little Bighorn,penman
Historical Emissions,Feb,End-of-Century (2070-2099),0.039,0.023,0.031,Little Bighorn,penman
Historical Emissions,Jan,End-of-Century (2070-2099),0.026,0.013,0.019,Little Bighorn,penman
Historical Emissions,Jul,End-of-Century (2070-2099),0.282,0.218,0.249,Little Bighorn,penman
Historical Emissions,Jun,End-of-Century (2070-2099),0.23,0.176,0.201,Little Bighorn,penman
Historical Emissions,Mar,End-of-Century (2070-2099),0.067,0.048,0.057,Little Bighorn,penman
Historical Emissions,May,End-of-Century (2070-2099),0.176,0.127,0.148,Little Bighorn,penman
Historical Emissions,Nov,End-of-Century (2070-2099),0.05,0.025,0.036,Little Bighorn,penman
Historical Emissions,Oct,End-of-Century (2070-2099),0.117,0.068,0.089,Little Bighorn,penman
Historical Emissions,Sep,End-of-Century (2070-2099),0.2,0.142,0.169,Little Bighorn,penman
"Moderating Emissions
(SSP1-2.6)",Apr,End-of-Century (2070-2099),0.112,0.087,0.104,Little Bighorn,penman
"Moderating Emissions
(SSP1-2.6)",Apr,Mid Century (2040-2069),0.117,0.089,0.104,Little Bighorn,penman
"Moderating Emissions
(SSP1-2.6)",Aug,End-of-Century (2070-2099),0.263,0.214,0.251,Little Bighorn,penman
"Moderating Emissions
(SSP1-2.6)",Aug,Mid Century (2040-2069),0.27,0.219,0.241,Little Bighorn,penman
"Moderating Emissions
(SSP1-2.6)",Dec,End-of-Century (2070-2099),0.031,0.013,0.02,Little Bighorn,penman
"Moderating Emissions
(SSP1-2.6)",Dec,Mid Century (2040-2069),0.029,0.014,0.02,Little Bighorn,penman
"Moderating Emissions
(SSP1-2.6)",Feb,End-of-Century (2070-2099),0.042,0.028,0.033,Little Bighorn,penman
"Moderating Emissions
(SSP1-2.6)",Feb,Mid Century (2040-2069),0.041,0.025,0.033,Little Bighorn,penman
"Moderating Emissions
(SSP1-2.6)",Jan,End-of-Century (2070-2099),0.027,0.017,0.021,Little Bighorn,penman
"Moderating Emissions
(SSP1-2.6)",Jan,Mid Century (2040-2069),0.028,0.015,0.02,Little Bighorn,penman
"Moderating Emissions
(SSP1-2.6)",Jul,End-of-Century (2070-2099),0.289,0.222,0.267,Little Bighorn,penman
"Moderating Emissions
(SSP1-2.6)",Jul,Mid Century (2040-2069),0.296,0.232,0.258,Little Bighorn,penman
"Moderating Emissions
(SSP1-2.6)",Jun,End-of-Century (2070-2099),0.231,0.173,0.211,Little Bighorn,penman
"Moderating Emissions
(SSP1-2.6)",Jun,Mid Century (2040-2069),0.245,0.184,0.211,Little Bighorn,penman
"Moderating Emissions
(SSP1-2.6)",Mar,End-of-Century (2070-2099),0.067,0.052,0.059,Little Bighorn,penman
"Moderating Emissions
(SSP1-2.6)",Mar,Mid Century (2040-2069),0.073,0.051,0.06,Little Bighorn,penman
"Moderating Emissions
(SSP1-2.6)",May,End-of-Century (2070-2099),0.177,0.13,0.152,Little Bighorn,penman
"Moderating Emissions
(SSP1-2.6)",May,Mid Century (2040-2069),0.184,0.131,0.155,Little Bighorn,penman
"Moderating Emissions
(SSP1-2.6)",Nov,End-of-Century (2070-2099),0.048,0.028,0.038,Little Bighorn,penman
"Moderating Emissions
(SSP1-2.6)",Nov,Mid Century (2040-2069),0.053,0.026,0.038,Little Bighorn,penman
"Moderating Emissions
(SSP1-2.6)",Oct,End-of-Century (2070-2099),0.111,0.072,0.088,Little Bighorn,penman
"Moderating Emissions
(SSP1-2.6)",Oct,Mid Century (2040-2069),0.126,0.071,0.096,Little Bighorn,penman
"Moderating Emissions
(SSP1-2.6)",Sep,End-of-Century (2070-2099),0.2,0.152,0.182,Little Bighorn,penman
"Moderating Emissions
(SSP1-2.6)",Sep,Mid Century (2040-2069),0.208,0.151,0.178,Little Bighorn,penman
"Middle of the Road
(SSP2-4.5)",Apr,End-of-Century (2070-2099),0.116,0.094,0.104,Little Bighorn,penman
"Middle of the Road
(SSP2-4.5)",Apr,Mid Century (2040-2069),0.12,0.09,0.102,Little Bighorn,penman
"Middle of the Road
(SSP2-4.5)",Aug,End-of-Century (2070-2099),0.298,0.225,0.244,Little Bighorn,penman
"Middle of the Road
(SSP2-4.5)",Aug,Mid Century (2040-2069),0.278,0.218,0.246,Little Bighorn,penman
"Middle of the Road
(SSP2-4.5)",Dec,End-of-Century (2070-2099),0.03,0.015,0.019,Little Bighorn,penman
"Middle of the Road
(SSP2-4.5)",Dec,Mid Century (2040-2069),0.029,0.013,0.019,Little Bighorn,penman
"Middle of the Road
(SSP2-4.5)",Feb,End-of-Century (2070-2099),0.048,0.025,0.038,Little Bighorn,penman
"Middle of the Road
(SSP2-4.5)",Feb,Mid Century (2040-2069),0.041,0.026,0.033,Little Bighorn,penman
"Middle of the Road
(SSP2-4.5)",Jan,End-of-Century (2070-2099),0.028,0.019,0.023,Little Bighorn,penman
"Middle of the Road
(SSP2-4.5)",Jan,Mid Century (2040-2069),0.028,0.015,0.021,Little Bighorn,penman
"Middle of the Road
(SSP2-4.5)",Jul,End-of-Century (2070-2099),0.311,0.243,0.269,Little Bighorn,penman
"Middle of the Road
(SSP2-4.5)",Jul,Mid Century (2040-2069),0.299,0.23,0.262,Little Bighorn,penman
"Middle of the Road
(SSP2-4.5)",Jun,End-of-Century (2070-2099),0.255,0.189,0.223,Little Bighorn,penman
"Middle of the Road
(SSP2-4.5)",Jun,Mid Century (2040-2069),0.249,0.182,0.213,Little Bighorn,penman
"Middle of the Road
(SSP2-4.5)",Mar,End-of-Century (2070-2099),0.07,0.053,0.061,Little Bighorn,penman
"Middle of the Road
(SSP2-4.5)",Mar,Mid Century (2040-2069),0.071,0.05,0.06,Little Bighorn,penman
"Middle of the Road
(SSP2-4.5)",May,End-of-Century (2070-2099),0.187,0.149,0.16,Little Bighorn,penman
"Middle of the Road
(SSP2-4.5)",May,Mid Century (2040-2069),0.187,0.132,0.155,Little Bighorn,penman
"Middle of the Road
(SSP2-4.5)",Nov,End-of-Century (2070-2099),0.056,0.027,0.036,Little Bighorn,penman
"Middle of the Road
(SSP2-4.5)",Nov,Mid Century (2040-2069),0.054,0.026,0.038,Little Bighorn,penman
"Middle of the Road
(SSP2-4.5)",Oct,End-of-Century (2070-2099),0.122,0.072,0.1,Little Bighorn,penman
"Middle of the Road
(SSP2-4.5)",Oct,Mid Century (2040-2069),0.13,0.07,0.099,Little Bighorn,penman
"Middle of the Road
(SSP2-4.5)",Sep,End-of-Century (2070-2099),0.211,0.156,0.189,Little Bighorn,penman
"Middle of the Road
(SSP2-4.5)",Sep,Mid Century (2040-2069),0.21,0.152,0.179,Little Bighorn,penman
"High Emissions
(SSP3-7.0)",Apr,End-of-Century (2070-2099),0.116,0.096,0.107,Little Bighorn,penman
"High Emissions
(SSP3-7.0)",Apr,Mid Century (2040-2069),0.12,0.086,0.101,Little Bighorn,penman
"High Emissions
(SSP3-7.0)",Aug,End-of-Century (2070-2099),0.293,0.236,0.263,Little Bighorn,penman
"High Emissions
(SSP3-7.0)",Aug,Mid Century (2040-2069),0.275,0.223,0.25,Little Bighorn,penman
"High Emissions
(SSP3-7.0)",Dec,End-of-Century (2070-2099),0.034,0.015,0.021,Little Bighorn,penman
"High Emissions
(SSP3-7.0)",Dec,Mid Century (2040-2069),0.031,0.013,0.02,Little Bighorn,penman
"High Emissions
(SSP3-7.0)",Feb,End-of-Century (2070-2099),0.047,0.031,0.038,Little Bighorn,penman
"High Emissions
(SSP3-7.0)",Feb,Mid Century (2040-2069),0.042,0.026,0.034,Little Bighorn,penman
"High Emissions
(SSP3-7.0)",Jan,End-of-Century (2070-2099),0.03,0.013,0.021,Little Bighorn,penman
"High Emissions
(SSP3-7.0)",Jan,Mid Century (2040-2069),0.028,0.014,0.02,Little Bighorn,penman
"High Emissions
(SSP3-7.0)",Jul,End-of-Century (2070-2099),0.336,0.256,0.28,Little Bighorn,penman
"High Emissions
(SSP3-7.0)",Jul,Mid Century (2040-2069),0.294,0.233,0.261,Little Bighorn,penman
"High Emissions
(SSP3-7.0)",Jun,End-of-Century (2070-2099),0.271,0.204,0.227,Little Bighorn,penman
"High Emissions
(SSP3-7.0)",Jun,Mid Century (2040-2069),0.247,0.187,0.213,Little Bighorn,penman
"High Emissions
(SSP3-7.0)",Mar,End-of-Century (2070-2099),0.076,0.055,0.069,Little Bighorn,penman
"High Emissions
(SSP3-7.0)",Mar,Mid Century (2040-2069),0.071,0.051,0.06,Little Bighorn,penman
"High Emissions
(SSP3-7.0)",May,End-of-Century (2070-2099),0.203,0.148,0.17,Little Bighorn,penman
"High Emissions
(SSP3-7.0)",May,Mid Century (2040-2069),0.178,0.134,0.155,Little Bighorn,penman
"High Emissions
(SSP3-7.0)",Nov,End-of-Century (2070-2099),0.064,0.024,0.042,Little Bighorn,penman
"High Emissions
(SSP3-7.0)",Nov,Mid Century (2040-2069),0.056,0.026,0.038,Little Bighorn,penman
"High Emissions
(SSP3-7.0)",Oct,End-of-Century (2070-2099),0.138,0.072,0.113,Little Bighorn,penman
"High Emissions
(SSP3-7.0)",Oct,Mid Century (2040-2069),0.132,0.075,0.099,Little Bighorn,penman
"High Emissions
(SSP3-7.0)",Sep,End-of-Century (2070-2099),0.229,0.16,0.208,Little Bighorn,penman
"High Emissions
(SSP3-7.0)",Sep,Mid Century (2040-2069),0.216,0.153,0.182,Little Bighorn,penman
"Accelerating Emissions
(SSP5-8.5)",Apr,End-of-Century (2070-2099),0.128,0.097,0.108,Little Bighorn,penman
"Accelerating Emissions
(SSP5-8.5)",Apr,Mid Century (2040-2069),0.122,0.09,0.104,Little Bighorn,penman
"Accelerating Emissions
(SSP5-8.5)",Aug,End-of-Century (2070-2099),0.325,0.249,0.281,Little Bighorn,penman
"Accelerating Emissions
(SSP5-8.5)",Aug,Mid Century (2040-2069),0.284,0.222,0.254,Little Bighorn,penman
"Accelerating Emissions
(SSP5-8.5)",Dec,End-of-Century (2070-2099),0.03,0.015,0.022,Little Bighorn,penman
"Accelerating Emissions
(SSP5-8.5)",Dec,Mid Century (2040-2069),0.03,0.014,0.02,Little Bighorn,penman
"Accelerating Emissions
(SSP5-8.5)",Feb,End-of-Century (2070-2099),0.043,0.028,0.038,Little Bighorn,penman
"Accelerating Emissions
(SSP5-8.5)",Feb,Mid Century (2040-2069),0.042,0.026,0.034,Little Bighorn,penman
"Accelerating Emissions
(SSP5-8.5)",Jan,End-of-Century (2070-2099),0.03,0.017,0.023,Little Bighorn,penman
"Accelerating Emissions
(SSP5-8.5)",Jan,Mid Century (2040-2069),0.028,0.015,0.021,Little Bighorn,penman
"Accelerating Emissions
(SSP5-8.5)",Jul,End-of-Century (2070-2099),0.359,0.259,0.287,Little Bighorn,penman
"Accelerating Emissions
(SSP5-8.5)",Jul,Mid Century (2040-2069),0.307,0.236,0.27,Little Bighorn,penman
"Accelerating Emissions
(SSP5-8.5)",Jun,End-of-Century (2070-2099),0.312,0.21,0.254,Little Bighorn,penman
"Accelerating Emissions
(SSP5-8.5)",Jun,Mid Century (2040-2069),0.257,0.19,0.221,Little Bighorn,penman
"Accelerating Emissions
(SSP5-8.5)",Mar,End-of-Century (2070-2099),0.079,0.057,0.066,Little Bighorn,penman
"Accelerating Emissions
(SSP5-8.5)",Mar,Mid Century (2040-2069),0.073,0.053,0.061,Little Bighorn,penman
"Accelerating Emissions
(SSP5-8.5)",May,End-of-Century (2070-2099),0.201,0.153,0.181,Little Bighorn,penman
"Accelerating Emissions
(SSP5-8.5)",May,Mid Century (2040-2069),0.19,0.135,0.161,Little Bighorn,penman
"Accelerating Emissions
(SSP5-8.5)",Nov,End-of-Century (2070-2099),0.077,0.029,0.044,Little Bighorn,penman
"Accelerating Emissions
(SSP5-8.5)",Nov,Mid Century (2040-2069),0.055,0.027,0.039,Little Bighorn,penman
"Accelerating Emissions
(SSP5-8.5)",Oct,End-of-Century (2070-2099),0.165,0.099,0.121,Little Bighorn,penman
"Accelerating Emissions
(SSP5-8.5)",Oct,Mid Century (2040-2069),0.13,0.074,0.102,Little Bighorn,penman
"Accelerating Emissions
(SSP5-8.5)",Sep,End-of-Century (2070-2099),0.245,0.178,0.223,Little Bighorn,penman
"Accelerating Emissions
(SSP5-8.5)",Sep,Mid Century (2040-2069),0.218,0.15,0.186,Little Bighorn,penman
