year,scenario,upper,lower,value,location,variable
1950,Historical Emissions,1.464,1.308,1.386,Little Powder,penman
1951,Historical Emissions,1.467,1.296,1.412,Little Powder,penman
1952,Historical Emissions,1.527,1.296,1.336,Little Powder,penman
1953,Historical Emissions,1.546,1.252,1.375,Little Powder,penman
1954,Historical Emissions,1.439,1.285,1.344,Little Powder,penman
1955,Historical Emissions,1.512,1.293,1.363,Little Powder,penman
1956,Historical Emissions,1.59,1.278,1.384,Little Powder,penman
1957,Historical Emissions,1.6,1.261,1.361,Little Powder,penman
1958,Historical Emissions,1.491,1.292,1.344,Little Powder,penman
1959,Historical Emissions,1.372,1.209,1.298,Little Powder,penman
1960,Historical Emissions,1.448,1.276,1.31,Little Powder,penman
1961,Historical Emissions,1.423,1.282,1.339,Little Powder,penman
1962,Historical Emissions,1.414,1.197,1.372,Little Powder,penman
1963,Historical Emissions,1.387,1.242,1.266,Little Powder,penman
1964,Historical Emissions,1.401,1.231,1.365,Little Powder,penman
1965,Historical Emissions,1.392,1.19,1.343,Little Powder,penman
1966,Historical Emissions,1.493,1.221,1.315,Little Powder,penman
1967,Historical Emissions,1.49,1.237,1.316,Little Powder,penman
1968,Historical Emissions,1.373,1.148,1.295,Little Powder,penman
1969,Historical Emissions,1.37,1.24,1.352,Little Powder,penman
1970,Historical Emissions,1.454,1.254,1.319,Little Powder,penman
1971,Historical Emissions,1.439,1.289,1.408,Little Powder,penman
1972,Historical Emissions,1.43,1.245,1.325,Little Powder,penman
1973,Historical Emissions,1.448,1.175,1.323,Little Powder,penman
1974,Historical Emissions,1.413,1.249,1.304,Little Powder,penman
1975,Historical Emissions,1.423,1.259,1.322,Little Powder,penman
1976,Historical Emissions,1.387,1.3,1.334,Little Powder,penman
1977,Historical Emissions,1.466,1.27,1.37,Little Powder,penman
1978,Historical Emissions,1.405,1.148,1.36,Little Powder,penman
1979,Historical Emissions,1.434,1.24,1.398,Little Powder,penman
1980,Historical Emissions,1.458,1.195,1.387,Little Powder,penman
1981,Historical Emissions,1.413,1.251,1.375,Little Powder,penman
1982,Historical Emissions,1.444,1.265,1.304,Little Powder,penman
1983,Historical Emissions,1.376,1.23,1.315,Little Powder,penman
1984,Historical Emissions,1.44,1.271,1.319,Little Powder,penman
1985,Historical Emissions,1.472,1.296,1.379,Little Powder,penman
1986,Historical Emissions,1.349,1.188,1.27,Little Powder,penman
1987,Historical Emissions,1.33,1.22,1.278,Little Powder,penman
1988,Historical Emissions,1.381,1.207,1.303,Little Powder,penman
1989,Historical Emissions,1.437,1.265,1.365,Little Powder,penman
1990,Historical Emissions,1.519,1.304,1.407,Little Powder,penman
1991,Historical Emissions,1.438,1.279,1.316,Little Powder,penman
1992,Historical Emissions,1.369,1.266,1.309,Little Powder,penman
1993,Historical Emissions,1.412,1.278,1.297,Little Powder,penman
1994,Historical Emissions,1.454,1.249,1.428,Little Powder,penman
1995,Historical Emissions,1.521,1.302,1.42,Little Powder,penman
1996,Historical Emissions,1.576,1.277,1.478,Little Powder,penman
1997,Historical Emissions,1.455,1.27,1.34,Little Powder,penman
1998,Historical Emissions,1.475,1.282,1.372,Little Powder,penman
1999,Historical Emissions,1.417,1.267,1.365,Little Powder,penman
2000,Historical Emissions,1.456,1.275,1.411,Little Powder,penman
2001,Historical Emissions,1.461,1.275,1.368,Little Powder,penman
2002,Historical Emissions,1.501,1.359,1.449,Little Powder,penman
2003,Historical Emissions,1.482,1.309,1.405,Little Powder,penman
2004,Historical Emissions,1.545,1.354,1.399,Little Powder,penman
2005,Historical Emissions,1.509,1.379,1.456,Little Powder,penman
2006,Historical Emissions,1.489,1.3,1.383,Little Powder,penman
2007,Historical Emissions,1.459,1.347,1.378,Little Powder,penman
2008,Historical Emissions,1.489,1.281,1.389,Little Powder,penman
2009,Historical Emissions,1.471,1.295,1.417,Little Powder,penman
2010,Historical Emissions,1.558,1.312,1.408,Little Powder,penman
2011,Historical Emissions,1.513,1.39,1.428,Little Powder,penman
2012,Historical Emissions,1.481,1.375,1.411,Little Powder,penman
2013,Historical Emissions,1.533,1.318,1.43,Little Powder,penman
2014,Historical Emissions,1.55,1.417,1.491,Little Powder,penman
2015,"Moderating Emissions
(SSP1-2.6)",1.582,1.382,1.495,Little Powder,penman
2015,"Middle of the Road
(SSP2-4.5)",1.606,1.306,1.446,Little Powder,penman
2015,"High Emissions
(SSP3-7.0)",1.523,1.369,1.449,Little Powder,penman
2015,"Accelerating Emissions
(SSP5-8.5)",1.596,1.346,1.466,Little Powder,penman
2016,"Moderating Emissions
(SSP1-2.6)",1.52,1.336,1.443,Little Powder,penman
2016,"Middle of the Road
(SSP2-4.5)",1.54,1.335,1.428,Little Powder,penman
2016,"High Emissions
(SSP3-7.0)",1.577,1.32,1.435,Little Powder,penman
2016,"Accelerating Emissions
(SSP5-8.5)",1.537,1.324,1.417,Little Powder,penman
2017,"Moderating Emissions
(SSP1-2.6)",1.54,1.358,1.447,Little Powder,penman
2017,"Middle of the Road
(SSP2-4.5)",1.617,1.342,1.413,Little Powder,penman
2017,"High Emissions
(SSP3-7.0)",1.51,1.339,1.418,Little Powder,penman
2017,"Accelerating Emissions
(SSP5-8.5)",1.55,1.323,1.461,Little Powder,penman
2018,"Moderating Emissions
(SSP1-2.6)",1.489,1.333,1.408,Little Powder,penman
2018,"Middle of the Road
(SSP2-4.5)",1.542,1.341,1.417,Little Powder,penman
2018,"High Emissions
(SSP3-7.0)",1.5,1.236,1.381,Little Powder,penman
2018,"Accelerating Emissions
(SSP5-8.5)",1.524,1.263,1.476,Little Powder,penman
2019,"Moderating Emissions
(SSP1-2.6)",1.55,1.39,1.446,Little Powder,penman
2019,"Middle of the Road
(SSP2-4.5)",1.578,1.356,1.43,Little Powder,penman
2019,"High Emissions
(SSP3-7.0)",1.482,1.31,1.395,Little Powder,penman
2019,"Accelerating Emissions
(SSP5-8.5)",1.715,1.339,1.483,Little Powder,penman
2020,"Moderating Emissions
(SSP1-2.6)",1.657,1.289,1.375,Little Powder,penman
2020,"Middle of the Road
(SSP2-4.5)",1.549,1.386,1.446,Little Powder,penman
2020,"High Emissions
(SSP3-7.0)",1.519,1.301,1.429,Little Powder,penman
2020,"Accelerating Emissions
(SSP5-8.5)",1.467,1.258,1.396,Little Powder,penman
2021,"Moderating Emissions
(SSP1-2.6)",1.574,1.335,1.454,Little Powder,penman
2021,"Middle of the Road
(SSP2-4.5)",1.634,1.305,1.519,Little Powder,penman
2021,"High Emissions
(SSP3-7.0)",1.607,1.354,1.399,Little Powder,penman
2021,"Accelerating Emissions
(SSP5-8.5)",1.559,1.337,1.47,Little Powder,penman
2022,"Moderating Emissions
(SSP1-2.6)",1.557,1.417,1.448,Little Powder,penman
2022,"Middle of the Road
(SSP2-4.5)",1.53,1.29,1.418,Little Powder,penman
2022,"High Emissions
(SSP3-7.0)",1.462,1.329,1.392,Little Powder,penman
2022,"Accelerating Emissions
(SSP5-8.5)",1.654,1.322,1.462,Little Powder,penman
2023,"Moderating Emissions
(SSP1-2.6)",1.548,1.363,1.448,Little Powder,penman
2023,"Middle of the Road
(SSP2-4.5)",1.626,1.35,1.415,Little Powder,penman
2023,"High Emissions
(SSP3-7.0)",1.607,1.322,1.409,Little Powder,penman
2023,"Accelerating Emissions
(SSP5-8.5)",1.446,1.329,1.363,Little Powder,penman
2024,"Moderating Emissions
(SSP1-2.6)",1.529,1.297,1.48,Little Powder,penman
2024,"Middle of the Road
(SSP2-4.5)",1.534,1.356,1.467,Little Powder,penman
2024,"High Emissions
(SSP3-7.0)",1.604,1.344,1.474,Little Powder,penman
2024,"Accelerating Emissions
(SSP5-8.5)",1.525,1.39,1.432,Little Powder,penman
2025,"Moderating Emissions
(SSP1-2.6)",1.543,1.423,1.46,Little Powder,penman
2025,"Middle of the Road
(SSP2-4.5)",1.547,1.297,1.438,Little Powder,penman
2025,"High Emissions
(SSP3-7.0)",1.592,1.386,1.473,Little Powder,penman
2025,"Accelerating Emissions
(SSP5-8.5)",1.53,1.388,1.437,Little Powder,penman
2026,"Moderating Emissions
(SSP1-2.6)",1.588,1.375,1.427,Little Powder,penman
2026,"Middle of the Road
(SSP2-4.5)",1.632,1.39,1.492,Little Powder,penman
2026,"High Emissions
(SSP3-7.0)",1.479,1.355,1.421,Little Powder,penman
2026,"Accelerating Emissions
(SSP5-8.5)",1.574,1.313,1.39,Little Powder,penman
2027,"Moderating Emissions
(SSP1-2.6)",1.593,1.361,1.42,Little Powder,penman
2027,"Middle of the Road
(SSP2-4.5)",1.691,1.335,1.447,Little Powder,penman
2027,"High Emissions
(SSP3-7.0)",1.527,1.365,1.395,Little Powder,penman
2027,"Accelerating Emissions
(SSP5-8.5)",1.552,1.37,1.475,Little Powder,penman
2028,"Moderating Emissions
(SSP1-2.6)",1.583,1.314,1.4,Little Powder,penman
2028,"Middle of the Road
(SSP2-4.5)",1.507,1.34,1.379,Little Powder,penman
2028,"High Emissions
(SSP3-7.0)",1.509,1.366,1.481,Little Powder,penman
2028,"Accelerating Emissions
(SSP5-8.5)",1.587,1.31,1.4,Little Powder,penman
2029,"Moderating Emissions
(SSP1-2.6)",1.599,1.438,1.506,Little Powder,penman
2029,"Middle of the Road
(SSP2-4.5)",1.594,1.36,1.419,Little Powder,penman
2029,"High Emissions
(SSP3-7.0)",1.568,1.345,1.391,Little Powder,penman
2029,"Accelerating Emissions
(SSP5-8.5)",1.533,1.417,1.469,Little Powder,penman
2030,"Moderating Emissions
(SSP1-2.6)",1.654,1.356,1.446,Little Powder,penman
2030,"Middle of the Road
(SSP2-4.5)",1.607,1.415,1.494,Little Powder,penman
2030,"High Emissions
(SSP3-7.0)",1.591,1.315,1.415,Little Powder,penman
2030,"Accelerating Emissions
(SSP5-8.5)",1.608,1.373,1.509,Little Powder,penman
2031,"Moderating Emissions
(SSP1-2.6)",1.564,1.36,1.478,Little Powder,penman
2031,"Middle of the Road
(SSP2-4.5)",1.599,1.385,1.407,Little Powder,penman
2031,"High Emissions
(SSP3-7.0)",1.609,1.424,1.546,Little Powder,penman
2031,"Accelerating Emissions
(SSP5-8.5)",1.639,1.43,1.507,Little Powder,penman
2032,"Moderating Emissions
(SSP1-2.6)",1.54,1.296,1.389,Little Powder,penman
2032,"Middle of the Road
(SSP2-4.5)",1.564,1.283,1.399,Little Powder,penman
2032,"High Emissions
(SSP3-7.0)",1.666,1.365,1.504,Little Powder,penman
2032,"Accelerating Emissions
(SSP5-8.5)",1.664,1.335,1.515,Little Powder,penman
2033,"Moderating Emissions
(SSP1-2.6)",1.58,1.408,1.483,Little Powder,penman
2033,"Middle of the Road
(SSP2-4.5)",1.66,1.32,1.496,Little Powder,penman
2033,"High Emissions
(SSP3-7.0)",1.542,1.282,1.386,Little Powder,penman
2033,"Accelerating Emissions
(SSP5-8.5)",1.629,1.382,1.538,Little Powder,penman
2034,"Moderating Emissions
(SSP1-2.6)",1.621,1.337,1.405,Little Powder,penman
2034,"Middle of the Road
(SSP2-4.5)",1.562,1.324,1.411,Little Powder,penman
2034,"High Emissions
(SSP3-7.0)",1.716,1.362,1.477,Little Powder,penman
2034,"Accelerating Emissions
(SSP5-8.5)",1.611,1.33,1.531,Little Powder,penman
2035,"Moderating Emissions
(SSP1-2.6)",1.633,1.413,1.493,Little Powder,penman
2035,"Middle of the Road
(SSP2-4.5)",1.616,1.476,1.562,Little Powder,penman
2035,"High Emissions
(SSP3-7.0)",1.562,1.314,1.46,Little Powder,penman
2035,"Accelerating Emissions
(SSP5-8.5)",1.628,1.406,1.509,Little Powder,penman
2036,"Moderating Emissions
(SSP1-2.6)",1.526,1.316,1.44,Little Powder,penman
2036,"Middle of the Road
(SSP2-4.5)",1.611,1.363,1.52,Little Powder,penman
2036,"High Emissions
(SSP3-7.0)",1.609,1.343,1.432,Little Powder,penman
2036,"Accelerating Emissions
(SSP5-8.5)",1.515,1.244,1.461,Little Powder,penman
2037,"Moderating Emissions
(SSP1-2.6)",1.583,1.359,1.482,Little Powder,penman
2037,"Middle of the Road
(SSP2-4.5)",1.546,1.358,1.408,Little Powder,penman
2037,"High Emissions
(SSP3-7.0)",1.495,1.354,1.432,Little Powder,penman
2037,"Accelerating Emissions
(SSP5-8.5)",1.627,1.401,1.411,Little Powder,penman
2038,"Moderating Emissions
(SSP1-2.6)",1.555,1.414,1.466,Little Powder,penman
2038,"Middle of the Road
(SSP2-4.5)",1.54,1.371,1.456,Little Powder,penman
2038,"High Emissions
(SSP3-7.0)",1.597,1.417,1.538,Little Powder,penman
2038,"Accelerating Emissions
(SSP5-8.5)",1.628,1.292,1.485,Little Powder,penman
2039,"Moderating Emissions
(SSP1-2.6)",1.619,1.359,1.433,Little Powder,penman
2039,"Middle of the Road
(SSP2-4.5)",1.549,1.371,1.417,Little Powder,penman
2039,"High Emissions
(SSP3-7.0)",1.593,1.387,1.514,Little Powder,penman
2039,"Accelerating Emissions
(SSP5-8.5)",1.627,1.303,1.464,Little Powder,penman
2040,"Moderating Emissions
(SSP1-2.6)",1.563,1.359,1.503,Little Powder,penman
2040,"Middle of the Road
(SSP2-4.5)",1.613,1.429,1.507,Little Powder,penman
2040,"High Emissions
(SSP3-7.0)",1.586,1.404,1.464,Little Powder,penman
2040,"Accelerating Emissions
(SSP5-8.5)",1.713,1.401,1.533,Little Powder,penman
2041,"Moderating Emissions
(SSP1-2.6)",1.539,1.329,1.462,Little Powder,penman
2041,"Middle of the Road
(SSP2-4.5)",1.579,1.384,1.481,Little Powder,penman
2041,"High Emissions
(SSP3-7.0)",1.514,1.359,1.461,Little Powder,penman
2041,"Accelerating Emissions
(SSP5-8.5)",1.56,1.384,1.451,Little Powder,penman
2042,"Moderating Emissions
(SSP1-2.6)",1.632,1.315,1.463,Little Powder,penman
2042,"Middle of the Road
(SSP2-4.5)",1.574,1.4,1.493,Little Powder,penman
2042,"High Emissions
(SSP3-7.0)",1.645,1.34,1.44,Little Powder,penman
2042,"Accelerating Emissions
(SSP5-8.5)",1.688,1.431,1.517,Little Powder,penman
2043,"Moderating Emissions
(SSP1-2.6)",1.571,1.334,1.471,Little Powder,penman
2043,"Middle of the Road
(SSP2-4.5)",1.593,1.341,1.483,Little Powder,penman
2043,"High Emissions
(SSP3-7.0)",1.614,1.269,1.45,Little Powder,penman
2043,"Accelerating Emissions
(SSP5-8.5)",1.631,1.369,1.454,Little Powder,penman
2044,"Moderating Emissions
(SSP1-2.6)",1.63,1.324,1.482,Little Powder,penman
2044,"Middle of the Road
(SSP2-4.5)",1.725,1.365,1.509,Little Powder,penman
2044,"High Emissions
(SSP3-7.0)",1.592,1.44,1.488,Little Powder,penman
2044,"Accelerating Emissions
(SSP5-8.5)",1.583,1.433,1.513,Little Powder,penman
2045,"Moderating Emissions
(SSP1-2.6)",1.552,1.323,1.428,Little Powder,penman
