year,scenario,upper,lower,value,location,variable
1950,Historical Emissions,1.145,1.054,1.081,Stillwater,penman
1951,Historical Emissions,1.145,1.037,1.083,Stillwater,penman
1952,Historical Emissions,1.129,1.035,1.073,Stillwater,penman
1953,Historical Emissions,1.12,1.035,1.098,Stillwater,penman
1954,Historical Emissions,1.126,1.005,1.084,Stillwater,penman
1955,Historical Emissions,1.157,1.04,1.059,Stillwater,penman
1956,Historical Emissions,1.197,1.036,1.083,Stillwater,penman
1957,Historical Emissions,1.162,1.001,1.04,Stillwater,penman
1958,Historical Emissions,1.096,1.003,1.068,Stillwater,penman
1959,Historical Emissions,1.086,1.015,1.051,Stillwater,penman
1960,Historical Emissions,1.112,1.023,1.037,Stillwater,penman
1961,Historical Emissions,1.104,1.028,1.076,Stillwater,penman
1962,Historical Emissions,1.105,0.985,1.079,Stillwater,penman
1963,Historical Emissions,1.061,1.015,1.039,Stillwater,penman
1964,Historical Emissions,1.091,1.002,1.065,Stillwater,penman
1965,Historical Emissions,1.103,1,1.081,Stillwater,penman
1966,Historical Emissions,1.126,1.002,1.045,Stillwater,penman
1967,Historical Emissions,1.113,1.015,1.057,Stillwater,penman
1968,Historical Emissions,1.072,0.996,1.04,Stillwater,penman
1969,Historical Emissions,1.086,1.022,1.064,Stillwater,penman
1970,Historical Emissions,1.088,1.027,1.048,Stillwater,penman
1971,Historical Emissions,1.179,1.043,1.075,Stillwater,penman
1972,Historical Emissions,1.117,1.008,1.072,Stillwater,penman
1973,Historical Emissions,1.155,1.003,1.041,Stillwater,penman
1974,Historical Emissions,1.1,0.982,1.068,Stillwater,penman
1975,Historical Emissions,1.107,1.035,1.064,Stillwater,penman
1976,Historical Emissions,1.098,1.034,1.054,Stillwater,penman
1977,Historical Emissions,1.171,1.023,1.053,Stillwater,penman
1978,Historical Emissions,1.104,1.02,1.074,Stillwater,penman
1979,Historical Emissions,1.146,1.013,1.077,Stillwater,penman
1980,Historical Emissions,1.143,0.988,1.101,Stillwater,penman
1981,Historical Emissions,1.129,1.036,1.088,Stillwater,penman
1982,Historical Emissions,1.113,1.036,1.078,Stillwater,penman
1983,Historical Emissions,1.093,1.023,1.049,Stillwater,penman
1984,Historical Emissions,1.121,1.019,1.067,Stillwater,penman
1985,Historical Emissions,1.131,1.034,1.093,Stillwater,penman
1986,Historical Emissions,1.078,0.99,1.053,Stillwater,penman
1987,Historical Emissions,1.143,0.999,1.038,Stillwater,penman
1988,Historical Emissions,1.108,1.019,1.044,Stillwater,penman
1989,Historical Emissions,1.137,1.039,1.074,Stillwater,penman
1990,Historical Emissions,1.168,1.039,1.118,Stillwater,penman
1991,Historical Emissions,1.157,1.007,1.069,Stillwater,penman
1992,Historical Emissions,1.119,1.011,1.051,Stillwater,penman
1993,Historical Emissions,1.1,1.039,1.048,Stillwater,penman
1994,Historical Emissions,1.174,1.017,1.055,Stillwater,penman
1995,Historical Emissions,1.156,1.052,1.094,Stillwater,penman
1996,Historical Emissions,1.2,1.086,1.145,Stillwater,penman
1997,Historical Emissions,1.132,1.043,1.074,Stillwater,penman
1998,Historical Emissions,1.134,1.048,1.112,Stillwater,penman
1999,Historical Emissions,1.12,1.029,1.091,Stillwater,penman
2000,Historical Emissions,1.163,1.064,1.104,Stillwater,penman
2001,Historical Emissions,1.143,1.056,1.111,Stillwater,penman
2002,Historical Emissions,1.191,1.073,1.106,Stillwater,penman
2003,Historical Emissions,1.187,1.081,1.157,Stillwater,penman
2004,Historical Emissions,1.181,1.094,1.131,Stillwater,penman
2005,Historical Emissions,1.217,1.088,1.164,Stillwater,penman
2006,Historical Emissions,1.158,1.06,1.117,Stillwater,penman
2007,Historical Emissions,1.147,1.076,1.109,Stillwater,penman
2008,Historical Emissions,1.173,1.081,1.11,Stillwater,penman
2009,Historical Emissions,1.151,1.068,1.115,Stillwater,penman
2010,Historical Emissions,1.178,1.085,1.121,Stillwater,penman
2011,Historical Emissions,1.17,1.063,1.124,Stillwater,penman
2012,Historical Emissions,1.159,1.111,1.148,Stillwater,penman
2013,Historical Emissions,1.203,1.102,1.142,Stillwater,penman
2014,Historical Emissions,1.206,1.106,1.133,Stillwater,penman
2015,"Moderating Emissions
(SSP1-2.6)",1.224,1.099,1.161,Stillwater,penman
2015,"Middle of the Road
(SSP2-4.5)",1.208,1.098,1.135,Stillwater,penman
2015,"High Emissions
(SSP3-7.0)",1.178,1.09,1.129,Stillwater,penman
2015,"Accelerating Emissions
(SSP5-8.5)",1.203,1.077,1.141,Stillwater,penman
2016,"Moderating Emissions
(SSP1-2.6)",1.171,1.123,1.151,Stillwater,penman
2016,"Middle of the Road
(SSP2-4.5)",1.171,1.072,1.126,Stillwater,penman
2016,"High Emissions
(SSP3-7.0)",1.232,1.089,1.139,Stillwater,penman
2016,"Accelerating Emissions
(SSP5-8.5)",1.229,1.073,1.118,Stillwater,penman
2017,"Moderating Emissions
(SSP1-2.6)",1.179,1.095,1.128,Stillwater,penman
2017,"Middle of the Road
(SSP2-4.5)",1.197,1.086,1.143,Stillwater,penman
2017,"High Emissions
(SSP3-7.0)",1.181,1.103,1.147,Stillwater,penman
2017,"Accelerating Emissions
(SSP5-8.5)",1.218,1.1,1.152,Stillwater,penman
2018,"Moderating Emissions
(SSP1-2.6)",1.167,1.076,1.123,Stillwater,penman
2018,"Middle of the Road
(SSP2-4.5)",1.185,1.075,1.126,Stillwater,penman
2018,"High Emissions
(SSP3-7.0)",1.152,1.04,1.101,Stillwater,penman
2018,"Accelerating Emissions
(SSP5-8.5)",1.201,1.059,1.121,Stillwater,penman
2019,"Moderating Emissions
(SSP1-2.6)",1.205,1.112,1.176,Stillwater,penman
2019,"Middle of the Road
(SSP2-4.5)",1.207,1.063,1.151,Stillwater,penman
2019,"High Emissions
(SSP3-7.0)",1.204,1.073,1.137,Stillwater,penman
2019,"Accelerating Emissions
(SSP5-8.5)",1.281,1.088,1.13,Stillwater,penman
2020,"Moderating Emissions
(SSP1-2.6)",1.238,1.083,1.125,Stillwater,penman
2020,"Middle of the Road
(SSP2-4.5)",1.206,1.072,1.157,Stillwater,penman
2020,"High Emissions
(SSP3-7.0)",1.192,1.069,1.11,Stillwater,penman
2020,"Accelerating Emissions
(SSP5-8.5)",1.193,1.084,1.131,Stillwater,penman
2021,"Moderating Emissions
(SSP1-2.6)",1.219,1.099,1.143,Stillwater,penman
2021,"Middle of the Road
(SSP2-4.5)",1.263,1.082,1.182,Stillwater,penman
2021,"High Emissions
(SSP3-7.0)",1.205,1.084,1.135,Stillwater,penman
2021,"Accelerating Emissions
(SSP5-8.5)",1.215,1.103,1.133,Stillwater,penman
2022,"Moderating Emissions
(SSP1-2.6)",1.189,1.093,1.167,Stillwater,penman
2022,"Middle of the Road
(SSP2-4.5)",1.218,1.082,1.162,Stillwater,penman
2022,"High Emissions
(SSP3-7.0)",1.164,1.08,1.11,Stillwater,penman
2022,"Accelerating Emissions
(SSP5-8.5)",1.234,1.102,1.141,Stillwater,penman
2023,"Moderating Emissions
(SSP1-2.6)",1.196,1.106,1.129,Stillwater,penman
2023,"Middle of the Road
(SSP2-4.5)",1.234,1.082,1.159,Stillwater,penman
2023,"High Emissions
(SSP3-7.0)",1.225,1.114,1.146,Stillwater,penman
2023,"Accelerating Emissions
(SSP5-8.5)",1.155,1.06,1.1,Stillwater,penman
2024,"Moderating Emissions
(SSP1-2.6)",1.227,1.092,1.142,Stillwater,penman
2024,"Middle of the Road
(SSP2-4.5)",1.182,1.119,1.145,Stillwater,penman
2024,"High Emissions
(SSP3-7.0)",1.256,1.105,1.175,Stillwater,penman
2024,"Accelerating Emissions
(SSP5-8.5)",1.208,1.084,1.149,Stillwater,penman
2025,"Moderating Emissions
(SSP1-2.6)",1.195,1.13,1.174,Stillwater,penman
2025,"Middle of the Road
(SSP2-4.5)",1.186,1.078,1.133,Stillwater,penman
2025,"High Emissions
(SSP3-7.0)",1.245,1.131,1.168,Stillwater,penman
2025,"Accelerating Emissions
(SSP5-8.5)",1.228,1.094,1.183,Stillwater,penman
2026,"Moderating Emissions
(SSP1-2.6)",1.207,1.099,1.162,Stillwater,penman
2026,"Middle of the Road
(SSP2-4.5)",1.248,1.124,1.18,Stillwater,penman
2026,"High Emissions
(SSP3-7.0)",1.17,1.079,1.118,Stillwater,penman
2026,"Accelerating Emissions
(SSP5-8.5)",1.253,1.091,1.135,Stillwater,penman
2027,"Moderating Emissions
(SSP1-2.6)",1.227,1.09,1.116,Stillwater,penman
2027,"Middle of the Road
(SSP2-4.5)",1.276,1.093,1.166,Stillwater,penman
2027,"High Emissions
(SSP3-7.0)",1.238,1.114,1.167,Stillwater,penman
2027,"Accelerating Emissions
(SSP5-8.5)",1.25,1.128,1.18,Stillwater,penman
2028,"Moderating Emissions
(SSP1-2.6)",1.252,1.097,1.14,Stillwater,penman
2028,"Middle of the Road
(SSP2-4.5)",1.156,1.104,1.128,Stillwater,penman
2028,"High Emissions
(SSP3-7.0)",1.189,1.144,1.163,Stillwater,penman
2028,"Accelerating Emissions
(SSP5-8.5)",1.226,1.102,1.134,Stillwater,penman
2029,"Moderating Emissions
(SSP1-2.6)",1.251,1.135,1.182,Stillwater,penman
2029,"Middle of the Road
(SSP2-4.5)",1.214,1.103,1.123,Stillwater,penman
2029,"High Emissions
(SSP3-7.0)",1.272,1.089,1.137,Stillwater,penman
2029,"Accelerating Emissions
(SSP5-8.5)",1.215,1.142,1.163,Stillwater,penman
2030,"Moderating Emissions
(SSP1-2.6)",1.208,1.129,1.154,Stillwater,penman
2030,"Middle of the Road
(SSP2-4.5)",1.266,1.151,1.187,Stillwater,penman
2030,"High Emissions
(SSP3-7.0)",1.254,1.11,1.14,Stillwater,penman
2030,"Accelerating Emissions
(SSP5-8.5)",1.246,1.115,1.15,Stillwater,penman
2031,"Moderating Emissions
(SSP1-2.6)",1.212,1.105,1.179,Stillwater,penman
2031,"Middle of the Road
(SSP2-4.5)",1.225,1.133,1.171,Stillwater,penman
2031,"High Emissions
(SSP3-7.0)",1.294,1.098,1.202,Stillwater,penman
2031,"Accelerating Emissions
(SSP5-8.5)",1.244,1.146,1.207,Stillwater,penman
2032,"Moderating Emissions
(SSP1-2.6)",1.228,1.081,1.176,Stillwater,penman
2032,"Middle of the Road
(SSP2-4.5)",1.236,1.095,1.132,Stillwater,penman
2032,"High Emissions
(SSP3-7.0)",1.262,1.086,1.2,Stillwater,penman
2032,"Accelerating Emissions
(SSP5-8.5)",1.253,1.085,1.144,Stillwater,penman
2033,"Moderating Emissions
(SSP1-2.6)",1.237,1.145,1.165,Stillwater,penman
2033,"Middle of the Road
(SSP2-4.5)",1.285,1.091,1.186,Stillwater,penman
2033,"High Emissions
(SSP3-7.0)",1.241,1.059,1.142,Stillwater,penman
2033,"Accelerating Emissions
(SSP5-8.5)",1.258,1.148,1.165,Stillwater,penman
2034,"Moderating Emissions
(SSP1-2.6)",1.233,1.105,1.174,Stillwater,penman
2034,"Middle of the Road
(SSP2-4.5)",1.223,1.102,1.162,Stillwater,penman
2034,"High Emissions
(SSP3-7.0)",1.287,1.093,1.198,Stillwater,penman
2034,"Accelerating Emissions
(SSP5-8.5)",1.286,1.066,1.173,Stillwater,penman
2035,"Moderating Emissions
(SSP1-2.6)",1.247,1.138,1.18,Stillwater,penman
2035,"Middle of the Road
(SSP2-4.5)",1.26,1.117,1.172,Stillwater,penman
2035,"High Emissions
(SSP3-7.0)",1.219,1.09,1.184,Stillwater,penman
2035,"Accelerating Emissions
(SSP5-8.5)",1.215,1.097,1.176,Stillwater,penman
2036,"Moderating Emissions
(SSP1-2.6)",1.23,1.111,1.178,Stillwater,penman
2036,"Middle of the Road
(SSP2-4.5)",1.249,1.097,1.182,Stillwater,penman
2036,"High Emissions
(SSP3-7.0)",1.232,1.107,1.162,Stillwater,penman
2036,"Accelerating Emissions
(SSP5-8.5)",1.222,1.072,1.158,Stillwater,penman
2037,"Moderating Emissions
(SSP1-2.6)",1.239,1.131,1.171,Stillwater,penman
2037,"Middle of the Road
(SSP2-4.5)",1.253,1.119,1.156,Stillwater,penman
2037,"High Emissions
(SSP3-7.0)",1.239,1.063,1.124,Stillwater,penman
2037,"Accelerating Emissions
(SSP5-8.5)",1.26,1.12,1.191,Stillwater,penman
2038,"Moderating Emissions
(SSP1-2.6)",1.21,1.141,1.163,Stillwater,penman
2038,"Middle of the Road
(SSP2-4.5)",1.221,1.122,1.153,Stillwater,penman
2038,"High Emissions
(SSP3-7.0)",1.234,1.129,1.188,Stillwater,penman
2038,"Accelerating Emissions
(SSP5-8.5)",1.239,1.092,1.175,Stillwater,penman
2039,"Moderating Emissions
(SSP1-2.6)",1.269,1.095,1.174,Stillwater,penman
2039,"Middle of the Road
(SSP2-4.5)",1.222,1.108,1.15,Stillwater,penman
2039,"High Emissions
(SSP3-7.0)",1.253,1.139,1.199,Stillwater,penman
2039,"Accelerating Emissions
(SSP5-8.5)",1.245,1.073,1.178,Stillwater,penman
2040,"Moderating Emissions
(SSP1-2.6)",1.244,1.111,1.18,Stillwater,penman
2040,"Middle of the Road
(SSP2-4.5)",1.244,1.131,1.192,Stillwater,penman
2040,"High Emissions
(SSP3-7.0)",1.243,1.128,1.16,Stillwater,penman
2040,"Accelerating Emissions
(SSP5-8.5)",1.278,1.126,1.207,Stillwater,penman
2041,"Moderating Emissions
(SSP1-2.6)",1.227,1.081,1.151,Stillwater,penman
2041,"Middle of the Road
(SSP2-4.5)",1.291,1.142,1.19,Stillwater,penman
2041,"High Emissions
(SSP3-7.0)",1.225,1.108,1.154,Stillwater,penman
2041,"Accelerating Emissions
(SSP5-8.5)",1.218,1.1,1.177,Stillwater,penman
2042,"Moderating Emissions
(SSP1-2.6)",1.306,1.084,1.134,Stillwater,penman
2042,"Middle of the Road
(SSP2-4.5)",1.231,1.1,1.181,Stillwater,penman
2042,"High Emissions
(SSP3-7.0)",1.204,1.136,1.174,Stillwater,penman
2042,"Accelerating Emissions
(SSP5-8.5)",1.283,1.127,1.227,Stillwater,penman
2043,"Moderating Emissions
(SSP1-2.6)",1.226,1.103,1.152,Stillwater,penman
2043,"Middle of the Road
(SSP2-4.5)",1.259,1.114,1.173,Stillwater,penman
2043,"High Emissions
(SSP3-7.0)",1.225,1.098,1.156,Stillwater,penman
2043,"Accelerating Emissions
(SSP5-8.5)",1.262,1.137,1.174,Stillwater,penman
2044,"Moderating Emissions
(SSP1-2.6)",1.246,1.117,1.194,Stillwater,penman
2044,"Middle of the Road
(SSP2-4.5)",1.327,1.142,1.182,Stillwater,penman
2044,"High Emissions
(SSP3-7.0)",1.243,1.131,1.201,Stillwater,penman
2044,"Accelerating Emissions
(SSP5-8.5)",1.274,1.168,1.231,Stillwater,penman
2045,"Moderating Emissions
(SSP1-2.6)",1.209,1.135,1.153,Stillwater,penman
2045,"Middle of the Road
(SSP2-4.5)",1.323,1.125,1.217,Stillwater,penman
2045,"High Emissions
(SSP3-7.0)",1.253,1.106,1.214,Stillwater,penman
2045,"Accelerating Emissions
(SSP5-8.5)",1.249,1.139,1.164,Stillwater,penman
2046,"Moderating Emissions
(SSP1-2.6)",1.241,1.137,1.184,Stillwater,penman
2046,"Middle of the Road
(SSP2-4.5)",1.247,1.11,1.164,Stillwater,penman
2046,"High Emissions
(SSP3-7.0)",1.228,1.117,1.197,Stillwater,penman
2046,"Accelerating Emissions
(SSP5-8.5)",1.277,1.08,1.161,Stillwater,penman
2047,"Moderating Emissions
(SSP1-2.6)",1.258,1.143,1.192,Stillwater,penman
2047,"Middle of the Road
(SSP2-4.5)",1.255,1.08,1.154,Stillwater,penman
2047,"High Emissions
(SSP3-7.0)",1.221,1.147,1.185,Stillwater,penman
2047,"Accelerating Emissions
(SSP5-8.5)",1.338,1.157,1.187,Stillwater,penman
2048,"Moderating Emissions
(SSP1-2.6)",1.227,1.125,1.165,Stillwater,penman
2048,"Middle of the Road
(SSP2-4.5)",1.264,1.138,1.165,Stillwater,penman
2048,"High Emissions
(SSP3-7.0)",1.29,1.127,1.172,Stillwater,penman
2048,"Accelerating Emissions
(SSP5-8.5)",1.384,1.104,1.291,Stillwater,penman
2049,"Moderating Emissions
(SSP1-2.6)",1.255,1.105,1.183,Stillwater,penman
2049,"Middle of the Road
(SSP2-4.5)",1.249,1.09,1.207,Stillwater,penman
2049,"High Emissions
(SSP3-7.0)",1.228,1.135,1.19,Stillwater,penman
2049,"Accelerating Emissions
(SSP5-8.5)",1.268,1.138,1.21,Stillwater,penman
2050,"Moderating Emissions
(SSP1-2.6)",1.271,1.096,1.162,Stillwater,penman
2050,"Middle of the Road
(SSP2-4.5)",1.299,1.134,1.22,Stillwater,penman
2050,"High Emissions
(SSP3-7.0)",1.248,1.16,1.206,Stillwater,penman
2050,"Accelerating Emissions
(SSP5-8.5)",1.319,1.136,1.213,Stillwater,penman
