scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Apr,Mid Century (2040-2069),0.103,0.083,0.092,Lower Flathead,penman
Historical Emissions,Aug,Mid Century (2040-2069),0.221,0.18,0.201,Lower Flathead,penman
Historical Emissions,Dec,Mid Century (2040-2069),0.015,0.009,0.012,Lower Flathead,penman
Historical Emissions,Feb,Mid Century (2040-2069),0.03,0.022,0.026,Lower Flathead,penman
Historical Emissions,Jan,Mid Century (2040-2069),0.017,0.011,0.014,Lower Flathead,penman
Historical Emissions,Jul,Mid Century (2040-2069),0.248,0.198,0.223,Lower Flathead,penman
Historical Emissions,Jun,Mid Century (2040-2069),0.204,0.156,0.178,Lower Flathead,penman
Historical Emissions,Mar,Mid Century (2040-2069),0.061,0.048,0.054,Lower Flathead,penman
Historical Emissions,May,Mid Century (2040-2069),0.16,0.121,0.136,Lower Flathead,penman
Historical Emissions,Nov,Mid Century (2040-2069),0.024,0.015,0.019,Lower Flathead,penman
Historical Emissions,Oct,Mid Century (2040-2069),0.076,0.049,0.061,Lower Flathead,penman
Historical Emissions,Sep,Mid Century (2040-2069),0.157,0.114,0.133,Lower Flathead,penman
Historical Emissions,Apr,End-of-Century (2070-2099),0.103,0.083,0.092,Lower Flathead,penman
Historical Emissions,Aug,End-of-Century (2070-2099),0.221,0.18,0.201,Lower Flathead,penman
Historical Emissions,Dec,End-of-Century (2070-2099),0.015,0.009,0.012,Lower Flathead,penman
Historical Emissions,Feb,End-of-Century (2070-2099),0.03,0.022,0.026,Lower Flathead,penman
Historical Emissions,Jan,End-of-Century (2070-2099),0.017,0.011,0.014,Lower Flathead,penman
Historical Emissions,Jul,End-of-Century (2070-2099),0.248,0.198,0.223,Lower Flathead,penman
Historical Emissions,Jun,End-of-Century (2070-2099),0.204,0.156,0.178,Lower Flathead,penman
Historical Emissions,Mar,End-of-Century (2070-2099),0.061,0.048,0.054,Lower Flathead,penman
Historical Emissions,May,End-of-Century (2070-2099),0.16,0.121,0.136,Lower Flathead,penman
Historical Emissions,Nov,End-of-Century (2070-2099),0.024,0.015,0.019,Lower Flathead,penman
Historical Emissions,Oct,End-of-Century (2070-2099),0.076,0.049,0.061,Lower Flathead,penman
Historical Emissions,Sep,End-of-Century (2070-2099),0.157,0.114,0.133,Lower Flathead,penman
"Moderating Emissions
(SSP1-2.6)",Apr,End-of-Century (2070-2099),0.111,0.09,0.096,Lower Flathead,penman
"Moderating Emissions
(SSP1-2.6)",Apr,Mid Century (2040-2069),0.112,0.086,0.098,Lower Flathead,penman
"Moderating Emissions
(SSP1-2.6)",Aug,End-of-Century (2070-2099),0.236,0.184,0.21,Lower Flathead,penman
"Moderating Emissions
(SSP1-2.6)",Aug,Mid Century (2040-2069),0.233,0.187,0.209,Lower Flathead,penman
"Moderating Emissions
(SSP1-2.6)",Dec,End-of-Century (2070-2099),0.019,0.008,0.011,Lower Flathead,penman
"Moderating Emissions
(SSP1-2.6)",Dec,Mid Century (2040-2069),0.017,0.01,0.013,Lower Flathead,penman
"Moderating Emissions
(SSP1-2.6)",Feb,End-of-Century (2070-2099),0.031,0.024,0.027,Lower Flathead,penman
"Moderating Emissions
(SSP1-2.6)",Feb,Mid Century (2040-2069),0.032,0.023,0.027,Lower Flathead,penman
"Moderating Emissions
(SSP1-2.6)",Jan,End-of-Century (2070-2099),0.017,0.012,0.015,Lower Flathead,penman
"Moderating Emissions
(SSP1-2.6)",Jan,Mid Century (2040-2069),0.018,0.011,0.014,Lower Flathead,penman
"Moderating Emissions
(SSP1-2.6)",Jul,End-of-Century (2070-2099),0.247,0.204,0.227,Lower Flathead,penman
"Moderating Emissions
(SSP1-2.6)",Jul,Mid Century (2040-2069),0.26,0.209,0.231,Lower Flathead,penman
"Moderating Emissions
(SSP1-2.6)",Jun,End-of-Century (2070-2099),0.194,0.158,0.181,Lower Flathead,penman
"Moderating Emissions
(SSP1-2.6)",Jun,Mid Century (2040-2069),0.213,0.163,0.186,Lower Flathead,penman
"Moderating Emissions
(SSP1-2.6)",Mar,End-of-Century (2070-2099),0.061,0.052,0.057,Lower Flathead,penman
"Moderating Emissions
(SSP1-2.6)",Mar,Mid Century (2040-2069),0.067,0.05,0.058,Lower Flathead,penman
"Moderating Emissions
(SSP1-2.6)",May,End-of-Century (2070-2099),0.165,0.13,0.146,Lower Flathead,penman
"Moderating Emissions
(SSP1-2.6)",May,Mid Century (2040-2069),0.158,0.125,0.143,Lower Flathead,penman
"Moderating Emissions
(SSP1-2.6)",Nov,End-of-Century (2070-2099),0.026,0.016,0.02,Lower Flathead,penman
"Moderating Emissions
(SSP1-2.6)",Nov,Mid Century (2040-2069),0.025,0.016,0.02,Lower Flathead,penman
"Moderating Emissions
(SSP1-2.6)",Oct,End-of-Century (2070-2099),0.078,0.05,0.055,Lower Flathead,penman
"Moderating Emissions
(SSP1-2.6)",Oct,Mid Century (2040-2069),0.08,0.051,0.065,Lower Flathead,penman
"Moderating Emissions
(SSP1-2.6)",Sep,End-of-Century (2070-2099),0.167,0.13,0.141,Lower Flathead,penman
"Moderating Emissions
(SSP1-2.6)",Sep,Mid Century (2040-2069),0.165,0.123,0.141,Lower Flathead,penman
"Middle of the Road
(SSP2-4.5)",Apr,End-of-Century (2070-2099),0.111,0.091,0.1,Lower Flathead,penman
"Middle of the Road
(SSP2-4.5)",Apr,Mid Century (2040-2069),0.109,0.087,0.097,Lower Flathead,penman
"Middle of the Road
(SSP2-4.5)",Aug,End-of-Century (2070-2099),0.244,0.195,0.216,Lower Flathead,penman
"Middle of the Road
(SSP2-4.5)",Aug,Mid Century (2040-2069),0.236,0.188,0.21,Lower Flathead,penman
"Middle of the Road
(SSP2-4.5)",Dec,End-of-Century (2070-2099),0.019,0.012,0.013,Lower Flathead,penman
"Middle of the Road
(SSP2-4.5)",Dec,Mid Century (2040-2069),0.017,0.009,0.012,Lower Flathead,penman
"Middle of the Road
(SSP2-4.5)",Feb,End-of-Century (2070-2099),0.037,0.024,0.03,Lower Flathead,penman
"Middle of the Road
(SSP2-4.5)",Feb,Mid Century (2040-2069),0.033,0.024,0.027,Lower Flathead,penman
"Middle of the Road
(SSP2-4.5)",Jan,End-of-Century (2070-2099),0.019,0.013,0.016,Lower Flathead,penman
"Middle of the Road
(SSP2-4.5)",Jan,Mid Century (2040-2069),0.019,0.012,0.015,Lower Flathead,penman
"Middle of the Road
(SSP2-4.5)",Jul,End-of-Century (2070-2099),0.265,0.221,0.239,Lower Flathead,penman
"Middle of the Road
(SSP2-4.5)",Jul,Mid Century (2040-2069),0.267,0.21,0.236,Lower Flathead,penman
"Middle of the Road
(SSP2-4.5)",Jun,End-of-Century (2070-2099),0.212,0.178,0.194,Lower Flathead,penman
"Middle of the Road
(SSP2-4.5)",Jun,Mid Century (2040-2069),0.213,0.165,0.185,Lower Flathead,penman
"Middle of the Road
(SSP2-4.5)",Mar,End-of-Century (2070-2099),0.072,0.052,0.059,Lower Flathead,penman
"Middle of the Road
(SSP2-4.5)",Mar,Mid Century (2040-2069),0.066,0.05,0.057,Lower Flathead,penman
"Middle of the Road
(SSP2-4.5)",May,End-of-Century (2070-2099),0.161,0.128,0.15,Lower Flathead,penman
"Middle of the Road
(SSP2-4.5)",May,Mid Century (2040-2069),0.166,0.125,0.142,Lower Flathead,penman
"Middle of the Road
(SSP2-4.5)",Nov,End-of-Century (2070-2099),0.028,0.015,0.021,Lower Flathead,penman
"Middle of the Road
(SSP2-4.5)",Nov,Mid Century (2040-2069),0.026,0.016,0.02,Lower Flathead,penman
"Middle of the Road
(SSP2-4.5)",Oct,End-of-Century (2070-2099),0.086,0.052,0.065,Lower Flathead,penman
"Middle of the Road
(SSP2-4.5)",Oct,Mid Century (2040-2069),0.081,0.052,0.065,Lower Flathead,penman
"Middle of the Road
(SSP2-4.5)",Sep,End-of-Century (2070-2099),0.173,0.124,0.15,Lower Flathead,penman
"Middle of the Road
(SSP2-4.5)",Sep,Mid Century (2040-2069),0.169,0.123,0.141,Lower Flathead,penman
"High Emissions
(SSP3-7.0)",Apr,End-of-Century (2070-2099),0.109,0.092,0.104,Lower Flathead,penman
"High Emissions
(SSP3-7.0)",Apr,Mid Century (2040-2069),0.108,0.085,0.096,Lower Flathead,penman
"High Emissions
(SSP3-7.0)",Aug,End-of-Century (2070-2099),0.263,0.216,0.234,Lower Flathead,penman
"High Emissions
(SSP3-7.0)",Aug,Mid Century (2040-2069),0.238,0.193,0.215,Lower Flathead,penman
"High Emissions
(SSP3-7.0)",Dec,End-of-Century (2070-2099),0.018,0.011,0.014,Lower Flathead,penman
"High Emissions
(SSP3-7.0)",Dec,Mid Century (2040-2069),0.018,0.01,0.013,Lower Flathead,penman
"High Emissions
(SSP3-7.0)",Feb,End-of-Century (2070-2099),0.035,0.025,0.029,Lower Flathead,penman
"High Emissions
(SSP3-7.0)",Feb,Mid Century (2040-2069),0.033,0.023,0.028,Lower Flathead,penman
"High Emissions
(SSP3-7.0)",Jan,End-of-Century (2070-2099),0.02,0.011,0.015,Lower Flathead,penman
"High Emissions
(SSP3-7.0)",Jan,Mid Century (2040-2069),0.02,0.011,0.015,Lower Flathead,penman
"High Emissions
(SSP3-7.0)",Jul,End-of-Century (2070-2099),0.302,0.234,0.259,Lower Flathead,penman
"High Emissions
(SSP3-7.0)",Jul,Mid Century (2040-2069),0.263,0.209,0.237,Lower Flathead,penman
"High Emissions
(SSP3-7.0)",Jun,End-of-Century (2070-2099),0.243,0.183,0.207,Lower Flathead,penman
"High Emissions
(SSP3-7.0)",Jun,Mid Century (2040-2069),0.216,0.166,0.186,Lower Flathead,penman
"High Emissions
(SSP3-7.0)",Mar,End-of-Century (2070-2099),0.07,0.056,0.059,Lower Flathead,penman
"High Emissions
(SSP3-7.0)",Mar,Mid Century (2040-2069),0.067,0.051,0.057,Lower Flathead,penman
"High Emissions
(SSP3-7.0)",May,End-of-Century (2070-2099),0.178,0.137,0.156,Lower Flathead,penman
"High Emissions
(SSP3-7.0)",May,Mid Century (2040-2069),0.164,0.126,0.144,Lower Flathead,penman
"High Emissions
(SSP3-7.0)",Nov,End-of-Century (2070-2099),0.032,0.019,0.022,Lower Flathead,penman
"High Emissions
(SSP3-7.0)",Nov,Mid Century (2040-2069),0.026,0.016,0.02,Lower Flathead,penman
"High Emissions
(SSP3-7.0)",Oct,End-of-Century (2070-2099),0.088,0.059,0.073,Lower Flathead,penman
"High Emissions
(SSP3-7.0)",Oct,Mid Century (2040-2069),0.083,0.054,0.066,Lower Flathead,penman
"High Emissions
(SSP3-7.0)",Sep,End-of-Century (2070-2099),0.193,0.141,0.161,Lower Flathead,penman
"High Emissions
(SSP3-7.0)",Sep,Mid Century (2040-2069),0.17,0.124,0.145,Lower Flathead,penman
"Accelerating Emissions
(SSP5-8.5)",Apr,End-of-Century (2070-2099),0.117,0.095,0.107,Lower Flathead,penman
"Accelerating Emissions
(SSP5-8.5)",Apr,Mid Century (2040-2069),0.112,0.087,0.097,Lower Flathead,penman
"Accelerating Emissions
(SSP5-8.5)",Aug,End-of-Century (2070-2099),0.268,0.22,0.238,Lower Flathead,penman
"Accelerating Emissions
(SSP5-8.5)",Aug,Mid Century (2040-2069),0.244,0.193,0.218,Lower Flathead,penman
"Accelerating Emissions
(SSP5-8.5)",Dec,End-of-Century (2070-2099),0.02,0.012,0.015,Lower Flathead,penman
"Accelerating Emissions
(SSP5-8.5)",Dec,Mid Century (2040-2069),0.018,0.01,0.013,Lower Flathead,penman
"Accelerating Emissions
(SSP5-8.5)",Feb,End-of-Century (2070-2099),0.036,0.027,0.031,Lower Flathead,penman
"Accelerating Emissions
(SSP5-8.5)",Feb,Mid Century (2040-2069),0.033,0.023,0.028,Lower Flathead,penman
"Accelerating Emissions
(SSP5-8.5)",Jan,End-of-Century (2070-2099),0.021,0.014,0.015,Lower Flathead,penman
"Accelerating Emissions
(SSP5-8.5)",Jan,Mid Century (2040-2069),0.019,0.012,0.015,Lower Flathead,penman
"Accelerating Emissions
(SSP5-8.5)",Jul,End-of-Century (2070-2099),0.306,0.244,0.262,Lower Flathead,penman
"Accelerating Emissions
(SSP5-8.5)",Jul,Mid Century (2040-2069),0.274,0.215,0.238,Lower Flathead,penman
"Accelerating Emissions
(SSP5-8.5)",Jun,End-of-Century (2070-2099),0.24,0.198,0.213,Lower Flathead,penman
"Accelerating Emissions
(SSP5-8.5)",Jun,Mid Century (2040-2069),0.226,0.169,0.193,Lower Flathead,penman
"Accelerating Emissions
(SSP5-8.5)",Mar,End-of-Century (2070-2099),0.073,0.057,0.063,Lower Flathead,penman
"Accelerating Emissions
(SSP5-8.5)",Mar,Mid Century (2040-2069),0.067,0.052,0.058,Lower Flathead,penman
"Accelerating Emissions
(SSP5-8.5)",May,End-of-Century (2070-2099),0.19,0.144,0.157,Lower Flathead,penman
"Accelerating Emissions
(SSP5-8.5)",May,Mid Century (2040-2069),0.169,0.128,0.148,Lower Flathead,penman
"Accelerating Emissions
(SSP5-8.5)",Nov,End-of-Century (2070-2099),0.032,0.018,0.026,Lower Flathead,penman
"Accelerating Emissions
(SSP5-8.5)",Nov,Mid Century (2040-2069),0.027,0.016,0.021,Lower Flathead,penman
"Accelerating Emissions
(SSP5-8.5)",Oct,End-of-Century (2070-2099),0.1,0.064,0.082,Lower Flathead,penman
"Accelerating Emissions
(SSP5-8.5)",Oct,Mid Century (2040-2069),0.086,0.054,0.067,Lower Flathead,penman
"Accelerating Emissions
(SSP5-8.5)",Sep,End-of-Century (2070-2099),0.206,0.136,0.162,Lower Flathead,penman
"Accelerating Emissions
(SSP5-8.5)",Sep,Mid Century (2040-2069),0.173,0.125,0.148,Lower Flathead,penman
