scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Apr,Mid Century (2040-2069),1.991,0.496,1.04,Garfield County,pr
Historical Emissions,Aug,Mid Century (2040-2069),2.141,0.235,0.908,Garfield County,pr
Historical Emissions,Dec,Mid Century (2040-2069),0.638,0.13,0.375,Garfield County,pr
Historical Emissions,Feb,Mid Century (2040-2069),0.481,0.108,0.252,Garfield County,pr
Historical Emissions,Jan,Mid Century (2040-2069),0.693,0.161,0.388,Garfield County,pr
Historical Emissions,Jul,Mid Century (2040-2069),2.602,0.457,1.278,Garfield County,pr
Historical Emissions,Jun,Mid Century (2040-2069),4.024,1.213,2.523,Garfield County,pr
Historical Emissions,Mar,Mid Century (2040-2069),0.73,0.162,0.393,Garfield County,pr
Historical Emissions,May,Mid Century (2040-2069),3.907,1.045,2.241,Garfield County,pr
Historical Emissions,Nov,Mid Century (2040-2069),0.819,0.127,0.381,Garfield County,pr
Historical Emissions,Oct,Mid Century (2040-2069),1.738,0.165,0.683,Garfield County,pr
Historical Emissions,Sep,Mid Century (2040-2069),2.208,0.232,0.908,Garfield County,pr
Historical Emissions,Apr,End-of-Century (2070-2099),1.991,0.496,1.04,Garfield County,pr
Historical Emissions,Aug,End-of-Century (2070-2099),2.141,0.235,0.908,Garfield County,pr
Historical Emissions,Dec,End-of-Century (2070-2099),0.638,0.13,0.375,Garfield County,pr
Historical Emissions,Feb,End-of-Century (2070-2099),0.481,0.108,0.252,Garfield County,pr
Historical Emissions,Jan,End-of-Century (2070-2099),0.693,0.161,0.388,Garfield County,pr
Historical Emissions,Jul,End-of-Century (2070-2099),2.602,0.457,1.278,Garfield County,pr
Historical Emissions,Jun,End-of-Century (2070-2099),4.024,1.213,2.523,Garfield County,pr
Historical Emissions,Mar,End-of-Century (2070-2099),0.73,0.162,0.393,Garfield County,pr
Historical Emissions,May,End-of-Century (2070-2099),3.907,1.045,2.241,Garfield County,pr
Historical Emissions,Nov,End-of-Century (2070-2099),0.819,0.127,0.381,Garfield County,pr
Historical Emissions,Oct,End-of-Century (2070-2099),1.738,0.165,0.683,Garfield County,pr
Historical Emissions,Sep,End-of-Century (2070-2099),2.208,0.232,0.908,Garfield County,pr
"Moderating Emissions
(SSP1-2.6)",Apr,End-of-Century (2070-2099),2.433,0.345,1.312,Garfield County,pr
"Moderating Emissions
(SSP1-2.6)",Apr,Mid Century (2040-2069),2.218,0.524,1.123,Garfield County,pr
"Moderating Emissions
(SSP1-2.6)",Aug,End-of-Century (2070-2099),2.556,0.3,1.106,Garfield County,pr
"Moderating Emissions
(SSP1-2.6)",Aug,Mid Century (2040-2069),2.09,0.211,0.949,Garfield County,pr
"Moderating Emissions
(SSP1-2.6)",Dec,End-of-Century (2070-2099),0.864,0.169,0.318,Garfield County,pr
"Moderating Emissions
(SSP1-2.6)",Dec,Mid Century (2040-2069),0.678,0.143,0.363,Garfield County,pr
"Moderating Emissions
(SSP1-2.6)",Feb,End-of-Century (2070-2099),0.533,0.189,0.282,Garfield County,pr
"Moderating Emissions
(SSP1-2.6)",Feb,Mid Century (2040-2069),0.566,0.086,0.288,Garfield County,pr
"Moderating Emissions
(SSP1-2.6)",Jan,End-of-Century (2070-2099),0.705,0.119,0.314,Garfield County,pr
"Moderating Emissions
(SSP1-2.6)",Jan,Mid Century (2040-2069),0.724,0.194,0.418,Garfield County,pr
"Moderating Emissions
(SSP1-2.6)",Jul,End-of-Century (2070-2099),2.623,0.607,1.36,Garfield County,pr
"Moderating Emissions
(SSP1-2.6)",Jul,Mid Century (2040-2069),2.766,0.473,1.431,Garfield County,pr
"Moderating Emissions
(SSP1-2.6)",Jun,End-of-Century (2070-2099),4.45,2.196,3.035,Garfield County,pr
"Moderating Emissions
(SSP1-2.6)",Jun,Mid Century (2040-2069),4.454,1.311,2.732,Garfield County,pr
"Moderating Emissions
(SSP1-2.6)",Mar,End-of-Century (2070-2099),0.946,0.288,0.534,Garfield County,pr
"Moderating Emissions
(SSP1-2.6)",Mar,Mid Century (2040-2069),0.813,0.216,0.435,Garfield County,pr
"Moderating Emissions
(SSP1-2.6)",May,End-of-Century (2070-2099),4.283,1.346,2.484,Garfield County,pr
"Moderating Emissions
(SSP1-2.6)",May,Mid Century (2040-2069),4.369,1.237,2.633,Garfield County,pr
"Moderating Emissions
(SSP1-2.6)",Nov,End-of-Century (2070-2099),1.114,0.243,0.627,Garfield County,pr
"Moderating Emissions
(SSP1-2.6)",Nov,Mid Century (2040-2069),0.95,0.109,0.413,Garfield County,pr
"Moderating Emissions
(SSP1-2.6)",Oct,End-of-Century (2070-2099),2.177,0.356,1.165,Garfield County,pr
"Moderating Emissions
(SSP1-2.6)",Oct,Mid Century (2040-2069),1.915,0.169,0.741,Garfield County,pr
"Moderating Emissions
(SSP1-2.6)",Sep,End-of-Century (2070-2099),1.862,0.312,0.865,Garfield County,pr
"Moderating Emissions
(SSP1-2.6)",Sep,Mid Century (2040-2069),2.4,0.184,0.831,Garfield County,pr
"Middle of the Road
(SSP2-4.5)",Apr,End-of-Century (2070-2099),2.308,0.527,1.349,Garfield County,pr
"Middle of the Road
(SSP2-4.5)",Apr,Mid Century (2040-2069),2.212,0.561,1.206,Garfield County,pr
"Middle of the Road
(SSP2-4.5)",Aug,End-of-Century (2070-2099),2.471,0.267,0.673,Garfield County,pr
"Middle of the Road
(SSP2-4.5)",Aug,Mid Century (2040-2069),2.054,0.194,0.825,Garfield County,pr
"Middle of the Road
(SSP2-4.5)",Dec,End-of-Century (2070-2099),0.925,0.091,0.39,Garfield County,pr
"Middle of the Road
(SSP2-4.5)",Dec,Mid Century (2040-2069),0.805,0.151,0.417,Garfield County,pr
"Middle of the Road
(SSP2-4.5)",Feb,End-of-Century (2070-2099),0.651,0.095,0.257,Garfield County,pr
"Middle of the Road
(SSP2-4.5)",Feb,Mid Century (2040-2069),0.544,0.114,0.289,Garfield County,pr
"Middle of the Road
(SSP2-4.5)",Jan,End-of-Century (2070-2099),0.663,0.144,0.43,Garfield County,pr
"Middle of the Road
(SSP2-4.5)",Jan,Mid Century (2040-2069),0.757,0.161,0.384,Garfield County,pr
"Middle of the Road
(SSP2-4.5)",Jul,End-of-Century (2070-2099),2.136,0.451,1.311,Garfield County,pr
"Middle of the Road
(SSP2-4.5)",Jul,Mid Century (2040-2069),2.71,0.409,1.229,Garfield County,pr
"Middle of the Road
(SSP2-4.5)",Jun,End-of-Century (2070-2099),3.539,0.922,2.511,Garfield County,pr
"Middle of the Road
(SSP2-4.5)",Jun,Mid Century (2040-2069),4.206,1.25,2.652,Garfield County,pr
"Middle of the Road
(SSP2-4.5)",Mar,End-of-Century (2070-2099),0.933,0.295,0.52,Garfield County,pr
"Middle of the Road
(SSP2-4.5)",Mar,Mid Century (2040-2069),0.851,0.19,0.44,Garfield County,pr
"Middle of the Road
(SSP2-4.5)",May,End-of-Century (2070-2099),3.749,1.702,2.124,Garfield County,pr
"Middle of the Road
(SSP2-4.5)",May,Mid Century (2040-2069),4.182,1.149,2.46,Garfield County,pr
"Middle of the Road
(SSP2-4.5)",Nov,End-of-Century (2070-2099),0.941,0.168,0.299,Garfield County,pr
"Middle of the Road
(SSP2-4.5)",Nov,Mid Century (2040-2069),0.909,0.141,0.41,Garfield County,pr
"Middle of the Road
(SSP2-4.5)",Oct,End-of-Century (2070-2099),1.845,0.322,0.868,Garfield County,pr
"Middle of the Road
(SSP2-4.5)",Oct,Mid Century (2040-2069),2.063,0.208,0.72,Garfield County,pr
"Middle of the Road
(SSP2-4.5)",Sep,End-of-Century (2070-2099),2.298,0.316,0.696,Garfield County,pr
"Middle of the Road
(SSP2-4.5)",Sep,Mid Century (2040-2069),2.197,0.228,0.857,Garfield County,pr
"High Emissions
(SSP3-7.0)",Apr,End-of-Century (2070-2099),2.631,0.587,1.554,Garfield County,pr
"High Emissions
(SSP3-7.0)",Apr,Mid Century (2040-2069),2.197,0.637,1.26,Garfield County,pr
"High Emissions
(SSP3-7.0)",Aug,End-of-Century (2070-2099),1.793,0.129,0.597,Garfield County,pr
"High Emissions
(SSP3-7.0)",Aug,Mid Century (2040-2069),2.06,0.19,0.819,Garfield County,pr
"High Emissions
(SSP3-7.0)",Dec,End-of-Century (2070-2099),0.628,0.189,0.381,Garfield County,pr
