year,scenario,upper,lower,value,location,variable
1950,Historical Emissions,18.962,12.165,15.928,Glacier County,pr
1951,Historical Emissions,19.364,12.964,14.908,Glacier County,pr
1952,Historical Emissions,21.223,14.983,17.05,Glacier County,pr
1953,Historical Emissions,18.562,15.808,16.746,Glacier County,pr
1954,Historical Emissions,21.316,16.845,19.919,Glacier County,pr
1955,Historical Emissions,21.334,12.753,16.85,Glacier County,pr
1956,Historical Emissions,20.833,14.119,16.213,Glacier County,pr
1957,Historical Emissions,22.501,15.018,18.185,Glacier County,pr
1958,Historical Emissions,22.96,16.419,18.607,Glacier County,pr
1959,Historical Emissions,20.882,14.878,16.993,Glacier County,pr
1960,Historical Emissions,20.849,14.474,17.268,Glacier County,pr
1961,Historical Emissions,21.418,13.892,14.663,Glacier County,pr
1962,Historical Emissions,23.643,13.439,17.292,Glacier County,pr
1963,Historical Emissions,21.305,15.126,18.321,Glacier County,pr
1964,Historical Emissions,18.668,12.749,15.154,Glacier County,pr
1965,Historical Emissions,19.322,13.83,17.595,Glacier County,pr
1966,Historical Emissions,22.882,16.124,18.244,Glacier County,pr
1967,Historical Emissions,20.647,13.295,17.396,Glacier County,pr
1968,Historical Emissions,20.72,18.169,18.8,Glacier County,pr
1969,Historical Emissions,18.95,13.992,15.859,Glacier County,pr
1970,Historical Emissions,21.833,13.152,17.708,Glacier County,pr
1971,Historical Emissions,19.871,11.455,16.559,Glacier County,pr
1972,Historical Emissions,22.546,14.87,17.056,Glacier County,pr
1973,Historical Emissions,19.09,16.42,17.858,Glacier County,pr
1974,Historical Emissions,22.615,13.109,15.994,Glacier County,pr
1975,Historical Emissions,19.754,14.995,17.13,Glacier County,pr
1976,Historical Emissions,23.712,14.689,15.91,Glacier County,pr
1977,Historical Emissions,22.162,14.56,17.71,Glacier County,pr
1978,Historical Emissions,20.566,16.29,18.799,Glacier County,pr
1979,Historical Emissions,23.715,14.513,17.328,Glacier County,pr
1980,Historical Emissions,20.651,13.373,16.878,Glacier County,pr
1981,Historical Emissions,20.71,15.451,17.35,Glacier County,pr
1982,Historical Emissions,20.43,14.898,19.323,Glacier County,pr
1983,Historical Emissions,19.918,15.579,18.55,Glacier County,pr
1984,Historical Emissions,22.399,14.622,16.338,Glacier County,pr
1985,Historical Emissions,20.124,15.837,17.318,Glacier County,pr
1986,Historical Emissions,20.948,16.552,18.468,Glacier County,pr
1987,Historical Emissions,20.429,14.523,18.497,Glacier County,pr
1988,Historical Emissions,20.44,15.146,16.8,Glacier County,pr
1989,Historical Emissions,21.969,14.351,17.221,Glacier County,pr
1990,Historical Emissions,22.711,15.185,18.058,Glacier County,pr
1991,Historical Emissions,24.884,13.64,16.535,Glacier County,pr
1992,Historical Emissions,18.779,11.321,16.927,Glacier County,pr
1993,Historical Emissions,19.653,16.18,18.188,Glacier County,pr
1994,Historical Emissions,21.82,11.669,16.444,Glacier County,pr
