scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Apr,Mid Century (2040-2069),2.495,0.943,1.629,Mineral County,pr
Historical Emissions,Aug,Mid Century (2040-2069),1.77,0.173,0.753,Mineral County,pr
Historical Emissions,Dec,Mid Century (2040-2069),4.011,0.957,2.335,Mineral County,pr
Historical Emissions,Feb,Mid Century (2040-2069),3.298,0.83,1.896,Mineral County,pr
Historical Emissions,Jan,Mid Century (2040-2069),4.366,1.112,2.483,Mineral County,pr
Historical Emissions,Jul,Mid Century (2040-2069),1.572,0.19,0.727,Mineral County,pr
Historical Emissions,Jun,Mid Century (2040-2069),3.468,1.053,2.03,Mineral County,pr
Historical Emissions,Mar,Mid Century (2040-2069),3.03,0.947,1.838,Mineral County,pr
Historical Emissions,May,Mid Century (2040-2069),3.217,1.192,2.081,Mineral County,pr
Historical Emissions,Nov,Mid Century (2040-2069),4.189,1.103,2.446,Mineral County,pr
Historical Emissions,Oct,Mid Century (2040-2069),2.886,0.616,1.631,Mineral County,pr
Historical Emissions,Sep,Mid Century (2040-2069),2.403,0.333,1.141,Mineral County,pr
Historical Emissions,Apr,End-of-Century (2070-2099),2.495,0.943,1.629,Mineral County,pr
Historical Emissions,Aug,End-of-Century (2070-2099),1.77,0.173,0.753,Mineral County,pr
Historical Emissions,Dec,End-of-Century (2070-2099),4.011,0.957,2.335,Mineral County,pr
Historical Emissions,Feb,End-of-Century (2070-2099),3.298,0.83,1.896,Mineral County,pr
Historical Emissions,Jan,End-of-Century (2070-2099),4.366,1.112,2.483,Mineral County,pr
Historical Emissions,Jul,End-of-Century (2070-2099),1.572,0.19,0.727,Mineral County,pr
Historical Emissions,Jun,End-of-Century (2070-2099),3.468,1.053,2.03,Mineral County,pr
Historical Emissions,Mar,End-of-Century (2070-2099),3.03,0.947,1.838,Mineral County,pr
Historical Emissions,May,End-of-Century (2070-2099),3.217,1.192,2.081,Mineral County,pr
Historical Emissions,Nov,End-of-Century (2070-2099),4.189,1.103,2.446,Mineral County,pr
Historical Emissions,Oct,End-of-Century (2070-2099),2.886,0.616,1.631,Mineral County,pr
Historical Emissions,Sep,End-of-Century (2070-2099),2.403,0.333,1.141,Mineral County,pr
"Moderating Emissions
(SSP1-2.6)",Apr,End-of-Century (2070-2099),2.595,1.035,1.906,Mineral County,pr
"Moderating Emissions
(SSP1-2.6)",Apr,Mid Century (2040-2069),2.503,1.064,1.724,Mineral County,pr
"Moderating Emissions
(SSP1-2.6)",Aug,End-of-Century (2070-2099),1.223,0.072,0.589,Mineral County,pr
"Moderating Emissions
(SSP1-2.6)",Aug,Mid Century (2040-2069),1.656,0.179,0.686,Mineral County,pr
"Moderating Emissions
(SSP1-2.6)",Dec,End-of-Century (2070-2099),4.221,0.967,2.399,Mineral County,pr
"Moderating Emissions
(SSP1-2.6)",Dec,Mid Century (2040-2069),4.385,1.267,2.507,Mineral County,pr
"Moderating Emissions
(SSP1-2.6)",Feb,End-of-Century (2070-2099),3.664,0.736,2.016,Mineral County,pr
"Moderating Emissions
(SSP1-2.6)",Feb,Mid Century (2040-2069),3.502,0.767,1.896,Mineral County,pr
"Moderating Emissions
(SSP1-2.6)",Jan,End-of-Century (2070-2099),4.193,1.259,2.337,Mineral County,pr
"Moderating Emissions
(SSP1-2.6)",Jan,Mid Century (2040-2069),4.172,1.153,2.57,Mineral County,pr
"Moderating Emissions
(SSP1-2.6)",Jul,End-of-Century (2070-2099),2.065,0.16,0.921,Mineral County,pr
"Moderating Emissions
(SSP1-2.6)",Jul,Mid Century (2040-2069),1.72,0.129,0.695,Mineral County,pr
"Moderating Emissions
(SSP1-2.6)",Jun,End-of-Century (2070-2099),3.429,1.583,2.872,Mineral County,pr
"Moderating Emissions
(SSP1-2.6)",Jun,Mid Century (2040-2069),3.467,1.034,2.108,Mineral County,pr
"Moderating Emissions
(SSP1-2.6)",Mar,End-of-Century (2070-2099),2.814,1.596,2.099,Mineral County,pr
"Moderating Emissions
(SSP1-2.6)",Mar,Mid Century (2040-2069),3.206,1.032,1.97,Mineral County,pr
"Moderating Emissions
(SSP1-2.6)",May,End-of-Century (2070-2099),3.573,1.827,2.856,Mineral County,pr
"Moderating Emissions
(SSP1-2.6)",May,Mid Century (2040-2069),3.679,1.458,2.493,Mineral County,pr
"Moderating Emissions
(SSP1-2.6)",Nov,End-of-Century (2070-2099),4.465,1.57,2.561,Mineral County,pr
"Moderating Emissions
(SSP1-2.6)",Nov,Mid Century (2040-2069),4.378,1.304,2.548,Mineral County,pr
"Moderating Emissions
(SSP1-2.6)",Oct,End-of-Century (2070-2099),3.87,0.643,2.179,Mineral County,pr
"Moderating Emissions
(SSP1-2.6)",Oct,Mid Century (2040-2069),3.091,0.642,1.722,Mineral County,pr
"Moderating Emissions
(SSP1-2.6)",Sep,End-of-Century (2070-2099),2.021,0.143,1.145,Mineral County,pr
"Moderating Emissions
(SSP1-2.6)",Sep,Mid Century (2040-2069),2.277,0.238,1.113,Mineral County,pr
"Middle of the Road
(SSP2-4.5)",Apr,End-of-Century (2070-2099),2.877,1.377,2.066,Mineral County,pr
"Middle of the Road
(SSP2-4.5)",Apr,Mid Century (2040-2069),2.662,1.019,1.745,Mineral County,pr
"Middle of the Road
(SSP2-4.5)",Aug,End-of-Century (2070-2099),2.037,0.09,0.517,Mineral County,pr
"Middle of the Road
(SSP2-4.5)",Aug,Mid Century (2040-2069),1.807,0.147,0.651,Mineral County,pr
"Middle of the Road
(SSP2-4.5)",Dec,End-of-Century (2070-2099),4.27,1.645,2.844,Mineral County,pr
"Middle of the Road
(SSP2-4.5)",Dec,Mid Century (2040-2069),4.345,1.26,2.542,Mineral County,pr
