year,scenario,upper,lower,value,location,variable
1950,Historical Emissions,15.922,9.089,10.884,Valley County,pr
1951,Historical Emissions,13.205,7.613,11.35,Valley County,pr
1952,Historical Emissions,13.652,9.086,11.066,Valley County,pr
1953,Historical Emissions,14.794,10.394,11.493,Valley County,pr
1954,Historical Emissions,15.853,11.572,13.639,Valley County,pr
1955,Historical Emissions,16.742,7.601,12.606,Valley County,pr
1956,Historical Emissions,14.47,7.986,9.738,Valley County,pr
1957,Historical Emissions,15.907,7.288,13.199,Valley County,pr
1958,Historical Emissions,16.689,11.94,14.075,Valley County,pr
1959,Historical Emissions,16.837,9.378,13.101,Valley County,pr
1960,Historical Emissions,15.931,9.496,12.197,Valley County,pr
1961,Historical Emissions,15.452,11.12,13.415,Valley County,pr
1962,Historical Emissions,17.312,9.993,13.812,Valley County,pr
1963,Historical Emissions,15.122,10.914,11.537,Valley County,pr
1964,Historical Emissions,15.063,8.123,11.343,Valley County,pr
1965,Historical Emissions,13.351,9.184,11.725,Valley County,pr
1966,Historical Emissions,16.346,10.4,13.939,Valley County,pr
1967,Historical Emissions,13.994,10.023,12.258,Valley County,pr
1968,Historical Emissions,15.804,10.893,12.872,Valley County,pr
1969,Historical Emissions,16.072,8.24,10.795,Valley County,pr
1970,Historical Emissions,15.963,10.761,11.375,Valley County,pr
1971,Historical Emissions,14.987,10.601,12.326,Valley County,pr
1972,Historical Emissions,14.661,8.856,12.354,Valley County,pr
1973,Historical Emissions,14.956,9.008,11.714,Valley County,pr
1974,Historical Emissions,14.7,9.458,12.084,Valley County,pr
1975,Historical Emissions,13.849,10.976,11.672,Valley County,pr
1976,Historical Emissions,15.487,11.525,12.762,Valley County,pr
1977,Historical Emissions,17.871,9.74,10.959,Valley County,pr
1978,Historical Emissions,17.483,12.74,15.369,Valley County,pr
1979,Historical Emissions,15.897,8.998,13.129,Valley County,pr
1980,Historical Emissions,17.606,8.715,11.213,Valley County,pr
1981,Historical Emissions,16.479,9.153,14.286,Valley County,pr
1982,Historical Emissions,15.957,9.585,11.186,Valley County,pr
1983,Historical Emissions,16.176,10.367,13.425,Valley County,pr
1984,Historical Emissions,14.177,9.724,12.314,Valley County,pr
1985,Historical Emissions,15.236,10.44,12.027,Valley County,pr
