scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Apr,Mid Century (2040-2069),3.033,1.075,1.955,Gallatin,pr
Historical Emissions,Aug,Mid Century (2040-2069),2.755,0.375,1.262,Gallatin,pr
Historical Emissions,Dec,Mid Century (2040-2069),2.393,0.578,1.339,Gallatin,pr
Historical Emissions,Feb,Mid Century (2040-2069),2.041,0.517,1.084,Gallatin,pr
Historical Emissions,Jan,Mid Century (2040-2069),2.618,0.643,1.481,Gallatin,pr
Historical Emissions,Jul,Mid Century (2040-2069),2.649,0.27,1.259,Gallatin,pr
Historical Emissions,Jun,Mid Century (2040-2069),4.807,1.408,2.994,Gallatin,pr
Historical Emissions,Mar,Mid Century (2040-2069),2.378,0.851,1.494,Gallatin,pr
Historical Emissions,May,Mid Century (2040-2069),4.59,1.642,2.983,Gallatin,pr
Historical Emissions,Nov,Mid Century (2040-2069),2.435,0.708,1.481,Gallatin,pr
Historical Emissions,Oct,Mid Century (2040-2069),2.818,0.562,1.39,Gallatin,pr
Historical Emissions,Sep,Mid Century (2040-2069),3.118,0.483,1.592,Gallatin,pr
Historical Emissions,Apr,End-of-Century (2070-2099),3.033,1.075,1.955,Gallatin,pr
Historical Emissions,Aug,End-of-Century (2070-2099),2.755,0.375,1.262,Gallatin,pr
Historical Emissions,Dec,End-of-Century (2070-2099),2.393,0.578,1.339,Gallatin,pr
Historical Emissions,Feb,End-of-Century (2070-2099),2.041,0.517,1.084,Gallatin,pr
Historical Emissions,Jan,End-of-Century (2070-2099),2.618,0.643,1.481,Gallatin,pr
Historical Emissions,Jul,End-of-Century (2070-2099),2.649,0.27,1.259,Gallatin,pr
Historical Emissions,Jun,End-of-Century (2070-2099),4.807,1.408,2.994,Gallatin,pr
Historical Emissions,Mar,End-of-Century (2070-2099),2.378,0.851,1.494,Gallatin,pr
Historical Emissions,May,End-of-Century (2070-2099),4.59,1.642,2.983,Gallatin,pr
Historical Emissions,Nov,End-of-Century (2070-2099),2.435,0.708,1.481,Gallatin,pr
Historical Emissions,Oct,End-of-Century (2070-2099),2.818,0.562,1.39,Gallatin,pr
Historical Emissions,Sep,End-of-Century (2070-2099),3.118,0.483,1.592,Gallatin,pr
"Moderating Emissions
(SSP1-2.6)",Apr,End-of-Century (2070-2099),3.329,1.136,2.44,Gallatin,pr
"Moderating Emissions
(SSP1-2.6)",Apr,Mid Century (2040-2069),3.545,1.3,2.211,Gallatin,pr
"Moderating Emissions
(SSP1-2.6)",Aug,End-of-Century (2070-2099),2.606,0.358,1.502,Gallatin,pr
"Moderating Emissions
(SSP1-2.6)",Aug,Mid Century (2040-2069),3.082,0.363,1.283,Gallatin,pr
"Moderating Emissions
(SSP1-2.6)",Dec,End-of-Century (2070-2099),2.175,0.52,1.588,Gallatin,pr
"Moderating Emissions
(SSP1-2.6)",Dec,Mid Century (2040-2069),2.655,0.671,1.451,Gallatin,pr
"Moderating Emissions
(SSP1-2.6)",Feb,End-of-Century (2070-2099),1.945,0.55,0.95,Gallatin,pr
"Moderating Emissions
(SSP1-2.6)",Feb,Mid Century (2040-2069),2.042,0.527,1.177,Gallatin,pr
"Moderating Emissions
(SSP1-2.6)",Jan,End-of-Century (2070-2099),1.993,0.619,1.177,Gallatin,pr
"Moderating Emissions
(SSP1-2.6)",Jan,Mid Century (2040-2069),2.763,0.736,1.422,Gallatin,pr
"Moderating Emissions
(SSP1-2.6)",Jul,End-of-Century (2070-2099),2.485,0.315,1.492,Gallatin,pr
"Moderating Emissions
(SSP1-2.6)",Jul,Mid Century (2040-2069),3.166,0.351,1.31,Gallatin,pr
"Moderating Emissions
(SSP1-2.6)",Jun,End-of-Century (2070-2099),5.061,2.041,3.523,Gallatin,pr
"Moderating Emissions
(SSP1-2.6)",Jun,Mid Century (2040-2069),5.381,1.432,2.945,Gallatin,pr
"Moderating Emissions
(SSP1-2.6)",Mar,End-of-Century (2070-2099),2.434,0.927,1.69,Gallatin,pr
"Moderating Emissions
(SSP1-2.6)",Mar,Mid Century (2040-2069),2.661,0.972,1.616,Gallatin,pr
"Moderating Emissions
(SSP1-2.6)",May,End-of-Century (2070-2099),5.531,2.429,4.133,Gallatin,pr
"Moderating Emissions
(SSP1-2.6)",May,Mid Century (2040-2069),5.349,1.82,3.551,Gallatin,pr
"Moderating Emissions
(SSP1-2.6)",Nov,End-of-Century (2070-2099),2.672,1.041,1.594,Gallatin,pr
