year,scenario,upper,lower,value,location,variable
1950,Historical Emissions,14.273,9.302,10.249,Peoples,pr
1951,Historical Emissions,13.943,8.999,11.634,Peoples,pr
1952,Historical Emissions,13.979,10.311,12.558,Peoples,pr
1953,Historical Emissions,15.563,10.63,12.732,Peoples,pr
1954,Historical Emissions,17.919,12.825,14.009,Peoples,pr
1955,Historical Emissions,17.712,7.202,14.038,Peoples,pr
1956,Historical Emissions,15.646,8.815,10.392,Peoples,pr
1957,Historical Emissions,16.603,9.141,14.901,Peoples,pr
1958,Historical Emissions,17.398,13.419,16.147,Peoples,pr
1959,Historical Emissions,17.42,10.709,14.913,Peoples,pr
1960,Historical Emissions,17.282,10.294,12.467,Peoples,pr
1961,Historical Emissions,16.257,11.087,13.781,Peoples,pr
1962,Historical Emissions,18.137,10.156,15.21,Peoples,pr
1963,Historical Emissions,17.05,11.845,13.151,Peoples,pr
1964,Historical Emissions,14.818,8.22,12.802,Peoples,pr
1965,Historical Emissions,14.12,11.297,12.34,Peoples,pr
1966,Historical Emissions,16.265,10.554,14.848,Peoples,pr
1967,Historical Emissions,16.218,10.288,12.765,Peoples,pr
1968,Historical Emissions,17.764,12.021,13.929,Peoples,pr
1969,Historical Emissions,15.56,9.243,12.076,Peoples,pr
1970,Historical Emissions,16.814,10.548,12.559,Peoples,pr
1971,Historical Emissions,14.887,9.812,12.398,Peoples,pr
1972,Historical Emissions,14.985,11.002,12.935,Peoples,pr
1973,Historical Emissions,15.906,10.133,13.294,Peoples,pr
1974,Historical Emissions,16.421,9.891,11.88,Peoples,pr
1975,Historical Emissions,15.363,12.046,12.946,Peoples,pr
1976,Historical Emissions,16.206,11.368,13.567,Peoples,pr
1977,Historical Emissions,18.474,10.273,13.261,Peoples,pr
1978,Historical Emissions,18.215,13.338,16.48,Peoples,pr
1979,Historical Emissions,17.598,10.851,13.967,Peoples,pr
1980,Historical Emissions,16.3,9.927,13.53,Peoples,pr
1981,Historical Emissions,17.179,9.845,14.338,Peoples,pr
1982,Historical Emissions,16.474,10.176,11.839,Peoples,pr
1983,Historical Emissions,17.22,11.147,13.205,Peoples,pr
1984,Historical Emissions,15.724,10.628,14.028,Peoples,pr
1985,Historical Emissions,15.76,9.785,13.176,Peoples,pr
1986,Historical Emissions,16.875,12.931,14.477,Peoples,pr
1987,Historical Emissions,15.754,10.468,14.701,Peoples,pr
1988,Historical Emissions,17.794,12.505,14.473,Peoples,pr
1989,Historical Emissions,16.611,12.029,13.484,Peoples,pr
1990,Historical Emissions,18.488,8.086,13.853,Peoples,pr
1991,Historical Emissions,17.526,8.634,11.308,Peoples,pr
1992,Historical Emissions,14.395,8.846,12.914,Peoples,pr
1993,Historical Emissions,17.982,11.604,14.617,Peoples,pr
1994,Historical Emissions,14.655,8.977,10.946,Peoples,pr
1995,Historical Emissions,15.781,9.203,10.415,Peoples,pr
1996,Historical Emissions,15.202,7.096,10.553,Peoples,pr
1997,Historical Emissions,16.96,10.403,12.522,Peoples,pr
1998,Historical Emissions,19.213,10.788,14.24,Peoples,pr
1999,Historical Emissions,17.744,11.232,14.112,Peoples,pr
2000,Historical Emissions,16.003,9.573,12.985,Peoples,pr
2001,Historical Emissions,16.801,10.082,12.313,Peoples,pr
2002,Historical Emissions,18.094,11.903,14.415,Peoples,pr
2003,Historical Emissions,15.138,10.052,12.774,Peoples,pr
2004,Historical Emissions,14.518,9.414,12.356,Peoples,pr
2005,Historical Emissions,15.857,10.222,12.277,Peoples,pr
2006,Historical Emissions,19.039,11.652,15.6,Peoples,pr
2007,Historical Emissions,15.189,11.088,13.745,Peoples,pr
2008,Historical Emissions,15.402,11.214,12.807,Peoples,pr
2009,Historical Emissions,18.522,11.38,14.338,Peoples,pr
2010,Historical Emissions,15.635,10.163,12.335,Peoples,pr
2011,Historical Emissions,19.445,11.187,13.114,Peoples,pr
2012,Historical Emissions,15.85,8.79,11.25,Peoples,pr
2013,Historical Emissions,16.425,8.878,11.53,Peoples,pr
2014,Historical Emissions,15.214,9.86,13.094,Peoples,pr
2015,"Moderating Emissions
(SSP1-2.6)",16.515,10.453,12.704,Peoples,pr
2015,"Middle of the Road
(SSP2-4.5)",17.058,9.05,13.068,Peoples,pr
2015,"High Emissions
(SSP3-7.0)",18.102,9.118,11.315,Peoples,pr
2015,"Accelerating Emissions
(SSP5-8.5)",14.527,10.611,12.202,Peoples,pr
2016,"Moderating Emissions
(SSP1-2.6)",15.437,9.926,13.577,Peoples,pr
2016,"Middle of the Road
(SSP2-4.5)",17.592,11.873,16.035,Peoples,pr
2016,"High Emissions
(SSP3-7.0)",16.624,8.907,12.055,Peoples,pr
2016,"Accelerating Emissions
(SSP5-8.5)",16.977,11.358,14.808,Peoples,pr
2017,"Moderating Emissions
(SSP1-2.6)",17.286,13.348,15.966,Peoples,pr
2017,"Middle of the Road
(SSP2-4.5)",18.053,9.932,13.035,Peoples,pr
2017,"High Emissions
(SSP3-7.0)",17.024,12.452,14.351,Peoples,pr
2017,"Accelerating Emissions
(SSP5-8.5)",15.057,11.602,12.954,Peoples,pr
2018,"Moderating Emissions
(SSP1-2.6)",16.533,10.942,14.252,Peoples,pr
2018,"Middle of the Road
(SSP2-4.5)",15.843,8.965,12.14,Peoples,pr
2018,"High Emissions
(SSP3-7.0)",19.039,12.558,15.233,Peoples,pr
2018,"Accelerating Emissions
(SSP5-8.5)",17.688,11.545,15.393,Peoples,pr
2019,"Moderating Emissions
(SSP1-2.6)",14.351,9.401,12.16,Peoples,pr
2019,"Middle of the Road
(SSP2-4.5)",16.27,9.934,11.826,Peoples,pr
2019,"High Emissions
(SSP3-7.0)",15.671,12.381,13.724,Peoples,pr
