scenario,month,grp,upper,lower,value,location,variable
Historical Emissions,Apr,Mid Century (2040-2069),2.749,0.732,1.521,Boxelder,pr
Historical Emissions,Aug,Mid Century (2040-2069),2.533,0.273,1.138,Boxelder,pr
Historical Emissions,Dec,Mid Century (2040-2069),0.733,0.139,0.391,Boxelder,pr
Historical Emissions,Feb,Mid Century (2040-2069),0.721,0.161,0.373,Boxelder,pr
Historical Emissions,Jan,Mid Century (2040-2069),0.739,0.153,0.393,Boxelder,pr
Historical Emissions,Jul,Mid Century (2040-2069),3.076,0.597,1.573,Boxelder,pr
Historical Emissions,Jun,Mid Century (2040-2069),4.839,1.468,2.97,Boxelder,pr
Historical Emissions,Mar,Mid Century (2040-2069),1.331,0.296,0.632,Boxelder,pr
Historical Emissions,May,Mid Century (2040-2069),4.515,1.304,2.764,Boxelder,pr
Historical Emissions,Nov,Mid Century (2040-2069),1.108,0.154,0.516,Boxelder,pr
Historical Emissions,Oct,Mid Century (2040-2069),2.258,0.248,0.903,Boxelder,pr
Historical Emissions,Sep,Mid Century (2040-2069),2.805,0.284,1.107,Boxelder,pr
Historical Emissions,Apr,End-of-Century (2070-2099),2.749,0.732,1.521,Boxelder,pr
Historical Emissions,Aug,End-of-Century (2070-2099),2.533,0.273,1.138,Boxelder,pr
Historical Emissions,Dec,End-of-Century (2070-2099),0.733,0.139,0.391,Boxelder,pr
Historical Emissions,Feb,End-of-Century (2070-2099),0.721,0.161,0.373,Boxelder,pr
Historical Emissions,Jan,End-of-Century (2070-2099),0.739,0.153,0.393,Boxelder,pr
Historical Emissions,Jul,End-of-Century (2070-2099),3.076,0.597,1.573,Boxelder,pr
Historical Emissions,Jun,End-of-Century (2070-2099),4.839,1.468,2.97,Boxelder,pr
Historical Emissions,Mar,End-of-Century (2070-2099),1.331,0.296,0.632,Boxelder,pr
Historical Emissions,May,End-of-Century (2070-2099),4.515,1.304,2.764,Boxelder,pr
Historical Emissions,Nov,End-of-Century (2070-2099),1.108,0.154,0.516,Boxelder,pr
Historical Emissions,Oct,End-of-Century (2070-2099),2.258,0.248,0.903,Boxelder,pr
Historical Emissions,Sep,End-of-Century (2070-2099),2.805,0.284,1.107,Boxelder,pr
"Moderating Emissions
(SSP1-2.6)",Apr,End-of-Century (2070-2099),3.642,0.717,1.997,Boxelder,pr
"Moderating Emissions
(SSP1-2.6)",Apr,Mid Century (2040-2069),2.991,0.857,1.634,Boxelder,pr
"Moderating Emissions
(SSP1-2.6)",Aug,End-of-Century (2070-2099),2.824,0.48,1.123,Boxelder,pr
"Moderating Emissions
(SSP1-2.6)",Aug,Mid Century (2040-2069),2.784,0.314,1.258,Boxelder,pr
"Moderating Emissions
(SSP1-2.6)",Dec,End-of-Century (2070-2099),0.889,0.18,0.455,Boxelder,pr
"Moderating Emissions
(SSP1-2.6)",Dec,Mid Century (2040-2069),0.76,0.135,0.386,Boxelder,pr
"Moderating Emissions
(SSP1-2.6)",Feb,End-of-Century (2070-2099),0.67,0.112,0.434,Boxelder,pr
"Moderating Emissions
(SSP1-2.6)",Feb,Mid Century (2040-2069),0.854,0.158,0.402,Boxelder,pr
"Moderating Emissions
(SSP1-2.6)",Jan,End-of-Century (2070-2099),0.578,0.158,0.293,Boxelder,pr
"Moderating Emissions
(SSP1-2.6)",Jan,Mid Century (2040-2069),0.777,0.203,0.415,Boxelder,pr
"Moderating Emissions
(SSP1-2.6)",Jul,End-of-Century (2070-2099),3.354,0.691,1.825,Boxelder,pr
"Moderating Emissions
(SSP1-2.6)",Jul,Mid Century (2040-2069),3.187,0.502,1.675,Boxelder,pr
"Moderating Emissions
(SSP1-2.6)",Jun,End-of-Century (2070-2099),4.169,1.89,3.331,Boxelder,pr
