year,scenario,upper,lower,value,location,variable
1950,Historical Emissions,14.58,10.749,13.797,Blackfoot,pr
1951,Historical Emissions,15.922,11.499,12.315,Blackfoot,pr
1952,Historical Emissions,15.241,11.565,13.736,Blackfoot,pr
1953,Historical Emissions,15.764,11.982,14.697,Blackfoot,pr
1954,Historical Emissions,17.497,12.672,15.836,Blackfoot,pr
1955,Historical Emissions,17.036,10.647,15.606,Blackfoot,pr
1956,Historical Emissions,16.409,11.977,14.079,Blackfoot,pr
1957,Historical Emissions,18.91,11.863,15.671,Blackfoot,pr
1958,Historical Emissions,17.959,12.749,16.168,Blackfoot,pr
1959,Historical Emissions,16.335,11.728,14.041,Blackfoot,pr
1960,Historical Emissions,17.671,12.562,14.368,Blackfoot,pr
1961,Historical Emissions,15.629,11.807,14.198,Blackfoot,pr
1962,Historical Emissions,18.171,10.671,14.418,Blackfoot,pr
1963,Historical Emissions,17.298,12.298,15.127,Blackfoot,pr
1964,Historical Emissions,15.395,11.663,14.054,Blackfoot,pr
1965,Historical Emissions,16.206,12.04,13.155,Blackfoot,pr
1966,Historical Emissions,19.929,12.41,15.428,Blackfoot,pr
1967,Historical Emissions,16.921,9.82,15.006,Blackfoot,pr
1968,Historical Emissions,17.131,13.913,15.695,Blackfoot,pr
1969,Historical Emissions,14.488,12.622,13.766,Blackfoot,pr
1970,Historical Emissions,16.482,11.398,15.354,Blackfoot,pr
1971,Historical Emissions,14.867,10.084,13.834,Blackfoot,pr
1972,Historical Emissions,16.077,12.316,14.043,Blackfoot,pr
1973,Historical Emissions,19.037,12.499,14.734,Blackfoot,pr
1974,Historical Emissions,18.333,11.812,13.326,Blackfoot,pr
1975,Historical Emissions,16.404,12.303,13.229,Blackfoot,pr
1976,Historical Emissions,17.617,13.001,14.359,Blackfoot,pr
1977,Historical Emissions,16.978,10.956,14.453,Blackfoot,pr
1978,Historical Emissions,17.283,13.852,15.648,Blackfoot,pr
1979,Historical Emissions,18.036,11.811,15.31,Blackfoot,pr
1980,Historical Emissions,16.994,10.603,13.007,Blackfoot,pr
1981,Historical Emissions,18.117,11.597,13.387,Blackfoot,pr
1982,Historical Emissions,17.538,14.108,15.192,Blackfoot,pr
1983,Historical Emissions,16.152,12.34,15.117,Blackfoot,pr
1984,Historical Emissions,18.031,12.767,14.368,Blackfoot,pr
1985,Historical Emissions,17.378,13.734,16.53,Blackfoot,pr
1986,Historical Emissions,17.146,14.479,15.37,Blackfoot,pr
1987,Historical Emissions,16.557,13.037,14.506,Blackfoot,pr
1988,Historical Emissions,17.088,12.206,15.062,Blackfoot,pr
1989,Historical Emissions,15.482,13.006,14.409,Blackfoot,pr
1990,Historical Emissions,17.747,12,14.648,Blackfoot,pr
1991,Historical Emissions,17.818,10.925,14.274,Blackfoot,pr
1992,Historical Emissions,15.444,10.204,14.629,Blackfoot,pr
1993,Historical Emissions,16.829,12.292,14.848,Blackfoot,pr
1994,Historical Emissions,17.537,9.521,13.676,Blackfoot,pr
1995,Historical Emissions,15.289,11.208,13.044,Blackfoot,pr
1996,Historical Emissions,14.877,9.062,11.775,Blackfoot,pr
1997,Historical Emissions,17.029,13.009,14.571,Blackfoot,pr
1998,Historical Emissions,17.356,13.429,15.515,Blackfoot,pr
1999,Historical Emissions,17.228,13.338,14.783,Blackfoot,pr
2000,Historical Emissions,16.192,12.103,15.11,Blackfoot,pr
2001,Historical Emissions,16.335,10.978,14.852,Blackfoot,pr
2002,Historical Emissions,18.811,13.408,15.694,Blackfoot,pr
2003,Historical Emissions,16.338,11.465,12.994,Blackfoot,pr
2004,Historical Emissions,16.251,11.178,14.949,Blackfoot,pr
2005,Historical Emissions,17.885,11.995,15.846,Blackfoot,pr
2006,Historical Emissions,16.977,12.266,13.875,Blackfoot,pr
2007,Historical Emissions,17.974,10.9,13.23,Blackfoot,pr
2008,Historical Emissions,15.847,13.02,14.33,Blackfoot,pr
2009,Historical Emissions,20.31,13.209,15.59,Blackfoot,pr
2010,Historical Emissions,16.405,12.141,14.673,Blackfoot,pr
2011,Historical Emissions,18.685,12.979,15.208,Blackfoot,pr
2012,Historical Emissions,15.302,11.568,12.467,Blackfoot,pr
2013,Historical Emissions,17.273,11.721,15.144,Blackfoot,pr
2014,Historical Emissions,16.066,13.271,14.233,Blackfoot,pr
2015,"Moderating Emissions
(SSP1-2.6)",15.356,12.717,13.799,Blackfoot,pr
2015,"Middle of the Road
(SSP2-4.5)",15.901,10.99,13.508,Blackfoot,pr
2015,"High Emissions
(SSP3-7.0)",17.279,11.51,13.808,Blackfoot,pr
2015,"Accelerating Emissions
(SSP5-8.5)",17.948,12.009,15.239,Blackfoot,pr
2016,"Moderating Emissions
(SSP1-2.6)",15.078,12.627,13.417,Blackfoot,pr
2016,"Middle of the Road
(SSP2-4.5)",15.766,12.453,14.802,Blackfoot,pr
2016,"High Emissions
(SSP3-7.0)",16.702,12.393,15.42,Blackfoot,pr
2016,"Accelerating Emissions
(SSP5-8.5)",16.631,12.606,14.403,Blackfoot,pr
2017,"Moderating Emissions
(SSP1-2.6)",18.547,13.54,16.251,Blackfoot,pr
2017,"Middle of the Road
(SSP2-4.5)",15.853,11.146,14.733,Blackfoot,pr
2017,"High Emissions
(SSP3-7.0)",16.614,12.003,13.825,Blackfoot,pr
2017,"Accelerating Emissions
(SSP5-8.5)",17.579,13.244,14.209,Blackfoot,pr
2018,"Moderating Emissions
(SSP1-2.6)",16.348,13.091,14.943,Blackfoot,pr
2018,"Middle of the Road
(SSP2-4.5)",15.428,11.564,14.7,Blackfoot,pr
2018,"High Emissions
(SSP3-7.0)",18.902,13.368,15.136,Blackfoot,pr
2018,"Accelerating Emissions
(SSP5-8.5)",18.364,13.964,16.229,Blackfoot,pr
2019,"Moderating Emissions
(SSP1-2.6)",15.299,12.503,14.272,Blackfoot,pr
2019,"Middle of the Road
(SSP2-4.5)",18.156,11.296,14.317,Blackfoot,pr
2019,"High Emissions
(SSP3-7.0)",16.723,12.063,13.81,Blackfoot,pr
2019,"Accelerating Emissions
(SSP5-8.5)",17.885,11.88,15.022,Blackfoot,pr
2020,"Moderating Emissions
(SSP1-2.6)",16.614,11.083,14.978,Blackfoot,pr
2020,"Middle of the Road
(SSP2-4.5)",19.121,13.248,16.104,Blackfoot,pr
2020,"High Emissions
(SSP3-7.0)",18.016,12.499,16.163,Blackfoot,pr
2020,"Accelerating Emissions
(SSP5-8.5)",17.454,12.91,14.112,Blackfoot,pr
2021,"Moderating Emissions
(SSP1-2.6)",16.365,11.65,12.58,Blackfoot,pr
2021,"Middle of the Road
(SSP2-4.5)",18.78,11.076,12.855,Blackfoot,pr
2021,"High Emissions
(SSP3-7.0)",17.56,10.716,14.383,Blackfoot,pr
2021,"Accelerating Emissions
(SSP5-8.5)",16.748,13.21,15.394,Blackfoot,pr
2022,"Moderating Emissions
(SSP1-2.6)",17.965,13.13,14.039,Blackfoot,pr
